trial,cid,post_ms,route_ms,lock_wait_ms,exec_ms,command_done_ms,t1_s,t1_command_to_sample_ms,t1_sample_to_seen_ms,t2_s,t2_command_to_sample_ms,metric_settle_after_exec_ms,t2_sample_to_seen_ms,t2_fetch_ms,n_collector_samples,rate_before_mbps,rate_after_mbps,cap_before_mbps,cap_after_mbps,http_status,post_error,execute_error
1,98aae7a4-262d-4f86-b7e0-3d1e7c02db13,3019.8898849994293,8.895158767700195,0.0,36.00001335144043,44.895172119140625,0.8403891269999804,644.8953151702881,195.4801082611084,3.7442868219995944,3645.89524269104,3601.0000705718994,98.38318824768066,6.094946999837703,5,4.88388432,14.67321144,5.0,15.0,202,,
2,9dbec771-5dc1-4405-854f-5bb93053f48e,3018.2628470001873,10.093927383422852,0.0,39.00003433227539,49.09396171569824,0.8405566889996408,715.0938510894775,125.45275688171387,3.9541234380003516,3715.0938510894775,3665.9998893737793,239.01939392089844,7.3382319997108425,5,4.91866624,14.66099976,5.0,15.0,202,,
3,2c4650fa-01ca-4de5-9f81-d8428cb244b0,3025.0784749996456,8.278131484985352,0.0,36.00001335144043,44.27814483642578,1.0475182469999709,783.2779884338379,264.23048973083496,4.017522507999274,3783.277988433838,3738.999843597412,234.23123359680176,8.382173000427429,5,4.9185572,14.72048464,5.0,15.0,202,,
4,52fee869-7a9d-4f4d-8e69-efdaecdc88bd,3022.033096999621,9.141683578491211,0.0,33.00023078918457,42.14191436767578,1.0452544899999339,782.1416854858398,263.10253143310547,3.954893156000253,3782.14168548584,3739.999771118164,172.73712158203125,7.314784999834956,5,4.7765403200000005,14.66020992,5.0,15.0,202,,
5,7bcf35d1-9f4a-4060-91bd-306c87632336,3017.503236000266,8.901596069335938,0.0,36.00001335144043,44.90160942077637,1.0462288679991616,847.9015827178955,198.3180046081543,3.9511185159999513,3847.9015827178955,3802.999973297119,103.20639610290527,7.248213000821124,5,4.89497328,14.68455928,5.0,15.0,202,,
6,eb92adb5-c168-4af3-af14-9158b6a768b8,3025.2841209994585,11.347293853759766,0.0,36.99994087219238,48.34723472595215,1.0472923099996478,906.3472747802734,140.93565940856934,4.169260882999879,3907.3472023010254,3858.9999675750732,261.9047164916992,6.670419999863952,5,4.88312888,14.613311439999999,5.0,15.0,202,,
7,5e1c81f5-5d69-406a-a764-9aaa46cd4203,3015.6136700006755,9.461402893066406,0.0,38.00010681152344,47.461509704589844,1.0456898080001338,749.4614124298096,296.2183952331543,3.952484452000135,3749.4614124298096,3701.9999027252197,203.00698280334473,9.464855000260286,5,4.82377024,15.277888560000001,5.0,15.0,202,,
8,8a5a0830-8851-4b2d-ba4d-0421bf9e8991,3020.9384290001253,8.650779724121094,0.0,35.00008583068848,43.65086555480957,1.0465745860001334,815.6509399414062,230.9114933013916,3.950834644000679,3815.6509399414062,3772.0000743865967,135.17332077026367,7.308591000764864,5,4.89494528,14.73227424,5.0,15.0,202,,
9,46d6614e-ad28-4532-8521-4fbd88e43f2e,3021.604839000247,8.594751358032227,0.0,36.00001335144043,44.594764709472656,1.0500776099997893,887.5946998596191,162.46914863586426,4.161306168999545,3887.594699859619,3842.9999351501465,273.7007141113281,8.287491999908525,5,4.87125016,14.64958848,5.0,15.0,202,,
10,09940c58-e460-4f74-9e33-fb786637541e,3022.8878879997865,8.261919021606445,0.0,32.000064849853516,40.26198387145996,0.8428803050001079,749.2618560791016,93.60790252685547,3.9539753830003974,3748.2619285583496,3707.9999446868896,203.95302772521973,6.842813999355712,5,4.89487992,14.6496444,5.0,15.0,202,,
11,ce4201cb-3196-4967-8e1c-1ee81cc800ca,3018.5830639993583,8.794546127319336,0.0,34.999847412109375,43.79439353942871,1.0453827649998857,816.7943954467773,228.5778522491455,3.9476762510003027,3816.7943954467773,3773.0000019073486,130.87129592895508,7.148785000026692,5,4.8949266399999996,14.6969708,5.0,15.0,202,,
12,3e754a99-b07a-4359-8d17-0999b35211a3,3017.7427190001254,10.956048965454102,0.0,36.00001335144043,46.95606231689453,1.045954762999827,886.9562149047852,158.98561477661133,4.161415898999621,3886.956214904785,3840.0001525878906,274.44958686828613,7.058761999360286,5,4.894890480000001,14.79158008,5.0,15.0,202,,
13,e657d822-723b-4308-9746-44c4fdb665c7,3023.7711110003147,8.867979049682617,0.0,30.99989891052246,39.86787796020508,0.8392600980005227,733.867883682251,105.38220405578613,3.946805561000474,3733.867883682251,3694.000005722046,212.92805671691895,6.503325000267068,5,4.8949697599999995,14.69665192,5.0,15.0,202,,
14,72ac0fa2-eb04-4ab1-b348-29aa618aa588,3023.3178080006837,13.180971145629883,0.0,43.99991035461426,57.18088150024414,1.0490701830003673,814.180850982666,234.2855930328369,3.955137582000134,3814.180850982666,3756.999969482422,140.35272598266602,7.4141740005870815,5,4.89489392,14.732196960000001,5.0,15.0,202,,
15,a00faf95-351d-4ea1-ba6f-a99ff7b864c4,3019.4789400002264,8.425474166870117,0.0,36.00001335144043,44.42548751831055,1.0911803429999054,882.4255466461182,208.74285697937012,3.994229823999376,3882.425546646118,3838.0000591278076,111.79018020629883,7.955287999720895,5,4.89490096,14.74448656,5.0,15.0,202,,
16,1121580a-2a0a-4755-9a23-2af92b413815,3021.695357999306,8.354425430297852,0.0,36.00001335144043,44.35443878173828,0.8381819149999501,705.3544521331787,132.81750679016113,3.9511441249997006,3705.3544521331787,3661.0000133514404,245.78046798706055,7.261174000632309,5,4.89494296,14.672910640000001,5.0,15.0,202,,
17,49895936-d159-4f0f-86f8-f4b1bdde160b,3021.931967000455,11.652946472167969,0.0,47.00016975402832,58.65311622619629,1.0484297419998256,836.6529941558838,211.76743507385254,3.9534723229999145,3836.652994155884,3777.9998779296875,116.80865287780762,7.582424000247556,5,4.88333144,14.6258224,5.0,15.0,202,,
18,e9c43e0d-66a1-44d2-ad4a-e6742e4451fb,3027.4458690000756,13.242006301879883,0.0,40.9998893737793,54.24189567565918,1.053128048999497,893.2418823242188,159.87658500671387,4.170137545000216,3893.2418823242188,3838.9999866485596,276.885986328125,6.8974219993833685,5,4.917524480000001,14.62608744,5.0,15.0,202,,
19,1b8d419f-ce87-4bed-86b3-f92ca3895164,3023.259476000021,14.087677001953125,0.0,37.999868392944336,52.08754539489746,1.0501318010001341,901.0875225067139,149.0345001220703,4.165972349000185,3901.087522506714,3848.9999771118164,264.8754119873047,6.795453999984602,5,4.8712361600000005,14.661244400000001,5.0,15.0,202,,
20,fe8d2b73-119e-40e4-a892-ac68d2398224,3014.9134590001267,7.62176513671875,0.0,36.00001335144043,43.62177848815918,1.045999447000213,753.6218166351318,292.36817359924316,3.956801311000163,3754.621744155884,3710.9999656677246,202.16631889343262,7.952334999572486,5,4.9070124,14.637701439999999,5.0,15.0,202,,
