episode,seed,epsilon,train_return,train_loss,steps,z_steps
1,201000,1.0,4.18099793,,5,3
2,201001,0.995,4.06275172,,5,0
3,201002,0.990025,3.18389406,,5,0
4,201003,0.98507488,4.12747617,,5,8
5,201004,0.9801495,4.10138411,,5,12
6,201005,0.97524875,3.06659736,,5,12
7,201006,0.97037251,3.02896049,,5,12
8,201007,0.96552065,4.19552483,,5,12
9,201008,0.96069304,3.94055145,,4,3
10,201009,0.95588958,4.17105265,,5,3
11,201010,0.95111013,3.14954318,,4,3
12,201011,0.94635458,3.27433249,,5,1
13,201012,0.94162281,3.92586946,,4,3
14,201013,0.93691469,4.16701734,,5,0
15,201014,0.93223012,4.1092,,5,12
16,201015,0.92756897,4.02662653,,4,8
17,201016,0.92293112,3.27844384,,4,1
18,201017,0.91831647,3.86715976,,4,12
19,201018,0.91372489,3.20244649,,4,8
20,201019,0.90915626,4.04007051,,4,0
21,201020,0.90461048,3.90751501,,4,5
22,201021,0.90008743,4.01356344,,4,0
23,201022,0.89558699,3.01301351,,5,12
24,201023,0.89110906,3.02282918,,5,3
25,201024,0.88665351,3.04072054,,5,8
26,201025,0.88222024,3.17474305,,4,0
27,201026,0.87780914,3.8863588,,4,8
28,201027,0.8734201,3.06610555,,5,5
29,201028,0.869053,3.17750571,,4,1
30,201029,0.86470773,3.22858046,,5,8
31,201030,0.86038419,3.09627746,,5,0
32,201031,0.85608227,3.87291197,,4,1
33,201032,0.85180186,3.93937877,,4,5
34,201033,0.84754285,3.23590959,,4,12
35,201034,0.84330514,3.08452277,,5,0
36,201035,0.83908861,3.21268638,,4,8
37,201036,0.83489317,4.09802156,,5,8
38,201037,0.8307187,3.02288009,,4,8
39,201038,0.82656511,3.33803362,,4,3
40,201039,0.82243228,4.1059735,,5,1
41,201040,0.81832012,3.17473551,,4,1
42,201041,0.81422852,3.10439033,,5,8
43,201042,0.81015738,3.91626598,,4,12
44,201043,0.80610659,3.32223595,,4,3
45,201044,0.80207606,3.07364931,,4,3
46,201045,0.79806568,3.28813036,,4,0
47,201046,0.79407535,3.95956489,,4,8
48,201047,0.79010497,3.00208974,,5,5
49,201048,0.78615445,3.12580433,,4,0
50,201049,0.78222368,3.21181267,,4,5
51,201050,0.77831256,3.16535572,,5,12
52,201051,0.77442099,3.89680969,,4,5
53,201052,0.77054889,3.07076728,,4,3
54,201053,0.76669614,3.14812114,,4,1
55,201054,0.76286266,2.96270843,,5,5
56,201055,0.75904835,4.10371823,,5,1
57,201056,0.75525311,3.06138511,,5,12
58,201057,0.75147684,3.9708635,,4,5
59,201058,0.74771946,3.79898733,,4,1
60,201059,0.74398086,3.23224537,,4,8
61,201060,0.74026096,4.09715089,,5,8
62,201061,0.73655965,3.00749373,,4,12
63,201062,0.73287685,3.08445737,,4,12
64,201063,0.72921247,4.1605823,,5,1
65,201064,0.72556641,3.06876792,,4,3
66,201065,0.72193858,3.26510347,,4,8
67,201066,0.71832888,4.20521842,,5,0
68,201067,0.71473724,3.07968457,,4,5
69,201068,0.71116355,3.86547618,,4,0
70,201069,0.70760773,3.19230183,,4,1
71,201070,0.7040697,2.99648019,,4,3
72,201071,0.70054935,4.14847545,,5,0
73,201072,0.6970466,2.99063099,,5,3
74,201073,0.69356137,3.9424967,,4,3
75,201074,0.69009356,3.26767827,,4,1
76,201075,0.68664309,3.92660154,,4,8
77,201076,0.68320988,3.35258385,,4,12
78,201077,0.67979383,3.08869371,,4,0
79,201078,0.67639486,2.98017685,,4,8
80,201079,0.67301288,4.14888062,,5,8
81,201080,0.66964782,3.92860329,,4,0
82,201081,0.66629958,2.9137134,,5,3
83,201082,0.66296808,3.9046433,,4,8
84,201083,0.65965324,3.84742909,,4,0
85,201084,0.65635498,3.97179464,,4,1
86,201085,0.6530732,3.86154112,,4,0
87,201086,0.64980784,3.89195439,,4,3
88,201087,0.6465588,4.1479707,,5,0
89,201088,0.643326,3.89113671,,4,8
90,201089,0.64010937,3.12162309,,4,12
91,201090,0.63690883,4.12257926,,5,12
92,201091,0.63372428,3.20133038,,4,0
93,201092,0.63055566,3.95564186,,4,5
94,201093,0.62740288,4.1160237,,5,0
95,201094,0.62426587,3.98540257,,4,8
96,201095,0.62114454,4.10990585,,5,1
97,201096,0.61803882,3.10850533,,4,5
98,201097,0.61494862,3.15931694,,4,1
99,201098,0.61187388,3.00002293,,4,5
100,201099,0.60881451,4.12837921,,5,1
101,201100,0.60577044,3.35619879,,4,12
102,201101,0.60274158,3.19462514,,4,0
103,201102,0.59972788,4.18137584,,5,3
104,201103,0.59672924,3.29801071,,4,3
105,201104,0.59374559,3.27756719,,4,1
106,201105,0.59077686,3.26850358,,4,3
107,201106,0.58782298,3.88948937,,4,8
108,201107,0.58488386,3.11731955,,4,1
109,201108,0.58195944,3.02678489,,4,8
110,201109,0.57904965,2.96182135,,5,0
111,201110,0.5761544,3.97860066,,4,8
112,201111,0.57327363,3.19411298,,4,12
113,201112,0.57040726,4.21471659,,5,5
114,201113,0.56755522,3.94985461,,4,12
115,201114,0.56471745,3.21546502,1.05589739,4,5
116,201115,0.56189386,3.92564383,1.25252052,4,5
117,201116,0.55908439,3.10522837,1.09724385,4,8
118,201117,0.55628897,4.10529672,0.88370229,5,3
119,201118,0.55350752,3.88492129,0.90291065,4,12
120,201119,0.55073999,2.96121866,0.8244499,5,3
121,201120,0.54798629,3.04907823,0.68631279,5,3
122,201121,0.54524635,3.22760674,0.53744315,4,0
