episode,seed,epsilon,train_return,train_loss,steps,z_steps
1,301000,1.0,3.80040934,,4,5
2,301001,0.995,3.17371094,,5,3
3,301002,0.990025,4.07510859,,5,8
4,301003,0.98507488,3.31262937,,4,12
5,301004,0.9801495,3.10402545,,4,8
6,301005,0.97524875,3.01071865,,5,0
7,301006,0.97037251,3.92324805,,4,8
8,301007,0.96552065,3.19188864,,5,1
9,301008,0.96069304,3.80451414,,4,8
10,301009,0.95588958,4.16378747,,5,1
11,301010,0.95111013,3.20220538,,4,8
12,301011,0.94635458,3.10410554,,5,8
13,301012,0.94162281,3.32141839,,4,8
14,301013,0.93691469,3.18499337,,4,1
15,301014,0.93223012,3.90504741,,4,1
16,301015,0.92756897,4.14055119,,5,0
17,301016,0.92293112,3.10029924,,4,12
18,301017,0.91831647,3.84219297,,4,8
19,301018,0.91372489,3.27172802,,4,3
20,301019,0.90915626,2.92496166,,5,12
21,301020,0.90461048,2.91328844,,5,12
22,301021,0.90008743,3.36207307,,4,8
23,301022,0.89558699,3.28121335,,4,0
24,301023,0.89110906,3.87966548,,4,3
25,301024,0.88665351,3.05567021,,5,0
26,301025,0.88222024,4.2054279,,5,1
27,301026,0.87780914,4.14209892,,5,5
28,301027,0.8734201,3.08833838,,5,5
29,301028,0.869053,3.02887527,,5,1
30,301029,0.86470773,3.14122488,,5,5
31,301030,0.86038419,4.12619029,,5,8
32,301031,0.85608227,3.9152966,,4,0
33,301032,0.85180186,3.992467,,4,8
34,301033,0.84754285,4.11386529,,5,0
35,301034,0.84330514,4.11567544,,5,3
36,301035,0.83908861,4.18723742,,5,0
37,301036,0.83489317,3.28276599,,4,12
38,301037,0.8307187,3.29632702,,4,0
39,301038,0.82656511,3.03498647,,5,12
40,301039,0.82243228,4.1633273,,5,12
41,301040,0.81832012,4.08155221,,5,8
42,301041,0.81422852,4.14180709,,5,0
43,301042,0.81015738,3.9196758,,4,0
44,301043,0.80610659,3.09138362,,4,8
45,301044,0.80207606,4.09555972,,5,12
46,301045,0.79806568,3.21792742,,4,3
47,301046,0.79407535,3.86544551,,4,3
48,301047,0.79010497,4.09432823,,5,0
49,301048,0.78615445,3.85041369,,4,5
50,301049,0.78222368,4.12866622,,5,5
51,301050,0.77831256,3.90787402,,4,1
52,301051,0.77442099,3.12289342,,5,5
53,301052,0.77054889,3.1205938,,4,3
54,301053,0.76669614,4.15492301,,5,8
55,301054,0.76286266,2.98229738,,5,1
56,301055,0.75904835,3.96532262,,4,3
57,301056,0.75525311,3.13562709,,4,3
58,301057,0.75147684,3.11321388,,4,5
59,301058,0.74771946,4.16094413,,5,3
60,301059,0.74398086,3.18543681,,4,8
61,301060,0.74026096,3.21364745,,4,5
62,301061,0.73655965,3.88372023,,4,3
63,301062,0.73287685,4.12455632,,5,12
64,301063,0.72921247,2.99817348,,5,5
65,301064,0.72556641,3.92241362,,4,0
66,301065,0.72193858,4.20515751,,5,12
67,301066,0.71832888,4.20034155,,5,0
68,301067,0.71473724,3.90168883,,4,3
69,301068,0.71116355,4.10267762,,5,3
70,301069,0.70760773,3.0939408,,5,8
71,301070,0.7040697,3.9212095,,4,12
72,301071,0.70054935,3.87658657,,4,8
73,301072,0.6970466,3.26327033,,4,1
74,301073,0.69356137,3.79833892,,4,3
75,301074,0.69009356,4.13688457,,5,12
76,301075,0.68664309,3.07140894,,4,3
77,301076,0.68320988,3.93264574,,4,8
78,301077,0.67979383,4.16504485,,5,0
79,301078,0.67639486,3.06912013,,4,5
80,301079,0.67301288,3.06479141,,5,12
81,301080,0.66964782,3.12737583,,4,8
82,301081,0.66629958,3.07859178,,5,0
83,301082,0.66296808,4.22109745,,5,3
84,301083,0.65965324,4.17552614,,5,8
85,301084,0.65635498,4.12513588,,5,0
86,301085,0.6530732,3.94426507,,4,5
87,301086,0.64980784,4.17043827,,5,5
88,301087,0.6465588,4.16699601,,5,8
89,301088,0.643326,3.07267978,,4,8
90,301089,0.64010937,3.3005431,,5,0
91,301090,0.63690883,4.18371985,,5,5
92,301091,0.63372428,3.18121371,,5,0
93,301092,0.63055566,3.01208651,,4,5
94,301093,0.62740288,4.20054491,,5,5
95,301094,0.62426587,3.97242924,,4,1
96,301095,0.62114454,3.15312926,,4,8
97,301096,0.61803882,3.05346622,,5,8
98,301097,0.61494862,3.03825434,,5,12
99,301098,0.61187388,4.05915338,,5,1
100,301099,0.60881451,4.09497541,,5,3
101,301100,0.60577044,3.24443447,,4,5
102,301101,0.60274158,3.11034793,,5,1
103,301102,0.59972788,3.21933569,,4,0
104,301103,0.59672924,3.93537793,,4,8
105,301104,0.59374559,3.94401126,,4,1
106,301105,0.59077686,3.08008088,,4,5
107,301106,0.58782298,3.33649493,,4,5
108,301107,0.58488386,3.12847158,,4,3
109,301108,0.58195944,3.21365072,,4,3
110,301109,0.57904965,4.16529162,,5,0
111,301110,0.5761544,4.10927753,0.98398232,5,5
112,301111,0.57327363,3.17618233,0.78703763,4,12
113,301112,0.57040726,3.19522005,0.74677619,5,12
114,301113,0.56755522,2.97544353,0.691909,5,5
115,301114,0.56471745,3.29791207,0.66348365,4,1
116,301115,0.56189386,3.79857598,0.66878493,4,8
117,301116,0.55908439,2.98205486,0.53490953,4,8
118,301117,0.55628897,3.02129404,0.55676637,5,12
119,301118,0.55350752,3.16229408,0.52988508,4,0
120,301119,0.55073999,3.0610954,0.52623945,5,5
121,301120,0.54798629,3.27613421,0.47581573,4,0
122,301121,0.54524635,3.89900751,0.54836562,4,1
123,301122,0.54252012,4.17155721,0.54048321,5,8
124,301123,0.53980752,4.11444493,0.48139185,5,8
125,301124,0.53710848,3.8702532,0.46876197,4,3
126,301125,0.53442294,4.15534396,0.48644935,5,3
127,301126,0.53175083,3.95863015,0.40554544,4,1
128,301127,0.52909207,3.09628851,0.47289907,5,8
129,301128,0.52644661,3.11876278,0.45393883,4,1
130,301129,0.52381438,2.9121378,0.40678922,5,12
131,301130,0.52119531,3.30096455,0.51565455,4,5
132,301131,0.51858933,3.93978164,0.45521054,4,8
133,301132,0.51599638,3.94940373,0.47051132,4,1
134,301133,0.5134164,4.08943823,0.40944421,5,8
135,301134,0.51084932,3.85468561,0.35121882,4,8
136,301135,0.50829507,4.14253843,0.37373392,5,0
137,301136,0.5057536,3.0427252,0.45024765,4,5
138,301137,0.50322483,4.05302034,0.35722225,5,12
139,301138,0.50070871,3.06704276,0.38286391,5,12
140,301139,0.49820516,3.16596011,0.32423363,5,5
141,301140,0.49571414,3.86801059,0.32312157,4,5
142,301141,0.49323557,3.83248193,0.29120619,4,5
143,301142,0.49076939,3.92032388,0.29930127,4,5
144,301143,0.48831554,4.18515103,0.26539798,5,5
145,301144,0.48587396,4.1730468,0.26786184,5,0
146,301145,0.48344459,4.16289373,0.30401929,5,0
147,301146,0.48102737,3.9256784,0.29110043,4,5
148,301147,0.47862223,3.19723821,0.26724624,5,5
149,301148,0.47622912,3.91775992,0.32280605,4,8
150,301149,0.47384798,4.1382115,0.30862809,5,1
151,301150,0.47147874,4.1351328,0.25355904,5,1
152,301151,0.46912134,3.2410468,0.30687377,5,5
153,301152,0.46677574,4.19357557,0.32346536,5,12
154,301153,0.46444186,4.08417848,0.35797083,5,1
155,301154,0.46211965,3.99034348,0.35955411,4,1
156,301155,0.45980905,4.07451503,0.79480693,5,12
157,301156,0.45751001,4.19663718,0.48371077,5,8
158,301157,0.45522246,4.0485165,0.43977325,4,5
159,301158,0.45294634,3.79456569,0.43935512,4,8
160,301159,0.45068161,3.09271291,0.34071461,5,1
161,301160,0.4484282,3.29363645,0.3024596,4,3
162,301161,0.44618606,3.03913555,0.23492872,5,12
163,301162,0.44395513,3.96489852,0.20875056,4,0
164,301163,0.44173536,3.96844806,0.13312011,4,8
165,301164,0.43952668,2.98256229,0.15100196,5,5
166,301165,0.43732905,3.2294495,0.12285239,4,1
167,301166,0.4351424,3.02411996,0.14969053,5,5
168,301167,0.43296669,3.87895295,0.11747075,4,0
169,301168,0.43080186,3.23233942,0.11220839,4,0
170,301169,0.42864785,4.1753179,0.12507412,5,12
171,301170,0.42650461,4.20423637,0.12280995,5,3
172,301171,0.42437208,4.11150362,0.10924864,5,0
173,301172,0.42225022,3.24796893,0.10762923,4,5
174,301173,0.42013897,3.89499733,0.07348952,4,12
175,301174,0.41803828,3.92752178,0.1182654,4,0
176,301175,0.41594809,3.29937874,0.13068612,4,1
177,301176,0.41386835,4.13476705,0.0829889,5,5
178,301177,0.411799,3.97331643,0.09784168,4,0
179,301178,0.40974001,3.88750521,0.08364312,4,8
180,301179,0.40769131,3.07322378,0.08546249,4,1
181,301180,0.40565285,3.90966551,0.09248778,4,5
182,301181,0.40362459,3.9100298,0.10216737,4,8
183,301182,0.40160647,3.16848818,0.09381354,5,12
184,301183,0.39959843,4.11454361,0.07093921,5,8
185,301184,0.39760044,4.12076479,0.07967391,5,8
186,301185,0.39561244,3.21039142,0.09406048,4,12
187,301186,0.39363438,3.20427823,0.08533265,5,8
188,301187,0.3916662,3.37965842,0.09498722,4,0
189,301188,0.38970787,3.18888606,0.09517491,4,1
190,301189,0.38775933,3.11243603,0.07666053,4,12
191,301190,0.38582054,4.22454854,0.08594401,5,12
192,301191,0.38389143,3.9532644,0.08809696,4,1
193,301192,0.38197198,3.2286712,0.10979329,5,12
194,301193,0.38006212,3.93039466,0.07348524,4,12
195,301194,0.37816181,3.97690131,0.09792976,4,12
196,301195,0.376271,3.37818827,0.0915404,4,3
197,301196,0.37438964,4.14444103,0.08961233,5,3
198,301197,0.37251769,3.97493524,0.06755798,4,5
199,301198,0.37065511,3.94490691,0.0631648,4,3
200,301199,0.36880183,3.06701393,0.09321142,5,12
201,301200,0.36695782,3.91674417,0.51126641,4,12
202,301201,0.36512303,4.20123746,0.43512971,5,1
203,301202,0.36329742,3.23381945,0.44480164,5,3
204,301203,0.36148093,3.18787038,0.42819,4,0
205,301204,0.35967353,3.36121759,0.35557638,4,1
206,301205,0.35787516,4.18992468,0.36374997,5,12
207,301206,0.35608578,3.96008027,0.2064309,4,12
208,301207,0.35430535,2.91857075,0.23072792,5,3
209,301208,0.35253383,3.20457813,0.26389251,4,3
210,301209,0.35077116,3.90307437,0.27100291,4,12
211,301210,0.3490173,3.21150187,0.22323456,4,8
212,301211,0.34727222,3.84278182,0.18083059,4,1
213,301212,0.34553585,3.82828422,0.17136329,4,12
214,301213,0.34380817,4.13686818,0.19616918,5,5
215,301214,0.34208913,4.02390638,0.17170766,4,3
216,301215,0.34037869,3.10302573,0.1628523,4,8
217,301216,0.33867679,4.13278433,0.12894297,5,3
218,301217,0.33698341,4.16273411,0.1207966,5,12
219,301218,0.33529849,3.09527589,0.15288829,4,12
220,301219,0.333622,3.89053287,0.16614801,4,12
221,301220,0.33195389,3.95747379,0.13130227,4,12
222,301221,0.33029412,4.18888848,0.1396087,5,3
223,301222,0.32864265,3.15223597,0.13194484,5,12
224,301223,0.32699944,3.22260636,0.13161323,4,12
225,301224,0.32536444,3.38435466,0.1346259,4,1
226,301225,0.32373762,4.11383805,0.12032623,5,3
227,301226,0.32211893,3.10845449,0.15129888,4,3
