mode,rho_bar,tau_rho,sigma_rho,ar1_median,ar1_min,ar1_max,tt_median,tt_min,tt_max
cbr,0.7,0.5,0.0256782945736434,0.0,0.0,0.0,0.0,0.0,0.0
cbr,0.7,0.5,0.046220930232558126,0.00063375,0.0004575,0.00073875,0.0002,5.5e-05,0.00048
cbr,0.7,1.0,0.0256782945736434,0.0,0.0,0.0,0.0,0.0,0.0
cbr,0.7,1.0,0.046220930232558126,0.000644375,0.000463125,0.000815625,0.000115,4e-05,0.000985
cbr,0.7,2.0,0.0256782945736434,0.0,0.0,0.0,0.0,0.0,0.0
cbr,0.7,2.0,0.046220930232558126,0.000499375,0.000449375,0.000893125,7e-05,0.0,0.002305
cbr,0.7,3.0,0.0256782945736434,0.0,0.0,0.0,0.0,0.0,0.0
cbr,0.7,3.0,0.046220930232558126,0.000483125,0.0003975,0.001029375,0.000115,0.0,0.003395
cbr,0.7,5.0,0.0256782945736434,0.0,0.0,0.0,0.0,0.0,0.0
cbr,0.7,5.0,0.046220930232558126,0.000335,0.0001925,0.001105,0.000135,0.0,0.002455
cbr,0.7,10.0,0.0256782945736434,0.0,0.0,0.0,0.0,0.0,0.0
cbr,0.7,10.0,0.046220930232558126,0.000220625,6.875e-06,0.0008225,0.00015,0.0,0.000435
cbr,0.7,20.0,0.0256782945736434,0.0,0.0,0.0,0.0,0.0,0.0
cbr,0.7,20.0,0.046220930232558126,0.000324375,0.0,0.000875625,0.0,0.0,5e-05
cbr,0.7,28.0,0.0256782945736434,0.0,0.0,0.0,0.0,0.0,0.0
cbr,0.7,28.0,0.046220930232558126,0.0008651785714285714,0.000271875,0.0030504464285714284,0.0,0.0,0.0
cbr,0.85,0.5,0.007267441860465112,0.0,0.0,0.0,0.0,0.0,0.0
cbr,0.85,0.5,0.013081395348837201,0.000341875,0.000235,0.000501875,0.0,0.0,0.0
cbr,0.85,1.0,0.007267441860465112,0.0,0.0,0.0,0.0,0.0,0.0
cbr,0.85,1.0,0.013081395348837201,0.000336875,0.000190625,0.000396875,0.0,0.0,0.0
cbr,0.85,2.0,0.007267441860465112,0.0,0.0,0.0,0.0,0.0,0.0
cbr,0.85,2.0,0.013081395348837201,0.000249375,0.000110625,0.0003225,0.0,0.0,0.0
cbr,0.85,3.0,0.007267441860465112,0.0,0.0,0.0,0.0,0.0,0.0
cbr,0.85,3.0,0.013081395348837201,0.000210625,5.8125e-05,0.000248125,0.0,0.0,0.0
cbr,0.85,5.0,0.007267441860465112,0.0,0.0,0.0,0.0,0.0,0.0
cbr,0.85,5.0,0.013081395348837201,0.000163125,3.125e-05,0.00023125,0.0,0.0,0.0
cbr,0.85,10.0,0.007267441860465112,0.0,0.0,0.0,0.0,0.0,0.0
cbr,0.85,10.0,0.013081395348837201,0.00022625,1.5e-05,0.000556875,0.0,0.0,0.0
cbr,0.85,20.0,0.007267441860465112,0.0,0.0,0.0,0.0,0.0,0.0
cbr,0.85,20.0,0.013081395348837201,0.000105,5.0625e-05,0.001199375,0.0,0.0,0.0
cbr,0.85,28.0,0.007267441860465112,0.0,0.0,0.0,0.0,0.0,0.0
cbr,0.85,28.0,0.013081395348837201,0.00010714285714285714,0.0,0.00019330357142857143,0.0,0.0,0.0
h2,0.7,0.5,0.0256782945736434,0.0,0.0,0.0,0.0,0.0,0.0
h2,0.7,0.5,0.046220930232558126,0.000630625,0.00045625,0.00073875,0.0002,5.5e-05,0.00048
h2,0.7,1.0,0.0256782945736434,0.0,0.0,0.0,0.0,0.0,0.0
h2,0.7,1.0,0.046220930232558126,0.00063125,0.000463125,0.000815625,0.000115,4e-05,0.000985
h2,0.7,2.0,0.0256782945736434,0.0,0.0,0.0,0.0,0.0,0.0
h2,0.7,2.0,0.046220930232558126,0.000499375,0.000449375,0.000893125,7e-05,0.0,0.002305
h2,0.7,3.0,0.0256782945736434,0.0,0.0,0.0,0.0,0.0,0.0
h2,0.7,3.0,0.046220930232558126,0.000483125,0.0003975,0.001029375,0.000115,0.0,0.003395
h2,0.7,5.0,0.0256782945736434,0.0,0.0,0.0,0.0,0.0,0.0
h2,0.7,5.0,0.046220930232558126,0.000335,0.0001925,0.001105,0.000135,0.0,0.002455
h2,0.7,10.0,0.0256782945736434,0.0,0.0,0.0,0.0,0.0,0.0
h2,0.7,10.0,0.046220930232558126,0.000220625,6.875e-06,0.0008225,0.00015,0.0,0.000435
h2,0.7,20.0,0.0256782945736434,0.0,0.0,0.0,0.0,0.0,0.0
h2,0.7,20.0,0.046220930232558126,0.000324375,0.0,0.000875625,0.0,0.0,5e-05
h2,0.7,28.0,0.0256782945736434,0.0,0.0,0.0,0.0,0.0,0.0
h2,0.7,28.0,0.046220930232558126,0.0008651785714285714,0.000271875,0.0030504464285714284,0.0,0.0,0.0
h2,0.85,0.5,0.02664728682170544,0.0,0.0,0.0,0.0,0.0,0.0
h2,0.85,0.5,0.04796511627906979,0.0005975,0.00051875,0.0009075,0.00368,0.00307,0.00528
h2,0.85,1.0,0.02664728682170544,0.0,0.0,0.0,0.0,0.0,0.0
h2,0.85,1.0,0.04796511627906979,0.000693125,0.000486875,0.000871875,0.003975,0.00269,0.004515
h2,0.85,2.0,0.02664728682170544,0.0,0.0,0.0,0.0,0.0,0.0
h2,0.85,2.0,0.04796511627906979,0.000594375,0.000363125,0.00074125,0.003615,0.002295,0.00423
h2,0.85,3.0,0.02664728682170544,0.0,0.0,0.0,0.0,0.0,0.0
h2,0.85,3.0,0.04796511627906979,0.000635,0.000303125,0.000656875,0.00395,0.00343,0.00525
h2,0.85,5.0,0.02664728682170544,0.0,0.0,0.0,0.0,0.0,0.0
h2,0.85,5.0,0.04796511627906979,0.00058125,0.000410625,0.000623125,0.00536,0.00344,0.00605
h2,0.85,10.0,0.02664728682170544,0.0,0.0,0.0,0.0,0.0,0.0
h2,0.85,10.0,0.04796511627906979,0.000560625,0.000473125,0.0010525,0.0061,0.00424,0.01037
h2,0.85,20.0,0.02664728682170544,0.0,0.0,0.0,0.0,0.0,0.0
h2,0.85,20.0,0.04796511627906979,0.00036,6.4375e-05,0.0015825,0.0041,0.001565,0.013625
h2,0.85,28.0,0.02664728682170544,0.0,0.0,0.0,0.0,0.0,0.0
h2,0.85,28.0,0.04796511627906979,0.0002638392857142857,0.0,0.0005209821428571429,0.005485714285714286,0.0028321428571428573,0.006828571428571429
h2,0.925,0.5,0.012112403100775193,0.0,0.0,0.0,0.0,0.0,5e-06
h2,0.925,0.5,0.021802325581395346,0.00043,0.000324375,0.000671875,0.007165,0.00655,0.010725
h2,0.925,1.0,0.012112403100775193,0.0,0.0,0.0,0.0,0.0,0.0
h2,0.925,1.0,0.021802325581395346,0.000438125,0.00025625,0.000539375,0.00626,0.006055,0.00936
h2,0.925,2.0,0.012112403100775193,0.0,0.0,0.0,0.0,0.0,0.0
h2,0.925,2.0,0.021802325581395346,0.000343125,0.000181875,0.000475,0.006275,0.005195,0.008525
h2,0.925,3.0,0.012112403100775193,0.0,0.0,0.0,0.0,0.0,0.0
h2,0.925,3.0,0.021802325581395346,0.00030625,0.000121875,0.000405,0.00633,0.00528,0.00873
h2,0.925,5.0,0.012112403100775193,0.0,0.0,0.0,0.0,0.0,0.0
h2,0.925,5.0,0.021802325581395346,0.0002875,0.0001,0.000348125,0.00759,0.005635,0.008655
h2,0.925,10.0,0.012112403100775193,0.0,0.0,0.0,0.0,0.0,0.0
h2,0.925,10.0,0.021802325581395346,0.000229375,2.375e-05,0.00083875,0.0061,0.00587,0.01213
h2,0.925,20.0,0.012112403100775193,0.0,0.0,0.0,0.0,0.0,0.0
h2,0.925,20.0,0.021802325581395346,0.000108125,5.0625e-05,0.001400625,0.0066,0.0025,0.015315
h2,0.925,28.0,0.012112403100775193,0.0,0.0,0.0,0.0,0.0,0.0
h2,0.925,28.0,0.021802325581395346,0.00012366071428571428,0.0,0.00020357142857142858,0.007446428571428572,0.002664285714285714,0.017264285714285715
h2,0.96,0.5,0.005329457364341101,0.0,0.0,0.0,0.00039,0.00023,0.000865
h2,0.96,0.5,0.009593023255813982,0.000315,0.00019875,0.0004275,0.033405,0.02935,0.037905
h2,0.96,1.0,0.005329457364341101,0.0,0.0,0.0,0.000555,0.000195,0.000825
h2,0.96,1.0,0.009593023255813982,0.00031,0.00018,0.000345,0.030935,0.02848,0.037245
h2,0.96,2.0,0.005329457364341101,0.0,0.0,0.0,0.000325,3e-05,0.000935
h2,0.96,2.0,0.009593023255813982,0.000225,9.3125e-05,0.00028125,0.02902,0.02466,0.03419
h2,0.96,3.0,0.005329457364341101,0.0,0.0,0.0,0.000115,0.0,0.000665
h2,0.96,3.0,0.009593023255813982,0.000188125,4.125e-05,0.0002,0.029065,0.021895,0.03297
h2,0.96,5.0,0.005329457364341101,0.0,0.0,0.0,0.0,0.0,0.00073
h2,0.96,5.0,0.009593023255813982,0.000121875,3.0625e-05,0.000224375,0.028935,0.02071,0.03075
h2,0.96,10.0,0.005329457364341101,0.0,0.0,0.0,0.0,0.0,0.000695
h2,0.96,10.0,0.009593023255813982,0.00018125,1.5e-05,0.000381875,0.02909,0.01827,0.035165
h2,0.96,20.0,0.005329457364341101,0.0,0.0,0.0,0.0,0.0,0.0
h2,0.96,20.0,0.009593023255813982,0.000105,5.0625e-05,0.00088375,0.03024,0.019845,0.035025
h2,0.96,28.0,0.005329457364341101,0.0,0.0,0.0,0.0,0.0,0.0
h2,0.96,28.0,0.009593023255813982,0.00010714285714285714,0.0,0.00019330357142857143,0.02605714285714286,0.018007142857142857,0.08563928571428571
poisson,0.7,0.5,0.0256782945736434,0.0,0.0,0.0,0.0,0.0,0.0
poisson,0.7,0.5,0.046220930232558126,0.000630625,0.00045625,0.00073875,0.0002,5.5e-05,0.00048
poisson,0.7,1.0,0.0256782945736434,0.0,0.0,0.0,0.0,0.0,0.0
poisson,0.7,1.0,0.046220930232558126,0.00063125,0.000463125,0.000815625,0.000115,4e-05,0.000985
poisson,0.7,2.0,0.0256782945736434,0.0,0.0,0.0,0.0,0.0,0.0
poisson,0.7,2.0,0.046220930232558126,0.000499375,0.000449375,0.000893125,7e-05,0.0,0.002305
poisson,0.7,3.0,0.0256782945736434,0.0,0.0,0.0,0.0,0.0,0.0
poisson,0.7,3.0,0.046220930232558126,0.000483125,0.0003975,0.001029375,0.000115,0.0,0.003395
poisson,0.7,5.0,0.0256782945736434,0.0,0.0,0.0,0.0,0.0,0.0
poisson,0.7,5.0,0.046220930232558126,0.000335,0.0001925,0.001105,0.000135,0.0,0.002455
poisson,0.7,10.0,0.0256782945736434,0.0,0.0,0.0,0.0,0.0,0.0
poisson,0.7,10.0,0.046220930232558126,0.000220625,6.875e-06,0.0008225,0.00015,0.0,0.000435
poisson,0.7,20.0,0.0256782945736434,0.0,0.0,0.0,0.0,0.0,0.0
poisson,0.7,20.0,0.046220930232558126,0.000324375,0.0,0.000875625,0.0,0.0,5e-05
poisson,0.7,28.0,0.0256782945736434,0.0,0.0,0.0,0.0,0.0,0.0
poisson,0.7,28.0,0.046220930232558126,0.0008651785714285714,0.000271875,0.0030504464285714284,0.0,0.0,0.0
poisson,0.85,0.5,0.02664728682170544,0.0,0.0,0.0,0.0,0.0,0.0
poisson,0.85,0.5,0.04796511627906979,0.0005975,0.00051875,0.0009075,0.00368,0.00307,0.00528
poisson,0.85,1.0,0.02664728682170544,0.0,0.0,0.0,0.0,0.0,0.0
poisson,0.85,1.0,0.04796511627906979,0.000693125,0.000486875,0.000871875,0.003975,0.00269,0.004515
poisson,0.85,2.0,0.02664728682170544,0.0,0.0,0.0,0.0,0.0,0.0
poisson,0.85,2.0,0.04796511627906979,0.000594375,0.000363125,0.00074125,0.003615,0.002295,0.00423
poisson,0.85,3.0,0.02664728682170544,0.0,0.0,0.0,0.0,0.0,0.0
poisson,0.85,3.0,0.04796511627906979,0.000635,0.000303125,0.000656875,0.00395,0.00343,0.00525
poisson,0.85,5.0,0.02664728682170544,0.0,0.0,0.0,0.0,0.0,0.0
poisson,0.85,5.0,0.04796511627906979,0.00058125,0.000410625,0.000623125,0.00536,0.00344,0.00605
poisson,0.85,10.0,0.02664728682170544,0.0,0.0,0.0,0.0,0.0,0.0
poisson,0.85,10.0,0.04796511627906979,0.000560625,0.000473125,0.0010525,0.0061,0.00424,0.01037
poisson,0.85,20.0,0.02664728682170544,0.0,0.0,0.0,0.0,0.0,0.0
poisson,0.85,20.0,0.04796511627906979,0.00036,6.4375e-05,0.0015825,0.0041,0.001565,0.013625
poisson,0.85,28.0,0.02664728682170544,0.0,0.0,0.0,0.0,0.0,0.0
poisson,0.85,28.0,0.04796511627906979,0.0002638392857142857,0.0,0.0005209821428571429,0.005485714285714286,0.0028321428571428573,0.006828571428571429
poisson,0.925,0.5,0.012112403100775193,0.0,0.0,0.0,0.0,0.0,5e-06
poisson,0.925,0.5,0.021802325581395346,0.00043,0.000324375,0.000671875,0.007165,0.00655,0.010725
poisson,0.925,1.0,0.012112403100775193,0.0,0.0,0.0,0.0,0.0,0.0
poisson,0.925,1.0,0.021802325581395346,0.000438125,0.00025625,0.000539375,0.00626,0.006055,0.00936
poisson,0.925,2.0,0.012112403100775193,0.0,0.0,0.0,0.0,0.0,0.0
poisson,0.925,2.0,0.021802325581395346,0.000343125,0.000181875,0.000475,0.006275,0.005195,0.008525
poisson,0.925,3.0,0.012112403100775193,0.0,0.0,0.0,0.0,0.0,0.0
poisson,0.925,3.0,0.021802325581395346,0.00030625,0.000121875,0.000405,0.00633,0.00528,0.00873
poisson,0.925,5.0,0.012112403100775193,0.0,0.0,0.0,0.0,0.0,0.0
poisson,0.925,5.0,0.021802325581395346,0.0002875,0.0001,0.000348125,0.00759,0.005635,0.008655
