sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000091,5362.460321934,5362.460321934,0,0,0.000000
1,0.006840,5362.467070746,5362.467070746,3,4200,0.000000
2,0.008063,5362.468294186,5362.468294186,3,4200,0.000000
3,0.012810,5362.473041526,5362.473041526,6,8400,0.000000
4,0.014064,5362.474295381,5362.474295381,6,8400,0.000000
5,0.016084,5362.476314625,5362.476314625,7,9800,0.000000
6,0.018061,5362.478291837,5362.478291837,8,11200,0.000000
7,0.020059,5362.480289930,5362.480289930,9,12600,0.000000
8,0.022064,5362.482294850,5362.482294850,10,14000,0.000000
9,0.024067,5362.484297912,5362.484297912,11,15400,0.000000
10,0.026060,5362.486290956,5362.486290956,12,16800,0.000000
11,0.028064,5362.488294896,5362.488294896,13,18200,0.000000
12,0.030068,5362.490299295,5362.490299295,14,19600,0.000000
13,0.032061,5362.492292525,5362.492292525,15,21000,0.000000
14,0.034060,5362.494291366,5362.494291366,16,22400,0.000000
15,0.036059,5362.496289650,5362.496289650,17,23800,0.000000
16,0.038066,5362.498297108,5362.498297108,18,25200,0.000000
17,0.040059,5362.500290034,5362.500290034,19,26600,0.000000
18,0.042058,5362.502289442,5362.502289442,20,28000,0.000000
19,0.044066,5362.504296703,5362.504296703,21,29400,0.000000
20,0.046068,5362.506298664,5362.506298664,22,30800,0.000000
21,0.048066,5362.508296566,5362.508296566,23,32200,0.000000
22,0.050065,5362.510296311,5362.510296311,24,33600,0.000000
23,0.052064,5362.512295385,5362.512295385,25,35000,0.000000
24,0.054065,5362.514295968,5362.514295968,26,36400,0.000000
25,0.056026,5362.516256663,5362.516256663,27,37800,0.000000
26,0.058064,5362.518295471,5362.518295471,28,39200,0.000000
27,0.060065,5362.520296000,5362.520296000,29,40600,0.000000
28,0.062066,5362.522296603,5362.522296603,30,42000,0.000000
29,0.064063,5362.524293585,5362.524293585,31,43400,0.000000
30,0.066063,5362.526293930,5362.526293930,32,44800,0.000000
31,0.068065,5362.528295755,5362.528295755,33,46200,0.000000
32,0.071807,5362.532037885,5362.532037885,34,47600,0.000000
33,0.074811,5362.535042165,5362.535042165,36,50400,0.000000
34,0.076024,5362.536255242,5362.536255242,37,51800,0.000000
35,0.078092,5362.538322997,5362.538322997,38,53200,0.000000
36,0.080084,5362.540314866,5362.540314866,39,54600,0.000000
37,0.082065,5362.542296510,5362.542296510,39,54600,0.000000
38,0.084066,5362.544297131,5362.544297131,40,56000,0.000000
39,0.086068,5362.546298736,5362.546298736,41,57400,0.000000
40,0.088065,5362.548295695,5362.548295695,42,58800,0.000000
41,0.090068,5362.550298609,5362.550298609,43,60200,0.000000
42,0.092064,5362.552295497,5362.552295497,44,61600,0.000000
43,0.094066,5362.554297195,5362.554297195,45,63000,0.000000
44,0.096060,5362.556290686,5362.556290686,46,64400,0.000000
45,0.098064,5362.558295472,5362.558295472,47,65800,0.000000
46,0.100067,5362.560298325,5362.560298325,48,67200,0.000000
47,0.103902,5362.564133423,5362.564133423,50,70000,0.000000
48,0.104059,5362.564290113,5362.564290113,50,70000,0.000000
49,0.106059,5362.566289925,5362.566289925,51,71400,0.000000
50,0.108065,5362.568296111,5362.568296111,52,72800,0.000000
51,0.110058,5362.570288674,5362.570288674,53,74200,0.000000
52,0.112069,5362.572299602,5362.572299602,54,75600,0.000000
53,0.114180,5362.574410955,5362.574410955,55,77000,0.000000
54,0.116059,5362.576290342,5362.576290342,56,78400,0.000000
55,0.118059,5362.578289681,5362.578289681,57,79800,0.000000
56,0.120065,5362.580296220,5362.580296220,58,81200,0.000000
57,0.122062,5362.582293504,5362.582293504,59,82600,0.000000
58,0.124067,5362.584297814,5362.584297814,60,84000,0.000000
