sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000099,5362.544289675,5362.544289675,0,0,0.000000
1,0.006871,5362.551061706,5362.551061706,2,2800,0.000000
2,0.008072,5362.552262741,5362.552262741,2,2800,0.000000
3,0.010065,5362.554256211,5362.554256211,3,4200,0.000000
4,0.012063,5362.556254396,5362.556254396,3,4200,0.000000
5,0.014059,5362.558250462,5362.558250462,4,5600,0.000000
6,0.016058,5362.560249296,5362.560249296,5,7000,0.000000
7,0.018058,5362.562249201,5362.562249201,5,7000,0.000000
8,0.020059,5362.564250342,5362.564250342,6,8400,0.000000
9,0.022059,5362.566249813,5362.566249813,7,9800,0.000000
10,0.024059,5362.568250336,5362.568250336,7,9800,0.000000
11,0.026059,5362.570249778,5362.570249778,8,11200,0.000000
12,0.028058,5362.572249105,5362.572249105,9,12600,0.000000
13,0.030058,5362.574249290,5362.574249290,9,12600,0.000000
14,0.032061,5362.576251773,5362.576251773,10,14000,0.000000
15,0.034064,5362.578254763,5362.578254763,11,15400,0.000000
16,0.036060,5362.580250575,5362.580250575,11,15400,0.000000
17,0.038060,5362.582250837,5362.582250837,12,16800,0.000000
18,0.040059,5362.584249841,5362.584249841,13,18200,0.000000
19,0.042059,5362.586250249,5362.586250249,13,18200,0.000000
20,0.044059,5362.588249589,5362.588249589,14,19600,0.000000
21,0.046058,5362.590249347,5362.590249347,15,21000,0.000000
22,0.048058,5362.592249392,5362.592249392,15,21000,0.000000
23,0.050058,5362.594249221,5362.594249221,16,22400,0.000000
24,0.052020,5362.596210891,5362.596210891,17,23800,0.000000
25,0.054058,5362.598249439,5362.598249439,17,23800,0.000000
26,0.056097,5362.600287900,5362.600287900,18,25200,0.000000
27,0.058041,5362.602231764,5362.602231764,19,26600,0.000000
28,0.060060,5362.604250712,5362.604250712,19,26600,0.000000
29,0.062059,5362.606250098,5362.606250098,20,28000,0.000000
30,0.064028,5362.608218743,5362.608218743,21,29400,0.000000
31,0.066059,5362.610250233,5362.610250233,21,29400,0.000000
32,0.068059,5362.612249619,5362.612249619,22,30800,0.000000
33,0.070065,5362.614256553,5362.614256553,23,32200,0.000000
34,0.072061,5362.616252298,5362.616252298,23,32200,0.000000
35,0.074059,5362.618249731,5362.618249731,24,33600,0.000000
36,0.076065,5362.620256489,5362.620256489,24,33600,0.000000
37,0.078067,5362.622258198,5362.622258198,25,35000,0.000000
38,0.080064,5362.624254944,5362.624254944,26,36400,0.000000
39,0.082066,5362.626257050,5362.626257050,26,36400,0.000000
40,0.084065,5362.628256452,5362.628256452,27,37800,0.000000
41,0.086065,5362.630256210,5362.630256210,28,39200,0.000000
42,0.088068,5362.632258615,5362.632258615,28,39200,0.000000
43,0.090068,5362.634259113,5362.634259113,29,40600,0.000000
44,0.093848,5362.638038995,5362.638038995,30,42000,0.000000
45,0.094060,5362.638251074,5362.638251074,30,42000,0.000000
46,0.096062,5362.640253437,5362.640253437,31,43400,0.000000
47,0.098059,5362.642250477,5362.642250477,32,44800,0.000000
48,0.100064,5362.644255021,5362.644255021,32,44800,0.000000
49,0.102059,5362.646250167,5362.646250167,33,46200,0.000000
50,0.104059,5362.648250367,5362.648250367,34,47600,0.000000
51,0.106058,5362.650249481,5362.650249481,34,47600,0.000000
52,0.108065,5362.652255928,5362.652255928,35,49000,0.000000
53,0.110059,5362.654250357,5362.654250357,36,50400,0.000000
54,0.112067,5362.656258182,5362.656258182,36,50400,0.000000
55,0.114059,5362.658250232,5362.658250232,37,51800,0.000000
