sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000159,5362.668233087,5362.668233087,0,0,0.000000
1,0.004041,5362.672115600,5362.672115600,1,1400,0.000000
2,0.006107,5362.674181007,5362.674181007,2,2800,0.000000
3,0.008139,5362.676213541,5362.676213541,3,4200,0.000000
4,0.010120,5362.678194443,5362.678194443,4,5600,0.000000
5,0.012015,5362.680089593,5362.680089593,5,7000,0.000000
6,0.014098,5362.682172237,5362.682172237,6,8400,0.000000
7,0.016100,5362.684174720,5362.684174720,7,9800,0.000000
8,0.018100,5362.686173988,5362.686173988,8,11200,0.000000
9,0.020063,5362.688137036,5362.688137036,9,12600,0.000000
10,0.022059,5362.690133840,5362.690133840,10,14000,0.000000
11,0.024093,5362.692167590,5362.692167590,11,15400,0.000000
12,0.026514,5362.694588000,5362.694588000,12,16800,0.000000
13,0.028814,5362.696888432,5362.696888432,13,18200,0.000000
14,0.030098,5362.698172364,5362.698172364,14,19600,0.000000
15,0.032092,5362.700166775,5362.700166775,15,21000,0.000000
16,0.034081,5362.702155184,5362.702155184,16,22400,0.000000
17,0.036063,5362.704137209,5362.704137209,17,23800,0.000000
18,0.038104,5362.706178891,5362.706178891,18,25200,0.000000
19,0.040106,5362.708180682,5362.708180682,19,26600,0.000000
20,0.042677,5362.710751658,5362.710751658,20,28000,0.000000
21,0.044099,5362.712173315,5362.712173315,21,29400,0.000000
22,0.046081,5362.714155641,5362.714155641,22,30800,0.000000
23,0.048086,5362.716160143,5362.716160143,23,32200,0.000000
24,0.050105,5362.718179924,5362.718179924,24,33600,0.000000
25,0.052095,5362.720169655,5362.720169655,25,35000,0.000000
26,0.054061,5362.722135110,5362.722135110,26,36400,0.000000
27,0.056866,5362.724940381,5362.724940381,27,37800,0.000000
28,0.058089,5362.726163558,5362.726163558,28,39200,0.000000
29,0.060050,5362.728124918,5362.728124918,29,40600,0.000000
30,0.062136,5362.730210281,5362.730210281,30,42000,0.000000
31,0.064068,5362.732142292,5362.732142292,31,43400,0.000000
32,0.066130,5362.734204202,5362.734204202,32,44800,0.000000
33,0.068126,5362.736200876,5362.736200876,33,46200,0.000000
34,0.070099,5362.738173578,5362.738173578,33,46200,0.000000
35,0.072092,5362.740166659,5362.740166659,34,47600,0.000000
36,0.074097,5362.742171684,5362.742171684,35,49000,0.000000
37,0.076104,5362.744178547,5362.744178547,36,50400,0.000000
38,0.078088,5362.746162448,5362.746162448,37,51800,0.000000
39,0.083179,5362.751253500,5362.751253500,40,56000,0.000000
40,0.084099,5362.752173128,5362.752173128,40,56000,0.000000
41,0.086090,5362.754164764,5362.754164764,41,57400,0.000000
42,0.088066,5362.756139999,5362.756139999,42,58800,0.000000
43,0.090122,5362.758196300,5362.758196300,43,60200,0.000000
44,0.092097,5362.760171638,5362.760171638,44,61600,0.000000
45,0.094090,5362.762164695,5362.762164695,45,63000,0.000000
46,0.096064,5362.764138876,5362.764138876,46,64400,0.000000
47,0.098040,5362.766114204,5362.766114204,47,65800,0.000000
48,0.100097,5362.768171727,5362.768171727,48,67200,0.000000
49,0.102020,5362.770094699,5362.770094699,49,68600,0.000000
50,0.104081,5362.772155833,5362.772155833,50,70000,0.000000
51,0.106042,5362.774116042,5362.774116042,51,71400,0.000000
52,0.108092,5362.776166043,5362.776166043,52,72800,0.000000
53,0.110086,5362.778159952,5362.778159952,53,74200,0.000000
54,0.112084,5362.780157965,5362.780157965,54,75600,0.000000
55,0.114123,5362.782197774,5362.782197774,55,77000,0.000000
56,0.116099,5362.784173330,5362.784173330,56,78400,0.000000
57,0.118130,5362.786204639,5362.786204639,57,79800,0.000000
58,0.120098,5362.788172698,5362.788172698,58,81200,0.000000
59,0.122095,5362.790169189,5362.790169189,59,82600,0.000000
60,0.124081,5362.792155274,5362.792155274,60,84000,0.000000
61,0.126140,5362.794214015,5362.794214015,61,85400,0.000000
62,0.128080,5362.796154819,5362.796154819,62,86800,0.000000
63,0.130300,5362.798374497,5362.798374497,63,88200,0.000000
64,0.132119,5362.800193102,5362.800193102,64,89600,0.000000
65,0.134118,5362.802192784,5362.802192784,64,89600,0.000000
66,0.136119,5362.804192942,5362.804192942,65,91000,0.000000
67,0.138068,5362.806141943,5362.806141943,66,92400,0.000000
68,0.140070,5362.808144419,5362.808144419,67,93800,0.000000
69,0.142097,5362.810171217,5362.810171217,68,95200,0.000000
70,0.144178,5362.812252077,5362.812252077,69,96600,0.000000
71,0.146104,5362.814178930,5362.814178930,70,98000,0.000000
72,0.148104,5362.816178138,5362.816178138,71,99400,0.000000
73,0.150082,5362.818156429,5362.818156429,72,100800,0.000000
74,0.152111,5362.820185424,5362.820185424,73,102200,0.000000
