sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000114,5362.820053159,5362.820053159,0,0,0.000000
1,0.002134,5362.822072880,5362.822072880,1,1400,0.000000
2,0.006105,5362.826043736,5362.826043736,2,2800,0.000000
3,0.010941,5362.830880101,5362.830880101,5,7000,0.000000
4,0.012077,5362.832015709,5362.832015709,5,7000,0.000000
5,0.014091,5362.834030012,5362.834030012,6,8400,0.000000
6,0.016076,5362.836014591,5362.836014591,7,9800,0.000000
7,0.018075,5362.838013491,5362.838013491,8,11200,0.000000
8,0.020089,5362.840028079,5362.840028079,9,12600,0.000000
9,0.022097,5362.842035994,5362.842035994,10,14000,0.000000
10,0.024090,5362.844028512,5362.844028512,11,15400,0.000000
11,0.026094,5362.846033273,5362.846033273,12,16800,0.000000
12,0.028089,5362.848028402,5362.848028402,13,18200,0.000000
13,0.030055,5362.849993904,5362.849993904,14,19600,0.000000
14,0.032078,5362.852017310,5362.852017310,15,21000,0.000000
15,0.034078,5362.854017320,5362.854017320,16,22400,0.000000
16,0.036077,5362.856015618,5362.856015618,17,23800,0.000000
17,0.038075,5362.858014212,5362.858014212,18,25200,0.000000
18,0.040066,5362.860004741,5362.860004741,19,26600,0.000000
19,0.042067,5362.862005559,5362.862005559,20,28000,0.000000
20,0.044067,5362.864006055,5362.864006055,21,29400,0.000000
21,0.046072,5362.866011408,5362.866011408,22,30800,0.000000
22,0.048077,5362.868016191,5362.868016191,23,32200,0.000000
23,0.050070,5362.870009311,5362.870009311,24,33600,0.000000
24,0.052071,5362.872010192,5362.872010192,25,35000,0.000000
25,0.054068,5362.874007336,5362.874007336,26,36400,0.000000
26,0.056077,5362.876015583,5362.876015583,27,37800,0.000000
27,0.058071,5362.878009465,5362.878009465,28,39200,0.000000
28,0.060075,5362.880013518,5362.880013518,29,40600,0.000000
29,0.062074,5362.882013202,5362.882013202,30,42000,0.000000
30,0.064072,5362.884011243,5362.884011243,31,43400,0.000000
31,0.066058,5362.885996922,5362.885996922,32,44800,0.000000
32,0.068068,5362.888007329,5362.888007329,33,46200,0.000000
33,0.070070,5362.890008810,5362.890008810,34,47600,0.000000
34,0.072069,5362.892008262,5362.892008262,35,49000,0.000000
35,0.074071,5362.894009587,5362.894009587,36,50400,0.000000
36,0.076073,5362.896012343,5362.896012343,37,51800,0.000000
37,0.078076,5362.898014763,5362.898014763,38,53200,0.000000
38,0.080058,5362.899996697,5362.899996697,39,54600,0.000000
39,0.082072,5362.902010661,5362.902010661,40,56000,0.000000
40,0.084071,5362.904010323,5362.904010323,41,57400,0.000000
41,0.086059,5362.905997685,5362.905997685,42,58800,0.000000
42,0.088075,5362.908013990,5362.908013990,43,60200,0.000000
43,0.090060,5362.909998485,5362.909998485,44,61600,0.000000
44,0.092046,5362.911985407,5362.911985407,45,63000,0.000000
45,0.094032,5362.913970882,5362.913970882,46,64400,0.000000
46,0.096026,5362.915965303,5362.915965303,47,65800,0.000000
47,0.098055,5362.917993944,5362.917993944,48,67200,0.000000
48,0.100087,5362.920025789,5362.920025789,49,68600,0.000000
49,0.102050,5362.921989438,5362.921989438,49,68600,0.000000
50,0.104146,5362.924085413,5362.924085413,51,71400,0.000000
51,0.106080,5362.926018873,5362.926018873,51,71400,0.000000
52,0.108089,5362.928028205,5362.928028205,52,72800,0.000000
53,0.110079,5362.930017957,5362.930017957,53,74200,0.000000
54,0.112022,5362.931961431,5362.931961431,54,75600,0.000000
55,0.114077,5362.934015603,5362.934015603,55,77000,0.000000
56,0.116080,5362.936019047,5362.936019047,56,78400,0.000000
57,0.118076,5362.938015426,5362.938015426,57,79800,0.000000
58,0.120099,5362.940037605,5362.940037605,58,81200,0.000000
59,0.122075,5362.942013480,5362.942013480,59,82600,0.000000
60,0.124074,5362.944012746,5362.944012746,60,84000,0.000000
61,0.126072,5362.946010799,5362.946010799,61,85400,0.000000
62,0.128085,5362.948024439,5362.948024439,62,86800,0.000000
63,0.130072,5362.950011170,5362.950011170,63,88200,0.000000
64,0.132073,5362.952011875,5362.952011875,64,89600,0.000000
65,0.134073,5362.954012387,5362.954012387,65,91000,0.000000
66,0.136086,5362.956024948,5362.956024948,66,92400,0.000000
67,0.138077,5362.958016367,5362.958016367,67,93800,0.000000
