sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000103,5362.186726880,5362.186726880,0,0,0.000000
1,0.009482,5362.196105273,5362.196105273,5,7000,0.000000
2,0.011887,5362.198510831,5362.198510831,6,8400,0.000000
3,0.015413,5362.202036127,5362.202036127,8,11200,0.000000
4,0.016036,5362.202659542,5362.202659542,9,12600,0.000000
5,0.018060,5362.204683195,5362.204683195,10,14000,0.000000
6,0.020066,5362.206689571,5362.206689571,11,15400,0.000000
7,0.022065,5362.208688361,5362.208688361,12,16800,0.000000
8,0.024060,5362.210683952,5362.210683952,13,18200,0.000000
9,0.026019,5362.212642232,5362.212642232,14,19600,0.000000
10,0.028058,5362.214681962,5362.214681962,15,21000,0.000000
11,0.030070,5362.216693615,5362.216693615,16,22400,0.000000
12,0.032059,5362.218682674,5362.218682674,18,25200,0.000000
13,0.034059,5362.220682751,5362.220682751,19,26600,0.000000
14,0.036058,5362.222681332,5362.222681332,20,28000,0.000000
15,0.038058,5362.224681865,5362.224681865,21,29400,0.000000
16,0.040065,5362.226688999,5362.226688999,22,30800,0.000000
17,0.042065,5362.228688922,5362.228688922,23,32200,0.000000
18,0.044064,5362.230687322,5362.230687322,24,33600,0.000000
19,0.046071,5362.232694872,5362.232694872,25,35000,0.000000
20,0.048076,5362.234699092,5362.234699092,27,37800,0.000000
21,0.050058,5362.236681435,5362.236681435,28,39200,0.000000
22,0.052058,5362.238681559,5362.238681559,29,40600,0.000000
23,0.054059,5362.240682632,5362.240682632,30,42000,0.000000
24,0.056058,5362.242681840,5362.242681840,31,43400,0.000000
25,0.058059,5362.244682161,5362.244682161,32,44800,0.000000
26,0.060066,5362.246689628,5362.246689628,33,46200,0.000000
27,0.062061,5362.248684629,5362.248684629,34,47600,0.000000
28,0.064162,5362.250785639,5362.250785639,36,50400,0.000000
29,0.066061,5362.252684624,5362.252684624,37,51800,0.000000
30,0.068059,5362.254682109,5362.254682109,38,53200,0.000000
31,0.070061,5362.256684751,5362.256684751,39,54600,0.000000
32,0.072060,5362.258683470,5362.258683470,40,56000,0.000000
33,0.074061,5362.260684874,5362.260684874,41,57400,0.000000
34,0.076061,5362.262684605,5362.262684605,42,58800,0.000000
35,0.078069,5362.264692463,5362.264692463,44,61600,0.000000
36,0.083439,5362.270062939,5362.270062939,47,65800,0.000000
37,0.086396,5362.273019875,5362.273019875,48,67200,0.000000
38,0.088066,5362.274689995,5362.274689995,49,68600,0.000000
39,0.090066,5362.276689904,5362.276689904,50,70000,0.000000
40,0.092060,5362.278683026,5362.278683026,51,71400,0.000000
41,0.094077,5362.280700383,5362.280700383,53,74200,0.000000
42,0.096061,5362.282684114,5362.282684114,54,75600,0.000000
43,0.098077,5362.284700578,5362.284700578,55,77000,0.000000
44,0.101418,5362.288041721,5362.288041721,57,79800,0.000000
45,0.102062,5362.288685282,5362.288685282,57,79800,0.000000
46,0.104063,5362.290686517,5362.290686517,58,81200,0.000000
47,0.106069,5362.292692286,5362.292692286,59,82600,0.000000
48,0.108067,5362.294690767,5362.294690767,60,84000,0.000000
49,0.115437,5362.302060952,5362.302060952,65,91000,0.000000
50,0.119027,5362.305650214,5362.305650214,67,93800,0.000000
51,0.120071,5362.306695008,5362.306695008,67,93800,0.000000
52,0.122064,5362.308687948,5362.308687948,68,95200,0.000000
53,0.124068,5362.310691484,5362.310691484,69,96600,0.000000
54,0.126074,5362.312697782,5362.312697782,71,99400,0.000000
55,0.128059,5362.314682043,5362.314682043,72,100800,0.000000
56,0.130061,5362.316684768,5362.316684768,73,102200,0.000000
57,0.132059,5362.318682230,5362.318682230,74,103600,0.000000
58,0.134060,5362.320683995,5362.320683995,75,105000,0.000000
59,0.136064,5362.322687133,5362.322687133,76,106400,0.000000
60,0.138063,5362.324686444,5362.324686444,77,107800,0.000000
61,0.140061,5362.326684624,5362.326684624,78,109200,0.000000
62,0.142042,5362.328665184,5362.328665184,80,112000,0.000000
63,0.144056,5362.330679355,5362.330679355,81,113400,0.000000
64,0.146059,5362.332682851,5362.332682851,82,114800,0.000000
65,0.148064,5362.334687440,5362.334687440,83,116200,0.000000
66,0.150062,5362.336685564,5362.336685564,84,117600,0.000000
67,0.152066,5362.338689807,5362.338689807,85,119000,0.000000
68,0.154061,5362.340684019,5362.340684019,86,120400,0.000000
69,0.156073,5362.342696177,5362.342696177,88,123200,0.000000
70,0.158025,5362.344648750,5362.344648750,89,124600,0.000000
71,0.160039,5362.346662100,5362.346662100,90,126000,0.000000
