sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000095,5362.838763706,5362.838763706,0,0,0.000000
1,0.002083,5362.840751542,5362.840751542,1,1400,0.000000
2,0.004065,5362.842733538,5362.842733538,2,2800,0.000000
3,0.006066,5362.844735313,5362.844735313,3,4200,0.000000
4,0.008069,5362.846737703,5362.846737703,4,5600,0.000000
5,0.010068,5362.848737267,5362.848737267,5,7000,0.000000
6,0.012068,5362.850736846,5362.850736846,6,8400,0.000000
7,0.014070,5362.852738420,5362.852738420,7,9800,0.000000
8,0.016039,5362.854708237,5362.854708237,9,12600,0.000000
9,0.018063,5362.856731651,5362.856731651,10,14000,0.000000
10,0.020069,5362.858737725,5362.858737725,11,15400,0.000000
11,0.022068,5362.860737001,5362.860737001,12,16800,0.000000
12,0.024067,5362.862736017,5362.862736017,13,18200,0.000000
13,0.026069,5362.864738316,5362.864738316,14,19600,0.000000
14,0.028066,5362.866734813,5362.866734813,15,21000,0.000000
15,0.030074,5362.868743245,5362.868743245,16,22400,0.000000
16,0.032063,5362.870731590,5362.870731590,18,25200,0.000000
17,0.034068,5362.872737109,5362.872737109,19,26600,0.000000
18,0.036065,5362.874733581,5362.874733581,20,28000,0.000000
19,0.038065,5362.876734280,5362.876734280,21,29400,0.000000
20,0.040061,5362.878729707,5362.878729707,22,30800,0.000000
21,0.042054,5362.880722420,5362.880722420,23,32200,0.000000
22,0.044065,5362.882734312,5362.882734312,24,33600,0.000000
23,0.046068,5362.884737093,5362.884737093,25,35000,0.000000
24,0.048067,5362.886735437,5362.886735437,27,37800,0.000000
25,0.050064,5362.888733029,5362.888733029,28,39200,0.000000
26,0.052065,5362.890734281,5362.890734281,29,40600,0.000000
27,0.054065,5362.892733942,5362.892733942,30,42000,0.000000
28,0.056066,5362.894734643,5362.894734643,31,43400,0.000000
29,0.058069,5362.896737861,5362.896737861,32,44800,0.000000
30,0.060067,5362.898735382,5362.898735382,33,46200,0.000000
31,0.062080,5362.900748631,5362.900748631,35,49000,0.000000
32,0.064028,5362.902697217,5362.902697217,36,50400,0.000000
33,0.066063,5362.904732159,5362.904732159,37,51800,0.000000
34,0.068074,5362.906742559,5362.906742559,38,53200,0.000000
35,0.070061,5362.908729684,5362.908729684,39,54600,0.000000
36,0.072067,5362.910735409,5362.910735409,40,56000,0.000000
37,0.074069,5362.912738263,5362.912738263,41,57400,0.000000
38,0.076066,5362.914735001,5362.914735001,42,58800,0.000000
39,0.078077,5362.916746245,5362.916746245,44,61600,0.000000
40,0.080073,5362.918742107,5362.918742107,45,63000,0.000000
41,0.082072,5362.920740917,5362.920740917,46,64400,0.000000
42,0.084065,5362.922733851,5362.922733851,47,65800,0.000000
43,0.086066,5362.924735304,5362.924735304,48,67200,0.000000
44,0.088069,5362.926737461,5362.926737461,49,68600,0.000000
45,0.090066,5362.928734963,5362.928734963,50,70000,0.000000
46,0.092066,5362.930735225,5362.930735225,51,71400,0.000000
47,0.094061,5362.932729795,5362.932729795,53,74200,0.000000
48,0.096025,5362.934693709,5362.934693709,54,75600,0.000000
49,0.098067,5362.936736032,5362.936736032,55,77000,0.000000
50,0.100065,5362.938733608,5362.938733608,56,78400,0.000000
51,0.102017,5362.940685938,5362.940685938,57,79800,0.000000
52,0.104080,5362.942748552,5362.942748552,58,81200,0.000000
53,0.106061,5362.944730047,5362.944730047,59,82600,0.000000
54,0.108077,5362.946745971,5362.946745971,60,84000,0.000000
55,0.110025,5362.948693431,5362.948693431,62,86800,0.000000
56,0.112057,5362.950726341,5362.950726341,63,88200,0.000000
57,0.114059,5362.952727474,5362.952727474,64,89600,0.000000
58,0.116065,5362.954734085,5362.954734085,65,91000,0.000000
59,0.118037,5362.956705902,5362.956705902,66,92400,0.000000
60,0.120077,5362.958745956,5362.958745956,67,93800,0.000000
61,0.122070,5362.960739273,5362.960739273,68,95200,0.000000
62,0.124068,5362.962736907,5362.962736907,69,96600,0.000000
63,0.126068,5362.964736485,5362.964736485,71,99400,0.000000
64,0.128065,5362.966734034,5362.966734034,72,100800,0.000000
65,0.130070,5362.968739107,5362.968739107,73,102200,0.000000
66,0.132075,5362.970743567,5362.970743567,74,103600,0.000000
67,0.134070,5362.972738721,5362.972738721,75,105000,0.000000
68,0.136067,5362.974735546,5362.974735546,76,106400,0.000000
69,0.138066,5362.976734655,5362.976734655,77,107800,0.000000
70,0.140071,5362.978740197,5362.978740197,78,109200,0.000000
71,0.142053,5362.980722180,5362.980722180,80,112000,0.000000
72,0.144063,5362.982731688,5362.982731688,81,113400,0.000000
73,0.146065,5362.984733917,5362.984733917,82,114800,0.000000
74,0.148068,5362.986737168,5362.986737168,83,116200,0.000000
75,0.150070,5362.988738664,5362.988738664,84,117600,0.000000
76,0.152068,5362.990737027,5362.990737027,85,119000,0.000000
77,0.154068,5362.992736842,5362.992736842,86,120400,0.000000
78,0.156076,5362.994745086,5362.994745086,88,123200,0.000000
79,0.158017,5362.996685363,5362.996685363,89,124600,0.000000
80,0.160068,5362.998737032,5362.998737032,90,126000,0.000000
81,0.162067,5363.000735620,5363.000735620,91,127400,0.000000
82,0.164068,5363.002736889,5363.002736889,92,128800,0.000000
83,0.166071,5363.004740130,5363.004740130,93,130200,0.000000
84,0.168066,5363.006735090,5363.006735090,94,131600,0.000000
85,0.170060,5363.008728873,5363.008728873,95,133000,0.000000
86,0.172085,5363.010754007,5363.010754007,97,135800,0.000000
87,0.174067,5363.012735659,5363.012735659,98,137200,0.000000
88,0.176067,5363.014735630,5363.014735630,99,138600,0.000000
89,0.178068,5363.016737257,5363.016737257,100,140000,0.000000
90,0.180071,5363.018740304,5363.018740304,101,141400,0.000000
91,0.182069,5363.020737438,5363.020737438,102,142800,0.000000
92,0.184065,5363.022734283,5363.022734283,103,144200,0.000000
93,0.186072,5363.024740901,5363.024740901,104,145600,0.000000
94,0.188050,5363.026719297,5363.026719297,106,148400,0.000000
95,0.190069,5363.028737880,5363.028737880,107,149800,0.000000
96,0.192064,5363.030733252,5363.030733252,108,151200,0.000000
97,0.194068,5363.032736536,5363.032736536,109,152600,0.000000
98,0.196086,5363.034755310,5363.034755310,110,154000,0.000000
99,0.198066,5363.036735125,5363.036735125,111,155400,0.000000
100,0.200029,5363.038698235,5363.038698235,112,156800,0.000000
101,0.202081,5363.040749825,5363.040749825,113,158200,0.000000
102,0.204002,5363.042670850,5363.042670850,115,161000,0.000000
103,0.206065,5363.044734133,5363.044734133,116,162400,0.000000
104,0.208068,5363.046736572,5363.046736572,117,163800,0.000000
105,0.210071,5363.048739980,5363.048739980,118,165200,0.000000
106,0.212068,5363.050736798,5363.050736798,119,166600,0.000000
107,0.214066,5363.052734742,5363.052734742,120,168000,0.000000
108,0.216064,5363.054732574,5363.054732574,121,169400,0.000000
109,0.218065,5363.056734099,5363.056734099,122,170800,0.000000
110,0.220074,5363.058742902,5363.058742902,124,173600,0.000000
111,0.222062,5363.060730360,5363.060730360,125,175000,0.000000
112,0.224062,5363.062730520,5363.062730520,126,176400,0.000000
113,0.226066,5363.064735310,5363.064735310,127,177800,0.000000
114,0.228067,5363.066735387,5363.066735387,128,179200,0.000000
115,0.230061,5363.068729921,5363.068729921,129,180600,0.000000
116,0.232026,5363.070694783,5363.070694783,130,182000,0.000000
117,0.234065,5363.072733820,5363.072733820,131,183400,0.000000
118,0.236172,5363.074841296,5363.074841296,133,186200,0.000000
119,0.238066,5363.076735214,5363.076735214,134,187600,0.000000
120,0.240064,5363.078733239,5363.078733239,135,189000,0.000000
121,0.242066,5363.080734402,5363.080734402,136,190400,0.000000
122,0.244063,5363.082731794,5363.082731794,137,191800,0.000000
123,0.246074,5363.084742449,5363.084742449,138,193200,0.000000
124,0.248074,5363.086743099,5363.086743099,139,194600,0.000000
125,0.250080,5363.088748674,5363.088748674,141,197400,0.000000
126,0.252067,5363.090736048,5363.090736048,142,198800,0.000000
127,0.254065,5363.092733526,5363.092733526,143,200200,0.000000
128,0.256069,5363.094737443,5363.094737443,144,201600,0.000000
129,0.258074,5363.096743140,5363.096743140,145,203000,0.000000
130,0.260070,5363.098739003,5363.098739003,146,204400,0.000000
131,0.262070,5363.100738796,5363.100738796,147,205800,0.000000
132,0.264072,5363.102740703,5363.102740703,148,207200,0.000000
133,0.266069,5363.104737439,5363.104737439,150,210000,0.000000
134,0.268061,5363.106730305,5363.106730305,151,211400,0.000000
135,0.270062,5363.108730444,5363.108730444,152,212800,0.000000
136,0.272062,5363.110731282,5363.110731282,153,214200,0.000000
137,0.274068,5363.112736372,5363.112736372,154,215600,0.000000
138,0.276069,5363.114737505,5363.114737505,155,217000,0.000000
139,0.278070,5363.116738942,5363.116738942,156,218400,0.000000
140,0.280063,5363.118732090,5363.118732090,157,219800,0.000000
141,0.282022,5363.120691297,5363.120691297,159,222600,0.000000
142,0.284062,5363.122730470,5363.122730470,160,224000,0.000000
143,0.286064,5363.124732425,5363.124732425,161,225400,0.000000
