sample_index,sampler_id,timestamp_s,monotonic_s,sample_t_mono,link,rho,throughput_mbps,tx_bytes_delta,dt_s,rx_bytes_delta,rho_rx,read_duration_us
0,0,0.200216,5362.869366501,5362.869366501,uA,0.81480382,6.51843059,162946,0.19998188,162946,0.81480382,234.1
0,0,0.200216,5362.869366501,5362.869366501,uB,0.82682158,4.96092947,124012,0.19998188,124012,0.82682158,234.1
0,0,0.200216,5362.869366501,5362.869366501,ac,0.93257783,5.59546696,139874,0.19998188,139874,0.93257783,234.1
0,0,0.200216,5362.869366501,5362.869366501,ad,0.93738493,3.74953972,93730,0.19998188,93730,0.93738493,234.1
0,0,0.200216,5362.869366501,5362.869366501,bc,0.91334942,5.48009651,136990,0.19998188,136990,0.91334942,234.1
0,0,0.200216,5362.869366501,5362.869366501,bd,0.21211255,1.27267531,31814,0.19998188,31814,0.21211255,234.1
0,0,0.200216,5362.869366501,5362.869366501,vC,0.11617053,0.92936420,23232,0.19998188,23232,0.11617053,234.1
0,0,0.200216,5362.869366501,5362.869366501,vD,0.06729943,0.40379658,10094,0.19998188,10094,0.06729943,234.1
1,0,0.400211,5363.069361207,5363.069361207,uA,0.81555159,6.52441270,163106,0.19999471,163106,0.81555159,220.7
1,0,0.400211,5363.069361207,5363.069361207,uB,0.83638214,5.01829283,125454,0.19999471,125454,0.83638214,220.7
1,0,0.400211,5363.069361207,5363.069361207,ac,0.94213160,5.65278963,141316,0.19999471,141316,0.94213160,220.7
1,0,0.400211,5363.069361207,5363.069361207,ad,0.95174519,3.80698077,95172,0.19999471,95172,0.95174519,220.7
1,0,0.400211,5363.069361207,5363.069361207,bc,0.93251802,5.59510810,139874,0.19999471,139874,0.93251802,220.7
1,0,0.400211,5363.069361207,5363.069361207,bd,0.94213160,5.65278963,141316,0.19999471,141316,0.94213160,220.7
1,0,0.400211,5363.069361207,5363.069361207,vC,0.80754138,6.46033100,161504,0.19999471,161504,0.80754138,220.7
1,0,0.400211,5363.069361207,5363.069361207,vD,0.84599573,5.07597436,126896,0.19999471,126896,0.84599573,220.7
2,0,0.600194,5363.269344768,5363.269344768,uA,0.81479697,6.51837578,162946,0.19998356,162946,0.81479697,219.2
2,0,0.600194,5363.269344768,5363.269344768,uB,0.83642875,5.01857250,125454,0.19998356,125454,0.83642875,219.2
2,0,0.600194,5363.269344768,5363.269344768,ac,0.93256999,5.59541992,139874,0.19998356,139874,0.93256999,219.2
2,0,0.600194,5363.269344768,5363.269344768,ad,0.95179823,3.80719293,95172,0.19998356,95172,0.95179823,219.2
2,0,0.600194,5363.269344768,5363.269344768,bc,0.93256999,5.59541992,139874,0.19998356,139874,0.93256999,219.2
2,0,0.600194,5363.269344768,5363.269344768,bd,0.94218411,5.65310466,141316,0.19998356,141316,0.94218411,219.2
2,0,0.600194,5363.269344768,5363.269344768,vC,0.81479697,6.51837578,162946,0.19998356,162946,0.81479697,219.2
2,0,0.600194,5363.269344768,5363.269344768,vD,0.84604287,5.07625724,126896,0.19998356,126896,0.84604287,219.2
3,0,0.800230,5363.469380252,5363.469380252,uA,0.81458547,6.51668379,162946,0.20003548,162946,0.81458547,226.6
3,0,0.800230,5363.469380252,5363.469380252,uB,0.83621164,5.01726982,125454,0.20003548,125454,0.83621164,226.6
3,0,0.800230,5363.469380252,5363.469380252,ac,0.94193955,5.65163727,141316,0.20003548,141316,0.94193955,226.6
3,0,0.800230,5363.469380252,5363.469380252,ad,0.93713373,3.74853493,93730,0.20003548,93730,0.93713373,226.6
3,0,0.800230,5363.469380252,5363.469380252,bc,0.93232792,5.59396750,139874,0.20003548,139874,0.93232792,226.6
3,0,0.800230,5363.469380252,5363.469380252,bd,0.94193955,5.65163727,141316,0.20003548,141316,0.94193955,226.6
3,0,0.800230,5363.469380252,5363.469380252,vC,0.81503539,6.52028316,163036,0.20003548,163036,0.81503539,226.6
3,0,0.800230,5363.469380252,5363.469380252,vD,0.83621164,5.01726982,125454,0.20003548,125454,0.83621164,226.6
4,0,1.000202,5363.669352609,5363.669352609,uA,0.80763163,6.46105303,161504,0.19997236,161504,0.80763163,219.4
4,0,1.000202,5363.669352609,5363.669352609,uB,0.82686095,4.96116572,124012,0.19997236,124012,0.82686095,219.4
4,0,1.000202,5363.669352609,5363.669352609,ac,0.93262224,5.59573343,139874,0.19997236,139874,0.93262224,219.4
4,0,1.000202,5363.669352609,5363.669352609,ad,0.95185156,3.80740625,95172,0.19997236,95172,0.95185156,219.4
4,0,1.000202,5363.669352609,5363.669352609,bc,0.93262224,5.59573343,139874,0.19997236,139874,0.93262224,219.4
4,0,1.000202,5363.669352609,5363.669352609,bd,0.94223690,5.65342140,141316,0.19997236,141316,0.94223690,219.4
4,0,1.000202,5363.669352609,5363.669352609,vC,0.81484263,6.51874100,162946,0.19997236,162946,0.81484263,219.4
4,0,1.000202,5363.669352609,5363.669352609,vD,0.84609028,5.07654167,126896,0.19997236,126896,0.84609028,219.4
5,0,1.200162,5363.869312974,5363.869312974,uA,0.81489149,6.51913190,162946,0.19996037,162946,0.81489149,200.5
5,0,1.200162,5363.869312974,5363.869312974,uB,0.83652577,5.01915465,125454,0.19996037,125454,0.83652577,200.5
5,0,1.200162,5363.869312974,5363.869312974,ac,0.94229340,5.65376041,141316,0.19996037,141316,0.94229340,200.5
5,0,1.200162,5363.869312974,5363.869312974,ad,0.95190864,3.80763456,95172,0.19996037,95172,0.95190864,200.5
5,0,1.200162,5363.869312974,5363.869312974,bc,0.93267816,5.59606897,139874,0.19996037,139874,0.93267816,200.5
5,0,1.200162,5363.869312974,5363.869312974,bd,0.94229340,5.65376041,141316,0.19996037,141316,0.94229340,200.5
