sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000108,5677.068343003,5677.068343003,0,0,0.000000
1,0.010071,5677.078306645,5677.078306645,4,5600,0.000000
2,0.020070,5677.088305601,5677.088305601,9,12600,0.000000
3,0.030068,5677.098302978,5677.098302978,14,19600,0.000000
4,0.040065,5677.108300354,5677.108300354,19,26600,0.000000
5,0.056867,5677.125102731,5677.125102731,28,39200,0.000000
6,0.060060,5677.128294955,5677.128294955,29,40600,0.000000
7,0.070060,5677.138295687,5677.138295687,34,47600,0.000000
8,0.081808,5677.150043545,5677.150043545,40,56000,0.000000
9,0.090690,5677.158925648,5677.158925648,44,61600,0.000000
10,0.100059,5677.168294614,5677.168294614,49,68600,0.000000
11,0.110060,5677.178294861,5677.178294861,54,75600,0.000000
12,0.120065,5677.188300051,5677.188300051,59,82600,0.000000
13,0.130356,5677.198591561,5677.198591561,64,89600,0.000000
14,0.140081,5677.208316097,5677.208316097,69,96600,0.000000
15,0.150070,5677.218305535,5677.218305535,73,102200,0.000000
16,0.160109,5677.228344032,5677.228344032,78,109200,0.000000
17,0.170067,5677.238302516,5677.238302516,83,116200,0.000000
18,0.180067,5677.248302622,5677.248302622,88,123200,0.000000
19,0.190066,5677.258301659,5677.258301659,93,130200,0.000000
20,0.200040,5677.268275321,5677.268275321,98,137200,0.000000
21,0.210067,5677.278302805,5677.278302805,103,144200,0.000000
22,0.220054,5677.288289149,5677.288289149,108,151200,0.000000
23,0.230047,5677.298282430,5677.298282430,113,158200,0.000000
24,0.240062,5677.308297645,5677.308297645,118,165200,0.000000
25,0.250063,5677.318298795,5677.318298795,123,172200,0.000000
26,0.260061,5677.328296530,5677.328296530,128,179200,0.000000
27,0.270049,5677.338284261,5677.338284261,133,186200,0.000000
28,0.280069,5677.348304792,5677.348304792,138,193200,0.000000
29,0.290067,5677.358302472,5677.358302472,142,198800,0.000000
30,0.300065,5677.368300311,5677.368300311,147,205800,0.000000
31,0.310065,5677.378300501,5677.378300501,152,212800,0.000000
32,0.320060,5677.388295688,5677.388295688,157,219800,0.000000
33,0.330065,5677.398300051,5677.398300051,162,226800,0.000000
34,0.340163,5677.408398272,5677.408398272,167,233800,0.000000
35,0.350059,5677.418294520,5677.418294520,172,240800,0.000000
36,0.360058,5677.428293695,5677.428293695,177,247800,0.000000
37,0.370058,5677.438293619,5677.438293619,182,254800,0.000000
38,0.380865,5677.449100374,5677.449100374,187,261800,0.000000
39,0.390071,5677.458306003,5677.458306003,192,268800,0.000000
40,0.400122,5677.468357377,5677.468357377,197,275800,0.000000
41,0.411835,5677.480070782,5677.480070782,202,282800,0.000000
42,0.420078,5677.488313316,5677.488313316,207,289800,0.000000
43,0.430064,5677.498299273,5677.498299273,211,295400,0.000000
44,0.440060,5677.508295756,5677.508295756,216,302400,0.000000
45,0.450066,5677.518301517,5677.518301517,221,309400,0.000000
46,0.460045,5677.528280475,5677.528280475,226,316400,0.000000
47,0.470047,5677.538282834,5677.538282834,231,323400,0.000000
48,0.480037,5677.548271852,5677.548271852,236,330400,0.000000
49,0.490068,5677.558303548,5677.558303548,241,337400,0.000000
50,0.500066,5677.568301749,5677.568301749,246,344400,0.000000
51,0.510067,5677.578302113,5677.578302113,251,351400,0.000000
52,0.520060,5677.588295404,5677.588295404,256,358400,0.000000
53,0.530061,5677.598296540,5677.598296540,261,365400,0.000000
54,0.540069,5677.608303890,5677.608303890,266,372400,0.000000
55,0.550042,5677.618277811,5677.618277811,271,379400,0.000000
56,0.560084,5677.628318851,5677.628318851,276,386400,0.000000
57,0.570078,5677.638313649,5677.638313649,280,392000,0.000000
58,0.580076,5677.648311590,5677.648311590,285,399000,0.000000
59,0.590070,5677.658305566,5677.658305566,290,406000,0.000000
60,0.600051,5677.668286499,5677.668286499,295,413000,0.000000
61,0.610071,5677.678306570,5677.678306570,300,420000,0.000000
62,0.620041,5677.688276611,5677.688276611,305,427000,0.000000
63,0.630026,5677.698261221,5677.698261221,310,434000,0.000000
64,0.640071,5677.708306633,5677.708306633,315,441000,0.000000
65,0.650077,5677.718312622,5677.718312622,320,448000,0.000000
66,0.660072,5677.728307762,5677.728307762,325,455000,0.000000
67,0.670064,5677.738299618,5677.738299618,330,462000,0.000000
68,0.680062,5677.748297715,5677.748297715,335,469000,0.000000
