sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000101,5677.141901376,5677.141901376,0,0,0.000000
1,0.010060,5677.151860255,5677.151860255,3,4200,0.000000
2,0.020059,5677.161859984,5677.161859984,6,8400,0.000000
3,0.030060,5677.171860661,5677.171860661,9,12600,0.000000
4,0.040068,5677.181868967,5677.181868967,13,18200,0.000000
5,0.050060,5677.191860590,5677.191860590,16,22400,0.000000
6,0.060062,5677.201863123,5677.201863123,19,26600,0.000000
7,0.070058,5677.211859033,5677.211859033,23,32200,0.000000
8,0.080059,5677.221859736,5677.221859736,26,36400,0.000000
9,0.090064,5677.231864914,5677.231864914,29,40600,0.000000
10,0.100062,5677.241862625,5677.241862625,33,46200,0.000000
11,0.110069,5677.251869797,5677.251869797,36,50400,0.000000
12,0.120066,5677.261866324,5677.261866324,39,54600,0.000000
13,0.130059,5677.271859657,5677.271859657,43,60200,0.000000
14,0.140065,5677.281865626,5677.281865626,46,64400,0.000000
15,0.150072,5677.291872263,5677.291872263,49,68600,0.000000
16,0.160064,5677.301864743,5677.301864743,53,74200,0.000000
17,0.170072,5677.311872288,5677.311872288,56,78400,0.000000
18,0.180088,5677.321888772,5677.321888772,59,82600,0.000000
19,0.190022,5677.331822947,5677.331822947,63,88200,0.000000
20,0.200070,5677.341870346,5677.341870346,66,92400,0.000000
21,0.210135,5677.351936086,5677.351936086,69,96600,0.000000
22,0.220059,5677.361859880,5677.361859880,73,102200,0.000000
23,0.232262,5677.374062414,5677.374062414,77,107800,0.000000
24,0.240060,5677.381860306,5677.381860306,79,110600,0.000000
25,0.250082,5677.391882979,5677.391882979,83,116200,0.000000
26,0.260064,5677.401864873,5677.401864873,86,120400,0.000000
27,0.270073,5677.411873786,5677.411873786,89,124600,0.000000
28,0.280091,5677.421892204,5677.421892204,93,130200,0.000000
29,0.290070,5677.431870445,5677.431870445,96,134400,0.000000
30,0.300074,5677.441874599,5677.441874599,99,138600,0.000000
31,0.310073,5677.451873973,5677.451873973,102,142800,0.000000
32,0.320068,5677.461868272,5677.461868272,106,148400,0.000000
33,0.330064,5677.471864745,5677.471864745,109,152600,0.000000
34,0.340081,5677.481881786,5677.481881786,112,156800,0.000000
35,0.350075,5677.491875900,5677.491875900,116,162400,0.000000
36,0.360068,5677.501869025,5677.501869025,119,166600,0.000000
37,0.370068,5677.511869000,5677.511869000,122,170800,0.000000
38,0.380068,5677.521868313,5677.521868313,126,176400,0.000000
39,0.390064,5677.531865172,5677.531865172,129,180600,0.000000
40,0.400073,5677.541873411,5677.541873411,132,184800,0.000000
41,0.410067,5677.551867961,5677.551867961,136,190400,0.000000
42,0.420080,5677.561880456,5677.561880456,139,194600,0.000000
43,0.430066,5677.571866432,5677.571866432,142,198800,0.000000
44,0.440058,5677.581858882,5677.581858882,146,204400,0.000000
45,0.450032,5677.591833066,5677.591833066,149,208600,0.000000
46,0.460068,5677.601868563,5677.601868563,152,212800,0.000000
47,0.470060,5677.611860250,5677.611860250,156,218400,0.000000
48,0.480067,5677.621867299,5677.621867299,159,222600,0.000000
49,0.490066,5677.631866248,5677.631866248,162,226800,0.000000
50,0.500069,5677.641869375,5677.641869375,166,232400,0.000000
51,0.510028,5677.651828713,5677.651828713,169,236600,0.000000
52,0.520067,5677.661867857,5677.661867857,172,240800,0.000000
53,0.530070,5677.671870423,5677.671870423,176,246400,0.000000
54,0.540059,5677.681859729,5677.681859729,179,250600,0.000000
55,0.550034,5677.691834330,5677.691834330,182,254800,0.000000
56,0.560094,5677.701894521,5677.701894521,186,260400,0.000000
57,0.570059,5677.711859802,5677.711859802,189,264600,0.000000
58,0.580070,5677.721870359,5677.721870359,192,268800,0.000000
59,0.590029,5677.731830046,5677.731830046,195,273000,0.000000
60,0.600065,5677.741865902,5677.741865902,199,278600,0.000000
61,0.610061,5677.751861392,5677.751861392,202,282800,0.000000
62,0.620061,5677.761861876,5677.761861876,205,287000,0.000000
63,0.630059,5677.771860025,5677.771860025,209,292600,0.000000
64,0.640059,5677.781859249,5677.781859249,212,296800,0.000000
65,0.650030,5677.791830590,5677.791830590,215,301000,0.000000
66,0.660062,5677.801862551,5677.801862551,219,306600,0.000000
67,0.670082,5677.811882593,5677.811882593,222,310800,0.000000
68,0.680065,5677.821866032,5677.821866032,225,315000,0.000000
69,0.690065,5677.831866030,5677.831866030,229,320600,0.000000
70,0.700065,5677.841865441,5677.841865441,232,324800,0.000000
71,0.710067,5677.851867905,5677.851867905,235,329000,0.000000
72,0.720062,5677.861862715,5677.861862715,239,334600,0.000000
73,0.730068,5677.871869055,5677.871869055,242,338800,0.000000
74,0.740064,5677.881865195,5677.881865195,245,343000,0.000000
75,0.750058,5677.891859143,5677.891859143,249,348600,0.000000
76,0.760043,5677.901843690,5677.901843690,252,352800,0.000000
77,0.770063,5677.911863799,5677.911863799,255,357000,0.000000
78,0.780058,5677.921858373,5677.921858373,259,362600,0.000000
79,0.790061,5677.931861601,5677.931861601,262,366800,0.000000
80,0.800073,5677.941873971,5677.941873971,265,371000,0.000000
81,0.810064,5677.951865228,5677.951865228,269,376600,0.000000
82,0.820067,5677.961867958,5677.961867958,272,380800,0.000000
83,0.830070,5677.971870506,5677.971870506,275,385000,0.000000
84,0.840080,5677.981880307,5677.981880307,279,390600,0.000000
85,0.850068,5677.991869032,5677.991869032,282,394800,0.000000
86,0.860067,5678.001867690,5678.001867690,285,399000,0.000000
87,0.870072,5678.011872624,5678.011872624,288,403200,0.000000
88,0.880066,5678.021866474,5678.021866474,292,408800,0.000000
89,0.890067,5678.031867529,5678.031867529,295,413000,0.000000
90,0.900072,5678.041872780,5678.041872780,298,417200,0.000000
91,0.910065,5678.051865357,5678.051865357,302,422800,0.000000
92,0.920065,5678.061865428,5678.061865428,305,427000,0.000000
93,0.930068,5678.071868483,5678.071868483,308,431200,0.000000
94,0.940070,5678.081870933,5678.081870933,312,436800,0.000000
95,0.950063,5678.091863821,5678.091863821,315,441000,0.000000
96,0.960068,5678.101868461,5678.101868461,318,445200,0.000000
97,0.970065,5678.111865502,5678.111865502,322,450800,0.000000
98,0.980066,5678.121866678,5678.121866678,325,455000,0.000000
99,0.990071,5678.131871660,5678.131871660,328,459200,0.000000
100,1.000062,5678.141862884,5678.141862884,332,464800,0.000000
101,1.010063,5678.151863375,5678.151863375,335,469000,0.000000
102,1.020065,5678.161865639,5678.161865639,338,473200,0.000000
103,1.030058,5678.171859211,5678.171859211,342,478800,0.000000
104,1.040066,5678.181866856,5678.181866856,345,483000,0.000000
