sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000103,5677.247078715,5677.247078715,0,0,0.000000
1,0.010048,5677.257024284,5677.257024284,4,5600,0.000000
2,0.020035,5677.267010834,5677.267010834,9,12600,0.000000
3,0.030034,5677.277010140,5677.277010140,14,19600,0.000000
4,0.040036,5677.287011972,5677.287011972,19,26600,0.000000
5,0.050037,5677.297012908,5677.297012908,24,33600,0.000000
6,0.060035,5677.307010966,5677.307010966,29,40600,0.000000
7,0.070040,5677.317015592,5677.317015592,34,47600,0.000000
8,0.080088,5677.327063608,5677.327063608,39,54600,0.000000
9,0.090033,5677.337009010,5677.337009010,44,61600,0.000000
10,0.100015,5677.346991412,5677.346991412,49,68600,0.000000
11,0.110036,5677.357011597,5677.357011597,53,74200,0.000000
12,0.120034,5677.367009949,5677.367009949,58,81200,0.000000
13,0.130049,5677.377025314,5677.377025314,63,88200,0.000000
14,0.140034,5677.387010516,5677.387010516,68,95200,0.000000
15,0.150037,5677.397013082,5677.397013082,73,102200,0.000000
16,0.160047,5677.407023485,5677.407023485,78,109200,0.000000
17,0.170109,5677.417085296,5677.417085296,83,116200,0.000000
18,0.180038,5677.427013657,5677.427013657,88,123200,0.000000
19,0.190037,5677.437013129,5677.437013129,93,130200,0.000000
20,0.200009,5677.446985448,5677.446985448,98,137200,0.000000
21,0.210045,5677.457021356,5677.457021356,102,142800,0.000000
22,0.220122,5677.467097747,5677.467097747,107,149800,0.000000
23,0.230071,5677.477046988,5677.477046988,112,156800,0.000000
24,0.240057,5677.487032874,5677.487032874,117,163800,0.000000
25,0.250057,5677.497033436,5677.497033436,122,170800,0.000000
26,0.260040,5677.507015878,5677.507015878,127,177800,0.000000
27,0.270040,5677.517015897,5677.517015897,132,184800,0.000000
28,0.280059,5677.527035428,5677.527035428,137,191800,0.000000
29,0.290047,5677.537022879,5677.537022879,142,198800,0.000000
30,0.300047,5677.547023122,5677.547023122,147,205800,0.000000
31,0.310037,5677.557012614,5677.557012614,151,211400,0.000000
32,0.320044,5677.567019824,5677.567019824,156,218400,0.000000
33,0.330041,5677.577016887,5677.577016887,161,225400,0.000000
34,0.340038,5677.587014012,5677.587014012,166,232400,0.000000
35,0.350041,5677.597017378,5677.597017378,171,239400,0.000000
36,0.360050,5677.607025916,5677.607025916,176,246400,0.000000
37,0.370035,5677.617011256,5677.617011256,181,253400,0.000000
38,0.380038,5677.627014469,5677.627014469,186,260400,0.000000
39,0.390042,5677.637018164,5677.637018164,191,267400,0.000000
40,0.400048,5677.647024017,5677.647024017,196,274400,0.000000
41,0.410081,5677.657057510,5677.657057510,201,281400,0.000000
42,0.420045,5677.667020543,5677.667020543,205,287000,0.000000
43,0.430064,5677.677040004,5677.677040004,210,294000,0.000000
44,0.440038,5677.687013621,5677.687013621,215,301000,0.000000
45,0.450046,5677.697021569,5677.697021569,220,308000,0.000000
46,0.460050,5677.707025704,5677.707025704,225,315000,0.000000
47,0.470040,5677.717015744,5677.717015744,230,322000,0.000000
48,0.480045,5677.727020570,5677.727020570,235,329000,0.000000
49,0.490055,5677.737031389,5677.737031389,240,336000,0.000000
50,0.500036,5677.747012254,5677.747012254,245,343000,0.000000
51,0.510053,5677.757028757,5677.757028757,250,350000,0.000000
52,0.520037,5677.767013425,5677.767013425,254,355600,0.000000
53,0.530051,5677.777026844,5677.777026844,259,362600,0.000000
54,0.540044,5677.787020149,5677.787020149,264,369600,0.000000
55,0.550068,5677.797044218,5677.797044218,269,376600,0.000000
56,0.560063,5677.807039142,5677.807039142,274,383600,0.000000
57,0.570046,5677.817022214,5677.817022214,279,390600,0.000000
58,0.580046,5677.827021541,5677.827021541,284,397600,0.000000
59,0.590042,5677.837018106,5677.837018106,289,404600,0.000000
60,0.600038,5677.847013765,5677.847013765,294,411600,0.000000
61,0.610050,5677.857025952,5677.857025952,299,418600,0.000000
62,0.620041,5677.867017496,5677.867017496,303,424200,0.000000
63,0.630046,5677.877021574,5677.877021574,308,431200,0.000000
64,0.640037,5677.887013115,5677.887013115,313,438200,0.000000
65,0.650059,5677.897035178,5677.897035178,318,445200,0.000000
66,0.660071,5677.907046819,5677.907046819,323,452200,0.000000
67,0.670048,5677.917024166,5677.917024166,328,459200,0.000000
68,0.680060,5677.927036118,5677.927036118,333,466200,0.000000
69,0.690060,5677.937036447,5677.937036447,338,473200,0.000000
70,0.700035,5677.947011295,5677.947011295,343,480200,0.000000
71,0.710018,5677.956993957,5677.956993957,348,487200,0.000000
72,0.720042,5677.967018446,5677.967018446,352,492800,0.000000
73,0.730053,5677.977028937,5677.977028937,357,499800,0.000000
74,0.740045,5677.987021076,5677.987021076,362,506800,0.000000
75,0.750073,5677.997048697,5677.997048697,367,513800,0.000000
76,0.760044,5678.007020142,5678.007020142,372,520800,0.000000
77,0.770043,5678.017019078,5678.017019078,377,527800,0.000000
78,0.780052,5678.027028027,5678.027028027,382,534800,0.000000
79,0.790047,5678.037022915,5678.037022915,387,541800,0.000000
80,0.800035,5678.047011194,5678.047011194,392,548800,0.000000
81,0.810033,5678.057008799,5678.057008799,397,555800,0.000000
82,0.820051,5678.067027353,5678.067027353,401,561400,0.000000
83,0.830044,5678.077019542,5678.077019542,406,568400,0.000000
84,0.840042,5678.087018347,5678.087018347,411,575400,0.000000
85,0.850058,5678.097034093,5678.097034093,416,582400,0.000000
86,0.860045,5678.107021409,5678.107021409,421,589400,0.000000
87,0.870041,5678.117017278,5678.117017278,426,596400,0.000000
88,0.880042,5678.127017701,5678.127017701,431,603400,0.000000
89,0.890042,5678.137017914,5678.137017914,436,610400,0.000000
90,0.900048,5678.147023619,5678.147023619,441,617400,0.000000
91,0.910043,5678.157018608,5678.157018608,446,624400,0.000000
92,0.920074,5678.167050374,5678.167050374,450,630000,0.002040
93,0.930040,5678.177015879,5678.177015879,455,637000,0.000000
94,0.940074,5678.187050160,5678.187050160,460,644000,0.000000
95,0.950072,5678.197048458,5678.197048458,465,651000,0.000000
96,0.960042,5678.207018020,5678.207018020,470,658000,0.000000
