sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000097,5676.844281220,5676.844281220,0,0,0.000000
1,0.010060,5676.854244122,5676.854244122,5,7000,0.000000
2,0.020058,5676.864242261,5676.864242261,11,15400,0.000000
3,0.030059,5676.874242578,5676.874242578,17,23800,0.000000
4,0.040058,5676.884242287,5676.884242287,22,30800,0.000000
5,0.050058,5676.894242077,5676.894242077,28,39200,0.000000
6,0.060110,5676.904294382,5676.904294382,34,47600,0.000000
7,0.070071,5676.914255133,5676.914255133,40,56000,0.000000
8,0.080128,5676.924312330,5676.924312330,45,63000,0.000000
9,0.090063,5676.934247211,5676.934247211,51,71400,0.000000
10,0.100062,5676.944246069,5676.944246069,57,79800,0.000000
11,0.110063,5676.954247007,5676.954247007,62,86800,0.000000
12,0.120060,5676.964243957,5676.964243957,68,95200,0.000000
13,0.130062,5676.974245905,5676.974245905,74,103600,0.000000
14,0.141048,5676.985231817,5676.985231817,80,112000,0.000000
15,0.151128,5676.995311984,5676.995311984,86,120400,0.000000
16,0.160070,5677.004253651,5677.004253651,91,127400,0.000000
17,0.170062,5677.014245924,5677.014245924,97,135800,0.000000
18,0.180065,5677.024249450,5677.024249450,102,142800,0.000000
19,0.190064,5677.034247912,5677.034247912,108,151200,0.000000
20,0.200065,5677.044249214,5677.044249214,114,159600,0.000000
21,0.210079,5677.054263050,5677.054263050,120,168000,0.000000
22,0.220068,5677.064251590,5677.064251590,125,175000,0.000000
23,0.230068,5677.074251495,5677.074251495,131,183400,0.000000
24,0.240065,5677.084249055,5677.084249055,137,191800,0.000000
25,0.250068,5677.094252388,5677.094252388,142,198800,0.000000
26,0.260063,5677.104246656,5677.104246656,148,207200,0.000000
27,0.270080,5677.114264185,5677.114264185,154,215600,0.000000
28,0.280070,5677.124253566,5677.124253566,160,224000,0.000000
29,0.290067,5677.134251350,5677.134251350,165,231000,0.000000
30,0.300060,5677.144244127,5677.144244127,171,239400,0.000000
31,0.310773,5677.154957251,5677.154957251,177,247800,0.000000
32,0.320061,5677.164244944,5677.164244944,182,254800,0.000000
33,0.330070,5677.174253760,5677.174253760,188,263200,0.000000
34,0.340075,5677.184258982,5677.184258982,194,271600,0.000000
35,0.350070,5677.194253654,5677.194253654,200,280000,0.000000
36,0.360060,5677.204243933,5677.204243933,205,287000,0.000000
37,0.370063,5677.214246958,5677.214246958,211,295400,0.000000
38,0.380064,5677.224247918,5677.224247918,217,303800,0.000000
39,0.390068,5677.234251802,5677.234251802,222,310800,0.000000
40,0.400068,5677.244251713,5677.244251713,228,319200,0.000000
41,0.410045,5677.254229061,5677.254229061,234,327600,0.000000
42,0.420090,5677.264273926,5677.264273926,240,336000,0.000000
43,0.430072,5677.274255753,5677.274255753,245,343000,0.000000
44,0.440062,5677.284245714,5677.284245714,251,351400,0.000000
45,0.451904,5677.296088133,5677.296088133,258,361200,0.000000
46,0.460059,5677.304243444,5677.304243444,262,366800,0.000000
47,0.470059,5677.314243202,5677.314243202,268,375200,0.000000
48,0.480059,5677.324242855,5677.324242855,274,383600,0.000000
49,0.490068,5677.334252302,5677.334252302,280,392000,0.000000
50,0.500060,5677.344244238,5677.344244238,285,399000,0.000000
51,0.510060,5677.354244196,5677.354244196,291,407400,0.000000
52,0.520065,5677.364248522,5677.364248522,297,415800,0.000000
53,0.530060,5677.374243609,5677.374243609,302,422800,0.000000
54,0.540060,5677.384244142,5677.384244142,308,431200,0.000000
55,0.550056,5677.394239837,5677.394239837,314,439600,0.000000
56,0.560074,5677.404258448,5677.404258448,320,448000,0.000000
57,0.570046,5677.414229591,5677.414229591,325,455000,0.000000
58,0.580132,5677.424316049,5677.424316049,331,463400,0.000000
59,0.590063,5677.434246735,5677.434246735,337,471800,0.000000
60,0.600068,5677.444251715,5677.444251715,342,478800,0.000000
61,0.610068,5677.454251476,5677.454251476,348,487200,0.000000
62,0.620033,5677.464217083,5677.464217083,354,495600,0.000000
63,0.630069,5677.474252466,5677.474252466,360,504000,0.000000
64,0.640052,5677.484236344,5677.484236344,365,511000,0.000000
65,0.650064,5677.494247787,5677.494247787,371,519400,0.000000
66,0.660068,5677.504251937,5677.504251937,377,527800,0.000000
67,0.670074,5677.514257600,5677.514257600,382,534800,0.000000
68,0.680078,5677.524262158,5677.524262158,388,543200,0.000000
69,0.690076,5677.534259944,5677.534259944,394,551600,0.000000
70,0.700071,5677.544254889,5677.544254889,400,560000,0.000000
71,0.710060,5677.554244397,5677.554244397,405,567000,0.000000
72,0.720064,5677.564248032,5677.564248032,411,575400,0.000000
73,0.730062,5677.574245916,5677.574245916,417,583800,0.000000
74,0.740065,5677.584249283,5677.584249283,422,590800,0.000000
75,0.750069,5677.594253441,5677.594253441,428,599200,0.000000
76,0.760067,5677.604251213,5677.604251213,434,607600,0.000000
77,0.770040,5677.614223683,5677.614223683,440,616000,0.000000
78,0.780064,5677.624247799,5677.624247799,445,623000,0.000000
79,0.790063,5677.634246773,5677.634246773,451,631400,0.000000
80,0.800079,5677.644263278,5677.644263278,457,639800,0.000000
81,0.810069,5677.654253098,5677.654253098,462,646800,0.000000
82,0.820063,5677.664247036,5677.664247036,468,655200,0.000000
83,0.830058,5677.674242142,5677.674242142,474,663600,0.000000
84,0.840074,5677.684258367,5677.684258367,480,672000,0.000000
85,0.850063,5677.694246802,5677.694246802,485,679000,0.000000
86,0.860069,5677.704253278,5677.704253278,491,687400,0.000000
87,0.870063,5677.714246756,5677.714246756,497,695800,0.000000
88,0.880069,5677.724253447,5677.724253447,502,702800,0.000000
89,0.890066,5677.734250315,5677.734250315,508,711200,0.000000
90,0.900065,5677.744248911,5677.744248911,514,719600,0.000000
91,0.910080,5677.754263679,5677.754263679,520,728000,0.000000
92,0.920066,5677.764249538,5677.764249538,525,735000,0.000000
93,0.930076,5677.774259996,5677.774259996,531,743400,0.000000
94,0.940062,5677.784246083,5677.784246083,537,751800,0.000000
95,0.950064,5677.794247942,5677.794247942,542,758800,0.000000
96,0.960058,5677.804242157,5677.804242157,548,767200,0.000000
97,0.970072,5677.814255582,5677.814255582,554,775600,0.000000
98,0.980071,5677.824254714,5677.824254714,560,784000,0.000000
99,0.990065,5677.834249334,5677.834249334,565,791000,0.000000
100,1.000066,5677.844249727,5677.844249727,571,799400,0.000000
101,1.010062,5677.854245793,5677.854245793,577,807800,0.000000
102,1.020067,5677.864251369,5677.864251369,582,814800,0.000000
103,1.030067,5677.874250636,5677.874250636,588,823200,0.000000
104,1.040063,5677.884247279,5677.884247279,594,831600,0.000000
105,1.050073,5677.894257238,5677.894257238,600,840000,0.000000
106,1.060070,5677.904253774,5677.904253774,605,847000,0.000000
107,1.070066,5677.914249462,5677.914249462,611,855400,0.000000
108,1.080062,5677.924245912,5677.924245912,617,863800,0.000000
109,1.090066,5677.934249687,5677.934249687,622,870800,0.000000
110,1.100066,5677.944250325,5677.944250325,628,879200,0.000000
111,1.110064,5677.954247871,5677.954247871,634,887600,0.000000
112,1.120076,5677.964260408,5677.964260408,640,896000,0.000000
113,1.130071,5677.974254721,5677.974254721,645,903000,0.000000
114,1.140067,5677.984251353,5677.984251353,651,911400,0.000000
115,1.150063,5677.994246536,5677.994246536,657,919800,0.000000
116,1.160066,5678.004250319,5678.004250319,662,926800,0.000000
117,1.170066,5678.014250012,5678.014250012,668,935200,0.000000
118,1.180068,5678.024251947,5678.024251947,674,943600,0.000000
119,1.190088,5678.034272253,5678.034272253,680,952000,0.000000
120,1.200082,5678.044265646,5678.044265646,685,959000,0.000000
121,1.210066,5678.054249621,5678.054249621,691,967400,0.000000
122,1.220065,5678.064249263,5678.064249263,697,975800,0.000000
123,1.230067,5678.074250557,5678.074250557,702,982800,0.000000
124,1.240064,5678.084248051,5678.084248051,708,991200,0.000000
125,1.250063,5678.094247350,5678.094247350,714,999600,0.000000
126,1.260077,5678.104261248,5678.104261248,720,1008000,0.000000
127,1.270064,5678.114248335,5678.114248335,725,1015000,0.000000
128,1.280072,5678.124255730,5678.124255730,731,1023400,0.000000
129,1.290058,5678.134242155,5678.134242155,737,1031800,0.000000
130,1.300077,5678.144260898,5678.144260898,742,1038800,0.000000
131,1.310066,5678.154250096,5678.154250096,748,1047200,0.000000
132,1.320070,5678.164253730,5678.164253730,754,1055600,0.000000
133,1.330081,5678.174264731,5678.174264731,760,1064000,0.000000
134,1.340105,5678.184289243,5678.184289243,765,1071000,0.000000
135,1.350065,5678.194248560,5678.194248560,771,1079400,0.000000
136,1.360070,5678.204253598,5678.204253598,777,1087800,0.000000
137,1.370064,5678.214248027,5678.214248027,782,1094800,0.000000
138,1.380067,5678.224250484,5678.224250484,788,1103200,0.000000
139,1.390088,5678.234272271,5678.234272271,794,1111600,0.000000
140,1.400056,5678.244239646,5678.244239646,800,1120000,0.000000
141,1.410064,5678.254247645,5678.254247645,805,1127000,0.000000
142,1.420065,5678.264248683,5678.264248683,811,1135400,0.000000
143,1.430062,5678.274246006,5678.274246006,817,1143800,0.000000
144,1.440064,5678.284248229,5678.284248229,822,1150800,0.000000
145,1.450066,5678.294250303,5678.294250303,828,1159200,0.000000
146,1.460062,5678.304246344,5678.304246344,834,1167600,0.000000
147,1.470068,5678.314252429,5678.314252429,840,1176000,0.000000
148,1.480067,5678.324250740,5678.324250740,845,1183000,0.000000
149,1.490063,5678.334247078,5678.334247078,851,1191400,0.000000
150,1.500063,5678.344247390,5678.344247390,857,1199800,0.000000
151,1.510067,5678.354251149,5678.354251149,862,1206800,0.000000
152,1.520059,5678.364243154,5678.364243154,868,1215200,0.000000
153,1.530060,5678.374244382,5678.374244382,874,1223600,0.000000
154,1.540075,5678.384259032,5678.384259032,880,1232000,0.000000
155,1.550063,5678.394247241,5678.394247241,885,1239000,0.000000
156,1.560060,5678.404243557,5678.404243557,891,1247400,0.000000
157,1.570049,5678.414233199,5678.414233199,897,1255800,0.000000
158,1.580069,5678.424252833,5678.424252833,902,1262800,0.000000
159,1.590065,5678.434249045,5678.434249045,908,1271200,0.000000
160,1.600064,5678.444247848,5678.444247848,914,1279600,0.000000
161,1.610074,5678.454258282,5678.454258282,920,1288000,0.000000
162,1.620066,5678.464249675,5678.464249675,925,1295000,0.000000
163,1.630065,5678.474248844,5678.474248844,931,1303400,0.000000
164,1.640062,5678.484246038,5678.484246038,937,1311800,0.000000
165,1.650072,5678.494255695,5678.494255695,942,1318800,0.000000
166,1.660065,5678.504249004,5678.504249004,948,1327200,0.000000
167,1.670069,5678.514252897,5678.514252897,954,1335600,0.000000
168,1.680074,5678.524258206,5678.524258206,960,1344000,0.000000
169,1.690064,5678.534247603,5678.534247603,965,1351000,0.000000
170,1.700063,5678.544247083,5678.544247083,971,1359400,0.000000
171,1.710061,5678.554245331,5678.554245331,977,1367800,0.000000
172,1.720056,5678.564240165,5678.564240165,982,1374800,0.000000
173,1.730084,5678.574268128,5678.574268128,988,1383200,0.000000
174,1.740064,5678.584248284,5678.584248284,994,1391600,0.000000
175,1.750081,5678.594264519,5678.594264519,1000,1400000,0.000000
176,1.760068,5678.604252056,5678.604252056,1005,1407000,0.000000
177,1.770082,5678.614265796,5678.614265796,1011,1415400,0.000000
178,1.780058,5678.624241942,5678.624241942,1017,1423800,0.000000
179,1.790067,5678.634251013,5678.634251013,1022,1430800,0.000000
180,1.800061,5678.644244693,5678.644244693,1028,1439200,0.000000
181,1.810070,5678.654254441,5678.654254441,1034,1447600,0.000000
182,1.820079,5678.664262629,5678.664262629,1040,1456000,0.000000
183,1.830072,5678.674256024,5678.674256024,1045,1463000,0.000000
184,1.840060,5678.684243610,5678.684243610,1051,1471400,0.000000
185,1.850064,5678.694248199,5678.694248199,1057,1479800,0.000000
186,1.860073,5678.704256995,5678.704256995,1062,1486800,0.000000
187,1.870067,5678.714250776,5678.714250776,1068,1495200,0.000000
188,1.880068,5678.724252197,5678.724252197,1074,1503600,0.000000
189,1.890072,5678.734255905,5678.734255905,1080,1512000,0.000000
190,1.900067,5678.744250810,5678.744250810,1085,1519000,0.000000
191,1.910054,5678.754238215,5678.754238215,1091,1527400,0.000000
192,1.920064,5678.764248182,5678.764248182,1097,1535800,0.000000
193,1.930065,5678.774249062,5678.774249062,1102,1542800,0.000000
194,1.940066,5678.784249488,5678.784249488,1108,1551200,0.000000
195,1.950073,5678.794256956,5678.794256956,1114,1559600,0.000000
196,1.960076,5678.804260441,5678.804260441,1120,1568000,0.000000
197,1.970065,5678.814248982,5678.814248982,1125,1575000,0.000000
198,1.980062,5678.824246193,5678.824246193,1131,1583400,0.000000
199,1.990078,5678.834262228,5678.834262228,1137,1591800,0.000000
200,2.000064,5678.844247745,5678.844247745,1142,1598800,0.000000
201,2.010076,5678.854260401,5678.854260401,1148,1607200,0.000000
202,2.020070,5678.864253525,5678.864253525,1154,1615600,0.000000
203,2.030075,5678.874258974,5678.874258974,1160,1624000,0.000000
204,2.040065,5678.884249147,5678.884249147,1165,1631000,0.000000
205,2.050066,5678.894250139,5678.894250139,1171,1639400,0.000000
206,2.060063,5678.904247070,5678.904247070,1177,1647800,0.000000
207,2.070066,5678.914249626,5678.914249626,1182,1654800,0.000000
208,2.080066,5678.924250160,5678.924250160,1188,1663200,0.000000
209,2.090073,5678.934256612,5678.934256612,1194,1671600,0.000000
210,2.100075,5678.944258461,5678.944258461,1200,1680000,0.000000
211,2.110067,5678.954251187,5678.954251187,1205,1687000,0.000000
212,2.120067,5678.964250737,5678.964250737,1211,1695400,0.000000
213,2.130062,5678.974246409,5678.974246409,1217,1703800,0.000000
214,2.140059,5678.984243361,5678.984243361,1222,1710800,0.000000
215,2.150066,5678.994249972,5678.994249972,1228,1719200,0.000000
216,2.160071,5679.004254519,5679.004254519,1234,1727600,0.000000
217,2.170048,5679.014231655,5679.014231655,1240,1736000,0.000000
218,2.180073,5679.024257441,5679.024257441,1245,1743000,0.000000
219,2.190090,5679.034273698,5679.034273698,1251,1751400,0.000000
220,2.200062,5679.044246095,5679.044246095,1257,1759800,0.000000
221,2.210065,5679.054249009,5679.054249009,1262,1766800,0.000000
222,2.220066,5679.064250154,5679.064250154,1268,1775200,0.000000
223,2.230076,5679.074260036,5679.074260036,1274,1783600,0.000000
224,2.240092,5679.084275705,5679.084275705,1280,1792000,0.000000
225,2.250064,5679.094248241,5679.094248241,1285,1799000,0.000000
226,2.260066,5679.104249809,5679.104249809,1291,1807400,0.000000
227,2.270058,5679.114242093,5679.114242093,1297,1815800,0.000000
228,2.280066,5679.124249533,5679.124249533,1302,1822800,0.000000
229,2.290065,5679.134248946,5679.134248946,1308,1831200,0.000000
230,2.300075,5679.144258778,5679.144258778,1314,1839600,0.000000
231,2.310066,5679.154250035,5679.154250035,1320,1848000,0.000000
232,2.320075,5679.164258701,5679.164258701,1325,1855000,0.000000
233,2.330068,5679.174252168,5679.174252168,1331,1863400,0.000000
234,2.340065,5679.184249373,5679.184249373,1337,1871800,0.000000
235,2.350063,5679.194247041,5679.194247041,1342,1878800,0.000000
236,2.360066,5679.204249901,5679.204249901,1348,1887200,0.000000
237,2.370070,5679.214253462,5679.214253462,1354,1895600,0.000000
238,2.380102,5679.224286045,5679.224286045,1360,1904000,0.000000
239,2.390060,5679.234243887,5679.234243887,1365,1911000,0.000000
240,2.400070,5679.244254113,5679.244254113,1371,1919400,0.000000
241,2.410062,5679.254246438,5679.254246438,1377,1927800,0.000000
242,2.420066,5679.264249694,5679.264249694,1382,1934800,0.000000
