sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000105,5676.933308570,5676.933308570,0,0,0.000000
1,0.010067,5676.943270408,5676.943270408,4,5600,0.000000
2,0.020069,5676.953272745,5676.953272745,8,11200,0.000000
3,0.030083,5676.963286198,5676.963286198,13,18200,0.000000
4,0.040062,5676.973265276,5676.973265276,17,23800,0.000000
5,0.050033,5676.983236873,5676.983236873,21,29400,0.000000
6,0.061822,5676.995025910,5676.995025910,27,37800,0.000000
7,0.070060,5677.003263622,5677.003263622,30,42000,0.000000
8,0.080059,5677.013262286,5677.013262286,35,49000,0.000000
9,0.090060,5677.023263106,5677.023263106,39,54600,0.000000
10,0.100057,5677.033260342,5677.033260342,43,60200,0.000000
11,0.110059,5677.043262383,5677.043262383,48,67200,0.000000
12,0.120061,5677.053264079,5677.053264079,52,72800,0.000000
13,0.130059,5677.063262869,5677.063262869,57,79800,0.000000
14,0.140061,5677.073264829,5677.073264829,61,85400,0.000000
15,0.150083,5677.083286872,5677.083286872,65,91000,0.000000
16,0.164839,5677.098042942,5677.098042942,72,100800,0.000000
17,0.170061,5677.103264616,5677.103264616,74,103600,0.000000
18,0.180043,5677.113246737,5677.113246737,79,110600,0.000000
19,0.190064,5677.123267839,5677.123267839,83,116200,0.000000
20,0.200813,5677.134016919,5677.134016919,88,123200,0.000000
21,0.210064,5677.143267106,5677.143267106,92,128800,0.000000
22,0.220064,5677.153267248,5677.153267248,96,134400,0.000000
23,0.230058,5677.163261765,5677.163261765,101,141400,0.000000
24,0.240076,5677.173279857,5677.173279857,105,147000,0.000000
25,0.250061,5677.183264918,5677.183264918,109,152600,0.000000
26,0.261534,5677.194737389,5677.194737389,114,159600,0.000000
27,0.270059,5677.203262670,5677.203262670,118,165200,0.000000
28,0.280819,5677.214022867,5677.214022867,123,172200,0.000000
29,0.290064,5677.223267554,5677.223267554,127,177800,0.000000
30,0.300068,5677.233271331,5677.233271331,131,183400,0.000000
31,0.310064,5677.243267453,5677.243267453,136,190400,0.000000
32,0.320060,5677.253263718,5677.253263718,140,196000,0.000000
33,0.330077,5677.263280110,5677.263280110,144,201600,0.000000
34,0.340058,5677.273261720,5677.273261720,149,208600,0.000000
35,0.350059,5677.283262728,5677.283262728,153,214200,0.000000
36,0.362968,5677.296171974,5677.296171974,159,222600,0.000000
37,0.370059,5677.303262932,5677.303262932,162,226800,0.000000
38,0.380041,5677.313244881,5677.313244881,166,232400,0.000000
39,0.390060,5677.323263356,5677.323263356,171,239400,0.000000
40,0.400060,5677.333263182,5677.333263182,175,245000,0.000000
41,0.410058,5677.343261983,5677.343261983,180,252000,0.000000
42,0.420035,5677.353238907,5677.353238907,184,257600,0.000000
43,0.430060,5677.363263709,5677.363263709,188,263200,0.000000
44,0.440059,5677.373262906,5677.373262906,193,270200,0.000000
45,0.450060,5677.383263325,5677.383263325,197,275800,0.000000
46,0.460729,5677.393932955,5677.393932955,202,282800,0.000000
47,0.470061,5677.403264478,5677.403264478,206,288400,0.000000
48,0.480065,5677.413268293,5677.413268293,210,294000,0.000000
49,0.490062,5677.423265871,5677.423265871,215,301000,0.000000
50,0.500065,5677.433268223,5677.433268223,219,306600,0.000000
51,0.510061,5677.443264997,5677.443264997,224,313600,0.000000
52,0.520079,5677.453282723,5677.453282723,228,319200,0.000000
53,0.530072,5677.463275798,5677.463275798,232,324800,0.000000
54,0.540040,5677.473243909,5677.473243909,237,331800,0.000000
55,0.550103,5677.483306736,5677.483306736,241,337400,0.000000
56,0.560050,5677.493253588,5677.493253588,246,344400,0.000000
57,0.570060,5677.503263996,5677.503263996,250,350000,0.000000
58,0.580073,5677.513276939,5677.513276939,254,355600,0.000000
59,0.590067,5677.523270173,5677.523270173,259,362600,0.000000
60,0.600073,5677.533276160,5677.533276160,263,368200,0.000000
61,0.610030,5677.543233832,5677.543233832,267,373800,0.000000
62,0.620031,5677.553234872,5677.553234872,272,380800,0.000000
63,0.630074,5677.563277873,5677.563277873,276,386400,0.000000
64,0.640063,5677.573266352,5677.573266352,281,393400,0.000000
65,0.650065,5677.583268751,5677.583268751,285,399000,0.000000
66,0.660072,5677.593275498,5677.593275498,289,404600,0.000000
67,0.670069,5677.603272317,5677.603272317,294,411600,0.000000
68,0.680072,5677.613275640,5677.613275640,298,417200,0.000000
69,0.690067,5677.623270269,5677.623270269,303,424200,0.000000
70,0.700067,5677.633270271,5677.633270271,307,429800,0.000000
71,0.710068,5677.643271329,5677.643271329,311,435400,0.000000
72,0.720067,5677.653270348,5677.653270348,316,442400,0.000000
73,0.730068,5677.663272044,5677.663272044,320,448000,0.000000
74,0.740051,5677.673254341,5677.673254341,325,455000,0.000000
75,0.750089,5677.683292975,5677.683292975,329,460600,0.000000
76,0.760069,5677.693272142,5677.693272142,333,466200,0.000000
77,0.770069,5677.703272671,5677.703272671,338,473200,0.000000
78,0.780064,5677.713267809,5677.713267809,342,478800,0.000000
79,0.790063,5677.723266302,5677.723266302,347,485800,0.000000
80,0.800070,5677.733273640,5677.733273640,351,491400,0.000000
81,0.810067,5677.743270664,5677.743270664,355,497000,0.000000
82,0.820066,5677.753269361,5677.753269361,360,504000,0.000000
83,0.830064,5677.763267819,5677.763267819,364,509600,0.000000
84,0.840033,5677.773236074,5677.773236074,369,516600,0.000000
85,0.850065,5677.783268806,5677.783268806,373,522200,0.000000
86,0.860068,5677.793271889,5677.793271889,377,527800,0.000000
87,0.870064,5677.803267206,5677.803267206,382,534800,0.000000
88,0.880078,5677.813281267,5677.813281267,386,540400,0.000000
89,0.890018,5677.823221074,5677.823221074,390,546000,0.000000
90,0.900070,5677.833273725,5677.833273725,395,553000,0.000000
91,0.910067,5677.843270057,5677.843270057,399,558600,0.000000
92,0.920073,5677.853276987,5677.853276987,404,565600,0.000000
93,0.930065,5677.863268761,5677.863268761,408,571200,0.000000
94,0.940062,5677.873265239,5677.873265239,412,576800,0.000000
95,0.950066,5677.883269344,5677.883269344,417,583800,0.000000
96,0.960064,5677.893267694,5677.893267694,421,589400,0.000000
97,0.970060,5677.903263323,5677.903263323,426,596400,0.000000
98,0.980064,5677.913267982,5677.913267982,430,602000,0.000000
99,0.990066,5677.923269604,5677.923269604,434,607600,0.000000
100,1.000066,5677.933269534,5677.933269534,439,614600,0.000000
101,1.010066,5677.943269373,5677.943269373,443,620200,0.000000
102,1.020018,5677.953221969,5677.953221969,448,627200,0.000000
103,1.030061,5677.963264365,5677.963264365,452,632800,0.000000
104,1.040035,5677.973239032,5677.973239032,456,638400,0.000000
105,1.050068,5677.983271332,5677.983271332,461,645400,0.000000
106,1.060068,5677.993271421,5677.993271421,465,651000,0.000000
107,1.070003,5678.003206560,5678.003206560,470,658000,0.000000
108,1.080068,5678.013271371,5678.013271371,474,663600,0.000000
109,1.090067,5678.023270420,5678.023270420,478,669200,0.000000
110,1.100060,5678.033263150,5678.033263150,483,676200,0.000000
111,1.110072,5678.043275756,5678.043275756,487,681800,0.000000
112,1.120094,5678.053297257,5678.053297257,492,688800,0.000000
113,1.130071,5678.063274637,5678.063274637,496,694400,0.000000
114,1.140073,5678.073276935,5678.073276935,500,700000,0.000000
115,1.150062,5678.083265570,5678.083265570,505,707000,0.000000
116,1.160072,5678.093275411,5678.093275411,509,712600,0.000000
117,1.170065,5678.103268706,5678.103268706,513,718200,0.000000
118,1.180068,5678.113271528,5678.113271528,518,725200,0.000000
119,1.190066,5678.123269177,5678.123269177,522,730800,0.000000
120,1.200067,5678.133270230,5678.133270230,527,737800,0.000000
121,1.210067,5678.143270619,5678.143270619,531,743400,0.000000
122,1.220069,5678.153272497,5678.153272497,535,749000,0.000000
123,1.230074,5678.163277861,5678.163277861,540,756000,0.000000
124,1.240058,5678.173261757,5678.173261757,544,761600,0.000000
125,1.250066,5678.183269393,5678.183269393,549,768600,0.000000
126,1.260068,5678.193271274,5678.193271274,553,774200,0.000000
127,1.270065,5678.203268814,5678.203268814,557,779800,0.000000
128,1.280069,5678.213272264,5678.213272264,562,786800,0.000000
129,1.290066,5678.223269538,5678.223269538,566,792400,0.000000
130,1.300010,5678.233213209,5678.233213209,571,799400,0.000000
131,1.310067,5678.243270483,5678.243270483,575,805000,0.000000
132,1.320068,5678.253271938,5678.253271938,579,810600,0.000000
133,1.330070,5678.263273363,5678.263273363,584,817600,0.000000
134,1.340068,5678.273271119,5678.273271119,588,823200,0.000000
135,1.350068,5678.283271166,5678.283271166,593,830200,0.000000
136,1.360064,5678.293267712,5678.293267712,597,835800,0.000000
137,1.370063,5678.303267036,5678.303267036,601,841400,0.000000
138,1.380056,5678.313259499,5678.313259499,606,848400,0.000000
139,1.390068,5678.323271260,5678.323271260,610,854000,0.000000
140,1.400043,5678.333246481,5678.333246481,615,861000,0.000000
141,1.410067,5678.343270806,5678.343270806,619,866600,0.000000
142,1.420066,5678.353269355,5678.353269355,623,872200,0.000000
143,1.430065,5678.363268719,5678.363268719,628,879200,0.000000
144,1.440064,5678.373267082,5678.373267082,632,884800,0.000000
145,1.450060,5678.383263405,5678.383263405,636,890400,0.000000
146,1.460061,5678.393264284,5678.393264284,641,897400,0.000000
147,1.470065,5678.403268370,5678.403268370,645,903000,0.000000
148,1.480064,5678.413267829,5678.413267829,650,910000,0.000000
149,1.490065,5678.423268381,5678.423268381,654,915600,0.000000
150,1.500074,5678.433277215,5678.433277215,658,921200,0.000000
151,1.510064,5678.443267205,5678.443267205,663,928200,0.000000
152,1.520067,5678.453270739,5678.453270739,667,933800,0.000000
153,1.530066,5678.463269611,5678.463269611,672,940800,0.000000
154,1.540065,5678.473268105,5678.473268105,676,946400,0.000000
155,1.550065,5678.483268829,5678.483268829,680,952000,0.000000
156,1.560059,5678.493262300,5678.493262300,685,959000,0.000000
157,1.570060,5678.503263925,5678.503263925,689,964600,0.000000
158,1.580057,5678.513260932,5678.513260932,694,971600,0.000000
