sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000098,5677.437308654,5677.437308654,0,0,0.000000
1,0.010073,5677.447283559,5677.447283559,5,7000,0.000000
2,0.020072,5677.457282179,5677.457282179,11,15400,0.000000
3,0.030065,5677.467275598,5677.467275598,17,23800,0.000000
4,0.040083,5677.477293430,5677.477293430,22,30800,0.000000
5,0.050074,5677.487283793,5677.487283793,28,39200,0.000000
6,0.060068,5677.497278494,5677.497278494,34,47600,0.000000
7,0.070088,5677.507298787,5677.507298787,40,56000,0.000000
8,0.080074,5677.517284065,5677.517284065,45,63000,0.000000
9,0.090084,5677.527294133,5677.527294133,51,71400,0.000000
10,0.100048,5677.537257820,5677.537257820,57,79800,0.000000
11,0.110058,5677.547268770,5677.547268770,62,86800,0.000000
12,0.120067,5677.557277164,5677.557277164,68,95200,0.000000
13,0.130064,5677.567274729,5677.567274729,74,103600,0.000000
14,0.140075,5677.577285054,5677.577285054,80,112000,0.000000
15,0.150063,5677.587273005,5677.587273005,85,119000,0.000000
16,0.160073,5677.597282923,5677.597282923,91,127400,0.000000
17,0.170085,5677.607295071,5677.607295071,97,135800,0.000000
18,0.180070,5677.617280283,5677.617280283,102,142800,0.000000
19,0.190064,5677.627273805,5677.627273805,108,151200,0.000000
20,0.200095,5677.637305328,5677.637305328,114,159600,0.000000
21,0.210076,5677.647286528,5677.647286528,120,168000,0.000000
22,0.220078,5677.657287894,5677.657287894,125,175000,0.000000
23,0.230069,5677.667279523,5677.667279523,131,183400,0.000000
24,0.240064,5677.677273808,5677.677273808,137,191800,0.000000
25,0.250068,5677.687278598,5677.687278598,142,198800,0.000000
26,0.260070,5677.697279983,5677.697279983,148,207200,0.000000
27,0.270069,5677.707278832,5677.707278832,154,215600,0.000000
28,0.280079,5677.717289546,5677.717289546,160,224000,0.000000
29,0.290066,5677.727276628,5677.727276628,165,231000,0.000000
30,0.300062,5677.737272171,5677.737272171,171,239400,0.000000
31,0.310067,5677.747277119,5677.747277119,177,247800,0.000000
32,0.320071,5677.757281461,5677.757281461,182,254800,0.000000
33,0.330064,5677.767274627,5677.767274627,188,263200,0.000000
34,0.340087,5677.777297710,5677.777297710,194,271600,0.000000
35,0.350074,5677.787284137,5677.787284137,200,280000,0.000000
36,0.360071,5677.797281572,5677.797281572,205,287000,0.000000
37,0.370065,5677.807274981,5677.807274981,211,295400,0.000000
38,0.380058,5677.817268635,5677.817268635,217,303800,0.000000
39,0.390066,5677.827276169,5677.827276169,222,310800,0.000000
40,0.400069,5677.837279060,5677.837279060,228,319200,0.000000
41,0.410072,5677.847282420,5677.847282420,234,327600,0.000000
42,0.420070,5677.857280073,5677.857280073,240,336000,0.000000
43,0.430068,5677.867277837,5677.867277837,245,343000,0.000000
44,0.440064,5677.877273865,5677.877273865,251,351400,0.000000
45,0.450066,5677.887276204,5677.887276204,257,359800,0.000000
46,0.460072,5677.897282088,5677.897282088,262,366800,0.000000
47,0.470067,5677.907277083,5677.907277083,268,375200,0.000000
48,0.480078,5677.917288686,5677.917288686,274,383600,0.000000
49,0.490088,5677.927298220,5677.927298220,280,392000,0.000000
50,0.500063,5677.937273461,5677.937273461,285,399000,0.000000
51,0.510048,5677.947258675,5677.947258675,291,407400,0.000000
52,0.520065,5677.957274995,5677.957274995,297,415800,0.000000
53,0.530071,5677.967281457,5677.967281457,302,422800,0.000000
54,0.540066,5677.977276760,5677.977276760,308,431200,0.000000
55,0.550078,5677.987288694,5677.987288694,314,439600,0.000000
56,0.560077,5677.997287009,5677.997287009,320,448000,0.000000
57,0.570066,5678.007276356,5678.007276356,325,455000,0.000000
58,0.580070,5678.017280039,5678.017280039,331,463400,0.000000
59,0.590058,5678.027268433,5678.027268433,337,471800,0.000000
60,0.600052,5678.037262381,5678.037262381,342,478800,0.000000
61,0.610064,5678.047274758,5678.047274758,348,487200,0.000000
62,0.620063,5678.057272817,5678.057272817,354,495600,0.000000
63,0.630073,5678.067283052,5678.067283052,360,504000,0.000000
64,0.640064,5678.077273928,5678.077273928,365,511000,0.000000
65,0.650084,5678.087294376,5678.087294376,371,519400,0.000000
66,0.660063,5678.097273294,5678.097273294,377,527800,0.000000
67,0.670074,5678.107284213,5678.107284213,382,534800,0.000000
68,0.680082,5678.117292047,5678.117292047,388,543200,0.000000
69,0.690060,5678.127270105,5678.127270105,394,551600,0.000000
70,0.700079,5678.137288920,5678.137288920,400,560000,0.000000
71,0.710064,5678.147274047,5678.147274047,405,567000,0.000000
72,0.720043,5678.157253149,5678.157253149,411,575400,0.000000
73,0.730059,5678.167269493,5678.167269493,417,583800,0.000000
74,0.740019,5678.177229285,5678.177229285,422,590800,0.000000
75,0.750066,5678.187276271,5678.187276271,428,599200,0.000000
76,0.760068,5678.197278686,5678.197278686,434,607600,0.000000
77,0.770078,5678.207288194,5678.207288194,440,616000,0.000000
78,0.780067,5678.217277593,5678.217277593,445,623000,0.000000
79,0.790060,5678.227270181,5678.227270181,451,631400,0.000000
80,0.800049,5678.237258973,5678.237258973,457,639800,0.000000
81,0.810072,5678.247282084,5678.247282084,462,646800,0.000000
82,0.820065,5678.257275037,5678.257275037,468,655200,0.000000
83,0.830056,5678.267266330,5678.267266330,474,663600,0.000000
84,0.840075,5678.277285633,5678.277285633,480,672000,0.000000
85,0.850067,5678.287277168,5678.287277168,485,679000,0.000000
86,0.860068,5678.297278547,5678.297278547,491,687400,0.000000
87,0.870058,5678.307268620,5678.307268620,497,695800,0.000000
88,0.880049,5678.317259120,5678.317259120,502,702800,0.000000
89,0.890065,5678.327275039,5678.327275039,508,711200,0.000000
90,0.900052,5678.337262250,5678.337262250,514,719600,0.000000
91,0.910073,5678.347282919,5678.347282919,520,728000,0.000000
92,0.920060,5678.357270188,5678.357270188,525,735000,0.000000
93,0.930059,5678.367269309,5678.367269309,531,743400,0.000000
94,0.940062,5678.377272388,5678.377272388,537,751800,0.000000
95,0.950065,5678.387275288,5678.387275288,542,758800,0.000000
96,0.960064,5678.397274357,5678.397274357,548,767200,0.000000
97,0.970065,5678.407275731,5678.407275731,554,775600,0.000000
98,0.980085,5678.417295262,5678.417295262,560,784000,0.000000
99,0.990064,5678.427274719,5678.427274719,565,791000,0.000000
100,1.000070,5678.437280264,5678.437280264,571,799400,0.000000
101,1.010064,5678.447273847,5678.447273847,577,807800,0.000000
102,1.020014,5678.457224398,5678.457224398,582,814800,0.000000
103,1.030065,5678.467275463,5678.467275463,588,823200,0.000000
104,1.040065,5678.477275198,5678.477275198,594,831600,0.000000
105,1.050074,5678.487283972,5678.487283972,600,840000,0.000000
106,1.060070,5678.497279800,5678.497279800,605,847000,0.000000
107,1.070066,5678.507276252,5678.507276252,611,855400,0.000000
108,1.080062,5678.517272227,5678.517272227,617,863800,0.000000
109,1.090070,5678.527280046,5678.527280046,622,870800,0.000000
110,1.100066,5678.537276284,5678.537276284,628,879200,0.000000
111,1.110066,5678.547276781,5678.547276781,634,887600,0.000000
112,1.120076,5678.557286682,5678.557286682,640,896000,0.000000
113,1.130066,5678.567275879,5678.567275879,645,903000,0.000000
114,1.140069,5678.577279282,5678.577279282,651,911400,0.000000
115,1.150059,5678.587269775,5678.587269775,657,919800,0.000000
116,1.160044,5678.597254372,5678.597254372,662,926800,0.000000
117,1.170066,5678.607276759,5678.607276759,668,935200,0.000000
118,1.180064,5678.617274076,5678.617274076,674,943600,0.000000
119,1.190072,5678.627282344,5678.627282344,680,952000,0.000000
120,1.200064,5678.637274710,5678.637274710,685,959000,0.000000
121,1.210069,5678.647279184,5678.647279184,691,967400,0.000000
122,1.220058,5678.657267943,5678.657267943,697,975800,0.000000
123,1.230094,5678.667304351,5678.667304351,702,982800,0.000000
124,1.240066,5678.677276115,5678.677276115,708,991200,0.000000
125,1.250066,5678.687275910,5678.687275910,714,999600,0.000000
126,1.260078,5678.697288332,5678.697288332,720,1008000,0.000000
