sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000111,5677.452607555,5677.452607555,0,0,0.000000
1,0.010090,5677.462585981,5677.462585981,4,5600,0.000000
2,0.020072,5677.472568147,5677.472568147,8,11200,0.000000
3,0.030065,5677.482561463,5677.482561463,13,18200,0.000000
4,0.040071,5677.492567200,5677.492567200,17,23800,0.000000
5,0.050071,5677.502567141,5677.502567141,22,30800,0.000000
6,0.060046,5677.512542617,5677.512542617,26,36400,0.000000
7,0.070029,5677.522524996,5677.522524996,31,43400,0.000000
8,0.080072,5677.532568306,5677.532568306,35,49000,0.000000
9,0.090043,5677.542538957,5677.542538957,40,56000,0.000000
10,0.100065,5677.552561554,5677.552561554,44,61600,0.000000
11,0.110074,5677.562570072,5677.562570072,48,67200,0.000000
12,0.120040,5677.572536570,5677.572536570,53,74200,0.000000
13,0.130066,5677.582562586,5677.582562586,57,79800,0.000000
14,0.140062,5677.592558861,5677.592558861,62,86800,0.000000
15,0.150063,5677.602559606,5677.602559606,66,92400,0.000000
16,0.160075,5677.612571782,5677.612571782,71,99400,0.000000
17,0.170043,5677.622539426,5677.622539426,75,105000,0.000000
18,0.180062,5677.632558763,5677.632558763,80,112000,0.000000
19,0.190035,5677.642531351,5677.642531351,84,117600,0.000000
20,0.200064,5677.652560792,5677.652560792,88,123200,0.000000
21,0.210067,5677.662563084,5677.662563084,93,130200,0.000000
22,0.220064,5677.672560304,5677.672560304,97,135800,0.000000
23,0.230064,5677.682560458,5677.682560458,102,142800,0.000000
24,0.240066,5677.692562444,5677.692562444,106,148400,0.000000
25,0.250065,5677.702560935,5677.702560935,111,155400,0.000000
26,0.260042,5677.712538198,5677.712538198,115,161000,0.000000
27,0.270070,5677.722566260,5677.722566260,120,168000,0.000000
28,0.280071,5677.732567178,5677.732567178,124,173600,0.000000
29,0.290068,5677.742563959,5677.742563959,128,179200,0.000000
30,0.300064,5677.752560687,5677.752560687,133,186200,0.000000
31,0.310064,5677.762560700,5677.762560700,137,191800,0.000000
32,0.320065,5677.772561518,5677.772561518,142,198800,0.000000
33,0.330070,5677.782566781,5677.782566781,146,204400,0.000000
34,0.340062,5677.792558309,5677.792558309,151,211400,0.000000
35,0.350066,5677.802562490,5677.802562490,155,217000,0.000000
36,0.360034,5677.812530340,5677.812530340,160,224000,0.000000
37,0.370055,5677.822551728,5677.822551728,164,229600,0.000000
38,0.380071,5677.832567294,5677.832567294,168,235200,0.000000
39,0.390069,5677.842565813,5677.842565813,173,242200,0.000000
40,0.400025,5677.852521534,5677.852521534,177,247800,0.000000
41,0.410066,5677.862562159,5677.862562159,182,254800,0.000000
42,0.420068,5677.872564780,5677.872564780,186,260400,0.000000
43,0.430059,5677.882555648,5677.882555648,191,267400,0.000000
44,0.440066,5677.892562643,5677.892562643,195,273000,0.000000
45,0.450058,5677.902554177,5677.902554177,200,280000,0.000000
46,0.460069,5677.912565802,5677.912565802,204,285600,0.000000
47,0.470093,5677.922589095,5677.922589095,209,292600,0.000000
48,0.480072,5677.932568375,5677.932568375,213,298200,0.000000
49,0.490072,5677.942567998,5677.942567998,217,303800,0.000000
50,0.500064,5677.952560074,5677.952560074,222,310800,0.000000
51,0.510066,5677.962562828,5677.962562828,226,316400,0.000000
52,0.520067,5677.972563009,5677.972563009,231,323400,0.000000
53,0.530074,5677.982570484,5677.982570484,235,329000,0.000000
54,0.540067,5677.992563654,5677.992563654,240,336000,0.000000
55,0.550067,5678.002563429,5678.002563429,244,341600,0.000000
56,0.560078,5678.012573896,5678.012573896,249,348600,0.000000
57,0.570070,5678.022566803,5678.022566803,253,354200,0.000000
58,0.580069,5678.032565369,5678.032565369,257,359800,0.000000
59,0.590064,5678.042560042,5678.042560042,262,366800,0.000000
60,0.600069,5678.052565468,5678.052565468,266,372400,0.000000
61,0.610061,5678.062557193,5678.062557193,271,379400,0.000000
62,0.620039,5678.072535722,5678.072535722,275,385000,0.000000
63,0.630066,5678.082561909,5678.082561909,280,392000,0.000000
64,0.640067,5678.092563692,5678.092563692,284,397600,0.000000
65,0.650030,5678.102526324,5678.102526324,289,404600,0.000000
66,0.660064,5678.112560618,5678.112560618,293,410200,0.000000
67,0.670071,5678.122567002,5678.122567002,297,415800,0.000000
68,0.680028,5678.132524517,5678.132524517,302,422800,0.000000
69,0.690065,5678.142561156,5678.142561156,306,428400,0.000000
70,0.700063,5678.152559661,5678.152559661,311,435400,0.000000
71,0.710042,5678.162538279,5678.162538279,315,441000,0.000000
72,0.720063,5678.172559532,5678.172559532,320,448000,0.000000
73,0.730065,5678.182561459,5678.182561459,324,453600,0.000000
74,0.740004,5678.192499933,5678.192499933,329,460600,0.000000
75,0.750064,5678.202560047,5678.202560047,333,466200,0.000000
76,0.760068,5678.212564742,5678.212564742,337,471800,0.000000
77,0.770067,5678.222563532,5678.222563532,342,478800,0.000000
78,0.780068,5678.232564717,5678.232564717,346,484400,0.000000
79,0.790059,5678.242555868,5678.242555868,351,491400,0.000000
80,0.800068,5678.252564889,5678.252564889,355,497000,0.000000
81,0.810063,5678.262559459,5678.262559459,360,504000,0.000000
82,0.820068,5678.272564617,5678.272564617,364,509600,0.000000
83,0.830072,5678.282568761,5678.282568761,369,516600,0.000000
84,0.840072,5678.292568575,5678.292568575,373,522200,0.000000
85,0.850068,5678.302564433,5678.302564433,377,527800,0.000000
