sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000099,5868.829555897,5868.829555897,0,0,0.000000
1,0.010581,5868.840037479,5868.840037479,5,7000,0.000000
2,0.020584,5868.850040827,5868.850040827,10,14000,0.000000
3,0.030068,5868.859524550,5868.859524550,14,19600,0.000000
4,0.040067,5868.869524100,5868.869524100,19,26600,0.000000
5,0.050067,5868.879524001,5868.879524001,24,33600,0.000000
6,0.060139,5868.889595850,5868.889595850,29,40600,0.000000
7,0.070059,5868.899516422,5868.899516422,34,47600,0.000000
8,0.080059,5868.909515991,5868.909515991,39,54600,0.000000
9,0.090065,5868.919521807,5868.919521807,44,61600,0.000000
10,0.100048,5868.929504857,5868.929504857,49,68600,0.000000
11,0.110059,5868.939515605,5868.939515605,54,75600,0.000000
12,0.120059,5868.949515821,5868.949515821,59,82600,0.000000
13,0.130060,5868.959516509,5868.959516509,64,89600,0.000000
14,0.140059,5868.969515801,5868.969515801,69,96600,0.000000
15,0.150063,5868.979519923,5868.979519923,74,103600,0.000000
16,0.160045,5868.989502025,5868.989502025,79,110600,0.000000
17,0.170064,5868.999520520,5868.999520520,84,117600,0.000000
18,0.180068,5869.009524912,5869.009524912,89,124600,0.000000
19,0.190064,5869.019520633,5869.019520633,94,131600,0.000000
20,0.200067,5869.029523844,5869.029523844,99,138600,0.000000
21,0.210053,5869.039509997,5869.039509997,104,145600,0.000000
22,0.220040,5869.049497127,5869.049497127,109,152600,0.000000
23,0.230083,5869.059539706,5869.059539706,114,159600,0.000000
24,0.240062,5869.069518517,5869.069518517,118,165200,0.000000
25,0.250068,5869.079524970,5869.079524970,123,172200,0.000000
26,0.260068,5869.089525372,5869.089525372,128,179200,0.000000
27,0.270067,5869.099523759,5869.099523759,133,186200,0.000000
28,0.280072,5869.109528864,5869.109528864,138,193200,0.000000
29,0.290078,5869.119534650,5869.119534650,143,200200,0.000000
30,0.300064,5869.129520743,5869.129520743,148,207200,0.000000
31,0.310066,5869.139522686,5869.139522686,153,214200,0.000000
32,0.320023,5869.149479742,5869.149479742,158,221200,0.000000
33,0.330066,5869.159523032,5869.159523032,163,228200,0.000000
34,0.340060,5869.169516464,5869.169516464,168,235200,0.000000
35,0.350063,5869.179519769,5869.179519769,173,242200,0.000000
36,0.360065,5869.189522364,5869.189522364,178,249200,0.000000
37,0.370063,5869.199520108,5869.199520108,183,256200,0.000000
38,0.380065,5869.209521918,5869.209521918,188,263200,0.000000
39,0.390063,5869.219519602,5869.219519602,193,270200,0.000000
40,0.400065,5869.229521718,5869.229521718,198,277200,0.000000
41,0.410059,5869.239515494,5869.239515494,203,284200,0.000000
42,0.420062,5869.249518826,5869.249518826,208,291200,0.000000
43,0.430022,5869.259479240,5869.259479240,213,298200,0.000000
44,0.440004,5869.269461315,5869.269461315,218,305200,0.000000
45,0.450080,5869.279536549,5869.279536549,223,312200,0.000000
46,0.460071,5869.289528017,5869.289528017,227,317800,0.000000
47,0.470066,5869.299522913,5869.299522913,232,324800,0.000000
48,0.480059,5869.309515476,5869.309515476,237,331800,0.000000
49,0.490062,5869.319518790,5869.319518790,242,338800,0.000000
50,0.500062,5869.329519310,5869.329519310,247,345800,0.000000
51,0.510060,5869.339516821,5869.339516821,252,352800,0.000000
52,0.520059,5869.349515997,5869.349515997,257,359800,0.000000
53,0.530069,5869.359525535,5869.359525535,262,366800,0.000000
54,0.540066,5869.369522882,5869.369522882,267,373800,0.000000
55,0.550063,5869.379520319,5869.379520319,272,380800,0.000000
56,0.560063,5869.389519930,5869.389519930,277,387800,0.000000
57,0.570069,5869.399525970,5869.399525970,282,394800,0.000000
58,0.580072,5869.409529024,5869.409529024,287,401800,0.000000
59,0.590065,5869.419522170,5869.419522170,292,408800,0.000000
60,0.600087,5869.429543494,5869.429543494,297,415800,0.000000
61,0.610064,5869.439520488,5869.439520488,302,422800,0.000000
62,0.620062,5869.449519393,5869.449519393,307,429800,0.000000
63,0.630072,5869.459529362,5869.459529362,312,436800,0.000000
64,0.640064,5869.469520521,5869.469520521,317,443800,0.000000
65,0.650061,5869.479517729,5869.479517729,322,450800,0.000000
66,0.660076,5869.489532784,5869.489532784,327,457800,0.000000
67,0.670057,5869.499513753,5869.499513753,332,464800,0.000000
68,0.680072,5869.509529046,5869.509529046,336,470400,0.002018
69,0.690060,5869.519517321,5869.519517321,341,477400,0.000000
70,0.700065,5869.529521533,5869.529521533,346,484400,0.000000
71,0.710038,5869.539494863,5869.539494863,351,491400,0.000000
72,0.720064,5869.549521299,5869.549521299,356,498400,0.000000
73,0.730064,5869.559520447,5869.559520447,361,505400,0.000000
74,0.740063,5869.569519884,5869.569519884,366,512400,0.000000
75,0.750067,5869.579523843,5869.579523843,371,519400,0.000000
76,0.760060,5869.589516487,5869.589516487,376,526400,0.000000
77,0.770059,5869.599515790,5869.599515790,381,533400,0.000000
78,0.780065,5869.609521981,5869.609521981,386,540400,0.000000
79,0.790064,5869.619520996,5869.619520996,391,547400,0.000000
80,0.800063,5869.629520430,5869.629520430,396,554400,0.000000
81,0.810068,5869.639524793,5869.639524793,401,561400,0.000000
82,0.820067,5869.649524084,5869.649524084,406,568400,0.000000
83,0.830072,5869.659528902,5869.659528902,411,575400,0.000000
84,0.840067,5869.669524148,5869.669524148,416,582400,0.000000
85,0.850063,5869.679519544,5869.679519544,421,589400,0.000000
86,0.860062,5869.689518755,5869.689518755,426,596400,0.000000
87,0.870058,5869.699514711,5869.699514711,431,603400,0.000000
88,0.880048,5869.709504597,5869.709504597,436,610400,0.000000
89,0.890020,5869.719477385,5869.719477385,441,617400,0.000000
90,0.900073,5869.729530190,5869.729530190,446,624400,0.000000
91,0.910065,5869.739521594,5869.739521594,450,630000,0.000000
92,0.920066,5869.749523188,5869.749523188,455,637000,0.000000
93,0.930066,5869.759522886,5869.759522886,460,644000,0.000000
94,0.940069,5869.769526384,5869.769526384,465,651000,0.000000
95,0.950067,5869.779523745,5869.779523745,470,658000,0.000000
96,0.960067,5869.789523721,5869.789523721,475,665000,0.000000
97,0.970067,5869.799524295,5869.799524295,480,672000,0.000000
98,0.980071,5869.809527636,5869.809527636,485,679000,0.000000
99,0.990073,5869.819529522,5869.819529522,490,686000,0.000000
100,1.000067,5869.829523514,5869.829523514,495,693000,0.000000
101,1.010069,5869.839525631,5869.839525631,500,700000,0.000000
102,1.020064,5869.849520715,5869.849520715,505,707000,0.000000
103,1.030065,5869.859521476,5869.859521476,510,714000,0.000000
104,1.040068,5869.869525376,5869.869525376,515,721000,0.000000
105,1.050066,5869.879523342,5869.879523342,520,728000,0.000000
106,1.060065,5869.889521434,5869.889521434,525,735000,0.000000
107,1.070063,5869.899519996,5869.899519996,530,742000,0.000000
108,1.080063,5869.909519523,5869.909519523,535,749000,0.000000
109,1.090062,5869.919518791,5869.919518791,540,756000,0.000000
110,1.100057,5869.929514064,5869.929514064,545,763000,0.000000
111,1.110058,5869.939515346,5869.939515346,550,770000,0.000000
112,1.120117,5869.949574212,5869.949574212,555,777000,0.000000
113,1.130070,5869.959527067,5869.959527067,559,782600,0.000000
114,1.140070,5869.969527392,5869.969527392,564,789600,0.000000
115,1.150064,5869.979520448,5869.979520448,569,796600,0.000000
116,1.160063,5869.989520026,5869.989520026,574,803600,0.000000
117,1.170065,5869.999522140,5869.999522140,579,810600,0.000000
118,1.180063,5870.009520422,5870.009520422,584,817600,0.000000
119,1.190067,5870.019523782,5870.019523782,589,824600,0.000000
120,1.200059,5870.029515847,5870.029515847,594,831600,0.000000
121,1.210065,5870.039521835,5870.039521835,599,838600,0.000000
122,1.220068,5870.049524591,5870.049524591,604,845600,0.000000
123,1.230064,5870.059520519,5870.059520519,609,852600,0.000000
124,1.240066,5870.069523043,5870.069523043,614,859600,0.000000
125,1.250065,5870.079521929,5870.079521929,619,866600,0.000000
126,1.260066,5870.089522836,5870.089522836,624,873600,0.000000
127,1.270084,5870.099541226,5870.099541226,629,880600,0.000000
128,1.280070,5870.109526654,5870.109526654,634,887600,0.000000
129,1.290063,5870.119519986,5870.119519986,639,894600,0.000000
130,1.300064,5870.129521413,5870.129521413,644,901600,0.000000
131,1.310063,5870.139519472,5870.139519472,649,908600,0.000000
132,1.320024,5870.149480949,5870.149480949,654,915600,0.000000
133,1.330052,5870.159509218,5870.159509218,659,922600,0.000000
134,1.340070,5870.169526565,5870.169526565,664,929600,0.000000
135,1.350076,5870.179532792,5870.179532792,669,936600,0.000000
136,1.360074,5870.189530464,5870.189530464,673,942200,0.000000
137,1.370069,5870.199525562,5870.199525562,678,949200,0.000000
138,1.380066,5870.209523152,5870.209523152,683,956200,0.000000
139,1.390065,5870.219521503,5870.219521503,688,963200,0.000000
140,1.400065,5870.229521550,5870.229521550,693,970200,0.000000
141,1.410054,5870.239510676,5870.239510676,698,977200,0.000000
142,1.420066,5870.249522528,5870.249522528,703,984200,0.000000
143,1.430067,5870.259524123,5870.259524123,708,991200,0.000000
144,1.440029,5870.269485465,5870.269485465,713,998200,0.000000
145,1.450063,5870.279520162,5870.279520162,718,1005200,0.000000
146,1.460066,5870.289523417,5870.289523417,723,1012200,0.000000
147,1.470060,5870.299516916,5870.299516916,728,1019200,0.000000
148,1.480064,5870.309521190,5870.309521190,733,1026200,0.000000
149,1.490063,5870.319519959,5870.319519959,738,1033200,0.000000
150,1.500017,5870.329473733,5870.329473733,743,1040200,0.000000
151,1.510074,5870.339530619,5870.339530619,748,1047200,0.000000
152,1.520065,5870.349522248,5870.349522248,753,1054200,0.000000
153,1.530058,5870.359515246,5870.359515246,758,1061200,0.000000
154,1.540011,5870.369467604,5870.369467604,763,1068200,0.000000
155,1.550037,5870.379494225,5870.379494225,768,1075200,0.000000
156,1.560006,5870.389462812,5870.389462812,773,1082200,0.000000
157,1.570067,5870.399523491,5870.399523491,778,1089200,0.000000
158,1.580070,5870.409527101,5870.409527101,782,1094800,0.000000
159,1.590061,5870.419517701,5870.419517701,787,1101800,0.000000
160,1.600063,5870.429519804,5870.429519804,792,1108800,0.000000
161,1.610064,5870.439520506,5870.439520506,797,1115800,0.000000
162,1.620078,5870.449534448,5870.449534448,802,1122800,0.000000
163,1.630069,5870.459526001,5870.459526001,807,1129800,0.000000
164,1.640086,5870.469542719,5870.469542719,812,1136800,0.000000
165,1.650071,5870.479527933,5870.479527933,817,1143800,0.000000
166,1.660068,5870.489525004,5870.489525004,822,1150800,0.000000
167,1.670059,5870.499516424,5870.499516424,827,1157800,0.000000
168,1.680023,5870.509480290,5870.509480290,832,1164800,0.000000
169,1.690067,5870.519523585,5870.519523585,837,1171800,0.000000
170,1.700072,5870.529528860,5870.529528860,842,1178800,0.000000
171,1.710070,5870.539526717,5870.539526717,847,1185800,0.000000
172,1.720067,5870.549524191,5870.549524191,852,1192800,0.000000
173,1.730032,5870.559488594,5870.559488594,857,1199800,0.000000
174,1.740059,5870.569515915,5870.569515915,862,1206800,0.000000
175,1.750066,5870.579523339,5870.579523339,867,1213800,0.000000
176,1.760062,5870.589518440,5870.589518440,872,1220800,0.000000
177,1.770059,5870.599516056,5870.599516056,877,1227800,0.000000
178,1.780062,5870.609519099,5870.609519099,882,1234800,0.000000
179,1.790077,5870.619534384,5870.619534384,887,1241800,0.000000
180,1.800067,5870.629523770,5870.629523770,891,1247400,0.000000
181,1.810063,5870.639520214,5870.639520214,896,1254400,0.000000
182,1.820066,5870.649523396,5870.649523396,901,1261400,0.000000
183,1.830069,5870.659525688,5870.659525688,906,1268400,0.000000
184,1.840071,5870.669527458,5870.669527458,911,1275400,0.000000
185,1.850064,5870.679521271,5870.679521271,916,1282400,0.000000
186,1.860080,5870.689536599,5870.689536599,921,1289400,0.000000
187,1.870067,5870.699524324,5870.699524324,926,1296400,0.000000
188,1.880066,5870.709523025,5870.709523025,931,1303400,0.000000
189,1.890068,5870.719525002,5870.719525002,936,1310400,0.000000
190,1.900067,5870.729523716,5870.729523716,941,1317400,0.000000
191,1.910068,5870.739525386,5870.739525386,946,1324400,0.000000
192,1.920059,5870.749516044,5870.749516044,951,1331400,0.000000
193,1.930069,5870.759525762,5870.759525762,956,1338400,0.000000
194,1.940071,5870.769527772,5870.769527772,961,1345400,0.000000
195,1.950064,5870.779521186,5870.779521186,966,1352400,0.000000
196,1.960065,5870.789521871,5870.789521871,971,1359400,0.000000
197,1.970062,5870.799519240,5870.799519240,976,1366400,0.000000
198,1.980058,5870.809515109,5870.809515109,981,1373400,0.000000
199,1.990061,5870.819517841,5870.819517841,986,1380400,0.000000
200,2.000040,5870.829496740,5870.829496740,991,1387400,0.000000
201,2.010022,5870.839478624,5870.839478624,996,1394400,0.000000
202,2.020081,5870.849537898,5870.849537898,1001,1401400,0.000000
203,2.030068,5870.859524577,5870.859524577,1005,1407000,0.000000
204,2.040044,5870.869500706,5870.869500706,1010,1414000,0.000000
205,2.050068,5870.879524495,5870.879524495,1015,1421000,0.000000
206,2.060066,5870.889523397,5870.889523397,1020,1428000,0.000000
207,2.070067,5870.899524304,5870.899524304,1025,1435000,0.000000
208,2.080065,5870.909521688,5870.909521688,1030,1442000,0.000000
209,2.090068,5870.919524972,5870.919524972,1035,1449000,0.000000
210,2.100066,5870.929523085,5870.929523085,1040,1456000,0.000000
211,2.110078,5870.939534627,5870.939534627,1045,1463000,0.000000
212,2.120089,5870.949545480,5870.949545480,1050,1470000,0.000000
213,2.130064,5870.959520943,5870.959520943,1055,1477000,0.000000
214,2.140069,5870.969525987,5870.969525987,1060,1484000,0.000000
215,2.150065,5870.979521697,5870.979521697,1065,1491000,0.000000
216,2.160062,5870.989518814,5870.989518814,1070,1498000,0.000000
217,2.170064,5870.999521039,5870.999521039,1075,1505000,0.000000
218,2.180064,5871.009521169,5871.009521169,1080,1512000,0.000000
219,2.190060,5871.019517163,5871.019517163,1085,1519000,0.000000
220,2.200069,5871.029526341,5871.029526341,1090,1526000,0.000000
221,2.210063,5871.039519893,5871.039519893,1095,1533000,0.000000
222,2.220058,5871.049514725,5871.049514725,1100,1540000,0.000000
223,2.232088,5871.061544739,5871.061544739,1106,1548400,0.000000
224,2.240070,5871.069527343,5871.069527343,1110,1554000,0.000000
225,2.250057,5871.079513654,5871.079513654,1114,1559600,0.000000
226,2.260066,5871.089523353,5871.089523353,1119,1566600,0.000000
227,2.270064,5871.099521279,5871.099521279,1124,1573600,0.000000
228,2.280063,5871.109519721,5871.109519721,1129,1580600,0.000000
229,2.290065,5871.119521776,5871.119521776,1134,1587600,0.000000
230,2.300071,5871.129527450,5871.129527450,1139,1594600,0.000000
231,2.310061,5871.139517669,5871.139517669,1144,1601600,0.000000
232,2.320068,5871.149525129,5871.149525129,1149,1608600,0.000000
233,2.330066,5871.159522536,5871.159522536,1154,1615600,0.000000
234,2.340070,5871.169527279,5871.169527279,1159,1622600,0.000000
235,2.350065,5871.179521951,5871.179521951,1164,1629600,0.000000
236,2.360068,5871.189525091,5871.189525091,1169,1636600,0.000000
237,2.370059,5871.199516371,5871.199516371,1174,1643600,0.000000
238,2.380068,5871.209524968,5871.209524968,1179,1650600,0.000000
239,2.390082,5871.219538980,5871.219538980,1184,1657600,0.000000
240,2.400066,5871.229522897,5871.229522897,1189,1664600,0.000000
241,2.410063,5871.239519521,5871.239519521,1194,1671600,0.000000
242,2.420072,5871.249528488,5871.249528488,1199,1678600,0.000000
243,2.430062,5871.259519265,5871.259519265,1204,1685600,0.000000
244,2.440029,5871.269486227,5871.269486227,1209,1692600,0.000000
245,2.450063,5871.279519952,5871.279519952,1214,1699600,0.000000
246,2.460040,5871.289496932,5871.289496932,1219,1706600,0.000000
247,2.470075,5871.299531794,5871.299531794,1224,1713600,0.000000
248,2.480067,5871.309523539,5871.309523539,1228,1719200,0.000000
249,2.490072,5871.319529410,5871.319529410,1233,1726200,0.000000
250,2.500065,5871.329522416,5871.329522416,1238,1733200,0.000000
251,2.510066,5871.339522634,5871.339522634,1243,1740200,0.000000
252,2.520070,5871.349526508,5871.349526508,1248,1747200,0.000000
253,2.530068,5871.359524860,5871.359524860,1253,1754200,0.000000
254,2.540039,5871.369495820,5871.369495820,1258,1761200,0.000000
255,2.550068,5871.379524602,5871.379524602,1263,1768200,0.000000
256,2.560085,5871.389542400,5871.389542400,1268,1775200,0.000000
257,2.570067,5871.399523949,5871.399523949,1273,1782200,0.000000
258,2.580071,5871.409527541,5871.409527541,1278,1789200,0.000000
259,2.590064,5871.419520744,5871.419520744,1283,1796200,0.000000
260,2.600065,5871.429522226,5871.429522226,1288,1803200,0.000000
261,2.610069,5871.439525856,5871.439525856,1293,1810200,0.000000
262,2.620098,5871.449554491,5871.449554491,1298,1817200,0.000000
263,2.630078,5871.459534688,5871.459534688,1303,1824200,0.000000
264,2.640063,5871.469519812,5871.469519812,1308,1831200,0.000000
265,2.650063,5871.479520123,5871.479520123,1313,1838200,0.000000
266,2.660062,5871.489518789,5871.489518789,1318,1845200,0.000000
267,2.670037,5871.499493607,5871.499493607,1323,1852200,0.000000
268,2.680006,5871.509462433,5871.509462433,1328,1859200,0.000000
269,2.690083,5871.519540115,5871.519540115,1333,1866200,0.000000
270,2.700070,5871.529526909,5871.529526909,1337,1871800,0.000000
271,2.710071,5871.539527931,5871.539527931,1342,1878800,0.000000
272,2.720068,5871.549524867,5871.549524867,1347,1885800,0.000000
273,2.730070,5871.559527334,5871.559527334,1352,1892800,0.000000
274,2.740064,5871.569521423,5871.569521423,1357,1899800,0.000000
275,2.750061,5871.579517513,5871.579517513,1362,1906800,0.000000
276,2.760065,5871.589522320,5871.589522320,1367,1913800,0.000000
