sample_index,sampler_id,timestamp_s,monotonic_s,sample_t_mono,link,rho,throughput_mbps,tx_bytes_delta,dt_s,rx_bytes_delta,rho_rx,read_duration_us
0,0,0.202068,5868.959170956,5868.959170956,uA,0.82893094,6.63144751,167272,0.20179244,167272,0.82893094,269.1
0,0,0.202068,5868.959170956,5868.959170956,uB,0.84798682,5.08792093,128338,0.20179244,128338,0.84798682,269.1
0,0,0.202068,5868.959170956,5868.959170956,ac,0.95279418,5.71676509,144200,0.20179244,144200,0.95279418,269.1
0,0,0.202068,5868.959170956,5868.959170956,ad,0.95755815,3.83023261,96614,0.20179244,96614,0.95755815,269.1
0,0,0.202068,5868.959170956,5868.959170956,bc,0.87657065,5.25942389,132664,0.20179244,132664,0.87657065,269.1
0,0,0.202068,5868.959170956,5868.959170956,bd,0.59073239,3.54439436,89404,0.20179244,89404,0.59073239,269.1
0,0,0.202068,5868.959170956,5868.959170956,vC,0.28583825,2.28670604,57680,0.20179244,57680,0.28583825,269.1
0,0,0.202068,5868.959170956,5868.959170956,vD,0.00000000,0.00000000,0,0.20179244,0,0.00000000,269.1
1,0,0.400213,5869.157315341,5869.157315341,uA,0.82235992,6.57887935,162946,0.19814438,162946,0.82235992,217.7
1,0,0.400213,5869.157315341,5869.157315341,uB,0.84419248,5.06515490,125454,0.19814438,125454,0.84419248,217.7
1,0,0.400213,5869.157315341,5869.157315341,ac,0.95092946,5.70557678,141316,0.19814438,141316,0.95092946,217.7
1,0,0.400213,5869.157315341,5869.157315341,ad,0.96063283,3.84253130,95172,0.19814438,95172,0.96063283,217.7
1,0,0.400213,5869.157315341,5869.157315341,bc,0.94122610,5.64735661,139874,0.19814438,139874,0.94122610,217.7
1,0,0.400213,5869.157315341,5869.157315341,bd,0.95092946,5.70557678,141316,0.19814438,141316,0.95092946,217.7
1,0,0.400213,5869.157315341,5869.157315341,vC,0.82963744,6.63709952,164388,0.19814438,164388,0.82963744,217.7
1,0,0.400213,5869.157315341,5869.157315341,vD,0.84419248,5.06515490,125454,0.19814438,125454,0.84419248,217.7
2,0,0.600197,5869.357299210,5869.357299210,uA,0.82200630,6.57605039,164388,0.19998387,164388,0.82200630,201.4
2,0,0.600197,5869.357299210,5869.357299210,uB,0.84604157,5.07624942,126896,0.19998387,126896,0.84604157,201.4
2,0,0.600197,5869.357299210,5869.357299210,ac,0.94218266,5.65309595,141316,0.19998387,141316,0.94218266,201.4
2,0,0.600197,5869.357299210,5869.357299210,ad,0.95179677,3.80718707,95172,0.19998387,95172,0.95179677,201.4
2,0,0.600197,5869.357299210,5869.357299210,bc,0.94218266,5.65309595,141316,0.19998387,141316,0.94218266,201.4
2,0,0.600197,5869.357299210,5869.357299210,bd,0.95179677,5.71078060,142758,0.19998387,142758,0.95179677,201.4
2,0,0.600197,5869.357299210,5869.357299210,vC,0.82200630,6.57605039,164388,0.19998387,164388,0.82200630,201.4
2,0,0.600197,5869.357299210,5869.357299210,vD,0.85565568,5.13393408,128338,0.19998387,128338,0.85565568,201.4
3,0,0.800203,5869.557305231,5869.557305231,uA,0.82191526,6.57532205,164388,0.20000602,164388,0.82191526,202.5
3,0,0.800203,5869.557305231,5869.557305231,uB,0.83633482,5.01800893,125454,0.20000602,125454,0.83633482,202.5
3,0,0.800203,5869.557305231,5869.557305231,ac,0.95169135,5.71014810,142758,0.20000602,142758,0.95169135,202.5
3,0,0.800203,5869.557305231,5869.557305231,ad,0.95169135,3.80676540,95172,0.20000602,95172,0.95169135,202.5
3,0,0.800203,5869.557305231,5869.557305231,bc,0.94207831,5.65246983,141316,0.20000602,141316,0.94207831,202.5
3,0,0.800203,5869.557305231,5869.557305231,bd,0.96130439,5.76782636,144200,0.20000602,144200,0.96130439,202.5
