sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000101,6252.339155458,6252.339155458,0,0,0.000000
1,0.012022,6252.351076027,6252.351076027,5,7000,0.000000
2,0.020060,6252.359113519,6252.359113519,9,12600,0.000000
3,0.030060,6252.369114213,6252.369114213,14,19600,0.000000
4,0.040083,6252.379136502,6252.379136502,19,26600,0.000000
5,0.050060,6252.389113677,6252.389113677,24,33600,0.000000
6,0.060064,6252.399117926,6252.399117926,29,40600,0.000000
7,0.070061,6252.409114757,6252.409114757,34,47600,0.000000
8,0.080082,6252.419135988,6252.419135988,39,54600,0.000000
9,0.090070,6252.429124192,6252.429124192,43,60200,0.000000
10,0.100066,6252.439120116,6252.439120116,48,67200,0.000000
11,0.110066,6252.449119543,6252.449119543,53,74200,0.000000
12,0.120068,6252.459121695,6252.459121695,58,81200,0.000000
13,0.130064,6252.469118453,6252.469118453,63,88200,0.000000
14,0.140061,6252.479115097,6252.479115097,68,95200,0.000000
15,0.150014,6252.489067779,6252.489067779,73,102200,0.000000
16,0.160065,6252.499118577,6252.499118577,77,107800,0.000000
17,0.170064,6252.509117517,6252.509117517,82,114800,0.000000
18,0.182981,6252.522035351,6252.522035351,89,124600,0.000000
19,0.190063,6252.529117202,6252.529117202,92,128800,0.000000
20,0.200064,6252.539118459,6252.539118459,97,135800,0.000000
21,0.210060,6252.549113841,6252.549113841,102,142800,0.000000
22,0.220045,6252.559099228,6252.559099228,107,149800,0.000000
23,0.230056,6252.569109672,6252.569109672,112,156800,0.000000
24,0.240063,6252.579116874,6252.579116874,116,162400,0.000000
25,0.250061,6252.589115389,6252.589115389,121,169400,0.000000
26,0.260986,6252.600040258,6252.600040258,127,177800,0.000000
27,0.270061,6252.609114544,6252.609114544,131,183400,0.000000
28,0.280059,6252.619113153,6252.619113153,136,190400,0.000000
29,0.290060,6252.629113745,6252.629113745,141,197400,0.000000
30,0.300059,6252.639113166,6252.639113166,146,204400,0.000000
31,0.310164,6252.649218186,6252.649218186,151,211400,0.000000
32,0.320061,6252.659114514,6252.659114514,155,217000,0.000000
33,0.330061,6252.669114759,6252.669114759,160,224000,0.000000
34,0.340060,6252.679114264,6252.679114264,165,231000,0.000000
35,0.350259,6252.689312999,6252.689312999,170,238000,0.000000
36,0.360069,6252.699123200,6252.699123200,175,245000,0.000000
37,0.370066,6252.709119939,6252.709119939,180,252000,0.000000
38,0.380064,6252.719117857,6252.719117857,185,259000,0.000000
39,0.390041,6252.729095005,6252.729095005,190,266000,0.000000
40,0.400072,6252.739126056,6252.739126056,194,271600,0.000000
41,0.410067,6252.749120535,6252.749120535,199,278600,0.000000
42,0.420067,6252.759120985,6252.759120985,204,285600,0.000000
43,0.430065,6252.769119302,6252.769119302,209,292600,0.000000
44,0.440069,6252.779122855,6252.779122855,214,299600,0.000000
45,0.450064,6252.789118128,6252.789118128,219,306600,0.000000
46,0.460062,6252.799116327,6252.799116327,224,313600,0.000000
47,0.470078,6252.809131833,6252.809131833,229,320600,0.000000
48,0.480067,6252.819120586,6252.819120586,233,326200,0.000000
49,0.490064,6252.829118095,6252.829118095,238,333200,0.000000
50,0.500060,6252.839113986,6252.839113986,243,340200,0.000000
51,0.510061,6252.849114545,6252.849114545,248,347200,0.000000
