sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000104,6252.348240136,6252.348240136,0,0,0.000000
1,0.010066,6252.358201742,6252.358201742,3,4200,0.000000
2,0.022261,6252.370396794,6252.370396794,7,9800,0.000000
3,0.031896,6252.380032190,6252.380032190,10,14000,0.000000
4,0.040062,6252.388198212,6252.388198212,13,18200,0.000000
5,0.050068,6252.398203654,6252.398203654,16,22400,0.000000
6,0.060902,6252.409037804,6252.409037804,19,26600,0.000000
7,0.070087,6252.418222838,6252.418222838,23,32200,0.000000
8,0.080064,6252.428200183,6252.428200183,26,36400,0.000000
9,0.090068,6252.438204021,6252.438204021,29,40600,0.000000
10,0.100065,6252.448201138,6252.448201138,32,44800,0.000000
11,0.110062,6252.458198314,6252.458198314,36,50400,0.000000
12,0.120639,6252.468775150,6252.468775150,39,54600,0.000000
13,0.130066,6252.478202390,6252.478202390,42,58800,0.000000
14,0.140387,6252.488523495,6252.488523495,46,64400,0.000000
15,0.150078,6252.498214430,6252.498214430,49,68600,0.000000
16,0.160068,6252.508204133,6252.508204133,52,72800,0.000000
17,0.172318,6252.520454069,6252.520454069,56,78400,0.000000
18,0.180061,6252.528196761,6252.528196761,59,82600,0.000000
19,0.190065,6252.538201516,6252.538201516,62,86800,0.000000
20,0.200072,6252.548208029,6252.548208029,65,91000,0.000000
21,0.210066,6252.558202283,6252.558202283,68,95200,0.000000
22,0.220064,6252.568200253,6252.568200253,72,100800,0.000000
23,0.230069,6252.578204630,6252.578204630,75,105000,0.000000
24,0.241906,6252.590041998,6252.590041998,79,110600,0.000000
25,0.250059,6252.598195543,6252.598195543,82,114800,0.000000
26,0.260913,6252.609049530,6252.609049530,85,119000,0.000000
27,0.270037,6252.618173081,6252.618173081,88,123200,0.000000
28,0.280079,6252.628214643,6252.628214643,91,127400,0.000000
29,0.290058,6252.638194478,6252.638194478,95,133000,0.000000
30,0.300059,6252.648195268,6252.648195268,98,137200,0.000000
31,0.310060,6252.658195862,6252.658195862,101,141400,0.000000
32,0.320060,6252.668195655,6252.668195655,105,147000,0.000000
33,0.330059,6252.678195266,6252.678195266,108,151200,0.000000
34,0.340060,6252.688195759,6252.688195759,111,155400,0.000000
35,0.350067,6252.698203451,6252.698203451,114,159600,0.000000
36,0.360060,6252.708195972,6252.708195972,118,165200,0.000000
37,0.370066,6252.718202260,6252.718202260,121,169400,0.000000
38,0.380030,6252.728165843,6252.728165843,124,173600,0.000000
39,0.390049,6252.738185321,6252.738185321,128,179200,0.000000
40,0.400064,6252.748200504,6252.748200504,131,183400,0.000000
41,0.410066,6252.758201758,6252.758201758,134,187600,0.000000
42,0.420061,6252.768197490,6252.768197490,137,191800,0.000000
43,0.430059,6252.778194950,6252.778194950,141,197400,0.000000
44,0.440064,6252.788200386,6252.788200386,144,201600,0.000000
45,0.450070,6252.798206113,6252.798206113,147,205800,0.000000
46,0.460013,6252.808148916,6252.808148916,151,211400,0.000000
47,0.470070,6252.818206333,6252.818206333,154,215600,0.000000
48,0.480066,6252.828202139,6252.828202139,157,219800,0.000000
49,0.490067,6252.838203049,6252.838203049,160,224000,0.000000
50,0.500070,6252.848206325,6252.848206325,164,229600,0.000000
51,0.510071,6252.858206707,6252.858206707,167,233800,0.000000
52,0.520064,6252.868199996,6252.868199996,170,238000,0.000000
53,0.530043,6252.878179496,6252.878179496,174,243600,0.000000
54,0.540066,6252.888201886,6252.888201886,177,247800,0.000000
55,0.550070,6252.898206204,6252.898206204,180,252000,0.000000
56,0.560067,6252.908202648,6252.908202648,183,256200,0.000000
57,0.570059,6252.918195536,6252.918195536,187,261800,0.000000
58,0.580040,6252.928175949,6252.928175949,190,266000,0.000000
59,0.590072,6252.938207651,6252.938207651,193,270200,0.000000
60,0.600048,6252.948183961,6252.948183961,197,275800,0.000000
61,0.610066,6252.958202387,6252.958202387,200,280000,0.000000
62,0.620071,6252.968206918,6252.968206918,203,284200,0.000000
63,0.630070,6252.978206413,6252.978206413,206,288400,0.000000
64,0.640065,6252.988201361,6252.988201361,210,294000,0.000000
65,0.650068,6252.998204039,6252.998204039,213,298200,0.000000
66,0.660066,6253.008201832,6253.008201832,216,302400,0.000000
67,0.670008,6253.018143667,6253.018143667,220,308000,0.000000
68,0.680077,6253.028212851,6253.028212851,223,312200,0.000000
69,0.690068,6253.038204180,6253.038204180,226,316400,0.000000
70,0.700066,6253.048201575,6253.048201575,229,320600,0.000000
71,0.710068,6253.058204349,6253.058204349,233,326200,0.000000
72,0.720079,6253.068215423,6253.068215423,236,330400,0.000000
73,0.730067,6253.078203303,6253.078203303,239,334600,0.000000
74,0.740041,6253.088177095,6253.088177095,243,340200,0.000000
75,0.750072,6253.098208266,6253.098208266,246,344400,0.000000
76,0.760067,6253.108203079,6253.108203079,249,348600,0.000000
77,0.770076,6253.118212447,6253.118212447,252,352800,0.000000
78,0.780069,6253.128204764,6253.128204764,256,358400,0.000000
79,0.790071,6253.138207090,6253.138207090,259,362600,0.000000
80,0.800081,6253.148216632,6253.148216632,262,366800,0.000000
81,0.810075,6253.158210691,6253.158210691,266,372400,0.000000
82,0.820071,6253.168206600,6253.168206600,269,376600,0.000000
83,0.830073,6253.178209539,6253.178209539,272,380800,0.000000
84,0.840079,6253.188214801,6253.188214801,275,385000,0.000000
85,0.850068,6253.198203622,6253.198203622,279,390600,0.000000
86,0.860052,6253.208187587,6253.208187587,282,394800,0.000000
87,0.870065,6253.218200736,6253.218200736,285,399000,0.000000
88,0.880029,6253.228165064,6253.228165064,288,403200,0.000000
89,0.890070,6253.238205997,6253.238205997,292,408800,0.000000
90,0.900072,6253.248207719,6253.248207719,295,413000,0.000000
91,0.910067,6253.258203483,6253.258203483,298,417200,0.000000
92,0.920061,6253.268197285,6253.268197285,302,422800,0.000000
93,0.930079,6253.278214954,6253.278214954,305,427000,0.000000
94,0.940032,6253.288168280,6253.288168280,308,431200,0.000000
95,0.950059,6253.298195392,6253.298195392,311,435400,0.000000
96,0.960057,6253.308193349,6253.308193349,315,441000,0.000000
97,0.970065,6253.318200877,6253.318200877,318,445200,0.000000
98,0.980064,6253.328200391,6253.328200391,321,449400,0.000000
99,0.990063,6253.338198718,6253.338198718,325,455000,0.000000
100,1.000063,6253.348199527,6253.348199527,328,459200,0.000000
101,1.010062,6253.358197959,6253.358197959,331,463400,0.000000
102,1.020070,6253.368206302,6253.368206302,334,467600,0.000000
103,1.030061,6253.378196740,6253.378196740,338,473200,0.000000
104,1.040062,6253.388197734,6253.388197734,341,477400,0.000000
105,1.050076,6253.398211827,6253.398211827,344,481600,0.000000
106,1.060062,6253.408198211,6253.408198211,348,487200,0.000000
107,1.070069,6253.418205396,6253.418205396,351,491400,0.000000
108,1.080068,6253.428203596,6253.428203596,354,495600,0.000000
109,1.090062,6253.438198438,6253.438198438,357,499800,0.000000
110,1.100068,6253.448204030,6253.448204030,361,505400,0.000000
111,1.110017,6253.458153257,6253.458153257,364,509600,0.000000
112,1.120069,6253.468205420,6253.468205420,367,513800,0.000000
113,1.130064,6253.478199850,6253.478199850,371,519400,0.000000
114,1.140076,6253.488212089,6253.488212089,374,523600,0.000000
115,1.150065,6253.498201163,6253.498201163,377,527800,0.000000
116,1.160069,6253.508204842,6253.508204842,380,532000,0.000000
117,1.170065,6253.518200992,6253.518200992,384,537600,0.000000
118,1.180067,6253.528202696,6253.528202696,387,541800,0.000000
119,1.190069,6253.538205119,6253.538205119,390,546000,0.000000
120,1.200068,6253.548203595,6253.548203595,394,551600,0.000000
121,1.210065,6253.558201396,6253.558201396,397,555800,0.000000
122,1.220055,6253.568191408,6253.568191408,400,560000,0.000000
123,1.230063,6253.578199221,6253.578199221,403,564200,0.000000
124,1.240067,6253.588203307,6253.588203307,407,569800,0.000000
125,1.250066,6253.598202479,6253.598202479,410,574000,0.000000
126,1.260066,6253.608202233,6253.608202233,413,578200,0.000000
127,1.270063,6253.618198958,6253.618198958,417,583800,0.000000
128,1.280064,6253.628200025,6253.628200025,420,588000,0.000000
129,1.290064,6253.638200360,6253.638200360,423,592200,0.000000
130,1.300064,6253.648199990,6253.648199990,426,596400,0.000000
131,1.310064,6253.658199905,6253.658199905,430,602000,0.000000
132,1.320080,6253.668216123,6253.668216123,433,606200,0.000000
133,1.330073,6253.678209447,6253.678209447,436,610400,0.000000
134,1.340049,6253.688184711,6253.688184711,440,616000,0.000000
135,1.350068,6253.698203943,6253.698203943,443,620200,0.000000
136,1.360044,6253.708180243,6253.708180243,446,624400,0.000000
137,1.370066,6253.718202122,6253.718202122,449,628600,0.000000
138,1.380060,6253.728196045,6253.728196045,453,634200,0.000000
139,1.390065,6253.738201048,6253.738201048,456,638400,0.000000
140,1.400071,6253.748207136,6253.748207136,459,642600,0.000000
141,1.410015,6253.758151450,6253.758151450,463,648200,0.000000
142,1.420064,6253.768199975,6253.768199975,466,652400,0.000000
143,1.430065,6253.778200919,6253.778200919,469,656600,0.000000
144,1.440066,6253.788202128,6253.788202128,472,660800,0.000000
145,1.450065,6253.798200833,6253.798200833,476,666400,0.000000
146,1.460069,6253.808204574,6253.808204574,479,670600,0.000000
147,1.470067,6253.818203135,6253.818203135,482,674800,0.000000
148,1.480014,6253.828149909,6253.828149909,486,680400,0.000000
149,1.490066,6253.838201691,6253.838201691,489,684600,0.000000
150,1.500067,6253.848202711,6253.848202711,492,688800,0.000000
151,1.510067,6253.858203011,6253.858203011,495,693000,0.000000
152,1.520064,6253.868199870,6253.868199870,499,698600,0.000000
153,1.530067,6253.878202767,6253.878202767,502,702800,0.000000
154,1.540065,6253.888201335,6253.888201335,505,707000,0.000000
155,1.550049,6253.898184884,6253.898184884,509,712600,0.000000
156,1.560050,6253.908186435,6253.908186435,512,716800,0.000000
157,1.570069,6253.918205120,6253.918205120,515,721000,0.000000
158,1.580066,6253.928202114,6253.928202114,518,725200,0.000000
159,1.590064,6253.938200397,6253.938200397,522,730800,0.000000
160,1.600079,6253.948215224,6253.948215224,525,735000,0.000000
161,1.610066,6253.958201600,6253.958201600,528,739200,0.000000
162,1.620071,6253.968207469,6253.968207469,532,744800,0.000000
163,1.630067,6253.978203454,6253.978203454,535,749000,0.000000
164,1.640071,6253.988207122,6253.988207122,538,753200,0.000000
165,1.650067,6253.998203429,6253.998203429,541,757400,0.000000
166,1.660059,6254.008195137,6254.008195137,545,763000,0.000000
167,1.670067,6254.018202808,6254.018202808,548,767200,0.000000
168,1.680068,6254.028204232,6254.028204232,551,771400,0.000000
169,1.690078,6254.038213828,6254.038213828,555,777000,0.000000
170,1.700066,6254.048202505,6254.048202505,558,781200,0.000000
171,1.710072,6254.058207813,6254.058207813,561,785400,0.000000
172,1.720067,6254.068202910,6254.068202910,564,789600,0.000000
173,1.730064,6254.078199634,6254.078199634,568,795200,0.000000
174,1.740064,6254.088200459,6254.088200459,571,799400,0.000000
175,1.750024,6254.098160219,6254.098160219,574,803600,0.000000
176,1.760074,6254.108209851,6254.108209851,577,807800,0.000000
177,1.770064,6254.118199809,6254.118199809,581,813400,0.000000
178,1.780065,6254.128200697,6254.128200697,584,817600,0.000000
179,1.790060,6254.138195789,6254.138195789,587,821800,0.000000
180,1.800062,6254.148198334,6254.148198334,591,827400,0.000000
181,1.810066,6254.158202508,6254.158202508,594,831600,0.000000
182,1.820068,6254.168203649,6254.168203649,597,835800,0.000000
183,1.830066,6254.178202182,6254.178202182,600,840000,0.000000
184,1.840065,6254.188201555,6254.188201555,604,845600,0.000000
185,1.850072,6254.198207602,6254.198207602,607,849800,0.000000
186,1.860051,6254.208186969,6254.208186969,610,854000,0.000000
187,1.870064,6254.218199791,6254.218199791,614,859600,0.000000
188,1.880061,6254.228196764,6254.228196764,617,863800,0.000000
189,1.890079,6254.238215155,6254.238215155,620,868000,0.000000
190,1.900066,6254.248202367,6254.248202367,623,872200,0.000000
191,1.910068,6254.258203673,6254.258203673,627,877800,0.000000
192,1.920072,6254.268208244,6254.268208244,630,882000,0.000000
193,1.930069,6254.278205562,6254.278205562,633,886200,0.000000
194,1.940028,6254.288163969,6254.288163969,637,891800,0.000000
195,1.950066,6254.298201798,6254.298201798,640,896000,0.000000
196,1.960058,6254.308193912,6254.308193912,643,900200,0.000000
197,1.970067,6254.318203402,6254.318203402,646,904400,0.000000
198,1.980064,6254.328200429,6254.328200429,650,910000,0.000000
199,1.990070,6254.338206100,6254.338206100,653,914200,0.000000
200,2.000066,6254.348202444,6254.348202444,656,918400,0.000000
201,2.010070,6254.358205582,6254.358205582,660,924000,0.000000
202,2.020033,6254.368169067,6254.368169067,663,928200,0.000000
203,2.030068,6254.378204259,6254.378204259,666,932400,0.000000
204,2.040068,6254.388204568,6254.388204568,669,936600,0.000000
205,2.050067,6254.398203037,6254.398203037,673,942200,0.000000
206,2.060060,6254.408196072,6254.408196072,676,946400,0.000000
207,2.070065,6254.418200977,6254.418200977,679,950600,0.000000
208,2.080063,6254.428198575,6254.428198575,683,956200,0.000000
209,2.090065,6254.438201334,6254.438201334,686,960400,0.000000
210,2.100066,6254.448201743,6254.448201743,689,964600,0.000000
211,2.110068,6254.458203631,6254.458203631,692,968800,0.000000
212,2.120030,6254.468166294,6254.468166294,696,974400,0.000000
