sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000100,6252.553367668,6252.553367668,0,0,0.000000
1,0.010067,6252.563334799,6252.563334799,4,5600,0.000000
2,0.020063,6252.573330073,6252.573330073,9,12600,0.000000
3,0.030060,6252.583327770,6252.583327770,14,19600,0.000000
4,0.040076,6252.593343584,6252.593343584,19,26600,0.000000
5,0.050060,6252.603327234,6252.603327234,24,33600,0.000000
6,0.060028,6252.613294974,6252.613294974,29,40600,0.000000
7,0.070060,6252.623327028,6252.623327028,33,46200,0.000000
8,0.080396,6252.633663082,6252.633663082,38,53200,0.000000
9,0.090060,6252.643327116,6252.643327116,43,60200,0.000000
10,0.100060,6252.653327588,6252.653327588,48,67200,0.000000
11,0.110071,6252.663338636,6252.663338636,53,74200,0.000000
12,0.120058,6252.673325661,6252.673325661,58,81200,0.000000
13,0.130065,6252.683332210,6252.683332210,63,88200,0.000000
14,0.140063,6252.693330841,6252.693330841,67,93800,0.000000
15,0.150068,6252.703334946,6252.703334946,72,100800,0.000000
16,0.160063,6252.713330710,6252.713330710,77,107800,0.000000
17,0.170060,6252.723327038,6252.723327038,82,114800,0.000000
18,0.180068,6252.733335706,6252.733335706,87,121800,0.000000
19,0.190014,6252.743281616,6252.743281616,92,128800,0.000000
20,0.200066,6252.753332972,6252.753332972,96,134400,0.000000
21,0.210066,6252.763332996,6252.763332996,101,141400,0.000000
22,0.220065,6252.773332578,6252.773332578,106,148400,0.000000
23,0.230068,6252.783335033,6252.783335033,111,155400,0.000000
24,0.240059,6252.793325947,6252.793325947,116,162400,0.000000
25,0.250062,6252.803329826,6252.803329826,121,169400,0.000000
26,0.260076,6252.813343178,6252.813343178,126,176400,0.000000
27,0.270053,6252.823320561,6252.823320561,130,182000,0.000000
28,0.280063,6252.833330412,6252.833330412,135,189000,0.000000
29,0.290063,6252.843330079,6252.843330079,140,196000,0.000000
30,0.300070,6252.853337799,6252.853337799,145,203000,0.000000
31,0.310062,6252.863329629,6252.863329629,150,210000,0.000000
32,0.320068,6252.873335203,6252.873335203,155,217000,0.000000
33,0.330068,6252.883335486,6252.883335486,159,222600,0.000000
34,0.340019,6252.893286105,6252.893286105,164,229600,0.000000
35,0.350063,6252.903330727,6252.903330727,169,236600,0.000000
36,0.360064,6252.913331809,6252.913331809,174,243600,0.000000
37,0.370071,6252.923337867,6252.923337867,179,250600,0.000000
38,0.380060,6252.933327110,6252.933327110,184,257600,0.000000
39,0.390073,6252.943339998,6252.943339998,189,264600,0.000000
40,0.400069,6252.953336492,6252.953336492,193,270200,0.000000
41,0.410074,6252.963341794,6252.963341794,198,277200,0.000000
42,0.420066,6252.973333005,6252.973333005,203,284200,0.000000
43,0.430065,6252.983331997,6252.983331997,208,291200,0.000000
44,0.440067,6252.993334575,6252.993334575,213,298200,0.000000
45,0.450034,6253.003301694,6253.003301694,218,305200,0.000000
46,0.460068,6253.013335444,6253.013335444,222,310800,0.000000
47,0.470067,6253.023334522,6253.023334522,227,317800,0.000000
48,0.480069,6253.033336609,6253.033336609,232,324800,0.000000
49,0.490053,6253.043320688,6253.043320688,237,331800,0.000000
50,0.500064,6253.053331857,6253.053331857,242,338800,0.000000
51,0.510067,6253.063334341,6253.063334341,247,345800,0.000000
52,0.520078,6253.073345692,6253.073345692,252,352800,0.000000
53,0.530067,6253.083334710,6253.083334710,256,358400,0.000000
54,0.540067,6253.093334221,6253.093334221,261,365400,0.000000
55,0.550059,6253.103326465,6253.103326465,266,372400,0.000000
56,0.560067,6253.113334705,6253.113334705,271,379400,0.000000
57,0.570068,6253.123334955,6253.123334955,276,386400,0.000000
58,0.580062,6253.133329211,6253.133329211,281,393400,0.000000
59,0.590070,6253.143337024,6253.143337024,285,399000,0.000000
60,0.600060,6253.153327534,6253.153327534,290,406000,0.000000
61,0.610072,6253.163339358,6253.163339358,295,413000,0.000000
62,0.620060,6253.173327178,6253.173327178,300,420000,0.000000
63,0.630060,6253.183327179,6253.183327179,305,427000,0.000000
64,0.640069,6253.193336209,6253.193336209,310,434000,0.000000
65,0.650065,6253.203332616,6253.203332616,314,439600,0.000000
66,0.660071,6253.213338335,6253.213338335,319,446600,0.000000
67,0.670068,6253.223335433,6253.223335433,324,453600,0.000000
68,0.680070,6253.233337776,6253.233337776,329,460600,0.000000
69,0.690071,6253.243338139,6253.243338139,334,467600,0.000000
70,0.700071,6253.253338438,6253.253338438,339,474600,0.000000
71,0.710030,6253.263297694,6253.263297694,344,481600,0.000000
72,0.720077,6253.273344152,6253.273344152,348,487200,0.000000
73,0.730067,6253.283334592,6253.283334592,353,494200,0.000000
74,0.740061,6253.293328365,6253.293328365,358,501200,0.000000
75,0.750067,6253.303334319,6253.303334319,363,508200,0.000000
76,0.760059,6253.313326341,6253.313326341,368,515200,0.000000
77,0.770057,6253.323324763,6253.323324763,373,522200,0.000000
78,0.780067,6253.333334266,6253.333334266,377,527800,0.000000
79,0.790063,6253.343330461,6253.343330461,382,534800,0.000000
80,0.800058,6253.353325194,6253.353325194,387,541800,0.000000
81,0.810063,6253.363330584,6253.363330584,392,548800,0.000000
82,0.820058,6253.373325598,6253.373325598,397,555800,0.000000
83,0.830042,6253.383309065,6253.383309065,402,562800,0.000000
84,0.840067,6253.393334785,6253.393334785,407,569800,0.000000
85,0.850078,6253.403345140,6253.403345140,411,575400,0.000000
86,0.860066,6253.413333091,6253.413333091,416,582400,0.000000
87,0.870068,6253.423335158,6253.423335158,421,589400,0.000000
88,0.880073,6253.433340100,6253.433340100,426,596400,0.000000
89,0.890062,6253.443329042,6253.443329042,431,603400,0.000000
90,0.900060,6253.453327139,6253.453327139,436,610400,0.000000
91,0.910069,6253.463336175,6253.463336175,440,616000,0.000000
92,0.920069,6253.473336236,6253.473336236,445,623000,0.000000
93,0.930060,6253.483327029,6253.483327029,450,630000,0.000000
94,0.940066,6253.493333759,6253.493333759,455,637000,0.000000
95,0.950064,6253.503331294,6253.503331294,460,644000,0.000000
96,0.960071,6253.513338632,6253.513338632,465,651000,0.000000
97,0.970020,6253.523287202,6253.523287202,470,658000,0.000000
98,0.980067,6253.533334238,6253.533334238,474,663600,0.000000
99,0.990068,6253.543334901,6253.543334901,479,670600,0.000000
100,1.000069,6253.553336599,6253.553336599,484,677600,0.000000
101,1.010068,6253.563335741,6253.563335741,489,684600,0.000000
102,1.020067,6253.573334234,6253.573334234,494,691600,0.000000
103,1.030064,6253.583331820,6253.583331820,499,698600,0.000000
104,1.040059,6253.593326689,6253.593326689,503,704200,0.000000
105,1.050066,6253.603332945,6253.603332945,508,711200,0.000000
106,1.060067,6253.613334047,6253.613334047,513,718200,0.000000
107,1.070068,6253.623335817,6253.623335817,518,725200,0.000000
108,1.080067,6253.633334822,6253.633334822,523,732200,0.000000
109,1.090065,6253.643332185,6253.643332185,528,739200,0.000000
110,1.100065,6253.653332096,6253.653332096,533,746200,0.000000
111,1.110065,6253.663332504,6253.663332504,537,751800,0.000000
112,1.120035,6253.673302370,6253.673302370,542,758800,0.000000
113,1.130064,6253.683331672,6253.683331672,547,765800,0.000000
114,1.140064,6253.693331237,6253.693331237,552,772800,0.000000
115,1.150065,6253.703332770,6253.703332770,557,779800,0.000000
116,1.160037,6253.713304174,6253.713304174,562,786800,0.000000
117,1.170072,6253.723339309,6253.723339309,566,792400,0.000000
118,1.180069,6253.733336414,6253.733336414,571,799400,0.000000
119,1.190064,6253.743331350,6253.743331350,576,806400,0.000000
120,1.200066,6253.753333705,6253.753333705,581,813400,0.000000
121,1.210062,6253.763328944,6253.763328944,586,820400,0.000000
122,1.220062,6253.773329288,6253.773329288,591,827400,0.000000
123,1.230070,6253.783337116,6253.783337116,596,834400,0.000000
124,1.240068,6253.793335421,6253.793335421,600,840000,0.000000
125,1.250067,6253.803334536,6253.803334536,605,847000,0.000000
126,1.260066,6253.813333170,6253.813333170,610,854000,0.000000
127,1.270063,6253.823330843,6253.823330843,615,861000,0.000000
128,1.280065,6253.833332134,6253.833332134,620,868000,0.000000
129,1.290029,6253.843295982,6253.843295982,625,875000,0.000000
130,1.300071,6253.853337892,6253.853337892,629,880600,0.000000
131,1.310066,6253.863333020,6253.863333020,634,887600,0.000000
132,1.320063,6253.873330316,6253.873330316,639,894600,0.000000
133,1.330032,6253.883299503,6253.883299503,644,901600,0.000000
134,1.340065,6253.893332311,6253.893332311,649,908600,0.000000
135,1.350062,6253.903329009,6253.903329009,654,915600,0.000000
136,1.360011,6253.913278182,6253.913278182,658,921200,0.000000
137,1.370068,6253.923335190,6253.923335190,663,928200,0.000000
138,1.380066,6253.933333161,6253.933333161,668,935200,0.000000
139,1.390058,6253.943325768,6253.943325768,673,942200,0.000000
140,1.400063,6253.953330448,6253.953330448,678,949200,0.000000
141,1.410020,6253.963287571,6253.963287571,683,956200,0.000000
142,1.420052,6253.973319276,6253.973319276,688,963200,0.000000
143,1.430066,6253.983333302,6253.983333302,692,968800,0.000000
144,1.440068,6253.993335035,6253.993335035,697,975800,0.000000
145,1.450064,6254.003331841,6254.003331841,702,982800,0.000000
146,1.460067,6254.013334819,6254.013334819,707,989800,0.000000
147,1.470062,6254.023328915,6254.023328915,712,996800,0.000000
148,1.480063,6254.033330046,6254.033330046,717,1003800,0.000000
149,1.490075,6254.043342813,6254.043342813,722,1010800,0.000000
150,1.500068,6254.053334927,6254.053334927,726,1016400,0.000000
151,1.510071,6254.063338831,6254.063338831,731,1023400,0.000000
152,1.520069,6254.073336329,6254.073336329,736,1030400,0.000000
153,1.530065,6254.083331916,6254.083331916,741,1037400,0.000000
154,1.540067,6254.093334131,6254.093334131,746,1044400,0.000000
155,1.550066,6254.103333705,6254.103333705,751,1051400,0.000000
156,1.560064,6254.113331578,6254.113331578,755,1057000,0.000000
157,1.570060,6254.123327765,6254.123327765,760,1064000,0.000000
158,1.580066,6254.133333453,6254.133333453,765,1071000,0.000000
159,1.590063,6254.143330438,6254.143330438,770,1078000,0.000000
160,1.600059,6254.153326402,6254.153326402,775,1085000,0.000000
161,1.610062,6254.163329374,6254.163329374,780,1092000,0.000000
162,1.620070,6254.173337700,6254.173337700,785,1099000,0.000000
163,1.630065,6254.183332734,6254.183332734,789,1104600,0.000000
164,1.640065,6254.193332014,6254.193332014,794,1111600,0.000000
165,1.650065,6254.203331978,6254.203331978,799,1118600,0.000000
166,1.660064,6254.213331096,6254.213331096,804,1125600,0.000000
167,1.670064,6254.223331001,6254.223331001,809,1132600,0.000000
168,1.680057,6254.233324761,6254.233324761,814,1139600,0.000000
169,1.690072,6254.243338879,6254.243338879,818,1145200,0.000000
170,1.700068,6254.253335615,6254.253335615,823,1152200,0.000000
171,1.710060,6254.263327235,6254.263327235,828,1159200,0.000000
172,1.720064,6254.273331220,6254.273331220,833,1166200,0.000000
173,1.730060,6254.283327666,6254.283327666,838,1173200,0.000000
174,1.740058,6254.293325311,6254.293325311,843,1180200,0.000000
175,1.750064,6254.303331829,6254.303331829,847,1185800,0.000000
176,1.760063,6254.313330154,6254.313330154,852,1192800,0.000000
177,1.770065,6254.323332457,6254.323332457,857,1199800,0.000000
178,1.780055,6254.333322124,6254.333322124,862,1206800,0.000000
179,1.790066,6254.343333128,6254.343333128,867,1213800,0.000000
180,1.800062,6254.353329004,6254.353329004,872,1220800,0.000000
181,1.810062,6254.363329041,6254.363329041,877,1227800,0.000000
182,1.820062,6254.373329772,6254.373329772,881,1233400,0.000000
183,1.830063,6254.383330634,6254.383330634,886,1240400,0.000000
184,1.840065,6254.393332573,6254.393332573,891,1247400,0.000000
185,1.850062,6254.403329350,6254.403329350,896,1254400,0.000000
186,1.860067,6254.413334150,6254.413334150,901,1261400,0.000000
187,1.870057,6254.423324834,6254.423324834,906,1268400,0.000000
188,1.880064,6254.433331764,6254.433331764,910,1274000,0.000000
189,1.890061,6254.443328276,6254.443328276,915,1281000,0.000000
190,1.900064,6254.453331073,6254.453331073,920,1288000,0.000000
191,1.910933,6254.464200813,6254.464200813,925,1295000,0.000000
192,1.920067,6254.473334277,6254.473334277,930,1302000,0.000000
193,1.930065,6254.483332591,6254.483332591,935,1309000,0.000000
194,1.940062,6254.493329112,6254.493329112,940,1316000,0.000000
195,1.950023,6254.503290110,6254.503290110,944,1321600,0.000000
196,1.960060,6254.513327111,6254.513327111,949,1328600,0.000000
197,1.970070,6254.523337195,6254.523337195,954,1335600,0.000000
198,1.980070,6254.533337271,6254.533337271,959,1342600,0.000000
199,1.990064,6254.543331753,6254.543331753,964,1349600,0.000000
200,2.000063,6254.553330338,6254.553330338,969,1356600,0.000000
201,2.010059,6254.563326795,6254.563326795,973,1362200,0.000000
202,2.020068,6254.573335776,6254.573335776,978,1369200,0.000000
203,2.030066,6254.583333088,6254.583333088,983,1376200,0.000000
204,2.040064,6254.593331057,6254.593331057,988,1383200,0.000000
205,2.050070,6254.603337770,6254.603337770,993,1390200,0.000000
206,2.060058,6254.613325414,6254.613325414,998,1397200,0.000000
207,2.070035,6254.623302564,6254.623302564,1003,1404200,0.000000
208,2.080065,6254.633332109,6254.633332109,1007,1409800,0.000000
209,2.090068,6254.643335276,6254.643335276,1012,1416800,0.000000
210,2.100059,6254.653326359,6254.653326359,1017,1423800,0.000000
211,2.110068,6254.663334889,6254.663334889,1022,1430800,0.000000
212,2.120066,6254.673333640,6254.673333640,1027,1437800,0.000000
213,2.130061,6254.683328240,6254.683328240,1032,1444800,0.000000
214,2.140067,6254.693334568,6254.693334568,1036,1450400,0.000000
215,2.150066,6254.703333395,6254.703333395,1041,1457400,0.000000
216,2.160066,6254.713333768,6254.713333768,1046,1464400,0.000000
217,2.170066,6254.723333150,6254.723333150,1051,1471400,0.000000
218,2.180071,6254.733338021,6254.733338021,1056,1478400,0.000000
219,2.190065,6254.743332026,6254.743332026,1061,1485400,0.000000
220,2.200037,6254.753304318,6254.753304318,1066,1492400,0.000000
221,2.210065,6254.763331951,6254.763331951,1070,1498000,0.000000
222,2.220065,6254.773332690,6254.773332690,1075,1505000,0.000000
223,2.230066,6254.783333153,6254.783333153,1080,1512000,0.000000
224,2.240066,6254.793332996,6254.793332996,1085,1519000,0.000000
225,2.250067,6254.803334807,6254.803334807,1090,1526000,0.000000
226,2.260023,6254.813290205,6254.813290205,1095,1533000,0.000000
227,2.270071,6254.823338126,6254.823338126,1099,1538600,0.000000
228,2.280070,6254.833337076,6254.833337076,1104,1545600,0.000000
229,2.290069,6254.843336322,6254.843336322,1109,1552600,0.000000
230,2.300065,6254.853331896,6254.853331896,1114,1559600,0.000000
231,2.310014,6254.863281484,6254.863281484,1119,1566600,0.000000
232,2.320063,6254.873330063,6254.873330063,1124,1573600,0.000000
233,2.330063,6254.883330321,6254.883330321,1129,1580600,0.000000
234,2.340066,6254.893333489,6254.893333489,1133,1586200,0.000000
235,2.350063,6254.903330471,6254.903330471,1138,1593200,0.000000
236,2.360067,6254.913334090,6254.913334090,1143,1600200,0.000000
237,2.370067,6254.923334572,6254.923334572,1148,1607200,0.000000
238,2.380066,6254.933333508,6254.933333508,1153,1614200,0.000000
239,2.390025,6254.943292698,6254.943292698,1158,1621200,0.000000
240,2.400073,6254.953340019,6254.953340019,1162,1626800,0.000000
241,2.410015,6254.963281961,6254.963281961,1167,1633800,0.000000
