sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000096,6252.580168763,6252.580168763,0,0,0.000000
1,0.010080,6252.590152838,6252.590152838,4,5600,0.000000
2,0.021578,6252.601651542,6252.601651542,10,14000,0.000000
3,0.030060,6252.610133400,6252.610133400,14,19600,0.000000
4,0.040079,6252.620152318,6252.620152318,19,26600,0.000000
5,0.050059,6252.630132255,6252.630132255,24,33600,0.000000
6,0.060058,6252.640131418,6252.640131418,29,40600,0.000000
7,0.070059,6252.650132225,6252.650132225,34,47600,0.000000
8,0.080059,6252.660132487,6252.660132487,39,54600,0.000000
9,0.090058,6252.670131526,6252.670131526,44,61600,0.000000
10,0.100048,6252.680121608,6252.680121608,49,68600,0.000000
11,0.110059,6252.690132347,6252.690132347,53,74200,0.000000
12,0.120066,6252.700139282,6252.700139282,58,81200,0.000000
13,0.130063,6252.710136110,6252.710136110,63,88200,0.000000
14,0.140070,6252.720143328,6252.720143328,68,95200,0.000000
15,0.150066,6252.730139419,6252.730139419,73,102200,0.000000
16,0.160017,6252.740090545,6252.740090545,78,109200,0.000000
17,0.170064,6252.750136915,6252.750136915,83,116200,0.000000
18,0.180067,6252.760140579,6252.760140579,88,123200,0.000000
19,0.190022,6252.770095489,6252.770095489,93,130200,0.000000
20,0.200075,6252.780148012,6252.780148012,98,137200,0.000000
21,0.210072,6252.790145351,6252.790145351,102,142800,0.000000
22,0.220066,6252.800139637,6252.800139637,107,149800,0.000000
23,0.230062,6252.810135318,6252.810135318,112,156800,0.000000
24,0.240064,6252.820136798,6252.820136798,117,163800,0.000000
25,0.250064,6252.830137388,6252.830137388,122,170800,0.000000
26,0.260064,6252.840137660,6252.840137660,127,177800,0.000000
27,0.270065,6252.850138282,6252.850138282,132,184800,0.000000
28,0.280062,6252.860135110,6252.860135110,137,191800,0.000000
29,0.290047,6252.870120411,6252.870120411,142,198800,0.000000
30,0.300078,6252.880151032,6252.880151032,147,205800,0.000000
31,0.310066,6252.890139069,6252.890139069,151,211400,0.000000
32,0.320069,6252.900142601,6252.900142601,156,218400,0.000000
33,0.330061,6252.910134163,6252.910134163,161,225400,0.000000
34,0.340067,6252.920139688,6252.920139688,166,232400,0.000000
35,0.350064,6252.930136787,6252.930136787,171,239400,0.000000
36,0.360065,6252.940138486,6252.940138486,176,246400,0.000000
37,0.370065,6252.950138196,6252.950138196,181,253400,0.000000
38,0.380065,6252.960137766,6252.960137766,186,260400,0.000000
39,0.390062,6252.970135505,6252.970135505,191,267400,0.000000
40,0.400067,6252.980140257,6252.980140257,195,273000,0.000000
41,0.410068,6252.990141406,6252.990141406,200,280000,0.000000
42,0.420044,6253.000116669,6253.000116669,205,287000,0.000000
43,0.430067,6253.010139683,6253.010139683,210,294000,0.000000
44,0.440065,6253.020138450,6253.020138450,215,301000,0.000000
45,0.450067,6253.030140301,6253.030140301,220,308000,0.000000
46,0.460065,6253.040138346,6253.040138346,225,315000,0.000000
47,0.470065,6253.050137883,6253.050137883,230,322000,0.000000
48,0.480065,6253.060138178,6253.060138178,235,329000,0.000000
49,0.490082,6253.070154742,6253.070154742,240,336000,0.000000
50,0.500066,6253.080138764,6253.080138764,244,341600,0.000000
51,0.510066,6253.090139581,6253.090139581,249,348600,0.000000
52,0.520068,6253.100141333,6253.100141333,254,355600,0.000000
53,0.530085,6253.110158428,6253.110158428,259,362600,0.000000
54,0.540064,6253.120137344,6253.120137344,264,369600,0.000000
55,0.550067,6253.130139957,6253.130139957,269,376600,0.000000
56,0.560045,6253.140117774,6253.140117774,274,383600,0.000000
57,0.570068,6253.150141210,6253.150141210,279,390600,0.000000
58,0.580069,6253.160142253,6253.160142253,284,397600,0.000000
59,0.590065,6253.170137944,6253.170137944,289,404600,0.000000
60,0.600063,6253.180136404,6253.180136404,293,410200,0.000000
61,0.610071,6253.190144655,6253.190144655,298,417200,0.000000
62,0.620071,6253.200144272,6253.200144272,303,424200,0.000000
63,0.630033,6253.210106543,6253.210106543,308,431200,0.000000
64,0.640076,6253.220149292,6253.220149292,313,438200,0.000000
65,0.650069,6253.230142061,6253.230142061,318,445200,0.000000
66,0.660071,6253.240144004,6253.240144004,323,452200,0.000000
67,0.670069,6253.250142282,6253.250142282,328,459200,0.000000
68,0.680069,6253.260142664,6253.260142664,333,466200,0.000000
69,0.690055,6253.270128120,6253.270128120,338,473200,0.000000
70,0.700046,6253.280118770,6253.280118770,342,478800,0.000000
71,0.710065,6253.290138325,6253.290138325,347,485800,0.000000
72,0.720061,6253.300133951,6253.300133951,352,492800,0.000000
73,0.730060,6253.310132965,6253.310132965,357,499800,0.000000
74,0.740062,6253.320135571,6253.320135571,362,506800,0.000000
75,0.750067,6253.330140378,6253.330140378,367,513800,0.000000
76,0.760069,6253.340142020,6253.340142020,372,520800,0.000000
77,0.770069,6253.350142156,6253.350142156,377,527800,0.000000
78,0.780065,6253.360138039,6253.360138039,382,534800,0.000000
79,0.790069,6253.370142245,6253.370142245,387,541800,0.000000
80,0.800064,6253.380137596,6253.380137596,391,547400,0.000000
81,0.810068,6253.390140765,6253.390140765,396,554400,0.000000
82,0.820075,6253.400147826,6253.400147826,401,561400,0.000000
83,0.830069,6253.410142467,6253.410142467,406,568400,0.000000
84,0.840069,6253.420142587,6253.420142587,411,575400,0.000000
85,0.850063,6253.430136134,6253.430136134,416,582400,0.000000
86,0.860065,6253.440138158,6253.440138158,421,589400,0.000000
87,0.870064,6253.450137474,6253.450137474,426,596400,0.000000
88,0.880061,6253.460134341,6253.460134341,431,603400,0.000000
89,0.890027,6253.470099957,6253.470099957,436,610400,0.000000
90,0.900016,6253.480088952,6253.480088952,440,616000,0.000000
91,0.910075,6253.490148502,6253.490148502,445,623000,0.000000
92,0.920067,6253.500140335,6253.500140335,450,630000,0.000000
93,0.930062,6253.510135292,6253.510135292,455,637000,0.000000
94,0.940068,6253.520141266,6253.520141266,460,644000,0.000000
95,0.950065,6253.530137835,6253.530137835,465,651000,0.000000
96,0.960069,6253.540142211,6253.540142211,470,658000,0.000000
97,0.970063,6253.550135665,6253.550135665,475,665000,0.000000
98,0.980064,6253.560137411,6253.560137411,480,672000,0.000000
99,0.990054,6253.570127439,6253.570127439,485,679000,0.000000
100,1.000065,6253.580137724,6253.580137724,489,684600,0.000000
101,1.010066,6253.590139041,6253.590139041,494,691600,0.000000
102,1.020067,6253.600140505,6253.600140505,499,698600,0.000000
103,1.030069,6253.610142579,6253.610142579,504,705600,0.000000
104,1.040063,6253.620136579,6253.620136579,509,712600,0.000000
105,1.050063,6253.630135796,6253.630135796,514,719600,0.000000
106,1.060063,6253.640136491,6253.640136491,519,726600,0.000000
107,1.070065,6253.650137781,6253.650137781,524,733600,0.000000
108,1.080064,6253.660137076,6253.660137076,529,740600,0.000000
109,1.090069,6253.670141818,6253.670141818,534,747600,0.000000
110,1.100067,6253.680140481,6253.680140481,538,753200,0.000000
111,1.110067,6253.690139944,6253.690139944,543,760200,0.000000
112,1.120078,6253.700151664,6253.700151664,548,767200,0.000000
113,1.130071,6253.710143935,6253.710143935,553,774200,0.000000
114,1.140065,6253.720137909,6253.720137909,558,781200,0.000000
115,1.150061,6253.730133685,6253.730133685,563,788200,0.000000
116,1.160061,6253.740134155,6253.740134155,568,795200,0.000000
117,1.170097,6253.750170328,6253.750170328,573,802200,0.000000
118,1.180063,6253.760136044,6253.760136044,578,809200,0.000000
119,1.190076,6253.770148879,6253.770148879,583,816200,0.000000
