sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000119,6252.158020953,6252.158020953,0,0,0.000000
1,0.010063,6252.167965448,6252.167965448,5,7000,0.000000
2,0.020059,6252.177961249,6252.177961249,11,15400,0.000000
3,0.030061,6252.187963262,6252.187963262,16,22400,0.000000
4,0.041395,6252.199297609,6252.199297609,23,32200,0.000000
5,0.050058,6252.207960299,6252.207960299,28,39200,0.000000
6,0.060059,6252.217961375,6252.217961375,33,46200,0.000000
7,0.070071,6252.227972765,6252.227972765,39,54600,0.000000
8,0.080062,6252.237964141,6252.237964141,45,63000,0.000000
9,0.090075,6252.247977382,6252.247977382,50,70000,0.000000
10,0.100052,6252.257953995,6252.257953995,56,78400,0.000000
11,0.110021,6252.267923214,6252.267923214,62,86800,0.000000
12,0.120063,6252.277964843,6252.277964843,67,93800,0.000000
13,0.130066,6252.287968333,6252.287968333,73,102200,0.000000
14,0.140069,6252.297971081,6252.297971081,78,109200,0.000000
15,0.150070,6252.307972087,6252.307972087,84,117600,0.000000
16,0.160155,6252.318056953,6252.318056953,90,126000,0.000000
17,0.170069,6252.327970978,6252.327970978,95,133000,0.000000
18,0.180029,6252.337931196,6252.337931196,101,141400,0.000000
19,0.192133,6252.350035078,6252.350035078,108,151200,0.000000
20,0.203123,6252.361025542,6252.361025542,114,159600,0.000000
21,0.210063,6252.367964778,6252.367964778,118,165200,0.000000
22,0.220059,6252.377960892,6252.377960892,124,173600,0.000000
23,0.230068,6252.387970003,6252.387970003,129,180600,0.000000
24,0.240061,6252.397963275,6252.397963275,135,189000,0.000000
25,0.250088,6252.407990191,6252.407990191,141,197400,0.000000
26,0.260065,6252.417967579,6252.417967579,146,204400,0.000000
27,0.270070,6252.427972049,6252.427972049,152,212800,0.000000
28,0.280064,6252.437965830,6252.437965830,157,219800,0.000000
29,0.290065,6252.447966889,6252.447966889,163,228200,0.000000
30,0.300068,6252.457969829,6252.457969829,169,236600,0.000000
31,0.310074,6252.467976174,6252.467976174,174,243600,0.000000
32,0.320064,6252.477965939,6252.477965939,180,252000,0.000000
33,0.330042,6252.487943965,6252.487943965,186,260400,0.000000
34,0.340067,6252.497969640,6252.497969640,191,267400,0.000000
35,0.350066,6252.507968408,6252.507968408,197,275800,0.000000
36,0.360066,6252.517967734,6252.517967734,203,284200,0.000000
37,0.370067,6252.527968937,6252.527968937,208,291200,0.000000
38,0.380041,6252.537942757,6252.537942757,214,299600,0.000000
39,0.390072,6252.547973760,6252.547973760,219,306600,0.000000
40,0.402040,6252.559942485,6252.559942485,226,316400,0.000000
41,0.410058,6252.567960358,6252.567960358,231,323400,0.000000
42,0.420071,6252.577972873,6252.577972873,236,330400,0.000000
43,0.430117,6252.588019385,6252.588019385,242,338800,0.000000
44,0.440065,6252.597967124,6252.597967124,248,347200,0.000000
45,0.450060,6252.607962495,6252.607962495,253,354200,0.000000
46,0.460058,6252.617960260,6252.617960260,259,362600,0.000000
47,0.470058,6252.627960531,6252.627960531,265,371000,0.000000
48,0.480019,6252.637921452,6252.637921452,270,378000,0.000000
49,0.490059,6252.647960711,6252.647960711,276,386400,0.000000
50,0.500061,6252.657963253,6252.657963253,281,393400,0.000000
51,0.510061,6252.667962776,6252.667962776,287,401800,0.000000
52,0.520059,6252.677960926,6252.677960926,293,410200,0.000000
53,0.530068,6252.687970503,6252.687970503,298,417200,0.000000
54,0.540060,6252.697962434,6252.697962434,304,425600,0.000000
55,0.550064,6252.707966402,6252.707966402,310,434000,0.000000
56,0.560073,6252.717974680,6252.717974680,315,441000,0.000000
57,0.570058,6252.727960266,6252.727960266,321,449400,0.000000
58,0.580053,6252.737955042,6252.737955042,327,457800,0.000000
59,0.590064,6252.747966050,6252.747966050,332,464800,0.000000
60,0.600063,6252.757965644,6252.757965644,338,473200,0.000000
61,0.610087,6252.767989272,6252.767989272,344,481600,0.000000
62,0.620069,6252.777971209,6252.777971209,349,488600,0.000000
63,0.630066,6252.787968213,6252.787968213,355,497000,0.000000
64,0.640062,6252.797963986,6252.797963986,360,504000,0.000000
65,0.650067,6252.807969515,6252.807969515,366,512400,0.000000
66,0.660064,6252.817966259,6252.817966259,372,520800,0.000000
67,0.670051,6252.827952905,6252.827952905,377,527800,0.000000
68,0.680063,6252.837965065,6252.837965065,383,536200,0.000000
69,0.690053,6252.847954907,6252.847954907,389,544600,0.000000
70,0.700065,6252.857967154,6252.857967154,394,551600,0.000000
71,0.710066,6252.867968413,6252.867968413,400,560000,0.000000
72,0.720020,6252.877921693,6252.877921693,406,568400,0.000000
73,0.730063,6252.887965535,6252.887965535,411,575400,0.000000
74,0.740054,6252.897955910,6252.897955910,417,583800,0.000000
75,0.750071,6252.907972989,6252.907972989,422,590800,0.000000
76,0.760068,6252.917970170,6252.917970170,428,599200,0.000000
77,0.770062,6252.927964137,6252.927964137,434,607600,0.000000
78,0.780064,6252.937966189,6252.937966189,439,614600,0.000000
79,0.790067,6252.947969650,6252.947969650,445,623000,0.000000
80,0.800050,6252.957951843,6252.957951843,451,631400,0.000000
81,0.810067,6252.967969562,6252.967969562,456,638400,0.000000
82,0.820066,6252.977967782,6252.977967782,462,646800,0.000000
83,0.830062,6252.987964607,6252.987964607,468,655200,0.000000
84,0.840069,6252.997970858,6252.997970858,473,662200,0.000000
85,0.850068,6253.007970084,6253.007970084,479,670600,0.000000
86,0.860074,6253.017976391,6253.017976391,485,679000,0.000000
87,0.870066,6253.027967763,6253.027967763,490,686000,0.000000
88,0.880063,6253.037964793,6253.037964793,496,694400,0.000000
89,0.890070,6253.047972631,6253.047972631,501,701400,0.000000
90,0.900067,6253.057969450,6253.057969450,507,709800,0.000000
91,0.910062,6253.067964555,6253.067964555,513,718200,0.000000
92,0.920065,6253.077966852,6253.077966852,518,725200,0.000000
93,0.930075,6253.087976921,6253.087976921,524,733600,0.000000
94,0.940027,6253.097928939,6253.097928939,530,742000,0.000000
95,0.950075,6253.107977575,6253.107977575,535,749000,0.000000
96,0.960065,6253.117967204,6253.117967204,541,757400,0.000000
97,0.970055,6253.127957385,6253.127957385,547,765800,0.000000
98,0.980063,6253.137964882,6253.137964882,552,772800,0.000000
99,0.990065,6253.147967237,6253.147967237,558,781200,0.000000
100,1.000074,6253.157976190,6253.157976190,563,788200,0.000000
101,1.010071,6253.167973222,6253.167973222,569,796600,0.000000
102,1.020080,6253.177982376,6253.177982376,575,805000,0.000000
