sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000105,6252.181438672,6252.181438672,0,0,0.000000
1,0.010065,6252.191398339,6252.191398339,4,5600,0.000000
2,0.020237,6252.201570711,6252.201570711,8,11200,0.000000
3,0.030057,6252.211390170,6252.211390170,13,18200,0.000000
4,0.040062,6252.221395885,6252.221395885,17,23800,0.000000
5,0.050055,6252.231388378,6252.231388378,21,29400,0.000000
6,0.060032,6252.241365721,6252.241365721,26,36400,0.000000
7,0.070279,6252.251612236,6252.251612236,30,42000,0.000000
8,0.080070,6252.261403353,6252.261403353,34,47600,0.000000
9,0.090439,6252.271772461,6252.271772461,39,54600,0.000000
10,0.100052,6252.281385859,6252.281385859,43,60200,0.000000
11,0.110066,6252.291399317,6252.291399317,47,65800,0.000000
12,0.120722,6252.302055549,6252.302055549,52,72800,0.000000
13,0.130715,6252.312048705,6252.312048705,56,78400,0.000000
14,0.140786,6252.322119075,6252.322119075,61,85400,0.000000
15,0.150067,6252.331400092,6252.331400092,65,91000,0.000000
16,0.160064,6252.341397015,6252.341397015,69,96600,0.000000
17,0.170065,6252.351398174,6252.351398174,73,102200,0.000000
18,0.180054,6252.361387766,6252.361387766,78,109200,0.000000
19,0.190066,6252.371399187,6252.371399187,82,114800,0.000000
20,0.200059,6252.381392555,6252.381392555,86,120400,0.000000
21,0.210038,6252.391371924,6252.391371924,91,127400,0.000000
22,0.220064,6252.401397644,6252.401397644,95,133000,0.000000
23,0.230068,6252.411401174,6252.411401174,99,138600,0.000000
24,0.240720,6252.422053411,6252.422053411,104,145600,0.000000
25,0.250066,6252.431399802,6252.431399802,108,151200,0.000000
26,0.260064,6252.441397358,6252.441397358,112,156800,0.000000
27,0.270059,6252.451392342,6252.451392342,117,163800,0.000000
28,0.280062,6252.461395818,6252.461395818,121,169400,0.000000
29,0.290059,6252.471392343,6252.471392343,125,175000,0.000000
30,0.300059,6252.481392462,6252.481392462,130,182000,0.000000
31,0.310062,6252.491395282,6252.491395282,134,187600,0.000000
32,0.320065,6252.501398638,6252.501398638,138,193200,0.000000
33,0.330062,6252.511395035,6252.511395035,143,200200,0.000000
34,0.340066,6252.521399565,6252.521399565,147,205800,0.000000
35,0.350067,6252.531400301,6252.531400301,151,211400,0.000000
36,0.360059,6252.541392414,6252.541392414,156,218400,0.000000
37,0.370060,6252.551393064,6252.551393064,160,224000,0.000000
38,0.380072,6252.561405350,6252.561405350,164,229600,0.000000
39,0.390059,6252.571392628,6252.571392628,169,236600,0.000000
40,0.400067,6252.581400249,6252.581400249,173,242200,0.000000
41,0.410068,6252.591401507,6252.591401507,177,247800,0.000000
42,0.420060,6252.601393768,6252.601393768,182,254800,0.000000
43,0.430737,6252.612070763,6252.612070763,186,260400,0.000000
44,0.440071,6252.621404396,6252.621404396,190,266000,0.000000
45,0.450063,6252.631396383,6252.631396383,195,273000,0.000000
46,0.460068,6252.641401474,6252.641401474,199,278600,0.000000
47,0.470067,6252.651400533,6252.651400533,203,284200,0.000000
48,0.480069,6252.661402117,6252.661402117,208,291200,0.000000
49,0.493706,6252.675039294,6252.675039294,214,299600,0.000000
50,0.500063,6252.681396739,6252.681396739,216,302400,0.000000
51,0.510060,6252.691393801,6252.691393801,221,309400,0.000000
52,0.520242,6252.701575151,6252.701575151,225,315000,0.000000
53,0.530067,6252.711400471,6252.711400471,229,320600,0.000000
54,0.540059,6252.721392924,6252.721392924,234,327600,0.000000
55,0.550072,6252.731405172,6252.731405172,238,333200,0.000000
56,0.560069,6252.741402944,6252.741402944,242,338800,0.000000
57,0.570065,6252.751398065,6252.751398065,247,345800,0.000000
58,0.580059,6252.761392953,6252.761392953,251,351400,0.000000
59,0.590064,6252.771397900,6252.771397900,255,357000,0.000000
60,0.600063,6252.781396606,6252.781396606,260,364000,0.000000
61,0.610062,6252.791395881,6252.791395881,264,369600,0.000000
62,0.620064,6252.801397924,6252.801397924,268,375200,0.000000
63,0.630069,6252.811402079,6252.811402079,273,382200,0.000000
