sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000116,6252.667527972,6252.667527972,0,0,0.000000
1,0.010065,6252.677477736,6252.677477736,5,7000,0.000000
2,0.020062,6252.687474479,6252.687474479,11,15400,0.000000
3,0.030091,6252.697503105,6252.697503105,16,22400,0.000000
4,0.040085,6252.707497894,6252.707497894,22,30800,0.000000
5,0.050076,6252.717488362,6252.717488362,28,39200,0.000000
6,0.060075,6252.727486994,6252.727486994,33,46200,0.000000
7,0.070097,6252.737508961,6252.737508961,39,54600,0.000000
8,0.080061,6252.747473624,6252.747473624,45,63000,0.000000
9,0.090068,6252.757480580,6252.757480580,50,70000,0.000000
10,0.100062,6252.767474338,6252.767474338,56,78400,0.000000
11,0.110013,6252.777425807,6252.777425807,62,86800,0.000000
12,0.120066,6252.787478304,6252.787478304,67,93800,0.000000
13,0.130065,6252.797477049,6252.797477049,73,102200,0.000000
14,0.140068,6252.807480497,6252.807480497,78,109200,0.000000
15,0.150030,6252.817442093,6252.817442093,84,117600,0.000000
16,0.160063,6252.827475448,6252.827475448,90,126000,0.000000
17,0.170070,6252.837482249,6252.837482249,95,133000,0.000000
18,0.180067,6252.847479373,6252.847479373,101,141400,0.000000
19,0.190063,6252.857475044,6252.857475044,107,149800,0.000000
20,0.200075,6252.867487414,6252.867487414,112,156800,0.000000
21,0.210064,6252.877476616,6252.877476616,118,165200,0.000000
22,0.220062,6252.887474213,6252.887474213,124,173600,0.000000
23,0.230067,6252.897479252,6252.897479252,129,180600,0.000000
24,0.240063,6252.907475818,6252.907475818,135,189000,0.000000
25,0.250072,6252.917484311,6252.917484311,141,197400,0.000000
26,0.260062,6252.927474325,6252.927474325,146,204400,0.000000
27,0.270067,6252.937478972,6252.937478972,152,212800,0.000000
28,0.280070,6252.947482843,6252.947482843,157,219800,0.000000
29,0.290066,6252.957478137,6252.957478137,163,228200,0.000000
30,0.300064,6252.967476713,6252.967476713,169,236600,0.000000
31,0.310066,6252.977478190,6252.977478190,174,243600,0.000000
32,0.320063,6252.987475269,6252.987475269,180,252000,0.000000
33,0.330011,6252.997423342,6252.997423342,186,260400,0.000000
