sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000078,6252.724729490,6252.724729490,0,0,0.000000
1,0.010064,6252.734714948,6252.734714948,4,5600,0.000000
2,0.020065,6252.744716019,6252.744716019,8,11200,0.000000
3,0.030062,6252.754712638,6252.754712638,13,18200,0.000000
4,0.040059,6252.764709613,6252.764709613,17,23800,0.000000
5,0.050064,6252.774715275,6252.774715275,21,29400,0.000000
6,0.060059,6252.784710187,6252.784710187,26,36400,0.000000
7,0.070071,6252.794721569,6252.794721569,30,42000,0.000000
8,0.080061,6252.804712280,6252.804712280,35,49000,0.000000
9,0.090069,6252.814719893,6252.814719893,39,54600,0.000000
10,0.100049,6252.824699847,6252.824699847,43,60200,0.000000
11,0.110061,6252.834712375,6252.834712375,48,67200,0.000000
12,0.120073,6252.844724403,6252.844724403,52,72800,0.000000
13,0.130064,6252.854715478,6252.854715478,57,79800,0.000000
14,0.140063,6252.864714452,6252.864714452,61,85400,0.000000
15,0.150064,6252.874715068,6252.874715068,65,91000,0.000000
16,0.160070,6252.884720918,6252.884720918,70,98000,0.000000
17,0.170066,6252.894716594,6252.894716594,74,103600,0.000000
18,0.180066,6252.904717172,6252.904717172,79,110600,0.000000
19,0.190068,6252.914719339,6252.914719339,83,116200,0.000000
20,0.200067,6252.924717975,6252.924717975,87,121800,0.000000
21,0.210063,6252.934713700,6252.934713700,92,128800,0.000000
22,0.220024,6252.944674768,6252.944674768,96,134400,0.000000
23,0.230074,6252.954725143,6252.954725143,101,141400,0.000000
24,0.240064,6252.964715511,6252.964715511,105,147000,0.000000
25,0.250062,6252.974712608,6252.974712608,109,152600,0.000000
26,0.260065,6252.984716002,6252.984716002,114,159600,0.000000
27,0.270068,6252.994718712,6252.994718712,118,165200,0.000000
28,0.280064,6253.004715565,6253.004715565,122,170800,0.000000
29,0.290063,6253.014714041,6253.014714041,127,177800,0.000000
30,0.300077,6253.024728416,6253.024728416,131,183400,0.000000
31,0.310062,6253.034713333,6253.034713333,136,190400,0.000000
32,0.320071,6253.044722197,6253.044722197,140,196000,0.000000
33,0.330085,6253.054736200,6253.054736200,144,201600,0.000000
34,0.340046,6253.064697299,6253.064697299,149,208600,0.000000
35,0.350070,6253.074721456,6253.074721456,153,214200,0.000000
36,0.360076,6253.084727544,6253.084727544,158,221200,0.000000
37,0.370066,6253.094717033,6253.094717033,162,226800,0.000000
38,0.380069,6253.104720235,6253.104720235,166,232400,0.000000
39,0.390035,6253.114686388,6253.114686388,171,239400,0.000000
40,0.400062,6253.124713343,6253.124713343,175,245000,0.000000
41,0.410104,6253.134754882,6253.134754882,180,252000,0.000000
42,0.420066,6253.144716854,6253.144716854,184,257600,0.000000
43,0.430014,6253.154665029,6253.154665029,188,263200,0.000000
44,0.440074,6253.164724885,6253.164724885,193,270200,0.000000
45,0.450067,6253.174717901,6253.174717901,197,275800,0.000000
46,0.460070,6253.184721235,6253.184721235,201,281400,0.000000
47,0.470079,6253.194729625,6253.194729625,206,288400,0.000000
48,0.480074,6253.204725048,6253.204725048,210,294000,0.000000
49,0.490062,6253.214713004,6253.214713004,215,301000,0.000000
50,0.500072,6253.224723060,6253.224723060,219,306600,0.000000
51,0.510070,6253.234721148,6253.234721148,223,312200,0.000000
52,0.520057,6253.244707919,6253.244707919,228,319200,0.000000
53,0.530070,6253.254721061,6253.254721061,232,324800,0.000000
54,0.540037,6253.264688218,6253.264688218,237,331800,0.000000
55,0.550081,6253.274731583,6253.274731583,241,337400,0.000000
56,0.560079,6253.284729871,6253.284729871,245,343000,0.000000
57,0.570030,6253.294681033,6253.294681033,250,350000,0.000000
58,0.580060,6253.304711506,6253.304711506,254,355600,0.000000
59,0.590031,6253.314681903,6253.314681903,259,362600,0.000000
60,0.600068,6253.324719042,6253.324719042,263,368200,0.000000
61,0.610092,6253.334742866,6253.334742866,267,373800,0.000000
62,0.620064,6253.344714612,6253.344714612,272,380800,0.000000
63,0.630085,6253.354736321,6253.354736321,276,386400,0.000000
64,0.640082,6253.364733339,6253.364733339,281,393400,0.000000
65,0.650054,6253.374704609,6253.374704609,285,399000,0.000000
66,0.660065,6253.384716327,6253.384716327,289,404600,0.000000
67,0.670026,6253.394676762,6253.394676762,294,411600,0.000000
68,0.680085,6253.404735966,6253.404735966,298,417200,0.000000
69,0.690078,6253.414729465,6253.414729465,302,422800,0.000000
70,0.700063,6253.424714448,6253.424714448,307,429800,0.000000
71,0.710067,6253.434717574,6253.434717574,311,435400,0.000000
72,0.720060,6253.444710644,6253.444710644,316,442400,0.000000
73,0.730075,6253.454726231,6253.454726231,320,448000,0.000000
74,0.740071,6253.464722347,6253.464722347,324,453600,0.000000
75,0.750059,6253.474710093,6253.474710093,329,460600,0.000000
76,0.760067,6253.484717766,6253.484717766,333,466200,0.000000
77,0.770069,6253.494720127,6253.494720127,338,473200,0.000000
78,0.780067,6253.504717759,6253.504717759,342,478800,0.000000
79,0.790051,6253.514701727,6253.514701727,346,484400,0.000000
80,0.800041,6253.524691663,6253.524691663,351,491400,0.000000
81,0.810075,6253.534725593,6253.534725593,355,497000,0.000000
82,0.820082,6253.544732861,6253.544732861,360,504000,0.000000
83,0.830066,6253.554716731,6253.554716731,364,509600,0.000000
84,0.840072,6253.564723336,6253.564723336,368,515200,0.000000
85,0.850062,6253.574713231,6253.574713231,373,522200,0.000000
86,0.860059,6253.584709950,6253.584709950,377,527800,0.000000
87,0.870067,6253.594718003,6253.594718003,381,533400,0.000000
88,0.880066,6253.604717494,6253.604717494,386,540400,0.000000
89,0.890066,6253.614716606,6253.614716606,390,546000,0.000000
90,0.900062,6253.624713038,6253.624713038,395,553000,0.000000
91,0.910066,6253.634717012,6253.634717012,399,558600,0.000000
92,0.920065,6253.644716558,6253.644716558,403,564200,0.000000
93,0.930062,6253.654713417,6253.654713417,408,571200,0.000000
94,0.940068,6253.664719260,6253.664719260,412,576800,0.000000
95,0.950015,6253.674665779,6253.674665779,417,583800,0.000000
96,0.960062,6253.684713325,6253.684713325,421,589400,0.000000
97,0.970067,6253.694718547,6253.694718547,425,595000,0.000000
98,0.980063,6253.704713698,6253.704713698,430,602000,0.000000
99,0.990068,6253.714719228,6253.714719228,434,607600,0.000000
100,1.000072,6253.724722841,6253.724722841,439,614600,0.000000
101,1.010067,6253.734718332,6253.734718332,443,620200,0.000000
102,1.020067,6253.744717699,6253.744717699,447,625800,0.000000
103,1.030058,6253.754709442,6253.754709442,452,632800,0.000000
104,1.040067,6253.764717799,6253.764717799,456,638400,0.000000
105,1.050066,6253.774717254,6253.774717254,460,644000,0.000000
106,1.060062,6253.784713508,6253.784713508,465,651000,0.000000
107,1.070064,6253.794715402,6253.794715402,469,656600,0.000000
108,1.080068,6253.804718623,6253.804718623,474,663600,0.000000
109,1.090062,6253.814713419,6253.814713419,478,669200,0.000000
110,1.100063,6253.824713810,6253.824713810,482,674800,0.000000
111,1.110067,6253.834717860,6253.834717860,487,681800,0.000000
112,1.120039,6253.844689642,6253.844689642,491,687400,0.000000
113,1.130060,6253.854711255,6253.854711255,496,694400,0.000000
114,1.140077,6253.864728247,6253.864728247,500,700000,0.000000
115,1.150066,6253.874717360,6253.874717360,504,705600,0.000000
116,1.160068,6253.884718960,6253.884718960,509,712600,0.000000
117,1.170028,6253.894678850,6253.894678850,513,718200,0.000000
118,1.180065,6253.904716374,6253.904716374,518,725200,0.000000
119,1.190066,6253.914716604,6253.914716604,522,730800,0.000000
120,1.200080,6253.924731327,6253.924731327,526,736400,0.000000
121,1.210084,6253.934734955,6253.934734955,531,743400,0.000000
122,1.220086,6253.944736703,6253.944736703,535,749000,0.000000
123,1.230075,6253.954726493,6253.954726493,540,756000,0.000000
124,1.240067,6253.964717743,6253.964717743,544,761600,0.000000
125,1.250064,6253.974715280,6253.974715280,548,767200,0.000000
126,1.260059,6253.984710512,6253.984710512,553,774200,0.000000
127,1.270046,6253.994696680,6253.994696680,557,779800,0.000000
128,1.280068,6254.004718713,6254.004718713,561,785400,0.000000
129,1.290067,6254.014718537,6254.014718537,566,792400,0.000000
130,1.300064,6254.024714686,6254.024714686,570,798000,0.000000
131,1.310061,6254.034712540,6254.034712540,575,805000,0.000000
132,1.320080,6254.044730780,6254.044730780,579,810600,0.000000
133,1.330068,6254.054719367,6254.054719367,583,816200,0.000000
