sample_index,sampler_id,timestamp_s,monotonic_s,sample_t_mono,link,rho,throughput_mbps,tx_bytes_delta,dt_s,rx_bytes_delta,rho_rx,read_duration_us
0,0,0.200222,6252.759560470,6252.759560470,uA,0.81477592,6.51820737,162946,0.19998873,162946,0.81477592,238.2
0,0,0.200222,6252.759560470,6252.759560470,uB,0.82679326,4.96075959,124012,0.19998873,124012,0.82679326,238.2
0,0,0.200222,6252.759560470,6252.759560470,ac,0.94215977,5.65295860,141316,0.19998873,141316,0.94215977,238.2
0,0,0.200222,6252.759560470,6252.759560470,ad,0.95177364,3.80709457,95172,0.19998873,95172,0.95177364,238.2
0,0,0.200222,6252.759560470,6252.759560470,bc,0.93254589,5.59527535,139874,0.19998873,139874,0.93254589,238.2
0,0,0.200222,6252.759560470,6252.759560470,bd,0.82679326,4.96075959,124012,0.19998873,124012,0.82679326,238.2
0,0,0.200222,6252.759560470,6252.759560470,vC,0.36052032,2.88416255,72100,0.19998873,72100,0.36052032,238.2
0,0,0.200222,6252.759560470,6252.759560470,vD,0.13459425,0.80756551,20188,0.19998873,20188,0.13459425,238.2
1,0,0.400204,6252.959542155,6252.959542155,uA,0.80759396,6.46075166,161504,0.19998168,161504,0.80759396,213.2
1,0,0.400204,6252.959542155,6252.959542155,uB,0.83643660,5.01861959,125454,0.19998168,125454,0.83643660,213.2
1,0,0.400204,6252.959542155,6252.959542155,ac,0.93257874,5.59547242,139874,0.19998168,139874,0.93257874,213.2
1,0,0.400204,6252.959542155,6252.959542155,ad,0.93738584,3.74954337,93730,0.19998168,93730,0.93738584,213.2
1,0,0.400204,6252.959542155,6252.959542155,bc,0.93257874,5.59547242,139874,0.19998168,139874,0.93257874,213.2
1,0,0.400204,6252.959542155,6252.959542155,bd,0.94219295,5.65315770,141316,0.19998168,141316,0.94219295,213.2
1,0,0.400204,6252.959542155,6252.959542155,vC,0.81480462,6.51843694,162946,0.19998168,162946,0.81480462,213.2
1,0,0.400204,6252.959542155,6252.959542155,vD,0.83643660,5.01861959,125454,0.19998168,125454,0.83643660,213.2
2,0,0.600190,6253.159528947,6253.159528947,uA,0.81478381,6.51827045,162946,0.19998679,162946,0.81478381,189.0
2,0,0.600190,6253.159528947,6253.159528947,uB,0.83641523,5.01849141,125454,0.19998679,125454,0.83641523,189.0
2,0,0.600190,6253.159528947,6253.159528947,ac,0.94216889,5.65301331,141316,0.19998679,141316,0.94216889,189.0
2,0,0.600190,6253.159528947,6253.159528947,ad,0.95178285,3.80713141,95172,0.19998679,95172,0.95178285,189.0
2,0,0.600190,6253.159528947,6253.159528947,bc,0.93255492,5.59532950,139874,0.19998679,139874,0.93255492,189.0
2,0,0.600190,6253.159528947,6253.159528947,bd,0.94216889,5.65301331,141316,0.19998679,141316,0.94216889,189.0
2,0,0.600190,6253.159528947,6253.159528947,vC,0.81478381,6.51827045,162946,0.19998679,162946,0.81478381,189.0
2,0,0.600190,6253.159528947,6253.159528947,vD,0.84602920,5.07617522,126896,0.19998679,126896,0.84602920,189.0
3,0,0.800231,6253.359569773,6253.359569773,uA,0.81456372,6.51650977,162946,0.20004083,162946,0.81456372,245.7
3,0,0.800231,6253.359569773,6253.359569773,uB,0.83618931,5.01713584,125454,0.20004083,125454,0.83618931,245.7
3,0,0.800231,6253.359569773,6253.359569773,ac,0.93230302,5.59381812,139874,0.20004083,139874,0.93230302,245.7
3,0,0.800231,6253.359569773,6253.359569773,ad,0.95152576,3.80610305,95172,0.20004083,95172,0.95152576,245.7
3,0,0.800231,6253.359569773,6253.359569773,bc,0.93230302,5.59381812,139874,0.20004083,139874,0.93230302,245.7
3,0,0.800231,6253.359569773,6253.359569773,bd,0.94191439,5.65148635,141316,0.20004083,141316,0.94191439,245.7
3,0,0.800231,6253.359569773,6253.359569773,vC,0.81456372,6.51650977,162946,0.20004083,162946,0.81456372,245.7
3,0,0.800231,6253.359569773,6253.359569773,vD,0.84580068,5.07480407,126896,0.20004083,126896,0.84580068,245.7
4,0,1.000220,6253.559558716,6253.559558716,uA,0.81477505,6.51820037,162946,0.19998894,162946,0.81477505,246.2
4,0,1.000220,6253.559558716,6253.559558716,uB,0.82679238,4.96075427,124012,0.19998894,124012,0.82679238,246.2
4,0,1.000220,6253.559558716,6253.559558716,ac,0.94215876,5.65295254,141316,0.19998894,141316,0.94215876,246.2
4,0,1.000220,6253.559558716,6253.559558716,ad,0.93735182,3.74940730,93730,0.19998894,93730,0.93735182,246.2
4,0,1.000220,6253.559558716,6253.559558716,bc,0.93254489,5.59526935,139874,0.19998894,139874,0.93254489,246.2
4,0,1.000220,6253.559558716,6253.559558716,bd,0.94215876,5.65295254,141316,0.19998894,141316,0.94215876,246.2
4,0,1.000220,6253.559558716,6253.559558716,vC,0.80756465,6.46051719,161504,0.19998894,161504,0.80756465,246.2
4,0,1.000220,6253.559558716,6253.559558716,vD,0.84602011,5.07612065,126896,0.19998894,126896,0.84602011,246.2
