sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000107,5782.055472170,5782.055472170,0,0,0.000000
1,0.010071,5782.065436091,5782.065436091,4,5600,0.000000
2,0.020066,5782.075431550,5782.075431550,9,12600,0.000000
3,0.030061,5782.085425876,5782.085425876,14,19600,0.000000
4,0.040068,5782.095433663,5782.095433663,19,26600,0.000000
5,0.050066,5782.105431339,5782.105431339,24,33600,0.000000
6,0.060065,5782.115429979,5782.115429979,29,40600,0.000000
7,0.070082,5782.125447249,5782.125447249,34,47600,0.000000
8,0.080063,5782.135428299,5782.135428299,39,54600,0.000000
9,0.090069,5782.145434769,5782.145434769,44,61600,0.000000
10,0.100090,5782.155454862,5782.155454862,49,68600,0.000000
11,0.110074,5782.165439712,5782.165439712,54,75600,0.000000
12,0.120063,5782.175428473,5782.175428473,59,82600,0.000000
13,0.130070,5782.185434964,5782.185434964,64,89600,0.000000
14,0.140067,5782.195431837,5782.195431837,69,96600,0.000000
15,0.150068,5782.205433203,5782.205433203,74,103600,0.000000
16,0.160069,5782.215434303,5782.215434303,79,110600,0.000000
17,0.170068,5782.225433472,5782.225433472,84,117600,0.000000
18,0.180064,5782.235429202,5782.235429202,89,124600,0.000000
19,0.190059,5782.245424222,5782.245424222,94,131600,0.000000
20,0.200061,5782.255426664,5782.255426664,99,138600,0.000000
21,0.210062,5782.265427743,5782.265427743,104,145600,0.000000
22,0.220033,5782.275398792,5782.275398792,109,152600,0.000000
23,0.230083,5782.285447950,5782.285447950,114,159600,0.000000
24,0.240067,5782.295432672,5782.295432672,118,165200,0.000000
25,0.250067,5782.305432447,5782.305432447,123,172200,0.000000
26,0.260070,5782.315435152,5782.315435152,128,179200,0.000000
27,0.270067,5782.325432646,5782.325432646,133,186200,0.000000
28,0.280069,5782.335434038,5782.335434038,138,193200,0.000000
29,0.290065,5782.345430761,5782.345430761,143,200200,0.000000
30,0.300073,5782.355438724,5782.355438724,148,207200,0.000000
31,0.310068,5782.365433202,5782.365433202,153,214200,0.000000
32,0.320069,5782.375434727,5782.375434727,158,221200,0.000000
33,0.330066,5782.385430988,5782.385430988,163,228200,0.000000
34,0.340063,5782.395428817,5782.395428817,168,235200,0.000000
35,0.350068,5782.405433271,5782.405433271,173,242200,0.000000
36,0.360067,5782.415431852,5782.415431852,178,249200,0.000000
37,0.370078,5782.425443076,5782.425443076,183,256200,0.000000
38,0.380072,5782.435437137,5782.435437137,188,263200,0.000000
39,0.390066,5782.445431521,5782.445431521,193,270200,0.000000
40,0.400063,5782.455428002,5782.455428002,198,277200,0.000000
41,0.410067,5782.465432082,5782.465432082,203,284200,0.000000
42,0.420068,5782.475432841,5782.475432841,208,291200,0.000000
43,0.430025,5782.485389852,5782.485389852,213,298200,0.000000
44,0.440058,5782.495423100,5782.495423100,218,305200,0.000000
45,0.450086,5782.505451386,5782.505451386,223,312200,0.000000
46,0.460064,5782.515429245,5782.515429245,227,317800,0.000000
47,0.470061,5782.525426266,5782.525426266,232,324800,0.000000
48,0.480061,5782.535426193,5782.535426193,237,331800,0.000000
49,0.490065,5782.545430795,5782.545430795,242,338800,0.000000
50,0.500067,5782.555432030,5782.555432030,247,345800,0.000000
51,0.510060,5782.565424846,5782.565424846,252,352800,0.000000
52,0.520069,5782.575434069,5782.575434069,257,359800,0.000000
53,0.530022,5782.585386877,5782.585386877,262,366800,0.000000
54,0.540063,5782.595428769,5782.595428769,267,373800,0.000000
55,0.550063,5782.605428819,5782.605428819,272,380800,0.000000
56,0.560074,5782.615439139,5782.615439139,277,387800,0.000000
57,0.570065,5782.625430292,5782.625430292,282,394800,0.000000
58,0.580064,5782.635429313,5782.635429313,287,401800,0.000000
59,0.590065,5782.645430684,5782.645430684,292,408800,0.000000
60,0.600065,5782.655430324,5782.655430324,297,415800,0.000000
61,0.610073,5782.665438272,5782.665438272,302,422800,0.000000
62,0.620067,5782.675432463,5782.675432463,307,429800,0.000000
63,0.630070,5782.685434997,5782.685434997,312,436800,0.000000
64,0.640062,5782.695426998,5782.695426998,317,443800,0.000000
65,0.650065,5782.705430235,5782.705430235,322,450800,0.000000
66,0.660072,5782.715437781,5782.715437781,327,457800,0.000000
67,0.670054,5782.725419116,5782.725419116,332,464800,0.000000
68,0.680083,5782.735448337,5782.735448337,337,471800,0.000000
69,0.690064,5782.745429177,5782.745429177,341,477400,0.000000
70,0.700066,5782.755431520,5782.755431520,346,484400,0.000000
71,0.710067,5782.765431831,5782.765431831,351,491400,0.000000
72,0.720068,5782.775433044,5782.775433044,356,498400,0.000000
73,0.730068,5782.785433791,5782.785433791,361,505400,0.000000
74,0.740067,5782.795432676,5782.795432676,366,512400,0.000000
75,0.750067,5782.805432507,5782.805432507,371,519400,0.000000
76,0.760068,5782.815433738,5782.815433738,376,526400,0.000000
77,0.770047,5782.825412561,5782.825412561,381,533400,0.000000
78,0.780067,5782.835431966,5782.835431966,386,540400,0.000000
79,0.790062,5782.845427802,5782.845427802,391,547400,0.000000
80,0.800068,5782.855433210,5782.855433210,396,554400,0.000000
81,0.810064,5782.865429277,5782.865429277,401,561400,0.000000
82,0.820063,5782.875427977,5782.875427977,406,568400,0.000000
83,0.830070,5782.885435316,5782.885435316,411,575400,0.000000
84,0.840066,5782.895431439,5782.895431439,416,582400,0.000000
85,0.850064,5782.905429379,5782.905429379,421,589400,0.000000
86,0.860063,5782.915427973,5782.915427973,426,596400,0.000000
87,0.870058,5782.925423639,5782.925423639,431,603400,0.000000
88,0.880043,5782.935408776,5782.935408776,436,610400,0.000000
89,0.890063,5782.945428498,5782.945428498,441,617400,0.000000
90,0.900081,5782.955446313,5782.955446313,446,624400,0.000000
91,0.910066,5782.965431634,5782.965431634,450,630000,0.000000
92,0.920062,5782.975427173,5782.975427173,455,637000,0.000000
93,0.930068,5782.985433282,5782.985433282,460,644000,0.000000
94,0.940068,5782.995433086,5782.995433086,465,651000,0.000000
95,0.950070,5783.005435688,5783.005435688,470,658000,0.000000
96,0.960059,5783.015424440,5783.015424440,475,665000,0.000000
97,0.970059,5783.025424630,5783.025424630,480,672000,0.000000
98,0.980048,5783.035413132,5783.035413132,485,679000,0.000000
99,0.990062,5783.045427191,5783.045427191,490,686000,0.000000
100,1.000068,5783.055433398,5783.055433398,495,693000,0.000000
101,1.010066,5783.065431821,5783.065431821,500,700000,0.000000
102,1.020064,5783.075429516,5783.075429516,505,707000,0.000000
103,1.030064,5783.085429814,5783.085429814,510,714000,0.000000
104,1.040073,5783.095438579,5783.095438579,515,721000,0.000000
105,1.050068,5783.105432976,5783.105432976,520,728000,0.000000
106,1.060068,5783.115432973,5783.115432973,525,735000,0.000000
107,1.070067,5783.125431965,5783.125431965,530,742000,0.000000
108,1.080062,5783.135427442,5783.135427442,535,749000,0.000000
109,1.090062,5783.145426909,5783.145426909,540,756000,0.000000
110,1.100066,5783.155431607,5783.155431607,545,763000,0.000000
111,1.110064,5783.165429647,5783.165429647,550,770000,0.000000
112,1.120074,5783.175438832,5783.175438832,555,777000,0.000000
113,1.130070,5783.185435472,5783.185435472,559,782600,0.000000
114,1.140040,5783.195404870,5783.195404870,564,789600,0.000000
115,1.150064,5783.205429659,5783.205429659,569,796600,0.000000
116,1.160071,5783.215436816,5783.215436816,574,803600,0.000000
117,1.170078,5783.225443171,5783.225443171,579,810600,0.000000
118,1.180068,5783.235433451,5783.235433451,584,817600,0.000000
119,1.190061,5783.245425935,5783.245425935,589,824600,0.000000
120,1.200063,5783.255428469,5783.255428469,594,831600,0.000000
121,1.210069,5783.265434357,5783.265434357,599,838600,0.000000
122,1.220070,5783.275435741,5783.275435741,604,845600,0.000000
123,1.230069,5783.285434611,5783.285434611,609,852600,0.000000
124,1.240065,5783.295430199,5783.295430199,614,859600,0.000000
125,1.250072,5783.305437387,5783.305437387,619,866600,0.000000
126,1.260073,5783.315438527,5783.315438527,624,873600,0.000000
127,1.270067,5783.325432390,5783.325432390,629,880600,0.000000
