sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000116,5781.529023132,5781.529023132,0,0,0.000000
1,0.010059,5781.538966078,5781.538966078,5,7000,0.000000
2,0.021557,5781.550464135,5781.550464135,12,16800,0.000000
3,0.030059,5781.558966282,5781.558966282,17,23800,0.000000
4,0.040059,5781.568966221,5781.568966221,22,30800,0.000000
5,0.050059,5781.578966090,5781.578966090,28,39200,0.000000
6,0.060103,5781.589009895,5781.589009895,34,47600,0.000000
7,0.070129,5781.599035420,5781.599035420,40,56000,0.000000
8,0.080162,5781.609068731,5781.609068731,45,63000,0.000000
9,0.090059,5781.618966314,5781.618966314,51,71400,0.000000
10,0.100059,5781.628965518,5781.628965518,57,79800,0.000000
11,0.110069,5781.638975999,5781.638975999,62,86800,0.000000
12,0.120059,5781.648965984,5781.648965984,68,95200,0.000000
13,0.131133,5781.660039476,5781.660039476,74,103600,0.000000
14,0.140086,5781.668993331,5781.668993331,80,112000,0.000000
15,0.150070,5781.678976442,5781.678976442,85,119000,0.000000
16,0.160059,5781.688966309,5781.688966309,91,127400,0.000000
17,0.170061,5781.698968276,5781.698968276,97,135800,0.000000
18,0.180060,5781.708967326,5781.708967326,102,142800,0.000000
19,0.190061,5781.718967965,5781.718967965,108,151200,0.000000
20,0.200066,5781.728972550,5781.728972550,114,159600,0.000000
21,0.210066,5781.738972408,5781.738972408,120,168000,0.000000
22,0.220064,5781.748971026,5781.748971026,125,175000,0.000000
23,0.230407,5781.759314129,5781.759314129,131,183400,0.000000
24,0.240058,5781.768965333,5781.768965333,137,191800,0.000000
25,0.250061,5781.778967664,5781.778967664,142,198800,0.000000
26,0.260061,5781.788968333,5781.788968333,148,207200,0.000000
27,0.271146,5781.800052569,5781.800052569,154,215600,0.000000
28,0.280083,5781.808989496,5781.808989496,160,224000,0.000000
29,0.290068,5781.818974876,5781.818974876,165,231000,0.000000
30,0.300064,5781.828971054,5781.828971054,171,239400,0.000000
31,0.310059,5781.838965875,5781.838965875,177,247800,0.000000
32,0.320070,5781.848976781,5781.848976781,182,254800,0.000000
33,0.330059,5781.858965866,5781.858965866,188,263200,0.000000
34,0.340059,5781.868965677,5781.868965677,194,271600,0.000000
35,0.350071,5781.878977770,5781.878977770,200,280000,0.000000
36,0.360061,5781.888968211,5781.888968211,205,287000,0.000000
37,0.370062,5781.898969074,5781.898969074,211,295400,0.000000
38,0.380061,5781.908967456,5781.908967456,217,303800,0.000000
39,0.390059,5781.918965852,5781.918965852,222,310800,0.000000
40,0.400059,5781.928965933,5781.928965933,228,319200,0.000000
41,0.410059,5781.938965724,5781.938965724,234,327600,0.000000
42,0.420079,5781.948985515,5781.948985515,240,336000,0.000000
43,0.430061,5781.958967716,5781.958967716,245,343000,0.000000
44,0.440059,5781.968965398,5781.968965398,251,351400,0.000000
45,0.450063,5781.978969714,5781.978969714,257,359800,0.000000
46,0.460060,5781.988966669,5781.988966669,262,366800,0.000000
47,0.470067,5781.998974065,5781.998974065,268,375200,0.000000
48,0.480068,5782.008974614,5782.008974614,274,383600,0.000000
49,0.490067,5782.018974325,5782.018974325,280,392000,0.000000
50,0.500062,5782.028968694,5782.028968694,285,399000,0.000000
51,0.510064,5782.038970421,5782.038970421,291,407400,0.000000
52,0.520061,5782.048967885,5782.048967885,297,415800,0.000000
53,0.530073,5782.058980328,5782.058980328,302,422800,0.000000
54,0.540059,5782.068965763,5782.068965763,308,431200,0.000000
55,0.550068,5782.078974462,5782.078974462,314,439600,0.000000
56,0.560074,5782.088980391,5782.088980391,320,448000,0.000000
57,0.570021,5782.098927512,5782.098927512,325,455000,0.000000
58,0.580070,5782.108976503,5782.108976503,331,463400,0.000000
59,0.590067,5782.118974248,5782.118974248,337,471800,0.000000
60,0.600074,5782.128980979,5782.128980979,342,478800,0.000000
61,0.610066,5782.138972885,5782.138972885,348,487200,0.000000
62,0.620020,5782.148926693,5782.148926693,354,495600,0.000000
63,0.630070,5782.158976378,5782.158976378,360,504000,0.000000
64,0.640092,5782.168998393,5782.168998393,365,511000,0.000000
65,0.650063,5782.178969681,5782.178969681,371,519400,0.000000
66,0.660064,5782.188971232,5782.188971232,377,527800,0.000000
67,0.670068,5782.198974807,5782.198974807,382,534800,0.000000
68,0.680064,5782.208971229,5782.208971229,388,543200,0.000000
69,0.690072,5782.218978463,5782.218978463,394,551600,0.000000
70,0.700081,5782.228988326,5782.228988326,400,560000,0.000000
71,0.710064,5782.238971109,5782.238971109,405,567000,0.000000
72,0.720081,5782.248988142,5782.248988142,411,575400,0.000000
73,0.730070,5782.258976850,5782.258976850,417,583800,0.000000
74,0.740067,5782.268974096,5782.268974096,422,590800,0.000000
75,0.750069,5782.278975476,5782.278975476,428,599200,0.000000
76,0.760068,5782.288975147,5782.288975147,434,607600,0.000000
77,0.770076,5782.298983121,5782.298983121,440,616000,0.000000
78,0.780071,5782.308977447,5782.308977447,445,623000,0.000000
79,0.790068,5782.318975202,5782.318975202,451,631400,0.000000
80,0.800067,5782.328973423,5782.328973423,457,639800,0.000000
81,0.810071,5782.338977568,5782.338977568,462,646800,0.000000
82,0.820065,5782.348971886,5782.348971886,468,655200,0.000000
83,0.830064,5782.358970995,5782.358970995,474,663600,0.000000
84,0.840077,5782.368983475,5782.368983475,480,672000,0.000000
85,0.850065,5782.378971655,5782.378971655,485,679000,0.000000
86,0.860070,5782.388977110,5782.388977110,491,687400,0.000000
87,0.870063,5782.398969346,5782.398969346,497,695800,0.000000
