sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000089,5782.076979453,5782.076979453,0,0,0.000000
1,0.010064,5782.086954597,5782.086954597,5,7000,0.000000
2,0.020069,5782.096959838,5782.096959838,11,15400,0.000000
3,0.030065,5782.106955722,5782.106955722,17,23800,0.000000
4,0.040066,5782.116956652,5782.116956652,22,30800,0.000000
5,0.050069,5782.126959268,5782.126959268,28,39200,0.000000
6,0.060073,5782.136963852,5782.136963852,34,47600,0.000000
7,0.070081,5782.146971319,5782.146971319,40,56000,0.000000
8,0.080065,5782.156955307,5782.156955307,45,63000,0.000000
9,0.090062,5782.166952487,5782.166952487,51,71400,0.000000
10,0.100063,5782.176953679,5782.176953679,57,79800,0.000000
11,0.110069,5782.186958925,5782.186958925,62,86800,0.000000
12,0.120059,5782.196949565,5782.196949565,68,95200,0.000000
13,0.130072,5782.206962085,5782.206962085,74,103600,0.000000
14,0.140080,5782.216970641,5782.216970641,80,112000,0.000000
15,0.150067,5782.226957426,5782.226957426,85,119000,0.000000
16,0.160069,5782.236959854,5782.236959854,91,127400,0.000000
17,0.170068,5782.246958284,5782.246958284,97,135800,0.000000
18,0.180066,5782.256956372,5782.256956372,102,142800,0.000000
19,0.190070,5782.266960466,5782.266960466,108,151200,0.000000
20,0.200066,5782.276956666,5782.276956666,114,159600,0.000000
21,0.210077,5782.286967664,5782.286967664,120,168000,0.000000
22,0.220070,5782.296960423,5782.296960423,125,175000,0.000000
23,0.230067,5782.306956972,5782.306956972,131,183400,0.000000
24,0.240067,5782.316957205,5782.316957205,137,191800,0.000000
25,0.250072,5782.326962664,5782.326962664,142,198800,0.000000
26,0.260068,5782.336958212,5782.336958212,148,207200,0.000000
27,0.270066,5782.346955999,5782.346955999,154,215600,0.000000
28,0.280076,5782.356966449,5782.356966449,160,224000,0.000000
29,0.290072,5782.366961933,5782.366961933,165,231000,0.000000
30,0.300080,5782.376970766,5782.376970766,171,239400,0.000000
31,0.310058,5782.386948765,5782.386948765,177,247800,0.000000
32,0.320080,5782.396970638,5782.396970638,182,254800,0.000000
33,0.330071,5782.406961713,5782.406961713,188,263200,0.000000
34,0.340074,5782.416964250,5782.416964250,194,271600,0.000000
35,0.350079,5782.426969292,5782.426969292,200,280000,0.000000
36,0.360064,5782.436954407,5782.436954407,205,287000,0.000000
37,0.370066,5782.446956610,5782.446956610,211,295400,0.000000
38,0.380075,5782.456965774,5782.456965774,217,303800,0.000000
39,0.390059,5782.466949850,5782.466949850,222,310800,0.000000
40,0.400059,5782.476949881,5782.476949881,228,319200,0.000000
41,0.410079,5782.486969848,5782.486969848,234,327600,0.000000
42,0.420076,5782.496966170,5782.496966170,240,336000,0.000000
43,0.430064,5782.506953945,5782.506953945,245,343000,0.000000
44,0.440063,5782.516953665,5782.516953665,251,351400,0.000000
45,0.450074,5782.526963898,5782.526963898,257,359800,0.000000
46,0.460085,5782.536975153,5782.536975153,262,366800,0.000000
47,0.470070,5782.546959919,5782.546959919,268,375200,0.000000
48,0.480065,5782.556955068,5782.556955068,274,383600,0.000000
49,0.490079,5782.566968964,5782.566968964,280,392000,0.000000
50,0.500023,5782.576913802,5782.576913802,285,399000,0.000000
51,0.510066,5782.586956190,5782.586956190,291,407400,0.000000
52,0.520066,5782.596956221,5782.596956221,297,415800,0.000000
53,0.530067,5782.606957052,5782.606957052,302,422800,0.000000
54,0.540066,5782.616956070,5782.616956070,308,431200,0.000000
55,0.550065,5782.626955653,5782.626955653,314,439600,0.000000
56,0.560075,5782.636965828,5782.636965828,320,448000,0.000000
57,0.570063,5782.646953276,5782.646953276,325,455000,0.000000
58,0.580068,5782.656958140,5782.656958140,331,463400,0.000000
59,0.590076,5782.666966279,5782.666966279,337,471800,0.000000
60,0.600073,5782.676963480,5782.676963480,342,478800,0.000000
61,0.610072,5782.686962204,5782.686962204,348,487200,0.000000
62,0.620066,5782.696956292,5782.696956292,354,495600,0.000000
63,0.630073,5782.706963807,5782.706963807,360,504000,0.000000
64,0.640064,5782.716954713,5782.716954713,365,511000,0.000000
