sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000096,5782.088809152,5782.088809152,0,0,0.000000
1,0.010064,5782.098777132,5782.098777132,4,5600,0.000000
2,0.020067,5782.108780493,5782.108780493,8,11200,0.000000
3,0.030063,5782.118776009,5782.118776009,13,18200,0.000000
4,0.040070,5782.128782840,5782.128782840,17,23800,0.000000
5,0.050070,5782.138782812,5782.138782812,22,30800,0.000000
6,0.060069,5782.148782073,5782.148782073,26,36400,0.000000
7,0.070063,5782.158776082,5782.158776082,31,43400,0.000000
8,0.080066,5782.168779420,5782.168779420,35,49000,0.000000
9,0.090039,5782.178752336,5782.178752336,40,56000,0.000000
10,0.100065,5782.188778368,5782.188778368,44,61600,0.000000
11,0.110076,5782.198788805,5782.198788805,48,67200,0.000000
12,0.120064,5782.208776610,5782.208776610,53,74200,0.000000
13,0.130065,5782.218778020,5782.218778020,57,79800,0.000000
14,0.140075,5782.228788128,5782.228788128,62,86800,0.000000
15,0.150067,5782.238779668,5782.238779668,66,92400,0.000000
16,0.160068,5782.248780806,5782.248780806,71,99400,0.000000
17,0.170066,5782.258778782,5782.258778782,75,105000,0.000000
18,0.180062,5782.268775204,5782.268775204,80,112000,0.000000
19,0.190069,5782.278781973,5782.278781973,84,117600,0.000000
20,0.200072,5782.288784825,5782.288784825,88,123200,0.000000
21,0.210070,5782.298783374,5782.298783374,93,130200,0.000000
22,0.220071,5782.308784005,5782.308784005,97,135800,0.000000
23,0.230059,5782.318771760,5782.318771760,102,142800,0.000000
24,0.240064,5782.328777267,5782.328777267,106,148400,0.000000
25,0.250062,5782.338774924,5782.338774924,111,155400,0.000000
26,0.260064,5782.348777211,5782.348777211,115,161000,0.000000
27,0.270069,5782.358782406,5782.358782406,120,168000,0.000000
28,0.280067,5782.368780116,5782.368780116,124,173600,0.000000
29,0.290070,5782.378782787,5782.378782787,128,179200,0.000000
30,0.300059,5782.388772090,5782.388772090,133,186200,0.000000
31,0.310073,5782.398786030,5782.398786030,137,191800,0.000000
32,0.320066,5782.408778570,5782.408778570,142,198800,0.000000
33,0.330064,5782.418777293,5782.418777293,146,204400,0.000000
34,0.340083,5782.428796197,5782.428796197,151,211400,0.000000
35,0.350066,5782.438779184,5782.438779184,155,217000,0.000000
36,0.360041,5782.448753724,5782.448753724,160,224000,0.000000
37,0.370091,5782.458803606,5782.458803606,164,229600,0.000000
38,0.380068,5782.468780727,5782.468780727,168,235200,0.000000
39,0.390064,5782.478777097,5782.478777097,173,242200,0.000000
40,0.400067,5782.488780065,5782.488780065,177,247800,0.000000
41,0.410067,5782.498780214,5782.498780214,182,254800,0.000000
42,0.420068,5782.508780903,5782.508780903,186,260400,0.000000
43,0.430073,5782.518785996,5782.518785996,191,267400,0.000000
44,0.440069,5782.528782036,5782.528782036,195,273000,0.000000
45,0.450062,5782.538774824,5782.538774824,200,280000,0.000000
46,0.460065,5782.548778467,5782.548778467,204,285600,0.000000
47,0.470073,5782.558786194,5782.558786194,209,292600,0.000000
48,0.480068,5782.568780552,5782.568780552,213,298200,0.000000
49,0.490067,5782.578779600,5782.578779600,217,303800,0.000000
50,0.500044,5782.588756918,5782.588756918,222,310800,0.000000
51,0.510064,5782.598776645,5782.598776645,226,316400,0.000000
52,0.520064,5782.608776636,5782.608776636,231,323400,0.000000
53,0.530070,5782.618783309,5782.618783309,235,329000,0.000000
54,0.540063,5782.628776105,5782.628776105,240,336000,0.000000
55,0.550069,5782.638781531,5782.638781531,244,341600,0.000000
56,0.560085,5782.648797920,5782.648797920,249,348600,0.000000
57,0.570067,5782.658779784,5782.658779784,253,354200,0.000000
58,0.580068,5782.668780984,5782.668780984,257,359800,0.000000
59,0.590065,5782.678778167,5782.678778167,262,366800,0.000000
60,0.600068,5782.688781307,5782.688781307,266,372400,0.000000
61,0.610069,5782.698782223,5782.698782223,271,379400,0.000000
62,0.620067,5782.708779545,5782.708779545,275,385000,0.000000
63,0.630062,5782.718775235,5782.718775235,280,392000,0.000000
64,0.640070,5782.728783045,5782.728783045,284,397600,0.000000
65,0.650010,5782.738723175,5782.738723175,289,404600,0.000000
66,0.660064,5782.748777237,5782.748777237,293,410200,0.000000
67,0.670067,5782.758780018,5782.758780018,297,415800,0.000000
68,0.680066,5782.768779199,5782.768779199,302,422800,0.000000
69,0.690068,5782.778780937,5782.778780937,306,428400,0.000000
70,0.700067,5782.788779786,5782.788779786,311,435400,0.000000
71,0.710071,5782.798784031,5782.798784031,315,441000,0.000000
72,0.720070,5782.808783495,5782.808783495,320,448000,0.000000
73,0.730065,5782.818777865,5782.818777865,324,453600,0.000000
74,0.740001,5782.828713644,5782.828713644,329,460600,0.000000
75,0.750039,5782.838752476,5782.838752476,333,466200,0.000000
76,0.760066,5782.848779157,5782.848779157,337,471800,0.000000
77,0.770088,5782.858801159,5782.858801159,342,478800,0.000000
78,0.780068,5782.868781076,5782.868781076,346,484400,0.000000
79,0.790060,5782.878772876,5782.878772876,351,491400,0.000000
80,0.800065,5782.888778275,5782.888778275,355,497000,0.000000
81,0.810064,5782.898777194,5782.898777194,360,504000,0.000000
82,0.820064,5782.908777066,5782.908777066,364,509600,0.000000
83,0.830067,5782.918780461,5782.918780461,369,516600,0.000000
84,0.840065,5782.928778023,5782.928778023,373,522200,0.000000
85,0.850064,5782.938776545,5782.938776545,377,527800,0.000000
86,0.860019,5782.948731663,5782.948731663,382,534800,0.000000
87,0.870062,5782.958774807,5782.958774807,386,540400,0.000000
