sample_index,sampler_id,timestamp_s,monotonic_s,sample_t_mono,link,rho,throughput_mbps,tx_bytes_delta,dt_s,rx_bytes_delta,rho_rx,read_duration_us
0,0,0.200221,5782.110289015,5782.110289015,uA,0.82204522,6.57636177,164388,0.19997440,164388,0.82204522,322.7
0,0,0.200221,5782.110289015,5782.110289015,uB,0.84608163,5.07648979,126896,0.19997440,126896,0.84608163,322.7
0,0,0.200221,5782.110289015,5782.110289015,ac,0.94222727,5.65336363,141316,0.19997440,141316,0.94222727,322.7
0,0,0.200221,5782.110289015,5782.110289015,ad,0.95184184,3.80736734,95172,0.19997440,95172,0.95184184,322.7
0,0,0.200221,5782.110289015,5782.110289015,bc,0.87492532,5.24955194,131222,0.19997440,131222,0.87492532,322.7
0,0,0.200221,5782.110289015,5782.110289015,bd,0.24036410,1.44218460,36050,0.19997440,36050,0.24036410,322.7
0,0,0.200221,5782.110289015,5782.110289015,vC,0.12258569,0.98068553,24514,0.19997440,24514,0.12258569,322.7
0,0,0.200221,5782.110289015,5782.110289015,vD,0.07691651,0.46149907,11536,0.19997440,11536,0.07691651,322.7
1,0,0.400225,5782.310293039,5782.310293039,uA,0.82913332,6.63306654,165830,0.20000402,165830,0.82913332,241.7
1,0,0.400225,5782.310293039,5782.310293039,uB,0.83634317,5.01805904,125454,0.20000402,125454,0.83634317,241.7
1,0,0.400225,5782.310293039,5782.310293039,ac,0.95170085,5.71020511,142758,0.20000402,142758,0.95170085,241.7
1,0,0.400225,5782.310293039,5782.310293039,ad,0.96612056,3.86448225,96614,0.20000402,96614,0.96612056,241.7
1,0,0.400225,5782.310293039,5782.310293039,bc,0.95170085,5.71020511,142758,0.20000402,142758,0.95170085,241.7
1,0,0.400225,5782.310293039,5782.310293039,bd,0.95170085,5.71020511,142758,0.20000402,142758,0.95170085,241.7
1,0,0.400225,5782.310293039,5782.310293039,vC,0.82913332,6.63306654,165830,0.20000402,165830,0.82913332,241.7
1,0,0.400225,5782.310293039,5782.310293039,vD,0.85556945,5.13341672,128338,0.20000402,128338,0.85556945,241.7
2,0,0.600184,5782.510252235,5782.510252235,uA,0.82210773,6.57686184,164388,0.19995920,164388,0.82210773,182.3
2,0,0.600184,5782.510252235,5782.510252235,uB,0.84614597,5.07687581,126896,0.19995920,126896,0.84614597,182.3
2,0,0.600184,5782.510252235,5782.510252235,ac,0.94229892,5.65379352,141316,0.19995920,141316,0.94229892,182.3
2,0,0.600184,5782.510252235,5782.510252235,ad,0.95191421,3.80765686,95172,0.19995920,95172,0.95191421,182.3
2,0,0.600184,5782.510252235,5782.510252235,bc,0.94229892,5.65379352,141316,0.19995920,141316,0.94229892,182.3
2,0,0.600184,5782.510252235,5782.510252235,bd,0.95191421,5.71148529,142758,0.19995920,142758,0.95191421,182.3
2,0,0.600184,5782.510252235,5782.510252235,vC,0.82210773,6.57686184,164388,0.19995920,164388,0.82210773,182.3
2,0,0.600184,5782.510252235,5782.510252235,vD,0.85576126,5.13456758,128338,0.19995920,128338,0.85576126,182.3
3,0,0.800200,5782.710267989,5782.710267989,uA,0.82187526,6.57500209,164388,0.20001575,164388,0.82187526,212.5
3,0,0.800200,5782.710267989,5782.710267989,uB,0.84590670,5.07544021,126896,0.20001575,126896,0.84590670,212.5
3,0,0.800200,5782.710267989,5782.710267989,ac,0.95164504,5.70987023,142758,0.20001575,142758,0.95164504,212.5
3,0,0.800200,5782.710267989,5782.710267989,ad,0.95164504,3.80658016,95172,0.20001575,95172,0.95164504,212.5
