sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000106,5913.550562159,5913.550562159,0,0,0.000000
1,0.010066,5913.560521545,5913.560521545,4,5600,0.000000
2,0.020067,5913.570522635,5913.570522635,9,12600,0.000000
3,0.030065,5913.580521076,5913.580521076,14,19600,0.000000
4,0.040064,5913.590520167,5913.590520167,19,26600,0.000000
5,0.050066,5913.600521934,5913.600521934,24,33600,0.000000
6,0.060042,5913.610497304,5913.610497304,29,40600,0.000000
7,0.070063,5913.620518741,5913.620518741,34,47600,0.000000
8,0.080066,5913.630522042,5913.630522042,39,54600,0.000000
9,0.090081,5913.640536611,5913.640536611,44,61600,0.000000
10,0.100065,5913.650520890,5913.650520890,49,68600,0.000000
11,0.110065,5913.660520369,5913.660520369,54,75600,0.000000
12,0.120061,5913.670517012,5913.670517012,59,82600,0.000000
13,0.130058,5913.680513619,5913.680513619,64,89600,0.000000
14,0.140079,5913.690534195,5913.690534195,69,96600,0.000000
15,0.150070,5913.700525815,5913.700525815,73,102200,0.000000
16,0.160362,5913.710817304,5913.710817304,79,110600,0.000000
17,0.170067,5913.720522444,5913.720522444,83,116200,0.000000
18,0.183443,5913.733898740,5913.733898740,90,126000,0.000000
19,0.190062,5913.740517719,5913.740517719,93,130200,0.000000
20,0.200050,5913.750505950,5913.750505950,98,137200,0.000000
21,0.210069,5913.760525150,5913.760525150,103,144200,0.000000
22,0.220050,5913.770505768,5913.770505768,108,151200,0.000000
23,0.230062,5913.780517509,5913.780517509,113,158200,0.000000
24,0.240061,5913.790516848,5913.790516848,118,165200,0.000000
25,0.250067,5913.800522179,5913.800522179,123,172200,0.000000
26,0.260069,5913.810524358,5913.810524358,128,179200,0.000000
27,0.270050,5913.820505691,5913.820505691,133,186200,0.000000
28,0.280092,5913.830548170,5913.830548170,138,193200,0.000000
29,0.290065,5913.840520396,5913.840520396,142,198800,0.000000
30,0.300062,5913.850517204,5913.850517204,147,205800,0.000000
31,0.310062,5913.860518156,5913.860518156,152,212800,0.000000
32,0.320065,5913.870521130,5913.870521130,157,219800,0.000000
33,0.330066,5913.880521534,5913.880521534,162,226800,0.000000
34,0.340053,5913.890508868,5913.890508868,167,233800,0.000000
35,0.350067,5913.900522988,5913.900522988,172,240800,0.000000
36,0.361662,5913.912117530,5913.912117530,178,249200,0.000000
37,0.370129,5913.920584797,5913.920584797,182,254800,0.000000
38,0.380099,5913.930554972,5913.930554972,187,261800,0.000000
39,0.390081,5913.940536525,5913.940536525,192,268800,0.000000
40,0.400074,5913.950529233,5913.950529233,197,275800,0.000000
41,0.410091,5913.960546397,5913.960546397,202,282800,0.000000
42,0.420077,5913.970533139,5913.970533139,207,289800,0.000000
43,0.430092,5913.980547229,5913.980547229,211,295400,0.000000
44,0.440067,5913.990522895,5913.990522895,216,302400,0.000000
45,0.450065,5914.000520261,5914.000520261,221,309400,0.000000
46,0.460066,5914.010522069,5914.010522069,226,316400,0.000000
47,0.470066,5914.020521528,5914.020521528,231,323400,0.000000
48,0.480068,5914.030523191,5914.030523191,236,330400,0.000000
49,0.490064,5914.040520132,5914.040520132,241,337400,0.000000
50,0.500062,5914.050518043,5914.050518043,246,344400,0.000000
51,0.510065,5914.060520825,5914.060520825,251,351400,0.000000
52,0.520063,5914.070518910,5914.070518910,256,358400,0.000000
