sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000123,5913.611238083,5913.611238083,0,0,0.000000
1,0.010063,5913.621178587,5913.621178587,3,4200,0.000000
2,0.020067,5913.631182736,5913.631182736,6,8400,0.000000
3,0.030066,5913.641181220,5913.641181220,9,12600,0.000000
4,0.040068,5913.651183434,5913.651183434,13,18200,0.000000
5,0.050065,5913.661180817,5913.661180817,16,22400,0.000000
6,0.060068,5913.671183494,5913.671183494,19,26600,0.000000
7,0.070062,5913.681177118,5913.681177118,23,32200,0.000000
8,0.080063,5913.691178289,5913.691178289,26,36400,0.000000
9,0.090065,5913.701180256,5913.701180256,29,40600,0.000000
10,0.100065,5913.711180280,5913.711180280,33,46200,0.000000
11,0.110066,5913.721181911,5913.721181911,36,50400,0.000000
12,0.120778,5913.731893701,5913.731893701,40,56000,0.000000
13,0.130052,5913.741167614,5913.741167614,43,60200,0.000000
14,0.140067,5913.751182277,5913.751182277,46,64400,0.000000
15,0.150109,5913.761224595,5913.761224595,49,68600,0.000000
16,0.161500,5913.772615403,5913.772615403,53,74200,0.000000
17,0.170062,5913.781177793,5913.781177793,56,78400,0.000000
18,0.180064,5913.791179041,5913.791179041,59,82600,0.000000
19,0.190032,5913.801147472,5913.801147472,63,88200,0.000000
20,0.200067,5913.811182515,5913.811182515,66,92400,0.000000
21,0.210063,5913.821178355,5913.821178355,69,96600,0.000000
22,0.220063,5913.831178438,5913.831178438,73,102200,0.000000
23,0.230066,5913.841181279,5913.841181279,76,106400,0.000000
24,0.240062,5913.851177718,5913.851177718,79,110600,0.000000
25,0.250063,5913.861178340,5913.861178340,83,116200,0.000000
26,0.260047,5913.871162428,5913.871162428,86,120400,0.000000
27,0.270070,5913.881185742,5913.881185742,89,124600,0.000000
28,0.280084,5913.891199753,5913.891199753,93,130200,0.000000
29,0.290068,5913.901183654,5913.901183654,96,134400,0.000000
30,0.300066,5913.911181898,5913.911181898,99,138600,0.000000
31,0.310066,5913.921180970,5913.921180970,102,142800,0.000000
32,0.320068,5913.931183610,5913.931183610,106,148400,0.000000
33,0.330074,5913.941189379,5913.941189379,109,152600,0.000000
34,0.340065,5913.951180808,5913.951180808,112,156800,0.000000
35,0.350073,5913.961188465,5913.961188465,116,162400,0.000000
36,0.360066,5913.971181418,5913.971181418,119,166600,0.000000
37,0.370069,5913.981184510,5913.981184510,122,170800,0.000000
38,0.380065,5913.991180016,5913.991180016,126,176400,0.000000
39,0.390066,5914.001181864,5914.001181864,129,180600,0.000000
40,0.400070,5914.011185839,5914.011185839,132,184800,0.000000
41,0.410067,5914.021182878,5914.021182878,136,190400,0.000000
42,0.420069,5914.031184071,5914.031184071,139,194600,0.000000
43,0.430071,5914.041186563,5914.041186563,142,198800,0.000000
44,0.440080,5914.051195037,5914.051195037,146,204400,0.000000
45,0.450070,5914.061185500,5914.061185500,149,208600,0.000000
46,0.460078,5914.071193211,5914.071193211,152,212800,0.000000
47,0.470062,5914.081177917,5914.081177917,156,218400,0.000000
48,0.480067,5914.091182019,5914.091182019,159,222600,0.000000
49,0.490067,5914.101182382,5914.101182382,162,226800,0.000000
50,0.500058,5914.111173837,5914.111173837,166,232400,0.000000
51,0.510061,5914.121176020,5914.121176020,169,236600,0.000000
52,0.520065,5914.131180923,5914.131180923,172,240800,0.000000
53,0.530034,5914.141149951,5914.141149951,176,246400,0.000000
54,0.540065,5914.151180815,5914.151180815,179,250600,0.000000
55,0.550068,5914.161183752,5914.161183752,182,254800,0.000000
56,0.560097,5914.171212325,5914.171212325,186,260400,0.000000
57,0.570081,5914.181196291,5914.181196291,189,264600,0.000000
58,0.580068,5914.191183436,5914.191183436,192,268800,0.000000
59,0.590068,5914.201183813,5914.201183813,195,273000,0.000000
60,0.600059,5914.211174849,5914.211174849,199,278600,0.000000
61,0.610042,5914.221157760,5914.221157760,202,282800,0.000000
62,0.620067,5914.231182611,5914.231182611,205,287000,0.000000
63,0.630065,5914.241180888,5914.241180888,209,292600,0.000000
64,0.640068,5914.251183851,5914.251183851,212,296800,0.000000
65,0.650020,5914.261135520,5914.261135520,215,301000,0.000000
66,0.660073,5914.271188621,5914.271188621,219,306600,0.000000
67,0.670068,5914.281183309,5914.281183309,222,310800,0.000000
68,0.680066,5914.291181796,5914.291181796,225,315000,0.000000
69,0.690071,5914.301186326,5914.301186326,229,320600,0.000000
70,0.700071,5914.311186039,5914.311186039,232,324800,0.000000
71,0.710077,5914.321192547,5914.321192547,235,329000,0.000000
72,0.720039,5914.331154186,5914.331154186,239,334600,0.000000
73,0.730073,5914.341188335,5914.341188335,242,338800,0.000000
74,0.740070,5914.351185888,5914.351185888,245,343000,0.000000
75,0.750068,5914.361183773,5914.361183773,249,348600,0.000000
76,0.760071,5914.371186675,5914.371186675,252,352800,0.000000
77,0.770068,5914.381183453,5914.381183453,255,357000,0.000000
78,0.780059,5914.391174802,5914.391174802,259,362600,0.000000
79,0.790070,5914.401185039,5914.401185039,262,366800,0.000000
80,0.800061,5914.411176752,5914.411176752,265,371000,0.000000
81,0.810025,5914.421140576,5914.421140576,269,376600,0.000000
82,0.820040,5914.431155397,5914.431155397,272,380800,0.000000
83,0.830066,5914.441181213,5914.441181213,275,385000,0.000000
84,0.840086,5914.451201890,5914.451201890,279,390600,0.000000
85,0.850062,5914.461177365,5914.461177365,282,394800,0.000000
86,0.860066,5914.471181226,5914.471181226,285,399000,0.000000
87,0.870064,5914.481179866,5914.481179866,288,403200,0.000000
88,0.880071,5914.491186856,5914.491186856,292,408800,0.000000
89,0.890057,5914.501172565,5914.501172565,295,413000,0.000000
90,0.900077,5914.511192938,5914.511192938,298,417200,0.000000
91,0.910065,5914.521180833,5914.521180833,302,422800,0.000000
92,0.920057,5914.531172405,5914.531172405,305,427000,0.000000
93,0.930020,5914.541135093,5914.541135093,308,431200,0.000000
94,0.940080,5914.551195274,5914.551195274,312,436800,0.000000
95,0.950070,5914.561185359,5914.561185359,315,441000,0.000000
96,0.960071,5914.571186257,5914.571186257,318,445200,0.000000
97,0.970065,5914.581180508,5914.581180508,322,450800,0.000000
98,0.980067,5914.591182119,5914.591182119,325,455000,0.000000
