sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000109,5913.765217708,5913.765217708,0,0,0.000000
1,0.013929,5913.779037721,5913.779037721,6,8400,0.000000
2,0.020064,5913.785172620,5913.785172620,9,12600,0.000000
3,0.030065,5913.795172999,5913.795172999,14,19600,0.000000
4,0.040103,5913.805211684,5913.805211684,19,26600,0.000000
5,0.050060,5913.815168322,5913.815168322,24,33600,0.000000
6,0.060067,5913.825175144,5913.825175144,29,40600,0.000000
7,0.070061,5913.835169254,5913.835169254,34,47600,0.000000
8,0.082926,5913.848034621,5913.848034621,40,56000,0.000000
9,0.090921,5913.856028727,5913.856028727,44,61600,0.000000
10,0.100040,5913.865148252,5913.865148252,49,68600,0.000000
11,0.110065,5913.875173367,5913.875173367,53,74200,0.000000
12,0.120065,5913.885172886,5913.885172886,58,81200,0.000000
13,0.130066,5913.895174690,5913.895174690,63,88200,0.000000
14,0.140059,5913.905167072,5913.905167072,68,95200,0.000000
15,0.150062,5913.915169771,5913.915169771,73,102200,0.000000
16,0.160059,5913.925167016,5913.925167016,78,109200,0.000000
17,0.170059,5913.935166851,5913.935166851,83,116200,0.000000
18,0.180060,5913.945168113,5913.945168113,88,123200,0.000000
19,0.190059,5913.955167097,5913.955167097,93,130200,0.000000
20,0.200056,5913.965164400,5913.965164400,98,137200,0.000000
21,0.210066,5913.975174389,5913.975174389,102,142800,0.000000
22,0.220066,5913.985174418,5913.985174418,107,149800,0.000000
23,0.230065,5913.995173110,5913.995173110,112,156800,0.000000
24,0.240065,5914.005173297,5914.005173297,117,163800,0.000000
25,0.250066,5914.015174629,5914.015174629,122,170800,0.000000
26,0.260059,5914.025167426,5914.025167426,127,177800,0.000000
27,0.270064,5914.035172623,5914.035172623,132,184800,0.000000
28,0.280072,5914.045179836,5914.045179836,137,191800,0.000000
29,0.290065,5914.055172929,5914.055172929,142,198800,0.000000
30,0.300063,5914.065170843,5914.065170843,147,205800,0.000000
31,0.310066,5914.075173944,5914.075173944,151,211400,0.000000
32,0.320066,5914.085174723,5914.085174723,156,218400,0.000000
33,0.330065,5914.095173536,5914.095173536,161,225400,0.000000
34,0.340060,5914.105168519,5914.105168519,166,232400,0.000000
35,0.350072,5914.115180646,5914.115180646,171,239400,0.000000
36,0.360072,5914.125180302,5914.125180302,176,246400,0.000000
37,0.370065,5914.135173417,5914.135173417,181,253400,0.000000
38,0.380065,5914.145173709,5914.145173709,186,260400,0.000000
39,0.390040,5914.155148143,5914.155148143,191,267400,0.000000
40,0.400048,5914.165155802,5914.165155802,196,274400,0.000000
41,0.410023,5914.175131157,5914.175131157,200,280000,0.000000
42,0.420070,5914.185178696,5914.185178696,205,287000,0.000000
43,0.430061,5914.195169019,5914.195169019,210,294000,0.000000
44,0.440066,5914.205173948,5914.205173948,215,301000,0.000000
45,0.450040,5914.215148084,5914.215148084,220,308000,0.000000
46,0.460066,5914.225173910,5914.225173910,225,315000,0.000000
47,0.470061,5914.235169396,5914.235169396,230,322000,0.000000
48,0.480067,5914.245174873,5914.245174873,235,329000,0.000000
49,0.490063,5914.255170737,5914.255170737,240,336000,0.000000
50,0.500046,5914.265153782,5914.265153782,245,343000,0.000000
51,0.510073,5914.275180737,5914.275180737,250,350000,0.000000
52,0.520084,5914.285192222,5914.285192222,254,355600,0.000000
53,0.530068,5914.295176082,5914.295176082,259,362600,0.000000
54,0.540063,5914.305170825,5914.305170825,264,369600,0.000000
55,0.550068,5914.315175980,5914.315175980,269,376600,0.000000
56,0.560069,5914.325177582,5914.325177582,274,383600,0.000000
57,0.570061,5914.335169240,5914.335169240,279,390600,0.000000
58,0.580071,5914.345179609,5914.345179609,284,397600,0.000000
59,0.590025,5914.355133085,5914.355133085,289,404600,0.000000
60,0.600075,5914.365183061,5914.365183061,294,411600,0.000000
