sample_index,timestamp_s,monotonic_s,t_mono,cum_packets,cum_bytes,lag_s
0,0.000100,5913.469848819,5913.469848819,0,0,0.000000
1,0.010381,5913.480129849,5913.480129849,4,5600,0.000000
2,0.021163,5913.490911433,5913.490911433,9,12600,0.000000
3,0.030060,5913.499808955,5913.499808955,13,18200,0.000000
4,0.040065,5913.509813524,5913.509813524,17,23800,0.000000
5,0.050067,5913.519815846,5913.519815846,21,29400,0.000000
6,0.060066,5913.529814888,5913.529814888,26,36400,0.000000
7,0.070073,5913.539821958,5913.539821958,30,42000,0.000000
8,0.080062,5913.549810564,5913.549810564,35,49000,0.000000
9,0.090068,5913.559816911,5913.559816911,39,54600,0.000000
10,0.100067,5913.569815571,5913.569815571,43,60200,0.000000
11,0.110065,5913.579813838,5913.579813838,48,67200,0.000000
12,0.120074,5913.589822213,5913.589822213,52,72800,0.000000
13,0.130063,5913.599812078,5913.599812078,57,79800,0.000000
14,0.140071,5913.609819244,5913.609819244,61,85400,0.000000
15,0.150063,5913.619811692,5913.619811692,65,91000,0.000000
16,0.160032,5913.629780300,5913.629780300,70,98000,0.000000
17,0.170044,5913.639793022,5913.639793022,74,103600,0.000000
18,0.180068,5913.649816816,5913.649816816,79,110600,0.000000
19,0.190050,5913.659799001,5913.659799001,83,116200,0.000000
20,0.200067,5913.669815280,5913.669815280,87,121800,0.000000
21,0.210069,5913.679817654,5913.679817654,92,128800,0.000000
22,0.220064,5913.689812475,5913.689812475,96,134400,0.000000
23,0.230847,5913.700595434,5913.700595434,101,141400,0.000000
24,0.240060,5913.709809103,5913.709809103,105,147000,0.000000
25,0.250063,5913.719811688,5913.719811688,109,152600,0.000000
26,0.262318,5913.732066460,5913.732066460,115,161000,0.000000
27,0.270064,5913.739812661,5913.739812661,118,165200,0.000000
28,0.280084,5913.749833011,5913.749833011,123,172200,0.000000
29,0.290065,5913.759813991,5913.759813991,127,177800,0.000000
30,0.300551,5913.770299542,5913.770299542,132,184800,0.000000
31,0.310031,5913.779779494,5913.779779494,136,190400,0.000000
32,0.320063,5913.789811965,5913.789811965,140,196000,0.000000
33,0.330065,5913.799813992,5913.799813992,144,201600,0.000000
34,0.340062,5913.809810536,5913.809810536,149,208600,0.000000
35,0.350065,5913.819813277,5913.819813277,153,214200,0.000000
36,0.360067,5913.829815940,5913.829815940,158,221200,0.000000
37,0.370136,5913.839884345,5913.839884345,162,226800,0.000000
38,0.380062,5913.849810952,5913.849810952,166,232400,0.000000
39,0.390067,5913.859815485,5913.859815485,171,239400,0.000000
40,0.400071,5913.869819136,5913.869819136,175,245000,0.000000
41,0.410066,5913.879814885,5913.879814885,180,252000,0.000000
42,0.420796,5913.890544827,5913.890544827,184,257600,0.000000
43,0.430072,5913.899820268,5913.899820268,188,263200,0.000000
44,0.442295,5913.912043540,5913.912043540,194,271600,0.000000
45,0.450051,5913.919799382,5913.919799382,197,275800,0.000000
46,0.460027,5913.929775350,5913.929775350,202,282800,0.000000
47,0.470082,5913.939830996,5913.939830996,206,288400,0.000000
48,0.480066,5913.949814740,5913.949814740,210,294000,0.000000
49,0.490070,5913.959818389,5913.959818389,215,301000,0.000000
50,0.500064,5913.969812468,5913.969812468,219,306600,0.000000
51,0.510070,5913.979818568,5913.979818568,224,313600,0.000000
52,0.520059,5913.989807927,5913.989807927,228,319200,0.000000
53,0.530074,5913.999822513,5913.999822513,232,324800,0.000000
54,0.540064,5914.009812506,5914.009812506,237,331800,0.000000
55,0.550060,5914.019808278,5914.019808278,241,337400,0.000000
56,0.560044,5914.029793010,5914.029793010,246,344400,0.000000
57,0.570066,5914.039814792,5914.039814792,250,350000,0.000000
58,0.580065,5914.049813443,5914.049813443,254,355600,0.000000
59,0.590067,5914.059815689,5914.059815689,259,362600,0.000000
60,0.600063,5914.069811919,5914.069811919,263,368200,0.000000
61,0.610070,5914.079818129,5914.079818129,267,373800,0.000000
62,0.620066,5914.089814427,5914.089814427,272,380800,0.000000
63,0.630067,5914.099815645,5914.099815645,276,386400,0.000000
64,0.640063,5914.109811426,5914.109811426,281,393400,0.000000
65,0.650066,5914.119814504,5914.119814504,285,399000,0.000000
66,0.660064,5914.129812424,5914.129812424,289,404600,0.000000
67,0.670010,5914.139758574,5914.139758574,294,411600,0.000000
68,0.680065,5914.149813724,5914.149813724,298,417200,0.000000
69,0.690064,5914.159812275,5914.159812275,303,424200,0.000000
70,0.700067,5914.169815481,5914.169815481,307,429800,0.000000
71,0.710065,5914.179813980,5914.179813980,311,435400,0.000000
72,0.720063,5914.189811914,5914.189811914,316,442400,0.000000
73,0.730016,5914.199764717,5914.199764717,320,448000,0.000000
74,0.740013,5914.209761673,5914.209761673,325,455000,0.000000
75,0.750063,5914.219811800,5914.219811800,329,460600,0.000000
76,0.760064,5914.229812463,5914.229812463,333,466200,0.000000
77,0.770062,5914.239810227,5914.239810227,338,473200,0.000000
78,0.780043,5914.249791761,5914.249791761,342,478800,0.000000
79,0.790052,5914.259800551,5914.259800551,347,485800,0.000000
80,0.800063,5914.269812080,5914.269812080,351,491400,0.000000
81,0.810065,5914.279813487,5914.279813487,355,497000,0.000000
82,0.820063,5914.289811965,5914.289811965,360,504000,0.000000
83,0.830090,5914.299839092,5914.299839092,364,509600,0.000000
84,0.840074,5914.309822268,5914.309822268,369,516600,0.000000
85,0.850066,5914.319814629,5914.319814629,373,522200,0.000000
86,0.860072,5914.329820930,5914.329820930,377,527800,0.000000
87,0.870068,5914.339816462,5914.339816462,382,534800,0.000000
88,0.880066,5914.349814755,5914.349814755,386,540400,0.000000
89,0.890013,5914.359761449,5914.359761449,390,546000,0.000000
90,0.900067,5914.369815146,5914.369815146,395,553000,0.000000
91,0.910067,5914.379815858,5914.379815858,399,558600,0.000000
92,0.920067,5914.389815957,5914.389815957,404,565600,0.000000
93,0.930060,5914.399809080,5914.399809080,408,571200,0.000000
94,0.940068,5914.409817061,5914.409817061,412,576800,0.000000
95,0.950063,5914.419811728,5914.419811728,417,583800,0.000000
96,0.960066,5914.429814177,5914.429814177,421,589400,0.000000
97,0.970063,5914.439811960,5914.439811960,426,596400,0.000000
98,0.980072,5914.449820128,5914.449820128,430,602000,0.000000
99,0.990069,5914.459817753,5914.459817753,434,607600,0.000000
100,1.000060,5914.469808187,5914.469808187,439,614600,0.000000
101,1.010069,5914.479817494,5914.479817494,443,620200,0.000000
102,1.020063,5914.489811464,5914.489811464,448,627200,0.000000
103,1.030063,5914.499811887,5914.499811887,452,632800,0.000000
104,1.040063,5914.509811711,5914.509811711,456,638400,0.000000
105,1.050067,5914.519815298,5914.519815298,461,645400,0.000000
106,1.060065,5914.529813739,5914.529813739,465,651000,0.000000
107,1.070058,5914.539806438,5914.539806438,470,658000,0.000000
108,1.080062,5914.549811039,5914.549811039,474,663600,0.000000
109,1.090066,5914.559814820,5914.559814820,478,669200,0.000000
110,1.100070,5914.569818252,5914.569818252,483,676200,0.000000
111,1.110068,5914.579816908,5914.579816908,487,681800,0.000000
112,1.120075,5914.589823648,5914.589823648,492,688800,0.000000
113,1.130063,5914.599812030,5914.599812030,496,694400,0.000000
114,1.140055,5914.609803745,5914.609803745,500,700000,0.000000
115,1.150066,5914.619814288,5914.619814288,505,707000,0.000000
116,1.160065,5914.629814123,5914.629814123,509,712600,0.000000
117,1.170076,5914.639824465,5914.639824465,513,718200,0.000000
118,1.180065,5914.649813295,5914.649813295,518,725200,0.000000
119,1.190073,5914.659821680,5914.659821680,522,730800,0.000000
120,1.200062,5914.669810912,5914.669810912,527,737800,0.000000
121,1.210064,5914.679812882,5914.679812882,531,743400,0.000000
122,1.220061,5914.689809944,5914.689809944,535,749000,0.000000
123,1.230068,5914.699816470,5914.699816470,540,756000,0.000000
124,1.240072,5914.709820284,5914.709820284,544,761600,0.000000
125,1.250059,5914.719808008,5914.719808008,549,768600,0.000000
