tau_s,sigma_ref,replicate,iface,sigma_target,tau_hat_s,tau_rel_error,sigma_hat,sigma_ratio,sf,fit_ok,n_lags_used,target_tau_hat_s,target_sigma_ratio,residual_variance,residual_acf1
2.0,0.028,0,g2v0,0.028,1.891583094747686,-0.05420845262615703,0.02761483409454818,0.9862440748052921,0.9623459310582303,True,7,1.9033011800663626,0.9852804720771875,3.463212441454598e-05,-0.49171670893820374
2.0,0.028,0,g2v1,0.037333333333333336,2.3563428322996027,0.17817141614980136,0.039595816532681447,1.0606022285539671,0.9605911019954062,True,7,2.3259603629946395,1.0618811897862328,6.23801590168426e-05,-0.5034734192268828
2.0,0.028,0,g2v2,0.026398653164297774,1.8186592371943051,-0.09067038140284744,0.02481611029006283,0.9400521358273226,0.9119150758332906,True,7,1.7918021527321455,0.941519673739894,5.965677427640517e-05,-0.4916691770568019
2.0,0.028,0,g2v3,0.03959797974644666,2.0298414042648063,0.014920702132403152,0.0422640489280727,1.0673284141942945,0.9416276120959662,True,7,2.0290535184790333,1.0677200075158517,0.00013593316667127306,-0.4892003016982683
2.0,0.028,0,g2v4,0.026398653164297774,2.623260503410306,0.311630251705153,0.029661731772713626,1.1236077684761934,0.9303046056879197,True,7,2.614668285674457,1.1229196119588978,6.328047643199679e-05,-0.47848372661872896
2.0,0.028,0,g2v5,0.026398653164297774,1.6183463701772607,-0.19082681491136966,0.025884252882677025,0.980514146747591,0.9414328221953018,True,7,1.6284989700283385,0.9790328818061836,6.268952581765611e-05,-0.5108773033699862
2.0,0.028,0,g2v6,0.028,2.1889464748738856,0.0944732374369428,0.028675048794820027,1.0241088855292866,0.9561551133152839,True,7,2.1837612797300476,1.0241002107565007,3.500871012626518e-05,-0.5200918915594487
2.0,0.028,0,g2v7,0.037333333333333336,2.030258781864342,0.015129390932171027,0.03793947482047367,1.016235932691259,0.9616499137120771,True,7,2.0410796321539797,1.0154909671812156,6.071518997633416e-05,-0.4916941186868237
2.0,0.028,1,g2v0,0.028,1.7496226915858482,-0.12518865420707592,0.02737841536584513,0.9778005487801833,0.9576929271522769,True,7,1.7551113448288742,0.9775887814685768,3.429095385848848e-05,-0.48976421744022003
2.0,0.028,1,g2v1,0.037333333333333336,1.785770025615697,-0.10711498719215151,0.03650840571578633,0.9779037245299909,0.9587791097896967,True,7,1.7807737226019704,0.9781159770158955,6.373216968638675e-05,-0.5072657805405034
2.0,0.028,1,g2v2,0.026398653164297774,1.8843390240207194,-0.0578304879896403,0.02741959036294362,1.038673836589004,0.9377889545322381,True,7,1.8823645409888512,1.038336402791746,5.723231902661924e-05,-0.5039678589543668
2.0,0.028,1,g2v3,0.03959797974644666,2.048218105781304,0.024109052890652016,0.04017094474566347,1.0144695512974553,0.9271744212800105,True,7,2.0459718763172243,1.0142523520373616,0.00013338363847926972,-0.47824529939860966
2.0,0.028,1,g2v4,0.026398653164297774,2.4952135114497875,0.24760675572489377,0.02767441493203193,1.0483267748469656,0.9216238380635052,True,7,2.5256631374752083,1.0472168838461131,6.30513206103089e-05,-0.4983390820996756
2.0,0.028,1,g2v5,0.026398653164297774,1.6949750076641308,-0.1525124961679346,0.02612043649392622,0.9894609520932749,0.9380270065475552,True,7,1.7004320633273606,0.9888176643731299,5.982708022538386e-05,-0.4839289635090665
2.0,0.028,1,g2v6,0.028,1.9393711751580083,-0.030314412420995862,0.025812193420261042,0.9218640507236087,0.9380637581129987,True,7,1.9270737880421025,0.922545294900882,3.484872908793495e-05,-0.4918299326188727
2.0,0.028,1,g2v7,0.037333333333333336,2.049282668202837,0.024641334101418444,0.0370242632008854,0.9917213357380017,0.9563555443106427,True,7,2.057241870927672,0.9909611351353419,6.124873800956273e-05,-0.49106437954803983
2.0,0.045,0,g2v0,0.045,2.060142425553535,0.030071212776767497,0.04548250089251544,1.0107222420558988,0.9863030619618358,True,7,2.055755762911575,1.010710501353423,3.535706994228454e-05,-0.49551353472378473
2.0,0.045,0,g2v1,0.06,2.1388520264888897,0.06942601324444486,0.06005760274836639,1.0009600458061065,0.9773235341239308,True,7,2.140291642960336,1.0007841208961212,6.418456444054314e-05,-0.49503438419701046
2.0,0.045,0,g2v2,0.042426406871192854,2.4317164618085623,0.21585823090428113,0.04577613625563162,1.0789538787625497,0.967890909674413,True,7,2.4370164415894626,1.0784846850235967,6.238343498393668e-05,-0.5003275043769472
2.0,0.045,0,g2v3,0.06363961030678927,2.161934837158203,0.08096741857910139,0.06307804284727155,0.9911758186951403,0.9582578833044175,True,7,2.162350340876859,0.9913788750019786,0.00014015227649877288,-0.5095015034362755
2.0,0.045,0,g2v4,0.042426406871192854,1.9152558531449375,-0.04237207342753124,0.04013649573797176,0.9460262769794932,0.9650416121571894,True,7,1.9222953153954851,0.9452685021490764,6.0407642880412546e-05,-0.4970797762463634
2.0,0.045,0,g2v5,0.042426406871192854,2.240153534667985,0.12007676733399242,0.04264878493562822,1.0052415012449796,0.9599736485294117,True,7,2.2398736383557147,1.0053811820830523,6.029509450940874e-05,-0.4878614449740292
2.0,0.045,0,g2v6,0.045,1.7469239729010977,-0.12653801354945116,0.044699051379060294,0.9933122528680065,0.989030485207792,True,7,1.7433711165558854,0.9934437477368161,3.4701048296689515e-05,-0.5041400676741997
2.0,0.045,0,g2v7,0.06,1.9083252622494018,-0.0458373688752991,0.05690255235530237,0.948375872588373,0.9815443941036971,True,7,1.9037148594075959,0.9487935564311853,5.9632846256107407e-05,-0.4838880528486768
2.0,0.045,1,g2v0,0.045,1.569897543854849,-0.21505122807257548,0.04243920032393872,0.9430933405319716,0.9925286917620842,True,7,1.5708040432557135,0.943063673275797,3.516216311393582e-05,-0.5021964941436348
2.0,0.045,1,g2v1,0.06,1.947185546686511,-0.026407226656744553,0.05761888707296086,0.9603147845493477,0.9757105765190689,True,7,1.944856363675895,0.9604776336866164,6.245893537100491e-05,-0.4944179803804054
2.0,0.045,1,g2v2,0.042426406871192854,1.8728476422688045,-0.06357617886559774,0.040896458513764174,0.9639387713865654,0.9673209691345455,True,7,1.8883594314894052,0.9628162073180507,6.167674852352089e-05,-0.493590693694007
2.0,0.045,1,g2v3,0.06363961030678927,1.885795879351817,-0.057102060324091486,0.06130498327961127,0.9633148755009121,0.9645932008577327,True,7,1.8878108474282809,0.96301466271426,0.00014128345117921494,-0.4842183875373659
2.0,0.045,1,g2v4,0.042426406871192854,1.8940295098317883,-0.05298524508410585,0.03974847872342402,0.9368806282394109,0.9584907968786578,True,7,1.898715308466229,0.9368886733704875,6.300382954774069e-05,-0.5001627296695337
2.0,0.045,1,g2v5,0.042426406871192854,1.8369082233782164,-0.08154588831089182,0.0402932651580198,0.9497213676461148,0.9680097677503596,True,7,1.839484609737855,0.9493674554524727,6.254541717021182e-05,-0.5041579666519482
2.0,0.045,1,g2v6,0.045,1.6334461159914844,-0.18327694200425781,0.04211091151398737,0.9357980336441638,0.9824034134927652,True,7,1.6413968940220305,0.9350480378565116,3.4974418568842293e-05,-0.5053874196504472
2.0,0.045,1,g2v7,0.06,1.893800899768586,-0.053099550115706995,0.05715812731547802,0.9526354552579671,0.9844152100787797,True,7,1.891631986975035,0.9528057609486096,6.365866061343318e-05,-0.5145357870183056
5.0,0.028,0,g2v0,0.028,4.080785459638264,-0.18384290807234716,0.026606313004798543,0.9502254644570908,0.9598760420097883,True,19,4.082381983273288,0.9501313893028384,3.408820371462307e-05,-0.49031919271224195
5.0,0.028,0,g2v1,0.037333333333333336,5.09307964016242,0.01861592803248402,0.037827346251673485,1.013232488884111,0.9620522489094556,True,19,5.089838044817723,1.0132116169242675,6.137929378462679e-05,-0.5061898590623541
5.0,0.028,0,g2v2,0.026398653164297774,4.3192791798108034,-0.13614416403783935,0.02395512977400048,0.9074375736106879,0.900829028733243,True,19,4.317623220914417,0.9074247635516302,6.244143019059229e-05,-0.49292195624031865
5.0,0.028,0,g2v3,0.03959797974644666,5.648839316778813,0.12976786335576262,0.04270010539025054,1.0783405028152289,0.9304952809888187,True,19,5.662350069196666,1.0781929538289763,0.0001380562440067358,-0.5058038111291927
5.0,0.028,0,g2v4,0.026398653164297774,5.565774285831169,0.11315485716623375,0.026702053956570913,1.01149304058752,0.9160533442735035,True,19,5.558035360719012,1.0112673457249863,6.303610494871322e-05,-0.5036231660775233
5.0,0.028,0,g2v5,0.026398653164297774,5.076144240121261,0.015228848024252173,0.02776667654411163,1.0518217111797206,0.9308546031140663,True,19,5.073072016897965,1.0519084589681087,6.112749602779285e-05,-0.49476973919607453
5.0,0.028,0,g2v6,0.028,4.884725276280872,-0.023054944743825523,0.028641816852120163,1.022922030432863,0.9650514816508697,True,19,4.894683172398344,1.0230347639633968,3.477620796751352e-05,-0.4906008440261742
5.0,0.028,0,g2v7,0.037333333333333336,4.9619785087268236,-0.007604298254635267,0.03724270876487046,0.9975725562018872,0.9582291878612967,True,19,4.969641562925673,0.9974611768460376,6.065353653024148e-05,-0.486260681939754
5.0,0.028,1,g2v0,0.028,6.0716969797042335,0.2143393959408466,0.029287718941363765,1.045989962191563,0.9553474783105578,True,19,6.0609300576878224,1.0462416771852447,3.486488528151739e-05,-0.5068445275239781
5.0,0.028,1,g2v1,0.037333333333333336,5.385322509109863,0.07706450182197266,0.03896291595553918,1.043649534523371,0.9630512133881052,True,19,5.386612408321499,1.0437603732456375,6.23812237023347e-05,-0.500326856460281
5.0,0.028,1,g2v2,0.026398653164297774,4.037391556173351,-0.1925216887653297,0.02496610059438002,0.9457338766109789,0.91564912819723,True,19,4.037902915823941,0.9458594429190225,6.113015146043909e-05,-0.4925207436740606
5.0,0.028,1,g2v3,0.03959797974644666,3.9225355620384685,-0.21549288759230634,0.03869333277555568,0.9771542140108257,0.9277741328195185,True,19,3.92789502094629,0.9770090710033348,0.00013951293754764984,-0.5096751884814461
5.0,0.028,1,g2v4,0.026398653164297774,5.43183888687318,0.08636777737463608,0.0268422308362886,1.0168030417775529,0.9172129942835172,True,19,5.447703675929696,1.0164952332216652,6.086316640267981e-05,-0.5089530639580921
5.0,0.028,1,g2v5,0.026398653164297774,4.091799694950589,-0.18164006100988228,0.025750435287457844,0.9754450398357217,0.9276226808035085,True,19,4.106095177978232,0.9750670404123739,6.216868318308764e-05,-0.49316016382719435
5.0,0.028,1,g2v6,0.028,4.460610288396899,-0.1078779423206202,0.02748563985667399,0.9816299948812139,0.9620333732139007,True,19,4.4589031491445485,0.9817567627425242,3.4969093404384816e-05,-0.5024309137413009
5.0,0.028,1,g2v7,0.037333333333333336,4.954315530959942,-0.009136893808011637,0.036389562373196,0.9747204207106072,0.9560717597654316,True,19,4.959378699679342,0.9745691517146907,6.114446982483662e-05,-0.5029908492176087
5.0,0.045,0,g2v0,0.045,4.832688822016128,-0.033462235596774415,0.043302697658239665,0.9622821701831037,0.9796392821885334,True,19,4.83067854651216,0.9623316317252918,3.4766009211678524e-05,-0.4965607012345009
5.0,0.045,0,g2v1,0.06,4.485280354781903,-0.10294392904361938,0.05649320609541969,0.9415534349236615,0.9785245981823606,True,19,4.491734211966117,0.9413256340116904,6.273975615331574e-05,-0.505501181713818
5.0,0.045,0,g2v2,0.042426406871192854,4.322448745033053,-0.13551025099338943,0.04057172064700081,0.9562846264633511,0.9671098118375508,True,19,4.327357104374022,0.9561767116644344,6.20058904094873e-05,-0.4899299411619282
5.0,0.045,0,g2v3,0.06363961030678927,5.931044190775903,0.18620883815518052,0.06554082251719785,1.0298746676989905,0.9615323298189409,True,19,5.925868551644985,1.029913374908671,0.00013684890865993193,-0.49386832653590224
5.0,0.045,0,g2v4,0.042426406871192854,5.219885305445561,0.043977061089112146,0.04403703713661425,1.0379629194221252,0.9726323750177969,True,19,5.220431323166964,1.0379752235340707,6.211657213741776e-05,-0.49124349100790743
5.0,0.045,0,g2v5,0.042426406871192854,4.360329634657252,-0.12793407306854954,0.040840184370716584,0.9626123771147516,0.9718935358884748,True,19,4.358450442832464,0.9625926386589067,6.158116194920569e-05,-0.4971640236954136
5.0,0.045,0,g2v6,0.045,4.456156872217468,-0.10876862555650635,0.0460890690781388,1.024201535069751,0.9997911439923693,True,19,4.456228977536659,1.0241575941475092,3.514387311661971e-05,-0.5066210762873287
5.0,0.045,0,g2v7,0.06,4.668155768798934,-0.06636884624021311,0.057790857356889054,0.9631809559481509,0.9820321076692944,True,19,4.671922391711723,0.963125755332636,6.123619756664887e-05,-0.5016122809446337
5.0,0.045,1,g2v0,0.045,5.1822186923970435,0.03644373847940874,0.044378756143327334,0.9861945809628296,0.9826915083488494,True,19,5.182611662781565,0.986233140849163,3.3758340773582195e-05,-0.494825459512974
5.0,0.045,1,g2v1,0.06,3.8506628453587393,-0.22986743092825213,0.055070433435202695,0.9178405572533783,0.9849530084209832,True,19,3.847964563096863,0.9178106745476072,6.250800205403761e-05,-0.5038749970658175
5.0,0.045,1,g2v2,0.042426406871192854,6.438695196706588,0.2877390393413175,0.04609146084205699,1.0863861505404238,0.9664928360540581,True,19,6.455258590312431,1.0861484367214282,6.085947930086352e-05,-0.5090506371260753
5.0,0.045,1,g2v3,0.06363961030678927,5.139549263106648,0.027909852621329723,0.06122940942217166,0.9621273468992237,0.9623904311780533,True,19,5.137404829424773,0.9622104693127762,0.00014084574305515908,-0.5025218365071688
5.0,0.045,1,g2v4,0.042426406871192854,4.0702697506471335,-0.18594604987057328,0.04189164699445973,0.9873955888285175,0.9809673449223719,True,19,4.071004426474414,0.9874447738416267,6.029545626223851e-05,-0.4975254186245174
5.0,0.045,1,g2v5,0.042426406871192854,5.80522590500276,0.16104518100055198,0.04424557829342605,1.042878281626729,0.9628778870528061,True,19,5.812890904450333,1.042415937726626,6.301740877891954e-05,-0.49816241038711007
5.0,0.045,1,g2v6,0.045,5.452392352406713,0.09047847048134261,0.04682391157785461,1.0405313683967692,0.9804740501860125,True,19,5.453080760534121,1.0405314229088805,3.519655643138072e-05,-0.4977656050191206
5.0,0.045,1,g2v7,0.06,5.0560950137717935,0.011219002754358609,0.05901640904004501,0.9836068173340835,0.9809061291970116,True,19,5.055246972954994,0.9836405435351359,6.265248782666136e-05,-0.5129494961673008
30.0,0.036,0,g2v0,0.036,32.931453321371166,0.09771511071237216,0.038506591596395086,1.069627544344308,0.9797159911703374,True,119,32.931460931112575,1.0696326613066647,3.503061126097805e-05,-0.5023088828458371
30.0,0.036,0,g2v1,0.048,34.05904754793734,0.13530158493124467,0.0504603150621162,1.0512565637940874,0.9742591316526663,True,119,34.051703374941155,1.0513135860188976,6.19495261028241e-05,-0.495813511879867
30.0,0.036,0,g2v2,0.03394112549695428,28.995251591682194,-0.033491613610593496,0.03579385728318744,1.054586633740222,0.9611887282484236,True,119,28.99582956979833,1.0546111013919683,6.1604511189657e-05,-0.4942722209567245
30.0,0.036,0,g2v3,0.050911688245431415,26.447193462063314,-0.11842688459788953,0.05008013715554505,0.9836667940399525,0.9512781501462167,True,119,26.444227403933308,0.983715449540267,0.00013795571664906972,-0.49646378653854945
30.0,0.036,0,g2v4,0.03394112549695428,28.746260174937213,-0.04179132750209291,0.03330389182663441,0.9812253229381844,0.9490900695423425,True,119,28.741849907933993,0.9812388858809469,6.171309757087241e-05,-0.493705504809954
30.0,0.036,0,g2v5,0.03394112549695428,28.948887766344022,-0.03503707445519921,0.03340045154192491,0.9840702408328244,0.9432747438032011,True,119,28.95005915500544,0.9841582805436963,6.205995958119507e-05,-0.49945461336942487
30.0,0.036,0,g2v6,0.036,28.493653800556096,-0.05021153998146344,0.03586213640960233,0.9961704558222869,0.9786119757222023,True,119,28.4910918179792,0.9961930903664291,3.4670935007439385e-05,-0.49753219408033017
30.0,0.036,0,g2v7,0.048,34.83514712223451,0.1611715707411503,0.05117334441382144,1.0661113419546133,0.9737686364235827,True,119,34.84815774987426,1.0661824158749305,6.205085323772424e-05,-0.49719603581619115
