dataset,cell,replicate,link,cap_bps,dt_s,v_q,v_theory,v_direct,kappa,acf1,alignment_argmin,aligned
G3b,t2_s0.028,0,uA,8000000.0,0.1,1.7328033333333334e-05,3.465606666666667e-05,3.463212441454597e-05,1.9986182937405457,-0.49171670893820446,0,True
G3b,t2_s0.028,0,uB,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.238015901684244e-05,2.024975297079715,-0.5034734192268836,0,True
G3b,t2_s0.028,0,ac,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,5.9656774276405164e-05,1.9365691931077718,-0.49166917705680213,0,True
G3b,t2_s0.028,0,ad,4000000.0,0.1,6.931213333333334e-05,0.00013862426666666667,0.00013593316667127317,1.9611741860194727,-0.4892003016982668,0,True
G3b,t2_s0.028,0,bc,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.32804764319968e-05,2.054201264982843,-0.4784837266187301,0,True
G3b,t2_s0.028,0,bd,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.26895258176562e-05,2.0350179154259638,-0.5108773033699853,0,True
G3b,t2_s0.028,0,vC,8000000.0,0.1,1.7328033333333334e-05,3.465606666666667e-05,3.50087101262652e-05,2.0203510376979805,-0.5200918915594481,0,True
G3b,t2_s0.028,0,vD,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.071518997633435e-05,1.9709273236444262,-0.4916941186868216,0,True
G3b,t2_s0.028,1,uA,8000000.0,0.1,1.7328033333333334e-05,3.465606666666667e-05,3.4290953858488484e-05,1.9789293567738107,-0.4897642174402198,0,True
G3b,t2_s0.028,1,uB,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.373216968638673e-05,2.06886406316119,-0.5072657805405042,0,True
G3b,t2_s0.028,1,ac,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,5.723231902661939e-05,1.8578668930965472,-0.5039678589543649,0,True
G3b,t2_s0.028,1,ad,4000000.0,0.1,6.931213333333334e-05,0.00013862426666666667,0.00013338363847927004,1.9243908975908504,-0.47824529939860744,0,True
G3b,t2_s0.028,1,bc,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.305132061030891e-05,2.046762443322021,-0.4983390820996746,0,True
G3b,t2_s0.028,1,bd,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,5.982708022538382e-05,1.9420976390922455,-0.4839289635090664,0,True
G3b,t2_s0.028,1,vC,8000000.0,0.1,1.7328033333333334e-05,3.465606666666667e-05,3.4848729087935034e-05,2.011118539395798,-0.4918299326188719,0,True
G3b,t2_s0.028,1,vD,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.124873800956264e-05,1.9882472792861077,-0.4910643795480394,0,True
G3b,t2_s0.045,0,uA,8000000.0,0.1,1.7328033333333334e-05,3.465606666666667e-05,3.535706994228454e-05,2.04045486652368,-0.49551353472378407,0,True
G3b,t2_s0.045,0,uB,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.418456444054315e-05,2.0835496333189685,-0.4950343841970102,0,True
G3b,t2_s0.045,0,ac,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.238343498393684e-05,2.0250816410285726,-0.5003275043769453,0,True
G3b,t2_s0.045,0,ad,4000000.0,0.1,6.931213333333334e-05,0.00013862426666666667,0.00014015227649877312,2.0220453441356074,-0.5095015034362734,0,True
G3b,t2_s0.045,0,bc,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.040764288041255e-05,1.960943776283444,-0.49707977624636296,0,True
G3b,t2_s0.045,0,bd,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.0295094509408645e-05,1.9572902480686805,-0.4878614449740305,0,True
G3b,t2_s0.045,0,vC,8000000.0,0.1,1.7328033333333334e-05,3.465606666666667e-05,3.4701048296689434e-05,2.0025958877823853,-0.5041400676742005,0,True
G3b,t2_s0.045,0,vD,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,5.963284625610728e-05,1.9357924453281106,-0.4838880528486789,0,True
G3b,t2_s0.045,1,uA,8000000.0,0.1,1.7328033333333334e-05,3.465606666666667e-05,3.516216311393583e-05,2.02920680249937,-0.5021964941436323,0,True
G3b,t2_s0.045,1,uB,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.245893537100499e-05,2.027532523186338,-0.4944179803804047,0,True
G3b,t2_s0.045,1,ac,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.16767485235209e-05,2.0021412919227517,-0.4935906936940067,0,True
G3b,t2_s0.045,1,ad,4000000.0,0.1,6.931213333333334e-05,0.00013862426666666667,0.00014128345117921532,2.0383653537218396,-0.48421838753736596,0,True
G3b,t2_s0.045,1,bc,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.300382954774052e-05,2.0452207956242803,-0.5001627296695366,0,True
G3b,t2_s0.045,1,bd,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.254541717021163e-05,2.0303398822857783,-0.5041579666519481,0,True
G3b,t2_s0.045,1,vC,8000000.0,0.1,1.7328033333333334e-05,3.465606666666667e-05,3.4974418568842185e-05,2.018372073509526,-0.5053874196504489,0,True
G3b,t2_s0.045,1,vD,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.36586606134331e-05,2.066477822741345,-0.5145357870183057,0,True
G3b,t5_s0.028,0,uA,8000000.0,0.1,1.7328033333333334e-05,3.465606666666667e-05,3.4088203714623095e-05,1.9672286553748026,-0.4903191927122413,0,True
G3b,t5_s0.028,0,uB,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.137929378462663e-05,1.992485361130758,-0.506189859062354,0,True
G3b,t5_s0.028,0,ac,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.244143019059211e-05,2.026964272664607,-0.49292195624032165,0,True
G3b,t5_s0.028,0,ad,4000000.0,0.1,6.931213333333334e-05,0.00013862426666666667,0.00013805624400673537,1.9918048596600022,-0.5058038111291931,0,True
G3b,t5_s0.028,0,bc,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.30361049487133e-05,2.0462685148142166,-0.5036231660775222,0,True
G3b,t5_s0.028,0,bd,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.112749602779265e-05,1.9843115403921603,-0.49476973919607553,0,True
G3b,t5_s0.028,0,vC,8000000.0,0.1,1.7328033333333334e-05,3.465606666666667e-05,3.4776207967513586e-05,2.006933348899774,-0.4906008440261744,0,True
G3b,t5_s0.028,0,vD,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.0653536530241314e-05,1.9689259387924811,-0.48626068193975575,0,True
G3b,t5_s0.028,1,uA,8000000.0,0.1,1.7328033333333334e-05,3.465606666666667e-05,3.486488528151736e-05,2.0120509125781165,-0.5068445275239795,0,True
G3b,t5_s0.028,1,uB,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.238122370233485e-05,2.025009858739308,-0.5003268564602804,0,True
G3b,t5_s0.028,1,ac,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.113015146043894e-05,1.9843977406455187,-0.4925207436740636,0,True
G3b,t5_s0.028,1,ad,4000000.0,0.1,6.931213333333334e-05,0.00013862426666666667,0.00013951293754764998,2.0128212888313444,-0.5096751884814463,0,True
G3b,t5_s0.028,1,bc,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.0863166402679874e-05,1.9757309120389175,-0.5089530639580935,0,True
G3b,t5_s0.028,1,bd,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.21686831830876e-05,2.0181104005159334,-0.49316016382719463,0,True
G3b,t5_s0.028,1,vC,8000000.0,0.1,1.7328033333333334e-05,3.465606666666667e-05,3.496909340438479e-05,2.0180647585156684,-0.5024309137412991,0,True
G3b,t5_s0.028,1,vD,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.11444698248364e-05,1.9848625412272487,-0.50299084921761,0,True
G3b,t5_s0.045,0,uA,8000000.0,0.1,1.7328033333333334e-05,3.465606666666667e-05,3.4766009211678463e-05,2.0063447791735434,-0.4965607012345011,0,True
G3b,t5_s0.045,0,uB,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.273975615331533e-05,2.036648484992904,-0.5055011817138215,0,True
G3b,t5_s0.045,0,ac,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.200589040948727e-05,2.0128258460954362,-0.48992994116192895,0,True
G3b,t5_s0.045,0,ad,4000000.0,0.1,6.931213333333334e-05,0.00013862426666666667,0.00013684890865993228,1.974386042942923,-0.4938683265359009,0,True
G3b,t5_s0.045,0,bc,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.211657213741793e-05,2.0164187796247846,-0.4912434910079054,0,True
G3b,t5_s0.045,0,bd,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.158116194920581e-05,1.9990383749893683,-0.4971640236954114,0,True
G3b,t5_s0.045,0,vC,8000000.0,0.1,1.7328033333333334e-05,3.465606666666667e-05,3.514387311661952e-05,2.0281512876025274,-0.5066210762873322,0,True
G3b,t5_s0.045,0,vD,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.123619756664906e-05,1.987840193322964,-0.5016122809446277,0,True
G3b,t5_s0.045,1,uA,8000000.0,0.1,1.7328033333333334e-05,3.465606666666667e-05,3.375834077358219e-05,1.948192280346232,-0.49482545951297385,0,True
G3b,t5_s0.045,1,uB,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.250800205403745e-05,2.029125318437526,-0.503874997065819,0,True
G3b,t5_s0.045,1,ac,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.08594793008634e-05,1.9756112218968298,-0.5090506371260766,0,True
G3b,t5_s0.045,1,ad,4000000.0,0.1,6.931213333333334e-05,0.00013862426666666667,0.00014084574305515924,2.032050324837199,-0.5025218365071679,0,True
G3b,t5_s0.045,1,bc,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.0295456262238465e-05,1.9573019912343854,-0.4975254186245176,0,True
G3b,t5_s0.045,1,bd,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.301740877891982e-05,2.045661602575157,-0.4981624103871064,0,True
G3b,t5_s0.045,1,vC,8000000.0,0.1,1.7328033333333334e-05,3.465606666666667e-05,3.5196556431380755e-05,2.031191639253969,-0.4977656050191206,0,True
G3b,t5_s0.045,1,vD,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.2652487826661e-05,2.0338155937582925,-0.5129494961673048,0,True
G3b,t30_s0.036,0,uA,8000000.0,0.1,1.7328033333333334e-05,3.465606666666667e-05,3.5030611260977966e-05,2.021614951166489,-0.5023088828458289,0,True
G3b,t30_s0.036,0,uB,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.194952610282404e-05,2.0109961564885332,-0.4958135118798662,0,True
G3b,t30_s0.036,0,ac,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.16045111896571e-05,1.9997963345050958,-0.49427222095672424,0,True
G3b,t30_s0.036,0,ad,4000000.0,0.1,6.931213333333334e-05,0.00013862426666666667,0.0001379557166490691,1.990354502372876,-0.496463786538552,0,True
G3b,t30_s0.036,0,bc,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.171309757087244e-05,2.0033212492059542,-0.49370550480995706,0,True
G3b,t30_s0.036,0,bd,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.205995958119521e-05,2.014581031378189,-0.4994546133694206,0,True
G3b,t30_s0.036,0,vC,8000000.0,0.1,1.7328033333333334e-05,3.465606666666667e-05,3.4670935007439446e-05,2.00085805125641,-0.497532194080329,0,True
G3b,t30_s0.036,0,vD,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.205085323772404e-05,2.0142854226322915,-0.4971960358161929,0,True
G2,g2_run3,0,uA,8000000.0,0.1,1.7328033333333334e-05,3.465606666666667e-05,3.5028933972873755e-05,2.021518154947787,-0.5014194126813137,0,True
G2,g2_run3,0,uB,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.466954363336115e-05,2.0992929546014443,-0.5063428875017784,0,True
G2,g2_run3,0,ac,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.229526573272861e-05,2.0222195041172117,-0.4897964426278312,0,True
G2,g2_run3,0,ad,4000000.0,0.1,6.931213333333334e-05,0.00013862426666666667,0.0001443484401588398,2.0825854466871574,-0.5188953136761503,0,True
G2,g2_run3,0,bc,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.122518547525679e-05,1.9874827204759884,-0.4874059255398959,0,True
G2,g2_run3,0,bd,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.429991170134536e-05,2.0872940186714843,-0.5220769143855589,0,True
G2,g2_run3,0,vC,8000000.0,0.1,1.7328033333333334e-05,3.465606666666667e-05,3.4840806449257334e-05,2.0106613242851563,-0.4935468946796422,0,True
G2,g2_run3,0,vD,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.300987809000085e-05,2.0454171424892698,-0.48972118622745286,0,True
G2,g2_run3,1,uA,8000000.0,0.1,1.7328033333333334e-05,3.465606666666667e-05,3.4646323278762246e-05,1.99943770953593,-0.4990127311923284,0,True
G2,g2_run3,1,uB,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.35480520441779e-05,2.062887264077866,-0.4911735852727152,0,True
G2,g2_run3,1,ac,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.218145868448813e-05,2.018525116912166,-0.49760911417696074,0,True
G2,g2_run3,1,ad,4000000.0,0.1,6.931213333333334e-05,0.00013862426666666667,0.00013669392917739156,1.9721500782555372,-0.4873607749523295,0,True
G2,g2_run3,1,bc,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.56048106337979e-05,2.1296534506615283,-0.5029647945126372,0,True
G2,g2_run3,1,bd,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.080747356669711e-05,1.9739230196117925,-0.5016355691926543,0,True
G2,g2_run3,1,vC,8000000.0,0.1,1.7328033333333334e-05,3.465606666666667e-05,3.5485107570485326e-05,2.047843912108817,-0.5175174281951561,0,True
G2,g2_run3,1,vD,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.014319916318328e-05,1.9523594442891534,-0.4958115642948676,0,True
G2,g2_run3,2,uA,8000000.0,0.1,1.7328033333333334e-05,3.465606666666667e-05,3.5224801724651694e-05,2.0328216738186304,-0.514144659752864,0,True
G2,g2_run3,2,uB,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.332349123827447e-05,2.0555976051251856,-0.5044466395858124,0,True
G2,g2_run3,2,ac,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.126621578840305e-05,1.9888146403021336,-0.4972717316212231,0,True
G2,g2_run3,2,ad,4000000.0,0.1,6.931213333333334e-05,0.00013862426666666667,0.00013834975681643852,1.9960395123187453,-0.5045242145117996,0,True
G2,g2_run3,2,bc,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.146731139153142e-05,1.9953425753876526,-0.5066388066034571,0,True
G2,g2_run3,2,bd,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.204555585398824e-05,2.014113459761834,-0.5230099294271929,0,True
G2,g2_run3,2,vC,8000000.0,0.1,1.7328033333333334e-05,3.465606666666667e-05,3.596165567634152e-05,2.0753454811956837,-0.5033318505586056,0,True
G2,g2_run3,2,vD,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.0636505098027064e-05,1.9683730670131958,-0.4954721618247246,0,True
G2,g2_run3,3,uA,8000000.0,0.1,1.7328033333333334e-05,3.465606666666667e-05,3.468479193189992e-05,2.0016577337243455,-0.5069190625449717,0,True
G2,g2_run3,3,uB,6000000.0,0.1,3.080539259259259e-05,6.161078518518518e-05,6.268332154055076e-05,2.034816513119962,-0.5025226269237829,0,True
