dt_s,variance,noise,evidence_level,omega,marginal,joint_k2,joint_k8,joint_k8_sd,amplitude_k2,amplitude_k8
0.2,sf85,white,SYNTHETIC_EXTRAPOLATION,0.0,0.8984745833333332,0.8074116666666667,0.42608833333333335,0.010019716882718138,0.0009333333333333416,0.10660166666666676
0.2,sf85,white,SYNTHETIC_EXTRAPOLATION,0.25,0.8985268750000001,0.8069966666666667,0.43243833333333337,0.010086149156233348,0.0009333333333333416,0.10660166666666676
0.2,sf85,white,SYNTHETIC_EXTRAPOLATION,0.5,0.8984595833333333,0.8071383333333333,0.45142333333333334,0.009903144011198295,0.0009333333333333416,0.10660166666666676
0.2,sf85,white,SYNTHETIC_EXTRAPOLATION,0.75,0.8984774999999999,0.8072616666666668,0.4842633333333333,0.011154395367450462,0.0009333333333333416,0.10660166666666676
0.2,sf85,white,SYNTHETIC_EXTRAPOLATION,1.0,0.8986272916666667,0.80793,0.5326900000000001,0.011419590463008085,0.0009333333333333416,0.10660166666666676
0.2,sf85,gaussian_ma1,SYNTHETIC_EXTRAPOLATION,0.0,0.8983897916666668,0.8067650000000001,0.42505499999999996,0.009389504190569576,0.0009683333333333488,0.10741999999999996
0.2,sf85,gaussian_ma1,SYNTHETIC_EXTRAPOLATION,0.25,0.8985124999999999,0.8070116666666667,0.43234,0.009576455400918674,0.0009683333333333488,0.10741999999999996
0.2,sf85,gaussian_ma1,SYNTHETIC_EXTRAPOLATION,0.5,0.8985447916666667,0.8074983333333333,0.4519233333333334,0.0109107188395009,0.0009683333333333488,0.10741999999999996
0.2,sf85,gaussian_ma1,SYNTHETIC_EXTRAPOLATION,0.75,0.8985893750000001,0.8077333333333334,0.4845466666666667,0.01132466118104371,0.0009683333333333488,0.10741999999999996
0.2,sf85,gaussian_ma1,SYNTHETIC_EXTRAPOLATION,1.0,0.8986172916666666,0.8075666666666668,0.5324749999999999,0.011407748476063642,0.0009683333333333488,0.10741999999999996
0.2,sf85,uniform_ma1,SYNTHETIC_EXTRAPOLATION,0.0,0.8983652083333333,0.8069233333333332,0.42495,0.009066400010858532,0.0017399999999999638,0.10844000000000004
0.2,sf85,uniform_ma1,SYNTHETIC_EXTRAPOLATION,0.25,0.8982891666666667,0.8064766666666666,0.43054499999999996,0.010327316425139055,0.0017399999999999638,0.10844000000000004
0.2,sf85,uniform_ma1,SYNTHETIC_EXTRAPOLATION,0.5,0.8984929166666666,0.807345,0.4519083333333333,0.010496173959274933,0.0017399999999999638,0.10844000000000004
0.2,sf85,uniform_ma1,SYNTHETIC_EXTRAPOLATION,0.75,0.8986031250000001,0.8077199999999999,0.4852283333333333,0.011241502901881967,0.0017399999999999638,0.10844000000000004
0.2,sf85,uniform_ma1,SYNTHETIC_EXTRAPOLATION,1.0,0.8986558333333334,0.8082166666666666,0.53339,0.011323431973984673,0.0017399999999999638,0.10844000000000004
0.2,cert,white,SYNTHETIC_EXTRAPOLATION,0.0,0.8981929166666666,0.8060583333333333,0.424085,0.01254259064638707,0.0014566666666666617,0.14964500000000008
0.2,cert,white,SYNTHETIC_EXTRAPOLATION,0.25,0.8982775000000001,0.8066433333333333,0.4335016666666667,0.012481767719550053,0.0014566666666666617,0.14964500000000008
0.2,cert,white,SYNTHETIC_EXTRAPOLATION,0.5,0.8983347916666666,0.8073133333333334,0.4596700000000001,0.013311203997778092,0.0014566666666666617,0.14964500000000008
0.2,cert,white,SYNTHETIC_EXTRAPOLATION,0.75,0.8984752083333334,0.807515,0.504675,0.01418854601709722,0.0014566666666666617,0.14964500000000008
0.2,cert,white,SYNTHETIC_EXTRAPOLATION,1.0,0.8984687499999999,0.8075,0.5737300000000001,0.012946541719325242,0.0014566666666666617,0.14964500000000008
0.2,cert,gaussian_ma1,SYNTHETIC_EXTRAPOLATION,0.0,0.89815875,0.80637,0.42388833333333337,0.012497561012751584,0.001203333333333334,0.15009999999999996
0.2,cert,gaussian_ma1,SYNTHETIC_EXTRAPOLATION,0.25,0.8982989583333334,0.8065333333333333,0.4336266666666667,0.012432399451188127,0.001203333333333334,0.15009999999999996
0.2,cert,gaussian_ma1,SYNTHETIC_EXTRAPOLATION,0.5,0.89836125,0.807295,0.4598283333333334,0.013419819068462227,0.001203333333333334,0.15009999999999996
