run_id,timestamp_utc,cfg_bw_mbps,cfg_delay_ms,cfg_queue_pkts,offered_mbps,rho_offered,sample_idx,t_rel_s,netem_backlog_bytes,netem_backlog_pkts,htb_backlog_bytes,htb_backlog_pkts
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,0,2e-06,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,1,0.055311,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,2,0.11153,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,3,0.167462,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,4,0.224355,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,5,0.281007,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,6,0.337163,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,7,0.393755,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,8,0.450093,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,9,0.50664,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,10,0.562844,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,11,0.619222,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,12,0.675416,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,13,0.732051,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,14,0.788802,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,15,0.845157,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,16,0.902099,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,17,0.958287,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,18,1.014973,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,19,1.071081,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,20,1.127121,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,21,1.183707,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,22,1.240012,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,23,1.296471,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,24,1.352922,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,25,1.409587,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,26,1.465585,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,27,1.521815,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,28,1.577975,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,29,1.634592,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,30,1.69058,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,31,1.747094,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,32,1.803138,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,33,1.859857,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,34,1.916174,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,35,1.972663,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,36,2.028443,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,37,2.084598,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,38,2.140731,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,39,2.197129,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,40,2.253718,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,41,2.310166,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,42,2.366098,0,0,0,0
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,43,2.422309,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,44,2.478721,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,45,2.53523,1512,1,1512,1
8ed6686a85a1,2026-07-18T02:12:38Z,4.0,2.0,13,3.7,0.925,46,2.591442,1512,1,1512,1
