mode,t_rel,offered_mbps,util_kernel,util_ditto,aoi_s,error,abs_error,du_dt,error_pred,read_gap_s,ditto_ok,t_source,t_read,ts
static,0.24,2.0,0.53017,0.0,4.8951,-0.53017,0.53017,,,0.0175,1,1786854170.722,1786854175.617,1786854175.617
static,0.459,2.0,0.54335,0.0,5.1124,-0.54335,0.54335,0.06065,0.31004,0.0167,1,1786854170.722,1786854175.834,1786854175.835
static,0.676,2.0,0.56121,0.21481,0.3275,-0.3464,0.3464,0.08263,0.02706,0.0157,1,1786854175.723,1786854176.051,1786854176.051
static,0.892,2.0,0.5569,0.21481,0.5435,-0.34209,0.34209,0.01992,0.01083,0.0155,1,1786854175.723,1786854176.267,1786854176.267
static,1.108,2.0,0.56339,0.21481,0.7596,-0.34858,0.34858,0.03001,0.0228,0.0155,1,1786854175.723,1786854176.483,1786854176.483
static,1.324,2.0,0.56624,0.21481,0.9751,-0.35143,0.35143,0.01325,0.01292,0.015,1,1786854175.723,1786854176.698,1786854176.698
static,1.539,2.0,0.54221,0.21481,1.1924,-0.3274,0.3274,0.11061,0.1319,0.0168,1,1786854175.723,1786854176.915,1786854176.916
static,1.757,2.0,0.53132,0.5382,0.4105,0.00688,0.00688,0.04994,0.0205,0.0174,1,1786854176.723,1786854177.133,1786854177.134
static,1.975,2.0,0.57688,0.5382,0.6254,-0.03868,0.03868,0.21191,0.13254,0.0145,1,1786854176.723,1786854177.348,1786854177.349
static,2.19,2.0,0.472,0.5382,0.841,0.0662,0.0662,0.48658,0.40921,0.0151,1,1786854176.723,1786854177.564,1786854177.564
static,2.405,2.0,0.56335,0.5382,1.057,-0.02515,0.02515,0.42297,0.44708,0.0155,1,1786854176.723,1786854177.78,1786854177.78
static,2.621,2.0,0.51225,0.5382,1.2759,0.02595,0.02595,0.23302,0.29732,0.0188,1,1786854176.723,1786854177.999,1786854177.999
static,2.841,2.0,0.54016,,,,,0.0116,,2.2055,0,,1786854180.405,1786854180.405
static,5.247,2.0,0.54844,,,,,0.00344,,2.2044,0,,1786854182.81,1786854182.81
static,7.652,2.0,0.54088,,,,,0.00314,,2.2049,0,,1786854185.216,1786854185.216
static,10.057,2.0,0.54094,,,,,3e-05,,2.205,0,,1786854187.621,1786854187.622
static,12.463,2.0,0.54089,,,,,2e-05,,2.2052,0,,1786854190.027,1786854190.027
static,14.868,2.0,0.54097,,,,,3e-05,,2.2047,0,,1786854192.432,1786854192.433
