offered_mbps,rho_offered,throughput_mbps,rho_measured,q_delay_ms,mean_backlog_bytes,max_backlog_bytes,drops,tx_packets,loss_rate,qdisc_kind,qdisc_layers,duration_s,rep,cfg_bw_mbps,cfg_delay_ms,cfg_queue_pkts,cfg_queue_target_ms,ts
0.4,0.1,0.43191181056157535,0.10797795264039384,0.0,0.0,0,0,404,0.0,htb,"{'htb': 0, 'netem': 0}",11.20695447921753,0,4.0,2.0,4,5.0,1784277556.9452844
0.8,0.2,0.86224479317726,0.215561198294315,0.10584,52.92,1512,0,800,0.0,htb,"{'htb': 0, 'netem': 0}",11.209419965744019,0,4.0,2.0,4,5.0,1784277571.0227942
1.2,0.3,1.293744073944388,0.323436018486097,0.34776,173.88,1512,0,1199,0.0,htb,"{'htb': 0, 'netem': 0}",11.210180044174194,0,4.0,2.0,4,5.0,1784277585.0988772
1.6,0.4,1.7257807490873545,0.4314451872718386,0.16674000000000003,83.37,1512,0,1601,0.0,htb,"{'htb': 0, 'netem': 0}",11.214597225189209,0,4.0,2.0,4,5.0,1784277599.179775
2.0,0.5,2.1568305074075282,0.5392076268518821,0.9072,453.6,1512,0,2001,0.0,htb,"{'htb': 0, 'netem': 0}",11.216718196868896,0,4.0,2.0,4,5.0,1784277613.2634664
2.4,0.6,2.5890914176570328,0.6472728544142582,1.69344,846.72,1512,0,2398,0.0,htb,"{'htb': 0, 'netem': 0}",11.203238248825073,0,4.0,2.0,4,5.0,1784277627.3331532
2.8,0.7,3.019885064513877,0.7549712661284692,1.55778,778.89,1512,0,2795,0.0,htb,"{'htb': 1512, 'netem': 1512}",11.187445640563965,0,4.0,2.0,4,5.0,1784277641.387098
3.2,0.8,3.451556762834012,0.862889190708503,1.7539200000000001,876.96,1512,0,3198,0.0,htb,"{'htb': 1512, 'netem': 1512}",11.207408905029297,0,4.0,2.0,4,5.0,1784277655.4626884
3.4,0.85,3.6666935344814515,0.9166733836203629,2.1168000000000005,1058.4,1512,0,3396,0.0,htb,"{'htb': 0, 'netem': 0}",11.203013181686401,0,4.0,2.0,4,5.0,1784277669.533772
3.6,0.9,3.878585929505139,0.9696464823762847,1.4666400000000002,733.32,4536,4,3596,0.0011111111111111111,htb,"{'htb': 1512, 'netem': 1512}",11.205671548843384,0,4.0,2.0,4,5.0,1784277683.6052723
3.8,0.95,4.000311191949285,1.0000777979873212,10.64448,5322.24,6048,92,3707,0.024216899183995787,htb,"{'htb': 4536, 'netem': 4536}",11.20909595489502,0,4.0,2.0,4,5.0,1784277697.6803298
4.0,1.0,4.0004077310371535,1.0001019327592884,10.79568,5397.84,6048,292,3709,0.07298175456135966,htb,"{'htb': 4536, 'netem': 4536}",11.21487283706665,0,4.0,2.0,4,5.0,1784277711.7630763
4.4,1.1,4.0007056899523405,1.0001764224880851,10.932179999999999,5466.09,6048,695,3713,0.15766787658802178,htb,"{'htb': 6048, 'netem': 6048}",11.223191976547241,0,4.0,2.0,4,5.0,1784277725.8571143
5.2,1.3,3.9999862134185062,0.9999965533546266,11.06784,5533.92,6048,1494,3708,0.28719723183391005,htb,"{'htb': 4536, 'netem': 4536}",11.210090637207031,0,4.0,2.0,4,5.0,1784277739.9347718
0.4,0.1,0.43193974326410184,0.10798493581602546,1.512,756.0,1512,0,401,0.0,htb,"{'htb': 0, 'netem': 0}",11.2295663356781,1,4.0,2.0,4,5.0,1784277754.0312567
0.8,0.2,0.862527156333665,0.21563178908341624,1.10376,551.88,1512,0,802,0.0,htb,"{'htb': 1512, 'netem': 1512}",11.247172832489014,1,4.0,2.0,4,5.0,1784277768.1445656
1.2,0.3,1.2949461329650618,0.32373653324126545,0.99792,498.96,1512,0,1204,0.0,htb,"{'htb': 1512, 'netem': 1512}",11.228488683700562,1,4.0,2.0,4,5.0,1784277782.2388895
1.6,0.4,1.7257252226270834,0.43143130565677085,0.756,378.0,1512,0,1599,0.0,htb,"{'htb': 0, 'netem': 0}",11.207754135131836,1,4.0,2.0,4,5.0,1784277796.313281
2.0,0.5,2.156730089536127,0.5391825223840317,1.48176,740.88,1512,0,1998,0.0,htb,"{'htb': 0, 'netem': 0}",11.205763816833496,1,4.0,2.0,4,5.0,1784277810.3846583
2.4,0.6,2.588441700587026,0.6471104251467565,0.95256,476.28,1512,0,2401,0.0,htb,"{'htb': 1512, 'netem': 1512}",11.210983037948608,1,4.0,2.0,4,5.0,1784277824.4618309
2.8,0.7,3.0203188394142884,0.7550797098535721,1.512,756.0,1512,0,2801,0.0,htb,"{'htb': 1512, 'netem': 1512}",11.217655420303345,1,4.0,2.0,4,5.0,1784277838.5452273
3.2,0.8,3.4513990705763136,0.8628497676440784,1.76904,884.52,1512,0,3200,0.0,htb,"{'htb': 1512, 'netem': 1512}",11.214930295944214,1,4.0,2.0,4,5.0,1784277852.6277323
3.4,0.85,3.6633672815319547,0.9158418203829887,1.89,945.0,1512,4,3396,0.001176470588235294,htb,"{'htb': 1512, 'netem': 1512}",11.206764936447144,1,4.0,2.0,4,5.0,1784277866.699546
3.6,0.9,3.882500181087479,0.9706250452718698,1.98072,990.36,1512,0,3603,0.0,htb,"{'htb': 1512, 'netem': 1512}",11.225212097167969,1,4.0,2.0,4,5.0,1784277880.7906773
3.8,0.95,3.9999814529958035,0.9999953632489509,10.538640000000001,5269.32,6048,92,3706,0.02422327540810953,htb,"{'htb': 4536, 'netem': 4536}",11.206995964050293,1,4.0,2.0,4,5.0,1784277894.8645716
4.0,1.0,3.9997899279778584,0.9999474819944646,10.751159999999999,5375.58,6048,291,3706,0.07280460345258945,htb,"{'htb': 6048, 'netem': 6048}",11.20165228843689,1,4.0,2.0,4,5.0,1784277908.9341352
4.4,1.1,3.999920513594436,0.999980128398609,10.946879999999998,5473.44,6048,690,3701,0.15713960373491231,htb,"{'htb': 4536, 'netem': 4536}",11.192046403884888,1,4.0,2.0,4,5.0,1784277922.9923594
5.2,1.3,4.000317538436701,1.0000793846091753,11.08296,5541.48,6048,1492,3705,0.28708870502212813,htb,"{'htb': 6048, 'netem': 6048}",11.200090885162354,1,4.0,2.0,4,5.0,1784277937.059706
0.4,0.1,0.43157151055387083,0.10789287763846771,0.10584,52.92,1512,0,401,0.0,htb,"{'htb': 0, 'netem': 0}",11.211898565292358,2,4.0,2.0,4,5.0,1784277951.140072
0.8,0.2,0.8626273021113561,0.21565682552783902,0.66528,332.64,1512,0,800,0.0,htb,"{'htb': 0, 'netem': 0}",11.204189777374268,2,4.0,2.0,4,5.0,1784277965.210914
