mode,t_rel,offered_mbps,util_kernel,util_ditto,aoi_s,error,abs_error,du_dt,error_pred,read_gap_s,ditto_ok,t_source,t_read,ts
static,0.231,2.0,0.01177,0.0,4.879,-0.01177,0.01177,,,0.0158,1,1784300609.981,1784300614.86,1784300614.86
static,0.448,2.0,0.0,0.0,5.0888,0.0,0.0,0.05613,0.28565,0.0093,1,1784300609.981,1784300615.07,1784300615.07
static,0.658,2.0,0.0,0.00708,0.3019,0.00708,0.00708,0.0,0.0,0.0135,1,1784300614.982,1784300615.284,1784300615.284
static,0.872,2.0,0.0,0.00708,0.5154,0.00708,0.00708,0.0,0.0,0.0128,1,1784300614.982,1784300615.497,1784300615.498
static,1.085,2.0,0.00294,0.00708,0.7279,0.00414,0.00414,0.01386,0.01009,0.012,1,1784300614.982,1784300615.71,1784300615.71
static,1.298,2.0,0.0,0.00708,0.9411,0.00708,0.00708,0.0138,0.01299,0.0127,1,1784300614.982,1784300615.923,1784300615.923
static,1.511,2.0,0.0,0.00708,1.1511,0.00708,0.00708,0.0,0.0,0.0107,1,1784300614.982,1784300616.133,1784300616.134
static,1.722,2.0,0.0,0.00118,0.365,0.00118,0.00118,0.0,0.0,0.0122,1,1784300615.982,1784300616.347,1784300616.347
static,1.935,2.0,0.00035,0.00118,0.5788,0.00083,0.00083,0.00163,0.00095,0.0133,1,1784300615.982,1784300616.561,1784300616.561
static,2.149,2.0,0.00294,0.00118,0.7934,-0.00176,0.00176,0.01209,0.00959,0.014,1,1784300615.982,1784300616.775,1784300616.776
static,2.363,2.0,0.0,0.00118,1.0061,0.00118,0.00118,0.01383,0.01391,0.0124,1,1784300615.982,1784300616.988,1784300616.988
static,2.576,2.0,0.0,0.00132,0.2156,0.00132,0.00132,0.0,0.0,0.009,1,1784300616.982,1784300617.198,1784300617.198
static,2.785,2.0,0.0,0.00132,0.4299,0.00132,0.00132,0.0,0.0,0.0137,1,1784300616.982,1784300617.412,1784300617.412
static,3.0,2.0,0.0,0.00132,0.6479,0.00132,0.00132,0.0,0.0,0.0175,1,1784300616.982,1784300617.63,1784300617.63
static,3.218,2.0,0.00294,0.00132,0.8621,-0.00162,0.00162,0.01374,0.01185,0.0137,1,1784300616.982,1784300617.844,1784300617.844
static,3.432,2.0,0.0,0.00132,1.072,0.00132,0.00132,0.01402,0.01503,0.0095,1,1784300616.982,1784300618.054,1784300618.054
static,3.642,2.0,0.0,0.00118,0.2859,0.00118,0.00118,0.0,0.0,0.0134,1,1784300617.982,1784300618.268,1784300618.268
static,3.856,2.0,0.0,0.00118,0.4992,0.00118,0.00118,0.0,0.0,0.0128,1,1784300617.982,1784300618.481,1784300618.481
static,4.069,2.0,0.00294,0.00118,0.7127,-0.00176,0.00176,0.01378,0.00982,0.013,1,1784300617.982,1784300618.695,1784300618.695
static,4.282,2.0,0.0,0.00118,0.9258,0.00118,0.00118,0.01381,0.01278,0.0126,1,1784300617.982,1784300618.908,1784300618.908
static,4.495,2.0,0.0,0.00118,0.1332,0.00118,0.00118,0.0,0.0,0.008,1,1784300618.983,1784300619.116,1784300619.116
static,4.704,2.0,0.0,0.00118,0.3457,0.00118,0.00118,0.0,0.0,0.0119,1,1784300618.983,1784300619.329,1784300619.329
static,4.916,2.0,0.0,0.00118,0.5603,0.00118,0.00118,0.0,0.0,0.0141,1,1784300618.983,1784300619.543,1784300619.543
static,5.131,2.0,0.00294,0.00118,0.7735,-0.00176,0.00176,0.01379,0.01066,0.0125,1,1784300618.983,1784300619.757,1784300619.757
static,5.344,2.0,0.0,0.00118,0.9875,0.00118,0.00118,0.01374,0.01357,0.0134,1,1784300618.983,1784300619.97,1784300619.971
static,5.558,2.0,0.0,0.00118,0.2,0.00118,0.00118,0.0,0.0,0.0121,1,1784300619.983,1784300620.183,1784300620.183
static,5.771,2.0,0.0,0.00118,0.4133,0.00118,0.00118,0.0,0.0,0.0127,1,1784300619.983,1784300620.396,1784300620.396
static,5.984,2.0,0.0,0.00118,0.6269,0.00118,0.00118,0.0,0.0,0.0133,1,1784300619.983,1784300620.61,1784300620.61
static,6.198,2.0,0.00294,0.00118,0.8391,-0.00176,0.00176,0.01387,0.01164,0.0117,1,1784300619.983,1784300620.822,1784300620.822
static,6.41,2.0,0.0,0.00118,1.0511,0.00118,0.00118,0.01388,0.01459,0.0116,1,1784300619.983,1784300621.034,1784300621.034
static,6.622,2.0,0.0,0.00118,0.2626,0.00118,0.00118,0.0,0.0,0.0111,1,1784300620.983,1784300621.246,1784300621.246
static,6.833,2.0,0.0,0.00118,0.4745,0.00118,0.00118,0.0,0.0,0.0114,1,1784300620.983,1784300621.457,1784300621.458
static,7.045,2.0,0.00294,0.00118,0.6864,-0.00176,0.00176,0.0139,0.00954,0.0115,1,1784300620.983,1784300621.669,1784300621.67
static,7.257,2.0,0.0,0.00118,0.8999,0.00118,0.00118,0.01379,0.01241,0.0131,1,1784300620.983,1784300621.883,1784300621.883
static,7.471,2.0,0.0,0.00118,1.1102,0.00118,0.00118,0.0,0.0,0.0099,1,1784300620.983,1784300622.093,1784300622.093
static,7.681,2.0,0.0,0.00118,0.324,0.00118,0.00118,0.0,0.0,0.0131,1,1784300621.983,1784300622.307,1784300622.307
static,7.895,2.0,0.0,0.00118,0.5366,0.00118,0.00118,0.0,0.0,0.0121,1,1784300621.983,1784300622.52,1784300622.52
static,8.107,2.0,0.00294,0.00118,0.7499,-0.00176,0.00176,0.0138,0.01034,0.0128,1,1784300621.983,1784300622.733,1784300622.733
static,8.321,2.0,0.0,0.00118,0.9641,0.00118,0.00118,0.01373,0.01324,0.0138,1,1784300621.983,1784300622.947,1784300622.947
static,8.535,2.0,0.0,0.00118,0.1762,0.00118,0.00118,0.0,0.0,0.0114,1,1784300622.983,1784300623.159,1784300623.159
static,8.747,2.0,0.0,0.00118,0.3889,0.00118,0.00118,0.0,0.0,0.0122,1,1784300622.983,1784300623.372,1784300623.372
static,8.96,2.0,0.0,0.00118,0.6016,0.00118,0.00118,0.0,0.0,0.0123,1,1784300622.983,1784300623.585,1784300623.585
static,9.172,2.0,0.00294,0.00118,0.816,-0.00176,0.00176,0.01372,0.01119,0.0136,1,1784300622.983,1784300623.799,1784300623.799
static,9.387,2.0,0.0,0.00118,1.0277,0.00118,0.00118,0.01389,0.01427,0.0113,1,1784300622.983,1784300624.011,1784300624.011
static,9.598,2.0,0.0,0.00118,0.2402,0.00118,0.00118,0.0,0.0,0.012,1,1784300623.983,1784300624.223,1784300624.223
static,9.811,2.0,0.0,0.00118,0.4543,0.00118,0.00118,0.0,0.0,0.0136,1,1784300623.983,1784300624.437,1784300624.437
static,10.025,2.0,0.05026,0.00118,0.6665,-0.04908,0.04908,0.23681,0.15784,0.0117,1,1784300623.983,1784300624.65,1784300624.65
static,10.237,2.0,0.0,0.00118,0.8788,0.00118,0.00118,0.23682,0.20811,0.0117,1,1784300623.983,1784300624.862,1784300624.862
static,10.449,2.0,0.0,0.00118,1.088,0.00118,0.00118,0.0,0.0,0.0079,1,1784300623.983,1784300625.071,1784300625.071
static,10.659,2.0,0.0,0.00118,0.2996,0.00118,0.00118,0.0,0.0,0.011,1,1784300624.983,1784300625.283,1784300625.283
static,10.87,2.0,0.0,0.00118,0.5121,0.00118,0.00118,0.0,0.0,0.0122,1,1784300624.983,1784300625.495,1784300625.495
static,11.083,2.0,0.00294,0.00118,0.7246,-0.00176,0.00176,0.01385,0.01003,0.012,1,1784300624.983,1784300625.708,1784300625.708
static,11.295,2.0,0.0,0.00118,0.9369,0.00118,0.00118,0.01386,0.01299,0.0117,1,1784300624.983,1784300625.92,1784300625.92
static,11.508,2.0,0.0,0.00118,0.1475,0.00118,0.00118,0.0,0.0,0.0099,1,1784300625.983,1784300626.13,1784300626.131
static,11.718,2.0,0.0,0.00118,0.3588,0.00118,0.00118,0.0,0.0,0.0108,1,1784300625.983,1784300626.342,1784300626.342
static,11.929,2.0,0.0,0.00118,0.5711,0.00118,0.00118,0.0,0.0,0.0118,1,1784300625.983,1784300626.554,1784300626.554
