run_id,timestamp_utc,rep,cfg_bw_mbps,cfg_delay_ms,cfg_queue_pkts,cfg_queue_target_ms,t_rel_s,window_s,throughput_mbps,rho_measured,backlog_bytes,q_delay_ms,drops_delta,tx_packets_delta,loss_rate,qdisc_kind,qdisc_layers,rtt_idle_ms,rtt_ms,bloat_ms,ping_rtt_avg_ms,ping_packet_loss_pct,tcp_throughput_mbps,rho_tcp
e30cd5049cb7,2026-07-17T10:36:19Z,0,4.0,2.0,4,,1.000678,1.000678,3.95722,0.989305,7570,15.14,9,194,0.04433498,htb,"{'htb': 7570, 'netem': 7570}",4.081,17.949,13.868,17.949,33.3333,3.15,0.7875
e30cd5049cb7,2026-07-17T10:36:21Z,0,4.0,2.0,4,,2.618945,1.618267,3.93277,0.983192,7570,15.14,12,315,0.03669725,htb,"{'htb': 7570, 'netem': 7570}",4.081,15.774,11.693,15.774,66.6667,3.15,0.7875
e30cd5049cb7,2026-07-17T10:36:22Z,0,4.0,2.0,4,,4.24169,1.622745,3.927272,0.981818,12112,24.224,13,310,0.04024768,htb,"{'htb': 12112, 'netem': 12112}",4.081,22.758,18.677,22.758,33.3333,3.15,0.7875
e30cd5049cb7,2026-07-17T10:36:24Z,0,4.0,2.0,4,,5.866299,1.624609,3.928124,0.982031,7570,15.14,16,326,0.04678363,htb,"{'htb': 7570, 'netem': 7570}",4.081,16.703,12.622,16.703,0.0,3.15,0.7875
e30cd5049cb7,2026-07-17T10:36:25Z,0,4.0,2.0,4,,7.307531,1.441232,3.931215,0.982804,6056,12.112,10,286,0.03378378,htb,"{'htb': 6056, 'netem': 6056}",4.081,21.87,17.789,21.87,33.3333,3.15,0.7875
e30cd5049cb7,2026-07-17T10:36:27Z,0,4.0,2.0,4,,8.930428,1.622897,3.930659,0.982665,7570,15.14,13,321,0.03892216,htb,"{'htb': 7570, 'netem': 7570}",4.081,21.28,17.199,21.28,66.6667,3.15,0.7875
e30cd5049cb7,2026-07-17T10:36:28Z,0,4.0,2.0,4,,10.55453,1.624102,3.934698,0.983675,7570,15.14,14,321,0.04179104,htb,"{'htb': 7570, 'netem': 7570}",4.081,17.561,13.48,17.561,0.0,3.15,0.7875
e30cd5049cb7,2026-07-17T10:36:30Z,0,4.0,2.0,4,,11.992592,1.438062,3.924115,0.981029,6056,12.112,11,287,0.03691275,htb,"{'htb': 6056, 'netem': 6056}",4.081,13.89,9.809,13.89,0.0,3.15,0.7875
e30cd5049cb7,2026-07-17T10:36:31Z,0,4.0,2.0,4,,13.426299,1.433707,3.927955,0.981989,7570,15.14,10,287,0.03367003,htb,"{'htb': 7570, 'netem': 7570}",4.081,15.862,11.781,15.862,66.6667,3.15,0.7875
e30cd5049cb7,2026-07-17T10:36:33Z,0,4.0,2.0,4,,15.050531,1.624233,3.92595,0.981488,3028,6.056,13,317,0.03939394,htb,"{'htb': 3028, 'netem': 3028}",4.081,19.492,15.411,19.492,33.3333,3.15,0.7875
e30cd5049cb7,2026-07-17T10:36:39Z,0,4.0,2.0,4,,16.667532,1.617001,3.934216,0.983554,9084,18.168,12,310,0.03726708,htb,"{'htb': 9084, 'netem': 9084}",4.081,,,,,3.15,0.7875
e30cd5049cb7,2026-07-17T10:36:41Z,0,4.0,2.0,4,,22.684531,6.016999,3.926662,0.981665,6056,12.112,48,1154,0.03993344,htb,"{'htb': 6056, 'netem': 6056}",4.081,19.948,15.867,19.948,33.3333,3.15,0.7875
e30cd5049cb7,2026-07-17T10:36:42Z,0,4.0,2.0,4,,24.302539,1.618008,3.926585,0.981646,6056,12.112,13,316,0.03951368,htb,"{'htb': 6056, 'netem': 6056}",4.081,22.877,18.796,22.877,66.6667,3.15,0.7875
e30cd5049cb7,2026-07-17T10:36:44Z,0,4.0,2.0,4,,25.922734,1.620195,3.926303,0.981576,9084,18.168,14,310,0.04320988,htb,"{'htb': 9084, 'netem': 9084}",4.081,21.538,17.457,21.538,0.0,3.15,0.7875
e8bf073916a5,2026-07-17T10:36:51Z,0,4.0,2.0,13,,1.001123,1.001123,3.968119,0.99203,24224,48.448,3,196,0.01507538,htb,"{'htb': 24224, 'netem': 24224}",4.073,62.425,58.352,62.425,0.0,4.17,1.0425
e8bf073916a5,2026-07-17T10:36:53Z,0,4.0,2.0,13,,2.486891,1.485767,3.92924,0.98231,33308,66.616,1,283,0.00352113,htb,"{'htb': 33308, 'netem': 33308}",4.073,49.209,45.136,49.209,33.3333,4.17,1.0425
e8bf073916a5,2026-07-17T10:36:54Z,0,4.0,2.0,13,,4.113003,1.626113,3.916373,0.979093,28766,57.532,4,301,0.01311475,htb,"{'htb': 28766, 'netem': 28766}",4.073,58.976,54.903,58.976,33.3333,4.17,1.0425
e8bf073916a5,2026-07-17T10:36:56Z,0,4.0,2.0,13,,5.731193,1.61819,3.931652,0.982913,27252,54.504,3,311,0.00955414,htb,"{'htb': 27252, 'netem': 27252}",4.073,54.463,50.39,54.463,0.0,4.17,1.0425
e8bf073916a5,2026-07-17T10:36:57Z,0,4.0,2.0,13,,7.199197,1.468004,3.921909,0.980477,36336,72.672,1,284,0.00350877,htb,"{'htb': 36336, 'netem': 36336}",4.073,65.906,61.833,65.906,33.3333,4.17,1.0425
e8bf073916a5,2026-07-17T10:36:59Z,0,4.0,2.0,13,,8.825024,1.625827,3.925219,0.981305,33308,66.616,6,326,0.01807229,htb,"{'htb': 33308, 'netem': 33308}",4.073,58.744,54.671,58.744,0.0,4.17,1.0425
e8bf073916a5,2026-07-17T10:37:00Z,0,4.0,2.0,13,,10.301717,1.476693,3.931639,0.98291,27252,54.504,2,288,0.00689655,htb,"{'htb': 27252, 'netem': 27252}",4.073,59.459,55.386,59.459,0.0,4.17,1.0425
e8bf073916a5,2026-07-17T10:37:02Z,0,4.0,2.0,13,,11.782188,1.480471,3.924793,0.981198,28766,57.532,1,275,0.00362319,htb,"{'htb': 28766, 'netem': 28766}",4.073,61.533,57.46,61.533,0.0,4.17,1.0425
e8bf073916a5,2026-07-17T10:37:03Z,0,4.0,2.0,13,,13.248192,1.466004,3.92906,0.982265,15140,30.28,4,289,0.01365188,htb,"{'htb': 15140, 'netem': 15140}",4.073,42.69,38.617,42.69,0.0,4.17,1.0425
e8bf073916a5,2026-07-17T10:37:05Z,0,4.0,2.0,13,,14.721601,1.473409,3.935047,0.983762,24224,48.448,1,295,0.00337838,htb,"{'htb': 24224, 'netem': 24224}",4.073,59.523,55.45,59.523,0.0,4.17,1.0425
e8bf073916a5,2026-07-17T10:37:06Z,0,4.0,2.0,13,,16.205186,1.483585,3.923675,0.980919,24224,48.448,2,295,0.00673401,htb,"{'htb': 24224, 'netem': 24224}",4.073,53.446,49.373,53.446,0.0,4.17,1.0425
e8bf073916a5,2026-07-17T10:37:08Z,0,4.0,2.0,13,,17.665316,1.460129,3.93404,0.98351,34000,68.0,2,281,0.00706714,htb,"{'htb': 34000, 'netem': 34000}",4.073,59.747,55.674,59.747,33.3333,4.17,1.0425
e8bf073916a5,2026-07-17T10:37:09Z,0,4.0,2.0,13,,19.288741,1.623425,3.922532,0.980633,30280,60.56,2,300,0.00662252,htb,"{'htb': 30280, 'netem': 30280}",4.073,55.551,51.478,55.551,0.0,4.17,1.0425
e8bf073916a5,2026-07-17T10:37:11Z,0,4.0,2.0,13,,20.755188,1.466448,3.91997,0.979993,21196,42.392,3,289,0.01027397,htb,"{'htb': 21196, 'netem': 21196}",4.073,45.371,41.298,45.371,0.0,4.17,1.0425
e8bf073916a5,2026-07-17T10:37:12Z,0,4.0,2.0,13,,22.224264,1.469076,3.924416,0.981104,27252,54.504,1,277,0.00359712,htb,"{'htb': 27252, 'netem': 27252}",4.073,58.683,54.61,58.683,0.0,4.17,1.0425
e8bf073916a5,2026-07-17T10:37:14Z,0,4.0,2.0,13,,23.702185,1.477921,3.926608,0.981652,28766,57.532,1,283,0.00352113,htb,"{'htb': 28766, 'netem': 28766}",4.073,53.7,49.627,53.7,0.0,4.17,1.0425
e8bf073916a5,2026-07-17T10:37:15Z,0,4.0,2.0,13,,25.174256,1.472071,3.93006,0.982515,27252,54.504,2,293,0.00677966,htb,"{'htb': 27252, 'netem': 27252}",4.073,62.579,58.506,62.579,33.3333,4.17,1.0425
