polling,load,aoi_mean,aoi_p95,aoi_min_d_est,expected_d_plus_T2,aoi_ratio,fidelity_err_mean,staleness_slope,fidelity_intercept,dominant_source,n_aoi,load_name
0.5,1.0,0.477,0.941,0.078,0.328,1.46,0.0165,-0.0027,0.0177,fidelity_bug,420,thap
0.5,5.0,0.458,0.924,0.084,0.334,1.37,0.0139,0.0008,0.0135,fidelity_bug,407,vua
0.5,15.0,0.472,0.924,0.085,0.335,1.41,0.0249,0.0648,-0.0042,fidelity_bug,394,cao
1.0,1.0,0.752,1.418,0.086,0.586,1.28,0.0134,-0.0015,0.0145,fidelity_bug,292,thap
1.0,5.0,0.683,1.227,0.096,0.596,1.15,0.0076,0.0021,0.0061,fidelity_bug,296,vua
1.0,15.0,0.678,1.168,0.098,0.598,1.13,0.0073,0.0002,0.0072,fidelity_bug,294,cao
2.0,1.0,1.238,2.263,0.107,1.107,1.12,0.0074,0.0005,0.0067,fidelity_bug,296,thap
2.0,5.0,1.198,2.097,0.123,1.123,1.07,0.006,-0.0016,0.0079,fidelity_bug,295,vua
2.0,15.0,1.181,2.087,0.1,1.1,1.07,0.0117,-0.0006,0.0123,fidelity_bug,293,cao
5.0,1.0,3.072,7.052,0.131,2.631,1.17,0.0086,-0.0009,0.0111,fidelity_bug,294,thap
5.0,5.0,2.706,4.968,0.117,2.617,1.03,0.0052,0.0011,0.0022,fidelity_bug,296,vua
5.0,15.0,2.675,4.899,0.096,2.596,1.03,0.0041,-0.0004,0.0052,fidelity_bug,297,cao
