family,param,kappa,policy,coverage,p_reject,n_accept,n_reject,err_system,err_accept,err_reject,err_delta_vs_anchor,regret_system,regret_accept,regret_reject,regret_delta_vs_anchor,sla_system,sla_accept,sla_reject,sla_delta_vs_anchor,eps
multiplicative,6.0,6.0,static,0.0,1.0,0,499967,0.15745439198987132,,0.15745439198987132,0.030918040590678986,0.7319416586373663,,0.7319416586373663,0.2391214419003359,0.002912192204685509,,0.002912192204685509,0.0013240873897677244,
multiplicative,8.0,8.0,static,0.0,1.0,0,499967,0.15745439198987132,,0.15745439198987132,0.030918040590678986,0.7319416586373663,,0.7319416586373663,0.2391214419003359,0.002912192204685509,,0.002912192204685509,0.0013240873897677244,
multiplicative,4.0,4.0,static,9.000594039206587e-05,0.9999099940596079,45,499922,0.15745439198987132,0.0,0.157468565096155,0.030918040590678986,0.7319416586373663,0.0,0.7320075436647079,0.2391214419003359,0.002912192204685509,0.0,0.002912454342877489,0.0013240873897677244,
multiplicative,3.0,3.0,static,0.0023681562983156887,0.9976318437016843,1184,498783,0.15745439198987132,0.0,0.15782815372616948,0.030918040590678986,0.7319416586373663,0.0,0.733679125479313,0.2391214419003359,0.002912192204685509,0.0,0.0029191051018178245,0.0013240873897677244,
multiplicative,2.0,2.0,static,0.029487946204449493,0.9705120537955505,14743,485224,0.15743639080179292,0.0,0.16221992316950523,0.030900039402600582,0.7315985548882403,0.0,0.7538273759991444,0.23877833815120997,0.002912192204685509,0.0,0.003000675976456235,0.0013240873897677244,
multiplicative,1.5,1.5,static,0.10385285428838303,0.896147145711617,51923,448044,0.15712237007642504,0.00015407430233229974,0.17531313888814493,0.030586018677232707,0.7269294317303462,0.00010333162547190985,0.8111599796134681,0.23410921499331583,0.00286618916848512,0.0,0.0031983465909598166,0.0012780843535673352,
multiplicative,1.25,1.25,static,0.18923248934429673,0.8107675106557033,94610,405357,0.15637832096918397,0.0011626677941021033,0.19260553043366713,0.029841969569991633,0.7179029734657902,0.001694217590669688,0.8850655249780255,0.22508275672875988,0.002790184152154042,0.0,0.003441410904461993,0.0012020793372362576,
multiplicative,1.0,1.0,static,0.3209271811939588,0.6790728188060412,160453,339514,0.15401016467086828,0.005465775024461992,0.22421166726556194,0.027473813271675945,0.6929291981347931,0.011703776040725882,1.0148736912963692,0.2001089813977628,0.002598171479317635,2.4929418583635084e-05,0.003814275699971135,0.0010100666643998502,
multiplicative,0.75,0.75,static,0.5210903919658697,0.47890960803413024,260528,239439,0.14774975148359792,0.020097647853589633,0.28664503276408604,0.021213400084405587,0.6377853133954898,0.050280944083861176,1.2770351362230994,0.14496509665845947,0.002334154054167575,1.5353436098998957e-05,0.00485718700796445,0.0007460492392497905,
multiplicative,0.5,0.5,static,0.7000242015973054,0.29997579840269456,349989,149978,0.13603497830856837,0.045055701750626447,0.3483444238488312,0.009498626909376029,0.542789853094593,0.1296303259556424,1.5069398600545085,0.049969636357562686,0.002024133592817126,0.0003200100574589487,0.006000880129085599,0.0004360287778993415,
multiplicative,0.4,0.4,static,0.7609342216586295,0.23906577834137052,380442,119525,0.13177269699800187,0.05611893534362662,0.3725747751516419,0.005236345598809533,0.5121667459138459,0.1691576049808515,1.6039474076568303,0.019346529176815563,0.0017721169597193416,0.0003811356264555438,0.006199539845220665,0.00018401214480155692,
multiplicative,0.35,0.35,static,0.7916742505005331,0.20832574949946697,395811,104156,0.12996857792614314,0.06274964566421853,0.3854122662160605,0.003432226526950799,0.49865517501048556,0.19628349631750433,1.6477203898339003,0.005834958273455204,0.0016781107553098505,0.00036886291689720597,0.006653481316486808,9.000594039206586e-05,
multiplicative,0.3,0.3,static,0.8211201939327996,0.17887980606720044,410533,89434,0.12844847759952158,0.070415776563638,0.3948386519668135,0.0019121262003292394,0.4854560551903048,0.22748109890612095,1.669650351858405,-0.007364161546725534,0.0015401016467086828,0.0004335826839742481,0.006619406489701903,-4.8003168209101834e-05,
multiplicative,0.25,0.25,static,0.8499900993465569,0.15000990065344313,424967,75000,0.12574029885972474,0.07843197236491305,0.3938,-0.000796052539467601,0.46868710935062363,0.2602096211537373,1.649967812371506,-0.024133107386406727,0.001642108379153024,0.0006000465918530144,0.007546666666666667,5.400356423523943e-05,
multiplicative,0.2,0.2,static,0.8793040340662484,0.12069596593375163,439623,60344,0.12426020117327743,0.0863649081144526,0.40033806177913295,-0.0022761502259149025,0.4590732744150684,0.2949193270846407,1.6549809170513634,-0.03374694232196196,0.0015821044188916468,0.0008439048912363548,0.006960095452737638,-6.0003960261378105e-06,
multiplicative,0.15,0.15,static,0.9120961983490911,0.08790380165090896,456018,43949,0.12386617516756106,0.09659048546329312,0.40688070263259685,-0.00267017623163128,0.4545259732079576,0.33995892645290177,1.6432819295925634,-0.038294243529072736,0.0014380949142643415,0.0009078589003065668,0.0069398621129035925,-0.0001500099006534431,
multiplicative,0.1,0.1,static,0.9429222328673692,0.057077767132630755,471430,28537,0.12512625833305,0.10701482722779627,0.42432631320741493,-0.0014100930661423428,0.47203727523268896,0.3956677424975032,1.7336586375815202,-0.0207829415043414,0.0016181067950484733,0.0011369662516174193,0.009566527665837333,3.000198013068862e-05,
multiplicative,0.05,0.05,static,0.9728162058695874,0.02718379413041261,486376,13591,0.12499624975248366,0.11585069987005937,0.45228460010300936,-0.0015401016467086748,0.4811462205647778,0.442687527230255,1.857452999261846,-0.011673996172252565,0.0017001122074056887,0.001393983255752751,0.012655433742918108,0.00011200739248790406,
multiplicative,0.0,0.0,static,1.0,0.0,499967,0,0.12653635139919234,0.12653635139919234,,0.0,0.49282021673703036,0.49282021673703036,,0.0,0.0015881048149177846,0.0015881048149177846,,0.0,
additive,-52.01337109628821,,static,0.0,1.0,0,499967,0.15745439198987132,,0.15745439198987132,0.030918040590678986,0.7319416586373663,,0.7319416586373663,0.2391214419003359,0.002912192204685509,,0.002912192204685509,0.0013240873897677244,-52.01337109628821
additive,-39.01002832221616,,static,1.8001188078413174e-05,0.9999819988119216,9,499958,0.15745439198987132,0.0,0.1574572264070182,0.030918040590678986,0.7319416586373663,0.0,0.7319548346940106,0.2391214419003359,0.002912192204685509,0.0,0.002912244628548798,0.0013240873897677244,-39.01002832221616
additive,-26.006685548144105,,static,0.0009420621761036228,0.9990579378238964,471,499496,0.15745439198987132,0.0,0.1576028636865961,0.030918040590678986,0.7319416586373663,0.0,0.7326318433860294,0.2391214419003359,0.002912192204685509,0.0,0.002914938257763826,0.0013240873897677244,-26.006685548144105
additive,-19.50501416110808,,static,0.006566433384603384,0.9934335666153966,3283,496684,0.15745439198987132,0.0,0.1584951397669343,0.030918040590678986,0.7319416586373663,0.0,0.7367796732810966,0.2391214419003359,0.002912192204685509,0.0,0.002931441318826457,0.0013240873897677244,-19.50501416110808
additive,-13.003342774072053,,static,0.03259815147799755,0.9674018485220025,16298,483669,0.15745439198987132,0.0,0.16276006938629517,0.030918040590678986,0.7319416586373663,0.0,0.7566056026827193,0.2391214419003359,0.002912192204685509,0.0,0.0030103231755601455,0.0013240873897677244,-13.003342774072053
additive,-6.501671387036026,,static,0.11478357571599726,0.8852164242840027,57388,442579,0.1573063822212266,0.0005401826165748937,0.17763382356596225,0.03077003082203425,0.7297374649800048,0.0008587574502792708,0.8242491595423675,0.23691724824297444,0.002894191016607096,0.0,0.0032694727946875023,0.0013060862016893112,-6.501671387036026
additive,-3.250835693518013,,static,0.2029553950560737,0.7970446049439263,101471,398496,0.15664433852634274,0.0016655004878241074,0.19610736368746487,0.030107987127150404,0.7206590503186828,0.0026589785337279535,0.9034869464182451,0.22783883358165247,0.0027701828320669166,0.0,0.0034755681361920824,0.001182078017149132,-3.250835693518013
additive,0.0,,static,0.3209271811939588,0.6790728188060412,160453,339514,0.15401016467086828,0.005465775024461992,0.22421166726556194,0.027473813271675945,0.6929291981347931,0.011703776040725882,1.0148736912963692,0.2001089813977628,0.002598171479317635,2.4929418583635084e-05,0.003814275699971135,0.0010100666643998502,0.0
