episode,seed,epsilon,train_return,train_loss,steps
1,1000,0.97,10.766127,,8
2,1001,0.9409,9.06542,,8
3,1002,0.912673,11.22163,,8
4,1003,0.885293,13.101424,,8
5,1004,0.858734,10.520901,,8
6,1005,0.832972,12.560002,,8
7,1006,0.807983,11.206452,,8
8,1007,0.783743,10.386278,1.55711532,8
9,1008,0.760231,11.610114,0.71008759,8
10,1009,0.737424,10.123404,0.36225014,8
11,1010,0.715301,10.782031,0.29884069,8
12,1011,0.693842,9.94042,0.27410429,8
13,1012,0.673027,10.445503,0.24249153,8
14,1013,0.652836,10.058267,0.23572593,8
15,1014,0.633251,8.49725,0.20309395,8
16,1015,0.614254,13.389078,0.15458372,8
17,1016,0.595826,12.708923,0.10964189,8
18,1017,0.577951,10.095525,0.12704151,8
19,1018,0.560613,12.062073,0.15783427,8
20,1019,0.543794,10.736413,0.18321671,8
21,1020,0.527481,13.705456,0.12590781,8
22,1021,0.511656,13.625751,0.12723629,8
23,1022,0.496306,10.73996,0.14297478,8
24,1023,0.481417,10.611222,0.11525251,8
25,1024,0.466975,11.569859,0.09973615,8
26,1025,0.452965,13.062955,0.11923297,8
27,1026,0.439377,11.70149,0.0938188,8
28,1027,0.426195,10.248792,0.08720707,8
29,1028,0.413409,11.916432,0.09647219,8
30,1029,0.401007,9.297186,0.10780695,8
31,1030,0.388977,13.663119,0.13054028,8
32,1031,0.377308,11.086838,0.1351684,8
33,1032,0.365988,10.032091,0.29464768,8
34,1033,0.355009,11.004716,0.60871816,8
35,1034,0.344358,10.247864,0.1380641,8
36,1035,0.334028,13.117345,0.13835715,8
37,1036,0.324007,11.746936,0.08716149,8
38,1037,0.314287,11.677891,0.07126057,8
39,1038,0.304858,10.632524,0.05955788,8
40,1039,0.295712,8.843956,0.05481657,8
41,1040,0.286841,14.015356,0.04867116,8
42,1041,0.278236,13.387165,0.04712941,8
43,1042,0.269889,11.532733,0.03849864,8
44,1043,0.261792,10.898999,0.03589565,8
45,1044,0.253938,10.085728,0.03780872,8
46,1045,0.24632,13.552104,0.02610695,8
47,1046,0.23893,10.248135,0.02743826,8
48,1047,0.231763,11.439742,0.02976818,8
49,1048,0.22481,11.643862,0.02722927,8
50,1049,0.218065,10.664566,0.02700584,8
51,1050,0.211523,14.383159,0.02689589,8
52,1051,0.205178,13.083816,0.02311404,8
53,1052,0.199022,11.890991,0.02543841,8
54,1053,0.193052,12.334927,0.02211328,8
55,1054,0.18726,11.307863,0.0304811,8
56,1055,0.181642,11.046835,0.02983188,8
57,1056,0.176193,13.152727,0.02875963,8
58,1057,0.170907,12.654188,0.16353931,8
59,1058,0.16578,12.96726,0.59187797,8
60,1059,0.160807,11.325599,0.20900602,8
61,1060,0.155982,14.089697,0.12901332,8
62,1061,0.151303,12.224849,0.10101104,8
63,1062,0.146764,12.115537,0.07234293,8
64,1063,0.142361,10.329618,0.05654631,8
65,1064,0.13809,11.688804,0.05010211,8
66,1065,0.133947,14.108312,0.04673408,8
67,1066,0.129929,12.680149,0.03772375,8
68,1067,0.126031,11.233175,0.04522302,8
69,1068,0.12225,10.673006,0.0327416,8
70,1069,0.118583,10.194233,0.03724446,8
71,1070,0.115025,14.466681,0.03927013,8
72,1071,0.111574,12.395431,0.0392114,8
73,1072,0.108227,11.649708,0.03499487,8
74,1073,0.10498,12.753442,0.0408441,8
75,1074,0.101831,11.394504,0.03814208,8
76,1075,0.098776,14.893016,0.03090788,8
77,1076,0.095813,13.687558,0.03516972,8
78,1077,0.092938,12.980204,0.03034247,8
79,1078,0.09015,11.757026,0.03267606,8
80,1079,0.087446,10.845757,0.03449808,8
81,1080,0.084822,14.977956,0.03235867,8
82,1081,0.082278,11.831614,0.02629794,8
83,1082,0.079809,12.529056,0.16064464,8
84,1083,0.077415,13.194279,0.42746702,8
85,1084,0.075093,11.577874,0.20657104,8
86,1085,0.07284,15.215535,0.05918562,8
87,1086,0.070655,12.637278,0.06457164,8
88,1087,0.068535,10.997311,0.05327299,8
89,1088,0.066479,10.872198,0.04632063,8
90,1089,0.064485,11.269563,0.03251808,8
91,1090,0.06255,15.232286,0.02788476,8
92,1091,0.060674,13.903691,0.02311015,8
93,1092,0.058853,13.552248,0.02614616,8
94,1093,0.057088,11.256862,0.02305607,8
95,1094,0.055375,11.55511,0.0241025,8
96,1095,0.053714,15.104549,0.02430891,8
97,1096,0.052102,11.968276,0.02215908,8
98,1097,0.050539,13.027714,0.02093639,8
99,1098,0.05,12.073039,0.02672868,8
100,1099,0.05,10.857788,0.02302865,8
101,1100,0.05,15.650049,0.02079354,8
102,1101,0.05,13.306962,0.02022884,8
103,1102,0.05,12.180494,0.02085483,8
104,1103,0.05,12.510306,0.02129895,8
105,1104,0.05,10.621209,0.02179064,8
106,1105,0.05,15.284745,0.018411,8
107,1106,0.05,12.058137,0.01846797,8
108,1107,0.05,11.965319,0.13641559,8
109,1108,0.05,13.399552,0.36336719,8
110,1109,0.05,11.443489,0.19589473,8
111,1110,0.05,14.91403,0.07721526,8
112,1111,0.05,13.153052,0.05779452,8
113,1112,0.05,12.047629,0.04744775,8
114,1113,0.05,12.20337,0.02968489,8
115,1114,0.05,11.684984,0.0211232,8
116,1115,0.05,15.807096,0.0248355,8
117,1116,0.05,13.904421,0.01914454,8
118,1117,0.05,12.057928,0.02110078,8
119,1118,0.05,11.853216,0.01759998,8
120,1119,0.05,11.838295,0.0189539,8
121,1120,0.05,15.788921,0.02054678,8
122,1121,0.05,12.716477,0.01834197,8
123,1122,0.05,12.104402,0.01904191,8
124,1123,0.05,11.874794,0.02061372,8
125,1124,0.05,11.127675,0.01814098,8
126,1125,0.05,15.201847,0.01859961,8
127,1126,0.05,13.265464,0.01622749,8
128,1127,0.05,12.201063,0.01879859,8
129,1128,0.05,12.796003,0.0209202,8
130,1129,0.05,11.773861,0.01710039,8
131,1130,0.05,15.84,0.02147805,8
132,1131,0.05,14.604161,0.01486446,8
133,1132,0.05,12.03594,0.11260201,8
134,1133,0.05,13.273352,0.29655231,8
135,1134,0.05,10.748404,0.1506517,8
136,1135,0.05,15.710799,0.08026612,8
137,1136,0.05,12.901226,0.04490818,8
138,1137,0.05,12.342887,0.03959341,8
139,1138,0.05,12.815711,0.02859793,8
140,1139,0.05,11.670971,0.02147316,8
141,1140,0.05,15.313068,0.02028641,8
142,1141,0.05,13.338412,0.01813962,8
143,1142,0.05,12.690215,0.01915207,8
144,1143,0.05,12.128085,0.02004516,8
145,1144,0.05,11.965667,0.0237379,8
146,1145,0.05,15.420793,0.02065737,8
147,1146,0.05,12.594305,0.02182499,8
148,1147,0.05,12.436067,0.02000292,8
149,1148,0.05,13.047695,0.01955223,8
150,1149,0.05,11.700244,0.01656987,8
151,1150,0.05,15.837349,0.01743669,8
152,1151,0.05,14.303408,0.02261037,8
153,1152,0.05,11.813189,0.0156194,8
154,1153,0.05,12.34088,0.01910571,8
155,1154,0.05,12.07805,0.01832332,8
156,1155,0.05,14.946603,0.01812321,8
157,1156,0.05,14.830206,0.02085319,8
158,1157,0.05,12.505608,0.11331961,8
159,1158,0.05,12.260272,0.26218339,8
160,1159,0.05,11.369108,0.1472186,8
161,1160,0.05,15.837302,0.07681374,8
162,1161,0.05,12.505558,0.04131945,8
163,1162,0.05,13.087036,0.02977786,8
164,1163,0.05,12.759236,0.02783335,8
165,1164,0.05,11.100383,0.0190402,8
166,1165,0.05,15.737032,0.02337103,8
167,1166,0.05,13.36621,0.0176032,8
168,1167,0.05,13.644066,0.01920436,8
169,1168,0.05,12.714523,0.02206328,8
170,1169,0.05,12.152808,0.0254587,8
171,1170,0.05,15.83822,0.02927603,8
172,1171,0.05,13.832547,0.02329892,8
173,1172,0.05,12.69284,0.02399418,8
174,1173,0.05,12.784468,0.02072981,8
175,1174,0.05,11.283588,0.01737363,8
176,1175,0.05,15.426226,0.01738276,8
177,1176,0.05,13.766627,0.01962553,8
178,1177,0.05,12.379139,0.01736065,8
179,1178,0.05,12.556178,0.01453606,8
180,1179,0.05,10.450457,0.02327325,8
181,1180,0.05,14.953263,0.02423199,8
182,1181,0.05,13.09738,0.01766531,8
183,1182,0.05,13.017396,0.10211699,8
184,1183,0.05,12.058471,0.2439028,8
185,1184,0.05,10.88264,0.1318609,8
186,1185,0.05,14.696949,0.07744969,8
187,1186,0.05,13.487382,0.0469844,8
188,1187,0.05,12.673533,0.02825722,8
189,1188,0.05,13.180934,0.02480108,8
190,1189,0.05,11.602124,0.0264951,8
191,1190,0.05,14.995301,0.02023178,8
192,1191,0.05,13.063535,0.0258359,8
193,1192,0.05,13.237843,0.01918482,8
194,1193,0.05,13.079786,0.02503622,8
195,1194,0.05,11.99825,0.02561784,8
196,1195,0.05,14.49167,0.01847582,8
197,1196,0.05,14.231338,0.02565366,8
198,1197,0.05,12.941993,0.0249324,8
199,1198,0.05,12.912224,0.01627507,8
200,1199,0.05,11.485254,0.02529688,8
201,1200,0.05,14.839638,0.01912924,8
202,1201,0.05,13.888711,0.01937586,8
203,1202,0.05,12.782013,0.01769956,8
204,1203,0.05,12.822175,0.02472905,8
205,1204,0.05,10.994,0.02467775,8
206,1205,0.05,15.073715,0.02667884,8
207,1206,0.05,13.27859,0.02568434,8
208,1207,0.05,12.890099,0.10210371,8
209,1208,0.05,12.61112,0.24141822,8
210,1209,0.05,11.377403,0.12377593,8
211,1210,0.05,15.326459,0.08676978,8
212,1211,0.05,12.647213,0.05708259,8
213,1212,0.05,12.976507,0.04651359,8
214,1213,0.05,11.963782,0.04176729,8
215,1214,0.05,11.044681,0.02913136,8
216,1215,0.05,15.84,0.03469254,8
217,1216,0.05,13.020303,0.02473331,8
218,1217,0.05,12.753283,0.02609309,8
219,1218,0.05,11.480578,0.02653207,8
220,1219,0.05,11.706415,0.02183756,8
221,1220,0.05,15.143056,0.02120285,8
222,1221,0.05,13.138518,0.02438369,8
223,1222,0.05,13.072024,0.0192499,8
224,1223,0.05,12.662766,0.01797738,8
225,1224,0.05,11.589518,0.02451808,8
226,1225,0.05,14.974329,0.02497508,8
227,1226,0.05,12.841506,0.0216696,8
228,1227,0.05,12.981192,0.0244721,8
229,1228,0.05,12.66429,0.02839332,8
230,1229,0.05,11.678387,0.02612869,8
231,1230,0.05,15.84,0.01615411,8
232,1231,0.05,14.602091,0.02286297,8
233,1232,0.05,12.031415,0.10027595,8
234,1233,0.05,12.972538,0.2027106,8
235,1234,0.05,10.58264,0.10491885,8
236,1235,0.05,15.621359,0.06422284,8
237,1236,0.05,12.168186,0.04468017,8
238,1237,0.05,12.992751,0.04298581,8
239,1238,0.05,12.452041,0.03084054,8
240,1239,0.05,12.110181,0.02683549,8
241,1240,0.05,14.964419,0.02268432,8
242,1241,0.05,12.731208,0.0213282,8
243,1242,0.05,13.183825,0.02455259,8
244,1243,0.05,12.620427,0.02052305,8
245,1244,0.05,11.928275,0.02348493,8
246,1245,0.05,14.897508,0.01960323,8
247,1246,0.05,13.551892,0.02581845,8
248,1247,0.05,12.574149,0.02504352,8
249,1248,0.05,12.725894,0.02729363,8
250,1249,0.05,11.602139,0.02344991,8
