episode,seed,epsilon,train_return,train_loss,steps,z_steps
1,1000,1.0,4.04181231,,4,0
2,1001,0.99,3.99074364,,4,12
3,1002,0.9801,3.80968183,,4,1
4,1003,0.970299,4.10730939,,4,3
5,1004,0.96059601,3.83151073,,4,8
6,1005,0.95099005,2.95052272,,5,12
7,1006,0.94148015,3.40419643,,4,12
8,1007,0.93206535,3.9779425,,4,5
9,1008,0.92274469,3.80311061,,4,0
10,1009,0.91351725,4.00523138,,4,8
11,1010,0.90438208,3.74960708,,4,8
12,1011,0.89533825,4.05281954,,4,5
13,1012,0.88638487,4.06466688,,4,1
14,1013,0.87752102,3.35477857,,5,0
15,1014,0.86874581,3.98121248,,4,12
16,1015,0.86005835,3.95391271,,4,12
17,1016,0.85145777,0.50101091,,5,1
18,1017,0.84294319,4.01223464,,5,0
19,1018,0.83451376,4.1354834,,4,8
20,1019,0.82616862,0.16089544,,5,5
21,1020,0.81790694,4.22953341,,5,3
22,1021,0.80972787,3.93775004,,4,3
23,1022,0.80163059,3.98069908,,4,5
24,1023,0.79361428,3.68279784,,4,3
25,1024,0.78567814,3.67395983,,4,12
26,1025,0.77782136,3.87519744,,4,8
27,1026,0.77004315,3.87157513,,5,3
28,1027,0.76234271,3.59128475,,4,8
29,1028,0.75471929,4.02421633,,5,8
30,1029,0.74717209,4.15370867,,5,12
31,1030,0.73970037,3.8700431,,5,3
32,1031,0.73230337,4.20912,,5,3
33,1032,0.72498034,2.96462116,,5,1
34,1033,0.71773053,3.91837701,,4,5
35,1034,0.71055323,0.21886471,,5,0
36,1035,0.70344769,3.92892432,,4,12
37,1036,0.69641322,3.9879746,,4,5
38,1037,0.68944909,3.61855795,,5,3
39,1038,0.6825546,4.04533914,,5,5
40,1039,0.67572905,0.73120884,,5,1
41,1040,0.66897176,3.6340209,,4,0
42,1041,0.66228204,3.79405534,,5,3
43,1042,0.65565922,3.79708321,,5,12
44,1043,0.64910263,3.86896692,,5,8
45,1044,0.6426116,3.56822513,,5,5
46,1045,0.63618549,4.05965741,,5,0
47,1046,0.62982363,4.05199329,,4,0
48,1047,0.62352539,4.12234108,,4,12
49,1048,0.61729014,4.13650161,,4,12
50,1049,0.61111724,0.39549396,,5,0
51,1050,0.60500607,1.27010834,,4,12
52,1051,0.59895601,3.54545197,,4,12
53,1052,0.59296645,4.08739932,,5,8
54,1053,0.58703678,3.79488605,,5,3
55,1054,0.58116641,3.92315553,,4,1
56,1055,0.57535475,3.86157269,,4,5
57,1056,0.5696012,3.88110633,,4,1
58,1057,0.56390519,4.06381222,,5,3
59,1058,0.55826614,3.92014512,,4,12
60,1059,0.55268348,4.07252027,,4,0
61,1060,0.54715664,4.07793786,,5,3
62,1061,0.54168508,3.63797247,,5,1
63,1062,0.53626823,4.09358373,,5,5
64,1063,0.53090554,3.73985071,,4,0
65,1064,0.52559649,4.07224228,,4,0
66,1065,0.52034052,3.57088263,,4,0
67,1066,0.51513712,3.92716962,,5,5
68,1067,0.50998575,4.01987574,,4,8
69,1068,0.50488589,0.56533084,,5,0
70,1069,0.49983703,3.92961359,,4,8
71,1070,0.49483866,4.10683378,,4,0
72,1071,0.48989027,1.36656294,,5,0
73,1072,0.48499137,3.85775101,,5,8
74,1073,0.48014146,3.74438687,,5,5
75,1074,0.47534004,3.8295311,,5,3
76,1075,0.47058664,0.59780081,,5,3
77,1076,0.46588078,3.8884562,,4,5
78,1077,0.46122197,4.06030103,,5,0
79,1078,0.45660975,3.86315536,,4,12
80,1079,0.45204365,0.5477862,,5,1
81,1080,0.44752321,3.92041332,,4,0
82,1081,0.44304798,3.96533077,,4,12
83,1082,0.4386175,2.34064601,,5,12
84,1083,0.43423133,3.99837613,,4,1
85,1084,0.42988901,3.48361137,,4,5
86,1085,0.42559012,3.64621212,,4,12
87,1086,0.42133422,4.0758634,,4,3
88,1087,0.41712088,0.65076327,,5,12
89,1088,0.41294967,3.36652104,,4,0
90,1089,0.40882017,4.07715794,,5,8
91,1090,0.40473197,3.93616432,,4,0
92,1091,0.40068465,3.84182052,,5,8
93,1092,0.39667781,0.66252786,,5,8
94,1093,0.39271103,3.86566874,,5,3
95,1094,0.38878392,3.7984588,,4,1
96,1095,0.38489608,3.52909219,,4,0
97,1096,0.38104712,4.17630406,,5,3
98,1097,0.37723665,4.11601847,,4,1
99,1098,0.37346428,-1.21445243,,5,3
100,1099,0.36972964,0.60437843,,5,3
101,1100,0.36603234,4.04321538,,4,8
102,1101,0.36237202,1.33948427,,5,3
103,1102,0.3587483,2.89159786,,4,1
104,1103,0.35516081,3.73121321,,5,8
105,1104,0.35160921,4.1384332,,4,0
106,1105,0.34809311,3.57156385,,4,5
107,1106,0.34461218,3.87427512,,4,0
108,1107,0.34116606,4.02552975,,4,3
109,1108,0.3377544,0.63627065,,5,12
110,1109,0.33437686,3.65722836,,4,8
111,1110,0.33103309,3.80571791,,4,0
112,1111,0.32772276,3.80206348,,5,8
113,1112,0.32444553,0.68470317,1.36314583,5,0
114,1113,0.32120107,3.67539094,1.28771291,5,5
115,1114,0.31798906,3.66547131,1.25752965,4,12
116,1115,0.31480917,2.46258551,1.33440039,5,8
117,1116,0.31166108,3.88040227,0.96307893,4,12
118,1117,0.30854447,4.06491212,1.07710745,5,5
119,1118,0.30545903,4.05446761,1.00184967,4,3
120,1119,0.30240444,3.88644408,0.85458964,4,0
121,1120,0.29938039,3.09326318,0.83721249,4,1
122,1121,0.29638659,0.73422437,0.76846379,5,8
123,1122,0.29342272,4.05347183,0.70465922,5,5
124,1123,0.29048849,3.88567122,0.7796402,5,8
125,1124,0.28758361,4.13809465,0.80925305,4,0
126,1125,0.28470777,4.06010534,0.66101458,4,12
127,1126,0.2818607,3.96905668,0.57153426,4,8
128,1127,0.27904209,3.8626789,0.47465166,4,5
129,1128,0.27625167,3.99971529,0.61949196,4,12
130,1129,0.27348915,4.04775172,0.68934561,4,5
131,1130,0.27075426,3.98382558,0.57599959,5,8
132,1131,0.26804672,3.81040192,0.55569598,4,3
133,1132,0.26536625,3.846987,0.68552063,5,0
134,1133,0.26271259,3.7806123,0.53666313,4,5
135,1134,0.26008546,3.93202629,0.519595,4,0
136,1135,0.25748461,3.79148263,0.56228213,4,5
137,1136,0.25490976,3.91557931,0.58668242,4,1
138,1137,0.25236066,3.90919239,0.6394248,5,8
139,1138,0.24983706,4.15463947,0.46950155,4,12
140,1139,0.24733869,3.87424646,0.54827511,4,8
141,1140,0.2448653,1.49165876,0.53441367,5,12
142,1141,0.24241665,4.07653838,0.54302279,4,8
143,1142,0.23999248,4.17665696,0.55844804,5,0
144,1143,0.23759255,3.99272581,0.51259502,4,1
145,1144,0.23521663,4.24282794,0.63434982,5,0
146,1145,0.23286446,3.6075832,0.59205451,4,5
147,1146,0.23053582,4.09663384,0.71148629,4,8
148,1147,0.22823046,3.20848345,0.56569693,4,5
149,1148,0.22594816,4.02087759,0.45344859,4,12
150,1149,0.22368867,3.65119663,0.42852695,4,3
151,1150,0.22145179,4.07932442,0.6523069,4,3
152,1151,0.21923727,4.07059533,0.49292651,4,8
153,1152,0.2170449,3.99675245,0.45018814,4,0
154,1153,0.21487445,3.42312314,0.55717769,4,8
155,1154,0.2127257,3.69307765,0.55666866,4,12
156,1155,0.21059845,3.57954442,0.56459784,4,0
157,1156,0.20849246,4.21173971,0.57919646,5,5
158,1157,0.20640754,4.00399245,0.54386019,4,1
159,1158,0.20434346,3.7219077,0.74484821,4,8
160,1159,0.20230003,3.95548205,1.15010008,4,0
161,1160,0.20027703,3.04874797,1.2076759,4,1
162,1161,0.19827426,3.90479412,0.95473586,4,0
163,1162,0.19629151,4.06374741,1.01490283,4,1
164,1163,0.1943286,3.73073727,0.97048205,4,12
165,1164,0.19238531,3.9635122,1.0122824,4,5
166,1165,0.19046146,3.87383785,0.8304404,4,8
167,1166,0.18855685,3.96186763,0.84941082,4,5
168,1167,0.18667128,3.80147548,0.72846326,4,5
169,1168,0.18480456,3.79565358,0.7540199,4,5
170,1169,0.18295652,3.785908,0.61890176,4,8
171,1170,0.18112695,3.71699875,0.6271532,4,12
172,1171,0.17931568,3.47126247,0.47717164,4,8
173,1172,0.17752253,3.96751571,0.44430548,4,8
174,1173,0.1757473,3.43013086,0.50486254,4,3
175,1174,0.17398983,4.17011426,0.43777031,4,0
176,1175,0.17224993,4.13442429,0.43318241,4,0
177,1176,0.17052743,3.87983811,0.35611383,4,3
178,1177,0.16882216,2.47148146,0.35926075,4,8
179,1178,0.16713394,3.99357515,0.41815731,4,12
180,1179,0.1654626,3.83797109,0.34296165,4,8
181,1180,0.16380797,4.00741457,0.37254646,4,0
182,1181,0.16216989,4.08310245,0.35195462,4,0
183,1182,0.16054819,4.04049404,0.3218846,4,1
184,1183,0.15894271,3.92596794,0.27994098,4,5
185,1184,0.15735328,4.03600056,0.35476086,4,5
186,1185,0.15577975,3.72083846,0.29179706,4,3
187,1186,0.15422195,3.97610042,0.28778345,4,1
188,1187,0.15267973,3.91401035,0.28792842,4,12
189,1188,0.15115293,4.0230936,0.26777677,4,1
190,1189,0.14964141,3.67629961,0.29916491,4,0
191,1190,0.14814499,3.51139395,0.36285223,4,1
192,1191,0.14666354,4.02714157,0.32055606,4,3
193,1192,0.14519691,3.51084319,0.25093702,4,0
194,1193,0.14374494,3.7267708,0.26125108,4,12
195,1194,0.14230749,3.62072994,0.24305362,5,3
196,1195,0.14088441,3.85565292,0.21145992,4,12
197,1196,0.13947557,3.93940329,0.21971353,4,1
198,1197,0.13808081,3.9254591,0.24572248,4,12
199,1198,0.1367,4.00565844,0.23770255,4,5
200,1199,0.135333,3.91212497,0.27280475,4,0
201,1200,0.13397967,3.8848042,0.2516655,4,8
202,1201,0.13263988,3.85952387,0.22492006,5,1
203,1202,0.13131348,3.83761815,0.19329124,5,3
204,1203,0.13000034,3.90048539,0.23135078,4,1
205,1204,0.12870034,3.56446889,0.21804605,4,12
206,1205,0.12741334,3.90990204,0.18543501,4,1
207,1206,0.1261392,3.2784658,0.20018833,4,8
208,1207,0.12487781,3.26506134,0.2283131,4,8
209,1208,0.12362903,3.33438248,0.80194087,4,5
210,1209,0.12239274,4.02939026,0.62551659,4,1
211,1210,0.12116882,3.56474186,0.51485697,4,12
212,1211,0.11995713,3.57266239,0.52674007,4,1
213,1212,0.11875756,3.44215741,0.41879732,5,3
214,1213,0.11756998,2.97666272,0.34829345,4,0
215,1214,0.11639428,0.66420645,0.30929654,5,3
216,1215,0.11523034,4.0294421,0.28152444,4,1
217,1216,0.11407804,3.97737018,0.35595039,4,0
218,1217,0.11293725,4.12621382,0.3031427,4,0
219,1218,0.11180788,3.83103082,0.27753076,4,3
220,1219,0.1106898,3.86506349,0.28341215,5,8
221,1220,0.10958291,4.04941413,0.23680921,4,12
222,1221,0.10848708,4.17579886,0.18968887,5,8
223,1222,0.10740221,3.70507085,0.22825257,4,3
224,1223,0.10632818,3.97285683,0.25703939,4,5
225,1224,0.1052649,3.90277174,0.21103775,4,8
226,1225,0.10421225,4.01293803,0.2664836,4,12
227,1226,0.10317013,3.86869178,0.17186232,4,8
228,1227,0.10213843,4.11279529,0.20826149,4,5
229,1228,0.10111704,3.76388258,0.17862717,4,3
230,1229,0.10010587,4.04986937,0.21723124,4,3
231,1230,0.09910482,4.00537042,0.19080213,4,1
232,1231,0.09811377,3.77893976,0.14973726,4,12
233,1232,0.09713263,3.97631256,0.17107209,4,5
234,1233,0.0961613,3.80254189,0.18760551,4,8
235,1234,0.09519969,4.11340779,0.15516056,4,5
236,1235,0.09424769,4.11140683,0.15454063,4,1
237,1236,0.09330522,4.12746749,0.159295,4,1
238,1237,0.09237216,3.88482183,0.12109237,4,1
