episode,seed,epsilon,train_return,train_loss,steps,z_steps
1,301000,1.0,3.92346914,,4,5
2,301001,0.99,3.98500193,,5,3
3,301002,0.9801,3.87791581,,5,8
4,301003,0.970299,3.97492022,,4,12
5,301004,0.96059601,3.96709847,,4,8
6,301005,0.95099005,3.92255528,,5,0
7,301006,0.94148015,3.94465872,,4,8
8,301007,0.93206535,3.17867693,,5,1
9,301008,0.92274469,3.41688215,,4,8
10,301009,0.91351725,3.83269867,,5,1
11,301010,0.90438208,3.90120579,,4,8
12,301011,0.89533825,0.45568163,,5,8
13,301012,0.88638487,0.71467944,,5,8
14,301013,0.87752102,3.67400945,,4,1
15,301014,0.86874581,2.38232604,,5,1
16,301015,0.86005835,3.50135353,,5,0
17,301016,0.85145777,3.8371676,,4,12
18,301017,0.84294319,4.04725761,,5,8
19,301018,0.83451376,3.62790124,,4,3
20,301019,0.82616862,4.12478642,,4,12
21,301020,0.81790694,4.05521886,,4,12
22,301021,0.80972787,3.7989471,,5,8
23,301022,0.80163059,3.86489327,,4,0
24,301023,0.79361428,0.76798247,,5,3
25,301024,0.78567814,3.81011389,,5,0
26,301025,0.77782136,4.04773583,,4,1
27,301026,0.77004315,3.88384634,,4,5
28,301027,0.76234271,4.09981236,,4,5
29,301028,0.75471929,4.20244678,,5,1
30,301029,0.74717209,3.94200851,,4,5
31,301030,0.73970037,3.70289827,,4,8
32,301031,0.73230337,4.0407194,,4,0
33,301032,0.72498034,4.00220641,,5,8
34,301033,0.71773053,3.52744052,,4,0
35,301034,0.71055323,3.8378059,,5,3
36,301035,0.70344769,4.07484845,,4,0
37,301036,0.69641322,3.11628376,,5,12
38,301037,0.68944909,3.9325089,,4,0
39,301038,0.6825546,3.8671632,,5,12
40,301039,0.67572905,4.02480023,,4,12
41,301040,0.66897176,3.84367801,,5,8
42,301041,0.66228204,3.73107937,,5,0
43,301042,0.65565922,4.0646918,,4,0
44,301043,0.64910263,3.36297153,,5,8
45,301044,0.6426116,4.12296706,,4,12
46,301045,0.63618549,0.82390927,,5,3
47,301046,0.62982363,4.19655203,,5,3
48,301047,0.62352539,3.9849129,,4,0
49,301048,0.61729014,3.73726767,,5,5
50,301049,0.61111724,4.03615528,,4,5
51,301050,0.60500607,3.9149362,,4,1
52,301051,0.59895601,4.10365473,,4,5
53,301052,0.59296645,4.01587533,,4,3
54,301053,0.58703678,4.10416884,,4,8
55,301054,0.58116641,3.98594748,,4,1
56,301055,0.57535475,4.0298102,,5,3
57,301056,0.5696012,3.92994903,,4,3
58,301057,0.56390519,3.88736713,,4,5
59,301058,0.55826614,4.15277644,,4,3
60,301059,0.55268348,3.90882009,,4,8
61,301060,0.54715664,0.32996971,,5,5
62,301061,0.54168508,4.05583272,,4,3
63,301062,0.53626823,3.36657345,,5,12
64,301063,0.53090554,3.82326108,,5,5
65,301064,0.52559649,4.05435112,,4,0
66,301065,0.52034052,3.7616637,,5,12
67,301066,0.51513712,3.69193425,,4,0
68,301067,0.50998575,3.89006196,,4,3
69,301068,0.50488589,0.71889569,,5,3
70,301069,0.49983703,3.72278944,,5,8
71,301070,0.49483866,4.12230463,,5,12
72,301071,0.48989027,0.71892913,,5,8
73,301072,0.48499137,3.86804168,,4,1
74,301073,0.48014146,3.84404602,,4,3
75,301074,0.47534004,4.10440919,,4,12
76,301075,0.47058664,2.06363417,,5,3
77,301076,0.46588078,3.78154874,,4,8
78,301077,0.46122197,0.70268528,,5,0
79,301078,0.45660975,3.94709582,,5,5
80,301079,0.45204365,3.9692403,,4,12
81,301080,0.44752321,3.7812685,,4,8
82,301081,0.44304798,0.71353019,,5,0
83,301082,0.4386175,3.24798585,,4,3
84,301083,0.43423133,3.61201029,,4,8
85,301084,0.42988901,3.74991821,,4,0
86,301085,0.42559012,4.04889239,,4,5
87,301086,0.42133422,3.61036914,,4,5
88,301087,0.41712088,4.10618736,,4,8
89,301088,0.41294967,4.10291007,,4,8
90,301089,0.40882017,3.94065459,,4,0
91,301090,0.40473197,4.17920182,,4,5
92,301091,0.40068465,3.87571125,,4,0
93,301092,0.39667781,3.82723774,,4,5
94,301093,0.39271103,0.76405007,,5,5
95,301094,0.38878392,3.47231087,,4,1
96,301095,0.38489608,4.10810151,,4,8
97,301096,0.38104712,4.01508595,,4,8
98,301097,0.37723665,3.90040595,,5,12
99,301098,0.37346428,3.90594973,,4,1
100,301099,0.36972964,3.99185254,,4,3
101,301100,0.36603234,3.69212154,,4,5
102,301101,0.36237202,4.03601205,,4,1
103,301102,0.3587483,4.03396333,,4,0
104,301103,0.35516081,4.03322236,,5,8
105,301104,0.35160921,3.45404592,,4,1
106,301105,0.34809311,3.98770267,,4,5
107,301106,0.34461218,4.19692567,,5,5
108,301107,0.34116606,4.1670913,,4,3
