episode,seed,epsilon,train_return,train_loss,steps,z_steps
1,901000,1.0,3.73500526,,4,1
2,901001,0.99,3.75874648,,4,3
3,901002,0.9801,4.06778123,,5,12
4,901003,0.970299,3.72068678,,4,5
5,901004,0.96059601,-1.02240969,,5,8
6,901005,0.95099005,3.0347058,,5,0
7,901006,0.94148015,1.85508369,,5,8
8,901007,0.93206535,-0.10716498,,5,1
9,901008,0.92274469,2.88338279,,5,5
10,901009,0.91351725,4.03947019,,5,12
11,901010,0.90438208,1.19367398,,5,1
12,901011,0.89533825,2.7528642,,4,8
13,901012,0.88638487,1.67711106,,5,12
14,901013,0.87752102,0.0330211,,5,1
15,901014,0.86874581,3.05748337,,5,0
16,901015,0.86005835,1.89978591,,5,12
17,901016,0.85145777,1.55706093,,4,0
18,901017,0.84294319,2.59064573,,4,3
19,901018,0.83451376,2.63290588,,4,3
20,901019,0.82616862,3.01077753,,5,3
21,901020,0.81790694,2.78519127,,5,5
22,901021,0.80972787,-0.21677506,,5,5
23,901022,0.80163059,0.82759051,,5,0
24,901023,0.79361428,1.20732612,,5,8
25,901024,0.78567814,0.9240136,,5,12
26,901025,0.77782136,2.70195884,,5,1
27,901026,0.77004315,0.0340788,,5,0
28,901027,0.76234271,3.75123889,,4,5
29,901028,0.75471929,3.86568162,,4,3
30,901029,0.74717209,0.79722144,,5,8
31,901030,0.73970037,1.70858768,,4,5
32,901031,0.73230337,1.97209423,,4,3
33,901032,0.72498034,-1.37882988,,5,0
34,901033,0.71773053,0.1779814,,5,3
35,901034,0.71055323,2.72053234,,4,3
36,901035,0.70344769,2.41688921,,4,1
37,901036,0.69641322,2.92482527,,5,5
38,901037,0.68944909,3.89763395,,5,5
39,901038,0.6825546,3.80047314,,4,0
40,901039,0.67572905,3.67610355,,4,8
41,901040,0.66897176,3.94713008,,5,3
42,901041,0.66228204,3.02452316,,4,3
43,901042,0.65565922,4.00554438,,5,0
44,901043,0.64910263,-0.13335946,,5,8
45,901044,0.6426116,3.91948109,,4,12
46,901045,0.63618549,2.96634158,,5,8
47,901046,0.62982363,1.75816816,,5,0
48,901047,0.62352539,2.11507064,,5,1
49,901048,0.61729014,2.99917201,,5,5
50,901049,0.61111724,3.92595314,,5,0
51,901050,0.60500607,1.11114844,,5,5
52,901051,0.59895601,2.15317159,,5,8
53,901052,0.59296645,2.88310782,,4,8
