episode,seed,epsilon,train_return,train_loss,steps,z_steps
1,301000,1.0,2.93485611,,4,5
2,301001,0.99,2.79517091,,5,3
3,301002,0.9801,0.83491269,,5,8
4,301003,0.970299,3.62234208,,4,12
5,301004,0.96059601,2.69849139,,4,8
6,301005,0.95099005,3.0501925,,5,0
7,301006,0.94148015,1.55144715,,4,8
8,301007,0.93206535,1.70163472,,5,1
9,301008,0.92274469,0.70369619,,4,8
10,301009,0.91351725,3.07128517,,5,1
11,301010,0.90438208,2.49803335,,4,8
12,301011,0.89533825,-0.2473583,,5,8
13,301012,0.88638487,2.07107912,,5,8
14,301013,0.87752102,1.70524639,,4,1
15,301014,0.86874581,1.57538169,,5,1
16,301015,0.86005835,1.09513036,,5,0
17,301016,0.85145777,2.64007246,,4,12
18,301017,0.84294319,4.05705942,,5,8
19,301018,0.83451376,1.77648157,,4,3
20,301019,0.82616862,3.73886095,,4,12
21,301020,0.81790694,2.75568872,,4,12
22,301021,0.80972787,2.92212965,,5,8
23,301022,0.80163059,0.83556613,,5,0
24,301023,0.79361428,2.94527515,,4,3
25,301024,0.78567814,2.75947031,,5,0
26,301025,0.77782136,3.00659226,,4,1
27,301026,0.77004315,1.59206288,,4,5
28,301027,0.76234271,3.75416494,,4,5
29,301028,0.75471929,3.6735432,,4,1
30,301029,0.74717209,3.98493296,,5,5
31,301030,0.73970037,0.94033544,,5,8
32,301031,0.73230337,0.71899021,,4,0
33,301032,0.72498034,2.87671894,,4,8
34,301033,0.71773053,2.03834269,,4,0
35,301034,0.71055323,3.94276384,,5,3
36,301035,0.70344769,2.93919938,,5,0
37,301036,0.69641322,1.87664982,,4,12
38,301037,0.68944909,1.8837657,,4,0
39,301038,0.6825546,-0.17435099,,5,12
40,301039,0.67572905,1.84173921,,5,12
41,301040,0.66897176,2.80065596,,4,8
42,301041,0.66228204,1.83516767,,5,0
43,301042,0.65565922,3.71044335,,4,0
44,301043,0.64910263,2.08958244,,5,8
45,301044,0.6426116,2.01626786,,5,12
46,301045,0.63618549,2.75431383,,4,3
47,301046,0.62982363,3.13850492,,5,3
48,301047,0.62352539,0.93326182,,5,0
49,301048,0.61729014,1.53093163,,4,5
50,301049,0.61111724,2.6966621,,4,5
51,301050,0.60500607,3.96317029,,5,1
52,301051,0.59895601,2.88866268,,4,5
53,301052,0.59296645,2.45834374,,4,3
54,301053,0.58703678,1.79543135,,4,8
55,301054,0.58116641,0.84298367,,5,1
56,301055,0.57535475,2.06919893,,4,3
57,301056,0.5696012,2.10335139,,5,3
58,301057,0.56390519,2.76299846,,4,5
59,301058,0.55826614,0.79799059,,5,3
60,301059,0.55268348,2.52462229,,4,8
61,301060,0.54715664,2.91420171,,4,5
62,301061,0.54168508,0.95350652,,5,3
63,301062,0.53626823,2.60278226,,4,12
64,301063,0.53090554,3.81066955,,4,5
65,301064,0.52559649,3.90798597,,5,0
66,301065,0.52034052,2.99237572,,5,12
67,301066,0.51513712,0.97070292,,5,0
68,301067,0.50998575,3.09928994,,5,3
69,301068,0.50488589,2.60015966,,4,3
