episode,return,return_ma,steps,epsilon,terminated,truncated,n_interventions,val_return
1,4.8996,4.8996,15,1.0000,0,1,14,
2,-5.7299,-0.4152,15,0.9950,0,1,12,
3,5.0648,1.4115,15,0.9900,0,1,15,
4,5.3324,2.3917,15,0.9851,0,1,14,
5,-2.0220,1.5090,15,0.9801,0,1,14,
6,9.7222,2.8779,15,0.9752,0,1,14,
7,3.1680,2.9193,15,0.9704,0,1,15,
8,-1.5306,2.3631,15,0.9655,0,1,15,
9,-0.5586,2.0384,15,0.9607,0,1,12,
10,-11.9853,0.6361,15,0.9559,0,1,15,
11,4.9523,1.0284,15,0.9511,0,1,13,
12,4.4978,1.3176,15,0.9464,0,1,14,
13,6.1444,1.6889,15,0.9416,0,1,14,
14,10.8811,2.3454,15,0.9369,1,0,14,
15,4.5772,2.4942,15,0.9322,0,1,14,
16,4.9731,2.6492,15,0.9276,0,1,15,
17,-0.9835,2.4355,15,0.9229,0,1,15,
18,9.2403,2.8135,15,0.9183,0,1,15,
19,5.7840,2.9699,15,0.9137,0,1,15,
20,4.5746,3.0501,15,0.9092,0,1,14,-2.1332686838955843
21,-14.9878,2.0557,15,0.9046,0,1,14,
22,-2.4497,2.2197,15,0.9001,0,1,14,
23,-3.4457,1.7942,15,0.8956,0,1,14,
24,-16.5000,0.7026,15,0.8911,0,1,15,
25,-16.5000,-0.0213,15,0.8867,0,1,15,
26,-16.4500,-1.3299,15,0.8822,0,1,14,
27,-16.5000,-2.3133,15,0.8778,0,1,15,
28,-16.4500,-3.0593,15,0.8734,0,1,14,
29,-16.5000,-3.8564,15,0.8691,0,1,15,
30,-16.4000,-4.0771,15,0.8647,0,1,13,
31,-16.4500,-5.1472,15,0.8604,0,1,14,
32,-16.4500,-6.1946,15,0.8561,0,1,14,
33,-16.5000,-7.3268,15,0.8518,0,1,15,
34,-16.4000,-8.6909,15,0.8475,0,1,13,
35,-16.5000,-9.7447,15,0.8433,0,1,15,
36,-16.4500,-10.8159,15,0.8391,0,1,14,
37,-16.4500,-11.5892,15,0.8349,0,1,14,
38,-16.5000,-12.8762,15,0.8307,0,1,15,
39,-16.4499,-13.9879,15,0.8266,0,1,14,
40,-16.5000,-15.0417,15,0.8224,0,1,15,-16.499994936800064
41,-16.2412,-15.1043,15,0.8183,0,1,15,
42,-12.4821,-15.6059,15,0.8142,0,1,15,
43,2.6265,-15.3023,15,0.8102,0,1,15,
44,9.4912,-14.0028,10,0.8061,1,0,9,
45,-1.3465,-13.2451,15,0.8021,0,1,14,
46,-4.3676,-12.6410,15,0.7981,0,1,15,
47,-1.7437,-11.9032,15,0.7941,0,1,15,
48,3.8655,-10.8874,15,0.7901,0,1,15,
49,7.1507,-9.7048,3,0.7862,1,0,3,
50,2.8293,-8.7434,15,0.7822,0,1,14,
51,1.6267,-7.8396,15,0.7783,0,1,14,
52,-1.8314,-7.1086,15,0.7744,0,1,15,
53,3.7198,-6.0976,15,0.7705,0,1,15,
54,5.2442,-5.0154,15,0.7667,0,1,13,
55,-4.9794,-4.4394,15,0.7629,0,1,15,
56,5.2986,-3.3520,15,0.7590,0,1,14,
57,-11.8489,-3.1219,15,0.7553,0,1,15,
58,2.0193,-2.1959,15,0.7515,0,1,15,
59,4.2569,-1.1606,15,0.7477,0,1,14,
60,-0.5027,-0.3607,15,0.7440,0,1,15,4.873337882161141
61,6.2688,0.7648,15,0.7403,0,1,15,
62,4.3332,1.6055,15,0.7366,0,1,15,
63,5.6197,1.7552,15,0.7329,0,1,15,
64,6.8048,1.6209,3,0.7292,1,0,3,
65,5.5735,1.9669,15,0.7256,0,1,14,
66,4.6759,2.4190,15,0.7219,0,1,15,
67,5.9439,2.8034,15,0.7183,0,1,15,
68,4.5250,2.8364,15,0.7147,0,1,15,
69,-0.4943,2.4541,15,0.7112,0,1,14,
70,4.6924,2.5473,15,0.7076,0,1,15,
71,3.4283,2.6374,15,0.7041,0,1,15,
72,3.3785,2.8979,15,0.7005,0,1,13,
73,4.2565,2.9247,15,0.6970,0,1,14,
74,5.3520,2.9301,15,0.6936,0,1,14,
75,3.1461,3.3364,15,0.6901,0,1,14,
76,0.6248,3.1027,15,0.6866,0,1,15,
77,5.1567,3.9530,15,0.6832,0,1,14,
78,6.3021,4.1671,15,0.6798,0,1,15,
79,8.4814,4.3783,15,0.6764,0,1,13,
80,-3.9759,4.2047,15,0.6730,0,1,15,-2.288589138699171
